dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_3c5691b6,0,0,39.0,219.0,172.0,0.3786739,4.0926147,0.61904764,2.5434792,68.92444,0
6bba_3c5691b6,1,0,34.0,109.0,101.0,0.45846266,4.3900967,0.53968257,2.5434792,68.92444,0
6bba_3c5691b6,2,0,14.0,192.0,96.0,0.37798834,3.091933,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,3,0,48.0,116.0,134.0,0.36282828,4.4697285,0.7619048,2.5434792,68.92444,0
6bba_3c5691b6,4,0,20.0,106.0,63.0,0.3475772,3.3122928,0.31746033,2.5434792,68.92444,0
6bba_3c5691b6,5,0,0.0,147.0,19.0,0.24908751,3.8004956,0.0,2.1396742,41.032837,0
6bba_3c5691b6,6,0,0.0,183.0,44.0,0.26328605,3.7866232,0.0,2.1396742,41.032837,0
6bba_3c5691b6,7,0,14.0,152.0,75.0,0.33210403,7.2565637,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,8,0,37.0,13.0,35.0,0.40534422,4.2812657,0.5873016,2.5434792,68.92444,0
6bba_3c5691b6,9,0,37.0,77.0,87.0,0.41193512,3.685702,0.5873016,2.5434792,68.92444,0
6bba_3c5691b6,10,0,35.0,255.0,71.0,0.26544335,4.629839,0.5555556,2.1396742,41.032837,0
6bba_3c5691b6,11,0,32.0,42.0,48.0,0.34546775,4.4979925,0.50793654,2.5434792,68.92444,0
6bba_3c5691b6,12,0,15.0,231.0,120.0,0.34632045,4.670309,0.23809524,2.5434792,68.92444,0
6bba_3c5691b6,13,0,5.0,164.0,55.0,0.3549658,5.1407833,0.07936508,2.5434792,68.92444,0
6bba_3c5691b6,14,0,29.0,155.0,116.0,0.3476915,3.5036092,0.46031746,2.5434792,68.92444,0
6bba_3c5691b6,15,0,25.0,32.0,20.0,0.31376806,3.3144288,0.3968254,2.5434792,68.92444,0
6bba_3c5691b6,16,0,7.0,241.0,102.0,0.30226627,2.8889916,0.11111111,2.5434792,68.92444,0
6bba_3c5691b6,17,0,7.0,116.0,26.0,0.3192608,2.5478032,0.11111111,2.5401762,68.65625,0
6bba_3c5691b6,18,0,48.0,255.0,201.0,0.22915624,9.3994465,0.7619048,2.1396742,41.032837,0
6bba_3c5691b6,19,0,25.0,198.0,132.0,0.2508596,3.353891,0.3968254,2.5434792,68.92444,0
6bba_3c5691b6,20,0,42.0,163.0,149.0,0.35390785,3.0589736,0.6666667,2.5434792,68.92444,0
6bba_3c5691b6,21,0,46.0,28.0,71.0,0.3690637,3.7383528,0.73015875,2.5434792,68.92444,0
6bba_3c5691b6,22,0,63.0,217.0,205.0,0.32582358,3.789397,1.0,2.1396742,41.032837,0
6bba_3c5691b6,23,0,15.0,52.0,0.0,0.23822625,5.4518914,0.23809524,2.1396742,41.032837,0
6bba_3c5691b6,24,0,63.0,164.0,186.0,0.30897012,3.1852694,1.0,2.1396742,41.032837,0
6bba_3c5691b6,25,0,56.0,76.0,125.0,0.3740783,3.3632314,0.8888889,2.5434792,68.92444,0
6bba_3c5691b6,26,0,27.0,255.0,161.0,0.27614468,5.5385103,0.42857143,2.1396742,41.032837,1
6bba_3c5691b6,27,0,55.0,0.0,67.0,0.33138925,5.652409,0.8730159,2.1396742,41.032837,0
6bba_3c5691b6,28,0,52.0,151.0,162.0,0.2634764,3.530833,0.82539684,2.5434792,68.92444,0
6bba_3c5691b6,29,0,63.0,255.0,115.0,0.21755733,5.608884,1.0,1.7994134,24.405151,0
