dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_474be664,0,0,29.0,98.0,29.0,0.576009,4.3976936,0.46031746,2.5434792,68.92444,0
6bba_474be664,1,0,0.0,243.0,20.0,0.47090736,4.8831244,0.0,2.1396742,41.032837,0
6bba_474be664,2,0,22.0,115.0,37.0,0.541077,3.947198,0.34920636,2.5434792,68.92444,1
6bba_474be664,3,0,17.0,212.0,0.0,0.40359873,3.0914366,0.26984128,2.1396742,41.032837,0
6bba_474be664,4,0,22.0,160.0,41.0,0.38415053,4.8716664,0.34920636,2.5434792,68.92444,0
6bba_474be664,5,0,4.0,186.0,74.0,0.41839564,2.9120712,0.06349207,2.5434792,68.92444,0
6bba_474be664,6,0,25.0,137.0,56.0,0.4058828,4.6442485,0.3968254,2.5434792,68.92444,0
6bba_474be664,7,0,29.0,96.0,84.0,0.51569074,3.55941,0.46031746,2.5434792,68.92444,1
6bba_474be664,8,0,41.0,30.0,49.0,0.47558606,2.7634516,0.6507937,2.5434792,68.92444,1
6bba_474be664,9,0,18.0,99.0,109.0,0.53066504,2.1295886,0.2857143,2.5434792,68.92444,2
6bba_474be664,10,0,13.0,186.0,39.0,0.37935558,4.0111732,0.20634921,2.5434792,68.92444,1
6bba_474be664,11,0,6.0,215.0,24.0,0.3562751,4.0311966,0.0952381,2.5434792,68.92444,0
6bba_474be664,12,0,28.0,57.0,68.0,0.47284323,2.0438402,0.44444445,2.5401762,68.65625,2
6bba_474be664,13,0,43.0,108.0,0.0,0.34623682,6.199739,0.6825397,2.1396742,41.032837,0
6bba_474be664,14,0,22.0,154.0,17.0,0.3423958,3.9723141,0.34920636,2.5434792,68.92444,0
6bba_474be664,15,0,35.0,115.0,39.0,0.41697052,2.2561343,0.5555556,2.5434792,68.92444,1
6bba_474be664,16,0,39.0,49.0,66.0,0.47973526,1.8184721,0.61904764,2.5401762,68.65625,2
6bba_474be664,17,0,42.0,87.0,24.0,0.33475718,3.6765566,0.6666667,2.5434792,68.92444,0
6bba_474be664,18,0,5.0,194.0,53.0,0.35251477,3.1562576,0.07936508,2.5401762,68.65625,0
6bba_474be664,19,0,16.0,102.0,153.0,0.6014816,2.0452356,0.25396827,2.5434792,68.92444,1
6bba_474be664,20,0,21.0,109.0,127.0,0.53261423,2.4628763,0.33333334,2.5434792,68.92444,1
6bba_474be664,21,0,7.0,102.0,202.0,0.47407284,2.305406,0.11111111,2.5434792,68.92444,0
6bba_474be664,22,0,11.0,141.0,42.0,0.29854855,4.8012204,0.17460318,2.5434792,68.92444,1
6bba_474be664,23,0,0.0,139.0,90.0,0.38337496,4.275889,0.0,2.1396742,41.032837,1
6bba_474be664,24,0,18.0,102.0,181.0,0.5558907,2.5606775,0.2857143,2.5434792,68.92444,2
6bba_474be664,25,0,15.0,64.0,146.0,0.41850424,5.000808,0.23809524,2.5434792,68.92444,2
6bba_474be664,26,0,31.0,87.0,154.0,0.61602014,2.1700578,0.4920635,2.5434792,68.92444,1
6bba_474be664,27,0,39.0,38.0,134.0,0.4801113,1.766246,0.61904764,2.5401762,68.65625,0
6bba_474be664,28,0,30.0,76.0,121.0,0.4892898,2.8604202,0.47619048,2.5434792,68.92444,2
6bba_474be664,29,0,22.0,108.0,169.0,0.50838226,1.774762,0.34920636,2.5268764,67.583496,2
6bba_474be664,30,0,12.0,155.0,63.0,0.3167742,3.6163979,0.1904762,2.5401762,68.65625,0
6bba_474be664,31,0,30.0,78.0,70.0,0.41159338,2.4798245,0.47619048,2.5434792,68.92444,0
6bba_474be664,32,0,27.0,63.0,172.0,0.5260268,1.8472553,0.42857143,2.5434792,68.92444,1
6bba_474be664,33,0,28.0,62.0,194.0,0.510595,2.0038106,0.44444445,2.5434792,68.92444,2
6bba_474be664,34,0,21.0,176.0,11.0,0.28695628,3.87688,0.33333334,2.5434792,68.92444,0
6bba_474be664,35,0,15.0,77.0,38.0,0.31907168,3.2996705,0.23809524,2.5434792,68.92444,0
6bba_474be664,36,0,0.0,84.0,239.0,0.43878305,2.3900158,0.0,2.1396742,41.032837,0
6bba_474be664,37,0,18.0,81.0,198.0,0.51683897,2.3729787,0.2857143,2.5434792,68.92444,0
6bba_474be664,38,0,18.0,69.0,88.0,0.35112786,2.046202,0.2857143,2.5434792,68.92444,0
6bba_474be664,39,0,30.0,78.0,168.0,0.5760682,1.5528351,0.47619048,2.5401762,68.65625,1
6bba_474be664,40,0,9.0,103.0,146.0,0.41146487,0.80967987,0.14285715,2.5302145,67.851685,1
6bba_474be664,41,0,10.0,234.0,0.0,0.2576987,3.392202,0.15873016,2.1396742,41.032837,0
6bba_474be664,42,0,5.0,107.0,74.0,0.33371702,3.8374543,0.07936508,2.5434792,68.92444,1
6bba_474be664,43,0,47.0,12.0,50.0,0.38131136,2.2416337,0.74603176,2.5434792,68.92444,2
6bba_474be664,44,0,12.0,155.0,120.0,0.2746633,2.9887934,0.1904762,2.5401762,68.65625,0
6bba_474be664,45,0,16.0,75.0,116.0,0.3861833,2.2115185,0.25396827,2.5401762,68.65625,2
6bba_474be664,46,0,0.0,200.0,81.0,0.2675338,1.3599378,0.0,2.0471616,35.937256,0
6bba_474be664,47,0,30.0,100.0,7.0,0.29000485,3.269957,0.47619048,2.5434792,68.92444,0
6bba_474be664,48,0,31.0,93.0,107.0,0.4687057,1.8837869,0.4920635,2.5434792,68.92444,3
6bba_474be664,49,0,16.0,69.0,215.0,0.47027373,1.9081956,0.25396827,2.5434792,68.92444,1
6bba_474be664,50,0,29.0,64.0,16.0,0.27414986,3.582636,0.46031746,2.5434792,68.92444,1
6bba_474be664,51,0,20.0,36.0,141.0,0.34218535,3.0083807,0.31746033,2.5434792,68.92444,1
6bba_474be664,52,0,33.0,129.0,0.0,0.25953063,5.094856,0.52380955,2.1396742,41.032837,0
6bba_474be664,53,0,0.0,34.0,90.0,0.26749006,5.402761,0.0,2.1396742,41.032837,0
6bba_474be664,54,0,7.0,173.0,37.0,0.2772267,2.1430964,0.11111111,2.5434792,68.92444,1
