dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_55c70843,0,0,38.0,0.0,144.0,0.33973345,2.2625735,0.6031746,2.1396742,41.032837,0
6bba_55c70843,1,0,50.0,16.0,150.0,0.34172913,2.283575,0.7936508,2.5434792,68.92444,2
6bba_55c70843,2,0,43.0,25.0,255.0,0.34210488,1.1072112,0.6825397,2.1350024,40.76465,0
6bba_55c70843,3,0,63.0,5.0,41.0,0.28796995,2.2152023,1.0,2.1396742,41.032837,0
6bba_55c70843,4,0,30.0,0.0,194.0,0.32536545,1.1932383,0.47619048,2.13031,40.49646,0
6bba_55c70843,5,0,46.0,23.0,207.0,0.31057307,2.9736702,0.73015875,2.5401762,68.65625,0
6bba_55c70843,6,0,59.0,0.0,112.0,0.2635128,2.2842665,0.93650794,2.1396742,41.032837,1
6bba_55c70843,7,0,61.0,6.0,60.0,0.3107673,2.7265408,0.96825397,2.4687274,63.024292,2
6bba_55c70843,8,0,58.0,22.0,186.0,0.36712,1.9524192,0.9206349,2.5434792,68.92444,1
6bba_55c70843,9,0,58.0,35.0,244.0,0.31420133,1.7571062,0.9206349,2.5434792,68.92444,1
6bba_55c70843,10,0,54.0,0.0,118.0,0.27281752,2.4425542,0.85714287,2.1396742,41.032837,1
6bba_55c70843,11,0,63.0,37.0,255.0,0.3063296,1.3335204,1.0,1.7994134,24.405151,1
6bba_55c70843,12,0,34.0,0.0,238.0,0.3401749,0.38109776,0.53968257,2.0369256,35.40088,0
6bba_55c70843,13,0,45.0,12.0,179.0,0.3357517,1.2721149,0.71428573,2.5368643,68.38806,1
6bba_55c70843,14,0,37.0,0.0,174.0,0.29165903,1.3869724,0.5873016,2.120863,39.960083,0
6bba_55c70843,15,0,63.0,14.0,132.0,0.2612217,1.0909122,1.0,2.1396742,41.032837,0
6bba_55c70843,16,0,50.0,0.0,66.0,0.21381742,0.97565174,0.7936508,2.0822053,37.814575,1
6bba_55c70843,17,0,61.0,16.0,220.0,0.29206273,0.7521882,0.96825397,2.4687274,63.024292,0
6bba_55c70843,18,0,63.0,14.0,176.0,0.28274372,0.59939003,1.0,2.0623262,36.74182,2
6bba_55c70843,19,0,54.0,0.0,160.0,0.32501,1.7778305,0.85714287,2.125597,40.22827,1
6bba_55c70843,20,0,63.0,0.0,14.0,0.15601388,3.4784424,1.0,1.7994134,24.405151,0
6bba_55c70843,21,0,43.0,15.0,227.0,0.34253576,0.8923968,0.6825397,2.3511617,54.44226,1
6bba_55c70843,22,0,46.0,20.0,240.0,0.28737843,0.35899732,0.73015875,2.148957,41.569214,1
6bba_55c70843,23,0,63.0,12.0,199.0,0.2945444,0.621078,1.0,1.9677329,31.914429,1
6bba_55c70843,24,0,57.0,5.0,180.0,0.29719162,0.14096679,0.9047619,2.0471616,35.937256,2
6bba_55c70843,25,0,54.0,29.0,153.0,0.17166784,0.7250902,0.85714287,2.5032594,65.70618,1
6bba_55c70843,26,0,51.0,11.0,197.0,0.3000159,0.45681858,0.8095238,2.2030413,44.787476,1
6bba_55c70843,27,0,61.0,6.0,152.0,0.27674606,-0.024539638,0.96825397,1.8691776,27.355225,2
6bba_55c70843,28,0,63.0,4.0,73.0,0.20575558,0.5571867,1.0,2.021376,34.596313,1
6bba_55c70843,29,0,59.0,0.0,222.0,0.2523426,-0.15136845,0.93650794,1.5485545,15.554932,0
6bba_55c70843,30,0,37.0,0.0,96.0,0.15083958,2.2348592,0.5873016,2.1396742,41.032837,1
6bba_55c70843,31,0,39.0,0.0,255.0,0.26564518,-0.14302911,0.61904764,1.2430567,8.045654,0
6bba_55c70843,32,0,32.0,0.0,116.0,0.15026794,1.3156959,0.50793654,2.13031,40.49646,0
6bba_55c70843,33,0,42.0,0.0,98.0,0.15225905,2.0368288,0.6666667,2.1161075,39.691895,1
6bba_55c70843,34,0,8.0,0.0,255.0,0.14884266,2.6296933,0.12698413,1.7994134,24.405151,0
6bba_55c70843,35,1,38.0,0.0,146.0,0.3109488,1.7905457,0.6031746,2.1396742,41.032837,0
6bba_55c70843,36,1,51.0,20.0,154.0,0.33442214,2.2740555,0.8095238,2.5434792,68.92444,0
6bba_55c70843,37,1,55.0,0.0,119.0,0.35611406,3.288702,0.8730159,2.1396742,41.032837,1
6bba_55c70843,38,1,63.0,8.0,45.0,0.31337798,2.3522134,1.0,2.1396742,41.032837,1
6bba_55c70843,39,1,29.0,0.0,196.0,0.3267849,1.3462306,0.46031746,2.1350024,40.76465,0
6bba_55c70843,40,1,50.0,0.0,70.0,0.25486916,2.219678,0.7936508,2.1396742,41.032837,0
6bba_55c70843,41,1,58.0,25.0,188.0,0.38876677,1.9908377,0.9206349,2.5434792,68.92444,0
6bba_55c70843,42,1,47.0,25.0,210.0,0.3195574,3.1428797,0.74603176,2.5401762,68.65625,1
6bba_55c70843,43,1,63.0,10.0,59.0,0.31795108,2.206858,1.0,2.1396742,41.032837,1
6bba_55c70843,44,1,43.0,29.0,255.0,0.2809201,0.7944499,0.6825397,2.125597,40.22827,1
6bba_55c70843,45,1,63.0,8.0,116.0,0.28861064,1.621093,1.0,2.1396742,41.032837,1
6bba_55c70843,46,1,59.0,38.0,248.0,0.31929258,2.1017609,0.93650794,2.5434792,68.92444,0
6bba_55c70843,47,1,40.0,0.0,175.0,0.3848693,2.2314885,0.63492066,2.13031,40.49646,1
6bba_55c70843,48,1,32.0,0.0,245.0,0.36447588,1.1225531,0.50793654,2.0871162,38.082764,1
6bba_55c70843,49,1,43.0,15.0,192.0,0.3834275,1.9103291,0.6825397,2.4368005,60.610596,1
6bba_55c70843,50,1,42.0,0.0,101.0,0.20464173,4.693572,0.6666667,2.1396742,41.032837,0
6bba_55c70843,51,1,63.0,19.0,223.0,0.295759,1.3436694,1.0,2.1396742,41.032837,0
6bba_55c70843,52,1,55.0,6.0,166.0,0.31686386,1.0376236,0.8730159,2.5066607,65.974365,1
6bba_55c70843,53,1,45.0,10.0,167.0,0.3535418,2.0713494,0.71428573,2.5168092,66.77893,2
6bba_55c70843,54,1,37.0,11.0,241.0,0.41175726,1.742741,0.5873016,2.4439676,61.146973,1
6bba_55c70843,55,1,58.0,10.0,142.0,0.32962602,1.4233171,0.9206349,2.5401762,68.65625,0
6bba_55c70843,56,1,48.0,16.0,226.0,0.4038653,2.8692775,0.7619048,2.5434792,68.92444,2
6bba_55c70843,57,1,47.0,23.0,243.0,0.29733515,0.51166046,0.74603176,2.233402,46.664795,1
6bba_55c70843,58,1,60.0,0.0,221.0,0.24545489,0.4408454,0.95238096,1.910994,29.232544,1
6bba_55c70843,59,1,44.0,9.0,209.0,0.32513118,0.74739355,0.6984127,2.1986353,44.519287,2
6bba_55c70843,60,1,43.0,15.0,222.0,0.29913038,0.69116217,0.6825397,2.2419267,47.20117,2
6bba_55c70843,61,1,63.0,5.0,78.0,0.19213241,0.5214651,1.0,1.9454337,30.841675,0
6bba_55c70843,62,1,56.0,0.0,206.0,0.27281752,1.1909214,0.8888889,2.1113307,39.423706,0
6bba_55c70843,63,1,63.0,0.0,14.0,0.14708793,2.9635725,1.0,1.7994134,24.405151,0
6bba_55c70843,64,1,63.0,15.0,204.0,0.27383292,0.37833858,1.0,1.8254013,25.477905,1
6bba_55c70843,65,1,49.0,14.0,200.0,0.3074247,0.35576832,0.7777778,2.1350024,40.76465,4
6bba_55c70843,66,1,31.0,0.0,121.0,0.15868974,1.3274457,0.4920635,2.1396742,41.032837,0
6bba_55c70843,67,1,7.0,0.0,255.0,0.15415257,2.9303193,0.11111111,1.7994134,24.405151,0
6bba_55c70843,68,1,42.0,0.0,227.0,0.31715193,0.6087783,0.6666667,1.9168203,29.500732,0
6bba_55c70843,69,1,63.0,4.0,244.0,0.35949638,2.0170588,1.0,2.1396742,41.032837,1
6bba_55c70843,70,1,57.0,8.0,232.0,0.28164157,-0.30767044,0.9047619,1.8189738,25.209717,3
6bba_55c70843,71,2,50.0,0.0,72.0,0.2782589,3.424221,0.7936508,2.1396742,41.032837,0
6bba_55c70843,72,2,52.0,22.0,155.0,0.33814403,2.3412895,0.82539684,2.5434792,68.92444,2
6bba_55c70843,73,2,30.0,0.0,195.0,0.34837145,2.0855954,0.47619048,2.1350024,40.76465,0
6bba_55c70843,74,2,54.0,0.0,124.0,0.35926658,2.9873707,0.85714287,2.1396742,41.032837,1
6bba_55c70843,75,2,63.0,9.0,49.0,0.30115166,2.2087376,1.0,2.1396742,41.032837,0
6bba_55c70843,76,2,39.0,5.0,151.0,0.31080964,1.6338549,0.61904764,2.5434792,68.92444,1
6bba_55c70843,77,2,58.0,26.0,190.0,0.39917907,2.052578,0.9206349,2.5434792,68.92444,1
6bba_55c70843,78,2,48.0,28.0,215.0,0.3145895,2.863708,0.7619048,2.5434792,68.92444,0
6bba_55c70843,79,2,63.0,9.0,120.0,0.2915979,1.7395287,1.0,2.1396742,41.032837,1
6bba_55c70843,80,2,44.0,19.0,198.0,0.38955522,2.1692228,0.6984127,2.499849,65.43799,1
6bba_55c70843,81,2,41.0,0.0,181.0,0.37317836,2.9472964,0.6507937,2.1065323,39.155518,1
6bba_55c70843,82,2,60.0,41.0,255.0,0.27925888,1.4124749,0.95238096,2.1350024,40.76465,0
6bba_55c70843,83,2,31.0,0.0,255.0,0.32131532,0.6122364,0.4920635,1.7726524,23.332397,0
6bba_55c70843,84,2,54.0,9.0,171.0,0.30956158,1.3934767,0.85714287,2.5268764,67.583496,1
6bba_55c70843,85,2,42.0,0.0,105.0,0.21604057,4.5621376,0.6666667,2.1396742,41.032837,0
6bba_55c70843,86,2,46.0,10.0,169.0,0.3721095,3.126518,0.73015875,2.5268764,67.583496,1
6bba_55c70843,87,2,61.0,20.0,226.0,0.31805673,1.0079012,0.96825397,2.4687274,63.024292,2
6bba_55c70843,88,2,49.0,25.0,255.0,0.4183323,2.8517652,0.7777778,2.1396742,41.032837,0
6bba_55c70843,89,2,38.0,14.0,246.0,0.39351705,1.6361573,0.6031746,2.4964292,65.1698,0
6bba_55c70843,90,2,51.0,14.0,190.0,0.35201675,1.0360558,0.8095238,2.4475355,61.41516,3
6bba_55c70843,91,2,49.0,18.0,231.0,0.3922272,2.097686,0.7777778,2.5368643,68.38806,3
6bba_55c70843,92,2,55.0,19.0,234.0,0.4040156,1.9989244,0.8730159,2.5168092,66.77893,4
6bba_55c70843,93,2,60.0,0.0,223.0,0.2561562,0.51486033,0.95238096,2.0002632,33.52356,0
6bba_55c70843,94,2,56.0,0.0,208.0,0.29678908,1.2976485,0.8888889,2.125597,40.22827,0
6bba_55c70843,95,2,44.0,17.0,232.0,0.34575292,1.1337265,0.6984127,2.4475355,61.41516,2
6bba_55c70843,96,2,63.0,0.0,24.0,0.15423441,3.0641062,1.0,1.7726524,23.332397,0
6bba_55c70843,97,2,63.0,25.0,243.0,0.35516098,1.4039398,1.0,2.1350024,40.76465,1
