dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_825bd1c6,0,0,0.0,102.0,41.0,0.13462886,3.3923898,0.0,2.1350024,40.76465,0
6bba_825bd1c6,1,0,0.0,76.0,145.0,0.083313726,5.158543,0.0,2.1350024,40.76465,0
6bba_825bd1c6,2,0,0.0,53.0,0.0,0.20886278,2.9532647,0.0,1.7927979,24.136963,0
6bba_825bd1c6,3,0,12.0,0.0,41.0,0.1974497,0.93001187,0.1904762,2.0369256,35.40088,1
6bba_825bd1c6,4,0,0.0,207.0,88.0,0.14130597,2.439097,0.0,2.1350024,40.76465,0
6bba_825bd1c6,5,0,11.0,10.0,73.0,0.23985118,1.3299263,0.17460318,2.4077017,58.465088,0
6bba_825bd1c6,6,0,2.0,108.0,0.0,0.15803662,2.970176,0.031746034,2.0673318,37.01001,1
6bba_825bd1c6,7,0,0.0,31.0,26.0,0.18658036,2.4983747,0.0,2.0317688,35.13269,0
6bba_825bd1c6,8,0,0.0,131.0,18.0,0.1884132,3.2200422,0.0,2.1350024,40.76465,1
6bba_825bd1c6,9,0,0.0,0.0,89.0,0.15928227,1.7873845,0.0,1.7309273,21.723267,0
6bba_825bd1c6,10,0,4.0,13.0,0.0,0.26554054,3.6257062,0.06349207,2.0673318,37.01001,0
6bba_825bd1c6,11,0,0.0,191.0,19.0,0.15627122,2.2219923,0.0,2.1350024,40.76465,0
6bba_825bd1c6,12,0,0.0,156.0,16.0,0.21132152,3.1638613,0.0,2.13031,40.49646,0
6bba_825bd1c6,13,0,5.0,98.0,0.0,0.1163094,2.0553105,0.07936508,2.010875,34.059937,2
6bba_825bd1c6,14,0,0.0,192.0,98.0,0.10276921,1.4285535,0.0,2.1350024,40.76465,0
6bba_825bd1c6,15,0,0.0,122.0,29.0,0.104678236,1.7894173,0.0,2.016139,34.328125,1
6bba_825bd1c6,16,0,0.0,213.0,38.0,0.11642591,1.8847109,0.0,2.1065323,39.155518,0
6bba_825bd1c6,17,0,0.0,132.0,171.0,0.07353109,1.5350423,0.0,2.0471616,35.937256,0
6bba_825bd1c6,18,0,0.0,162.0,39.0,0.09350416,1.8214136,0.0,2.0871162,38.082764,0
6bba_825bd1c6,19,0,0.0,236.0,32.0,0.17027745,2.2021031,0.0,2.0369256,35.40088,0
6bba_825bd1c6,20,0,5.0,93.0,0.0,0.09036951,1.1880141,0.07936508,2.0623262,36.74182,2
6bba_825bd1c6,21,0,0.0,136.0,48.0,0.08200967,1.8742925,0.0,2.0673318,37.01001,1
6bba_825bd1c6,22,0,0.0,119.0,74.0,0.0764977,1.8726741,0.0,2.13031,40.49646,0
6bba_825bd1c6,23,0,0.0,216.0,0.0,0.16714448,2.6089668,0.0,1.7927979,24.136963,0
6bba_825bd1c6,24,0,0.0,0.0,127.0,0.07475693,1.8269821,0.0,1.7165622,21.18689,0
6bba_825bd1c6,25,0,0.0,0.0,33.0,0.2518318,1.7174335,0.0,1.7861332,23.868774,1
6bba_825bd1c6,26,0,0.0,129.0,54.0,0.07659181,1.5029348,0.0,2.0265856,34.864502,1
6bba_825bd1c6,27,0,0.0,80.0,0.0,0.094463296,1.8402671,0.0,1.6945525,20.382324,1
6bba_825bd1c6,28,0,0.0,0.0,167.0,0.07025508,1.408662,0.0,1.6795557,19.845947,0
6bba_825bd1c6,29,0,0.0,255.0,16.0,0.14740044,2.3666148,0.0,1.7994134,24.405151,0
6bba_825bd1c6,30,0,0.0,174.0,0.0,0.10434097,1.8543003,0.0,1.7994134,24.405151,0
6bba_825bd1c6,31,0,0.0,255.0,0.0,0.13858734,1.6836851,0.0,1.5121043,14.482178,0
6bba_825bd1c6,32,0,0.0,0.0,226.0,0.07006295,1.9099555,0.0,1.7794183,23.600586,0
6bba_825bd1c6,33,0,0.0,237.0,0.0,0.12513986,1.4265355,0.0,1.6870874,20.114136,0
6bba_825bd1c6,34,0,0.0,164.0,70.0,0.06842243,1.4576,0.0,2.0623262,36.74182,0
6bba_825bd1c6,35,0,0.0,22.0,58.0,0.08756199,-0.06192908,0.0,1.5213813,14.750366,0
6bba_825bd1c6,36,0,0.0,130.0,105.0,0.05444756,1.3733785,0.0,2.0522413,36.205444,0
6bba_825bd1c6,37,0,0.0,191.0,50.0,0.0689333,1.259839,0.0,2.057296,36.473633,0
6bba_825bd1c6,38,0,0.0,0.0,255.0,0.05610788,1.281201,0.0,1.4835672,13.677612,0
6bba_825bd1c6,39,0,0.0,255.0,114.0,0.06168086,1.2494745,0.0,1.7726524,23.332397,0
6bba_825bd1c6,40,0,0.0,255.0,39.0,0.08650315,0.780169,0.0,1.7165622,21.18689,0
6bba_825bd1c6,41,0,0.0,19.0,112.0,0.05613252,1.210298,0.0,1.9732294,32.182617,1
6bba_825bd1c6,42,0,0.0,255.0,143.0,0.056670442,1.2832801,0.0,1.7726524,23.332397,0
6bba_825bd1c6,43,0,0.0,240.0,137.0,0.05646414,1.2361941,0.0,2.1113307,39.423706,0
6bba_825bd1c6,44,0,0.0,216.0,161.0,0.05155265,1.3085412,0.0,2.092004,38.350952,0
