dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_cdcfe533,0,0,0.0,102.0,245.0,0.41877005,6.3055787,0.0,2.1396742,41.032837,0
6bba_cdcfe533,1,0,0.0,99.0,216.0,0.488148,4.798415,0.0,2.1396742,41.032837,0
6bba_cdcfe533,2,0,16.0,85.0,193.0,0.29910737,4.0487313,0.25396827,2.5268764,67.583496,0
6bba_cdcfe533,3,0,0.0,131.0,209.0,0.24726339,7.595389,0.0,2.1350024,40.76465,0
6bba_cdcfe533,4,0,10.0,163.0,155.0,0.3543255,4.8694677,0.15873016,2.5335438,68.11987,1
6bba_cdcfe533,5,0,8.0,0.0,160.0,0.32085258,4.802869,0.12698413,2.13031,40.49646,0
6bba_cdcfe533,6,0,8.0,32.0,175.0,0.33675382,4.3326287,0.12698413,2.4652207,62.756104,2
6bba_cdcfe533,7,0,0.0,25.0,223.0,0.31849018,4.8643794,0.0,2.1350024,40.76465,0
6bba_cdcfe533,8,0,0.0,31.0,244.0,0.32796866,2.5351517,0.0,2.1350024,40.76465,1
6bba_cdcfe533,9,0,22.0,97.0,175.0,0.27590343,3.1499941,0.34920636,2.4652207,62.756104,1
6bba_cdcfe533,10,0,0.0,61.0,204.0,0.2510849,3.7293375,0.0,2.0369256,35.40088,0
6bba_cdcfe533,11,0,3.0,67.0,255.0,0.27587453,2.6113827,0.04761905,2.057296,36.473633,0
6bba_cdcfe533,12,0,41.0,68.0,75.0,0.31007534,5.9478097,0.6507937,2.5100527,66.24255,0
6bba_cdcfe533,13,0,10.0,106.0,203.0,0.2592874,1.4308141,0.15873016,2.4403894,60.878784,1
6bba_cdcfe533,14,0,22.0,39.0,172.0,0.23471524,5.417643,0.34920636,2.4652207,62.756104,0
6bba_cdcfe533,15,0,14.0,92.0,143.0,0.28598693,4.5278616,0.22222222,2.5335438,68.11987,0
6bba_cdcfe533,16,0,8.0,29.0,239.0,0.27756557,2.4673798,0.12698413,2.4617038,62.487915,3
6bba_cdcfe533,17,0,11.0,29.0,211.0,0.29736748,2.2700977,0.17460318,2.499849,65.43799,2
6bba_cdcfe533,18,0,0.0,147.0,173.0,0.26386675,2.962384,0.0,1.994915,33.25537,1
