dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_d82a4fc6,0,0,59.0,232.0,129.0,0.39678955,3.8506324,0.93650794,2.4687274,63.024292,0
6bba_d82a4fc6,1,0,31.0,230.0,211.0,0.36583084,4.0103807,0.4920635,2.429591,60.07422,1
6bba_d82a4fc6,2,0,60.0,172.0,60.0,0.39263016,2.965199,0.95238096,2.451093,61.68335,0
6bba_d82a4fc6,3,0,56.0,180.0,81.0,0.4043509,3.3591383,0.8888889,2.5401762,68.65625,1
6bba_d82a4fc6,4,0,50.0,245.0,172.0,0.4477111,2.4894156,0.7936508,2.5434792,68.92444,2
6bba_d82a4fc6,5,0,59.0,123.0,22.0,0.32806015,4.2728395,0.93650794,2.5401762,68.65625,0
6bba_d82a4fc6,6,0,40.0,167.0,104.0,0.39348415,3.2692113,0.63492066,2.5268764,67.583496,1
6bba_d82a4fc6,7,0,36.0,224.0,184.0,0.3805,2.4391694,0.5714286,2.4687274,63.024292,2
6bba_d82a4fc6,8,0,32.0,251.0,244.0,0.36897552,3.1337485,0.50793654,2.451093,61.68335,2
6bba_d82a4fc6,9,0,36.0,200.0,154.0,0.37764215,2.9539993,0.5714286,2.5368643,68.38806,1
6bba_d82a4fc6,10,0,25.0,231.0,240.0,0.3542703,2.4881058,0.3968254,2.3816502,56.58777,1
6bba_d82a4fc6,11,0,50.0,204.0,115.0,0.3235714,2.579991,0.7936508,2.4826555,64.097046,0
6bba_d82a4fc6,12,0,21.0,145.0,142.0,0.41458386,3.4389398,0.33333334,2.5401762,68.65625,0
6bba_d82a4fc6,13,0,46.0,187.0,107.0,0.35399398,2.9453897,0.73015875,2.5268764,67.583496,0
6bba_d82a4fc6,14,0,17.0,179.0,201.0,0.35814336,3.867148,0.26984128,2.4652207,62.756104,0
6bba_d82a4fc6,15,0,42.0,225.0,171.0,0.38925523,2.1300082,0.6666667,2.5235295,67.31531,2
