dataset,source_id,target_id
6bba_20852818,0,244
6bba_20852818,1,258
6bba_20852818,2,253
6bba_20852818,3,245
6bba_20852818,4,260
6bba_20852818,5,248
6bba_20852818,6,278
6bba_20852818,7,261
6bba_20852818,8,255
6bba_20852818,9,249
6bba_20852818,10,246
6bba_20852818,11,266
6bba_20852818,12,252
6bba_20852818,13,268
6bba_20852818,14,257
6bba_20852818,15,272
6bba_20852818,16,259
6bba_20852818,17,265
6bba_20852818,18,276
6bba_20852818,19,254
6bba_20852818,20,264
6bba_20852818,21,289
6bba_20852818,22,262
6bba_20852818,23,251
6bba_20852818,24,318
6bba_20852818,25,292
6bba_20852818,27,284
6bba_20852818,28,297
6bba_20852818,29,305
6bba_20852818,31,279
6bba_20852818,32,283
6bba_20852818,33,361
6bba_20852818,34,287
6bba_20852818,36,273
6bba_20852818,37,296
6bba_20852818,38,343
6bba_20852818,39,271
6bba_20852818,40,267
6bba_20852818,41,291
6bba_20852818,42,298
6bba_20852818,44,293
6bba_20852818,45,306
6bba_20852818,46,274
6bba_20852818,47,294
6bba_20852818,48,256
6bba_20852818,49,269
6bba_20852818,51,314
6bba_20852818,52,295
6bba_20852818,53,290
6bba_20852818,54,302
6bba_20852818,55,309
6bba_20852818,56,332
6bba_20852818,57,458
6bba_20852818,58,304
6bba_20852818,59,285
6bba_20852818,61,282
6bba_20852818,62,315
6bba_20852818,64,325
6bba_20852818,65,280
6bba_20852818,66,300
6bba_20852818,67,441
6bba_20852818,68,311
6bba_20852818,69,313
6bba_20852818,70,316
6bba_20852818,71,281
6bba_20852818,72,307
6bba_20852818,73,303
6bba_20852818,74,334
6bba_20852818,75,396
6bba_20852818,76,420
6bba_20852818,77,320
6bba_20852818,78,324
6bba_20852818,79,310
6bba_20852818,80,319
6bba_20852818,81,299
6bba_20852818,82,326
6bba_20852818,83,328
6bba_20852818,84,342
6bba_20852818,86,317
6bba_20852818,87,357
6bba_20852818,88,353
6bba_20852818,89,340
6bba_20852818,90,301
6bba_20852818,91,275
6bba_20852818,92,349
6bba_20852818,93,406
6bba_20852818,94,331
6bba_20852818,95,345
6bba_20852818,96,335
6bba_20852818,97,338
6bba_20852818,98,348
6bba_20852818,99,329
6bba_20852818,100,333
6bba_20852818,101,323
6bba_20852818,102,380
6bba_20852818,104,350
6bba_20852818,105,352
6bba_20852818,106,368
6bba_20852818,107,347
6bba_20852818,108,330
6bba_20852818,110,321
6bba_20852818,111,355
6bba_20852818,112,434
6bba_20852818,113,336
6bba_20852818,114,339
6bba_20852818,115,369
6bba_20852818,116,362
6bba_20852818,117,356
6bba_20852818,118,358
6bba_20852818,119,377
6bba_20852818,121,337
6bba_20852818,122,378
6bba_20852818,123,364
6bba_20852818,125,394
6bba_20852818,126,374
6bba_20852818,127,426
6bba_20852818,128,395
6bba_20852818,129,383
6bba_20852818,130,371
6bba_20852818,131,375
6bba_20852818,132,354
6bba_20852818,133,392
6bba_20852818,134,381
6bba_20852818,136,372
6bba_20852818,138,393
6bba_20852818,139,389
6bba_20852818,140,370
6bba_20852818,141,384
6bba_20852818,142,373
6bba_20852818,143,402
6bba_20852818,144,403
6bba_20852818,145,360
6bba_20852818,146,351
6bba_20852818,147,376
6bba_20852818,148,391
6bba_20852818,149,427
6bba_20852818,151,397
6bba_20852818,152,387
6bba_20852818,154,465
6bba_20852818,155,390
6bba_20852818,156,439
6bba_20852818,159,408
6bba_20852818,160,400
6bba_20852818,161,388
6bba_20852818,162,399
6bba_20852818,163,363
6bba_20852818,164,417
6bba_20852818,165,412
6bba_20852818,166,447
6bba_20852818,167,418
6bba_20852818,168,437
6bba_20852818,169,413
6bba_20852818,171,430
6bba_20852818,173,411
6bba_20852818,175,436
6bba_20852818,176,386
6bba_20852818,178,401
6bba_20852818,179,419
6bba_20852818,180,405
6bba_20852818,182,407
6bba_20852818,183,435
6bba_20852818,184,453
6bba_20852818,185,423
6bba_20852818,187,428
6bba_20852818,188,424
6bba_20852818,189,425
6bba_20852818,193,416
6bba_20852818,194,421
6bba_20852818,195,449
6bba_20852818,196,409
6bba_20852818,197,445
6bba_20852818,198,440
6bba_20852818,200,432
6bba_20852818,201,429
6bba_20852818,203,410
6bba_20852818,205,414
6bba_20852818,206,442
6bba_20852818,207,444
6bba_20852818,208,431
6bba_20852818,209,457
6bba_20852818,210,433
6bba_20852818,212,454
6bba_20852818,214,461
6bba_20852818,215,422
6bba_20852818,216,463
6bba_20852818,217,466
6bba_20852818,219,470
6bba_20852818,221,456
6bba_20852818,223,462
6bba_20852818,230,471
6bba_20852818,232,451
6bba_20852818,233,460
6bba_20852818,234,477
6bba_20852818,236,475
6bba_20852818,237,464
6bba_20852818,244,482
6bba_20852818,245,483
6bba_20852818,246,484
6bba_20852818,247,485
6bba_20852818,248,486
6bba_20852818,249,487
6bba_20852818,250,488
6bba_20852818,251,489
6bba_20852818,252,490
6bba_20852818,253,491
6bba_20852818,254,492
6bba_20852818,255,493
6bba_20852818,256,494
6bba_20852818,257,495
6bba_20852818,258,496
6bba_20852818,259,497
6bba_20852818,260,498
6bba_20852818,261,499
6bba_20852818,262,500
6bba_20852818,263,501
6bba_20852818,264,502
6bba_20852818,265,503
6bba_20852818,266,504
6bba_20852818,267,505
6bba_20852818,268,506
6bba_20852818,269,507
6bba_20852818,270,508
6bba_20852818,271,509
6bba_20852818,272,510
6bba_20852818,273,511
6bba_20852818,274,512
6bba_20852818,275,513
6bba_20852818,276,514
6bba_20852818,277,515
6bba_20852818,278,516
6bba_20852818,279,517
6bba_20852818,280,518
6bba_20852818,281,519
6bba_20852818,282,520
6bba_20852818,283,521
6bba_20852818,284,522
6bba_20852818,285,523
6bba_20852818,286,524
6bba_20852818,287,525
6bba_20852818,288,526
6bba_20852818,289,527
6bba_20852818,290,528
6bba_20852818,291,529
6bba_20852818,292,530
6bba_20852818,293,531
6bba_20852818,294,532
6bba_20852818,295,533
6bba_20852818,296,534
6bba_20852818,297,535
6bba_20852818,298,536
6bba_20852818,299,537
6bba_20852818,300,538
6bba_20852818,301,539
6bba_20852818,302,540
6bba_20852818,303,541
6bba_20852818,304,542
6bba_20852818,305,543
6bba_20852818,306,544
6bba_20852818,307,545
6bba_20852818,308,546
6bba_20852818,309,547
6bba_20852818,310,548
6bba_20852818,311,549
6bba_20852818,312,550
6bba_20852818,313,551
6bba_20852818,314,552
6bba_20852818,315,553
6bba_20852818,316,554
6bba_20852818,317,555
6bba_20852818,318,556
6bba_20852818,319,557
6bba_20852818,320,558
6bba_20852818,321,559
6bba_20852818,322,560
6bba_20852818,323,561
6bba_20852818,324,562
6bba_20852818,325,563
6bba_20852818,326,564
6bba_20852818,327,565
6bba_20852818,328,566
6bba_20852818,329,567
6bba_20852818,330,568
6bba_20852818,331,569
6bba_20852818,332,570
6bba_20852818,333,571
6bba_20852818,334,572
6bba_20852818,335,573
6bba_20852818,336,574
6bba_20852818,337,575
6bba_20852818,338,576
6bba_20852818,339,577
6bba_20852818,340,578
6bba_20852818,341,579
6bba_20852818,342,580
6bba_20852818,343,581
6bba_20852818,344,582
6bba_20852818,345,583
6bba_20852818,346,584
6bba_20852818,347,585
6bba_20852818,348,586
6bba_20852818,349,587
6bba_20852818,350,588
6bba_20852818,351,589
6bba_20852818,352,590
6bba_20852818,353,591
6bba_20852818,354,592
6bba_20852818,355,593
6bba_20852818,356,594
6bba_20852818,357,595
6bba_20852818,358,596
6bba_20852818,359,597
6bba_20852818,360,598
6bba_20852818,361,599
6bba_20852818,362,600
6bba_20852818,363,601
6bba_20852818,364,602
6bba_20852818,365,603
6bba_20852818,366,604
6bba_20852818,367,605
6bba_20852818,368,606
6bba_20852818,369,607
6bba_20852818,370,608
6bba_20852818,371,609
6bba_20852818,372,610
6bba_20852818,373,611
6bba_20852818,374,612
6bba_20852818,375,613
6bba_20852818,376,614
6bba_20852818,377,615
6bba_20852818,378,616
6bba_20852818,379,617
6bba_20852818,380,618
6bba_20852818,381,619
6bba_20852818,382,620
6bba_20852818,383,621
6bba_20852818,384,622
6bba_20852818,385,623
6bba_20852818,386,624
6bba_20852818,387,625
6bba_20852818,388,626
6bba_20852818,389,627
6bba_20852818,390,628
6bba_20852818,391,629
6bba_20852818,392,630
6bba_20852818,393,631
6bba_20852818,394,632
6bba_20852818,395,633
6bba_20852818,396,634
6bba_20852818,397,635
6bba_20852818,398,636
6bba_20852818,399,637
6bba_20852818,400,638
6bba_20852818,401,639
6bba_20852818,402,640
6bba_20852818,403,641
6bba_20852818,404,642
6bba_20852818,405,643
6bba_20852818,406,644
6bba_20852818,407,645
6bba_20852818,408,646
6bba_20852818,409,647
6bba_20852818,410,648
6bba_20852818,411,649
6bba_20852818,412,650
6bba_20852818,413,651
6bba_20852818,414,652
6bba_20852818,415,653
6bba_20852818,416,654
6bba_20852818,417,655
6bba_20852818,418,656
6bba_20852818,419,657
6bba_20852818,420,658
6bba_20852818,421,659
6bba_20852818,422,660
6bba_20852818,423,661
6bba_20852818,424,662
6bba_20852818,425,663
6bba_20852818,426,664
6bba_20852818,427,665
6bba_20852818,428,666
6bba_20852818,429,667
6bba_20852818,430,668
6bba_20852818,431,669
6bba_20852818,432,670
6bba_20852818,433,671
6bba_20852818,434,672
6bba_20852818,435,673
6bba_20852818,436,674
6bba_20852818,437,675
6bba_20852818,438,676
6bba_20852818,439,677
6bba_20852818,440,678
6bba_20852818,441,679
6bba_20852818,442,680
6bba_20852818,443,681
6bba_20852818,444,682
6bba_20852818,445,683
6bba_20852818,446,684
6bba_20852818,447,685
6bba_20852818,448,686
6bba_20852818,449,687
6bba_20852818,450,688
6bba_20852818,451,689
