dataset,source_id,target_id
6bba_767a1e17,0,359
6bba_767a1e17,1,401
6bba_767a1e17,2,376
6bba_767a1e17,3,358
6bba_767a1e17,4,362
6bba_767a1e17,5,369
6bba_767a1e17,6,371
6bba_767a1e17,7,392
6bba_767a1e17,8,368
6bba_767a1e17,9,373
6bba_767a1e17,10,378
6bba_767a1e17,11,377
6bba_767a1e17,12,361
6bba_767a1e17,13,365
6bba_767a1e17,14,374
6bba_767a1e17,15,367
6bba_767a1e17,16,379
6bba_767a1e17,17,370
6bba_767a1e17,18,386
6bba_767a1e17,19,391
6bba_767a1e17,20,363
6bba_767a1e17,21,364
6bba_767a1e17,22,393
6bba_767a1e17,23,411
6bba_767a1e17,24,397
6bba_767a1e17,25,360
6bba_767a1e17,26,390
6bba_767a1e17,27,375
6bba_767a1e17,28,417
6bba_767a1e17,29,403
6bba_767a1e17,30,504
6bba_767a1e17,31,443
6bba_767a1e17,32,477
6bba_767a1e17,33,372
6bba_767a1e17,34,531
6bba_767a1e17,35,399
6bba_767a1e17,36,402
6bba_767a1e17,37,366
6bba_767a1e17,38,406
6bba_767a1e17,39,413
6bba_767a1e17,40,389
6bba_767a1e17,42,382
6bba_767a1e17,43,388
6bba_767a1e17,44,431
6bba_767a1e17,45,442
6bba_767a1e17,46,407
6bba_767a1e17,47,426
6bba_767a1e17,48,459
6bba_767a1e17,49,429
6bba_767a1e17,50,380
6bba_767a1e17,51,435
6bba_767a1e17,52,441
6bba_767a1e17,53,381
6bba_767a1e17,54,539
6bba_767a1e17,55,479
6bba_767a1e17,56,385
6bba_767a1e17,57,548
6bba_767a1e17,58,469
6bba_767a1e17,59,497
6bba_767a1e17,60,421
6bba_767a1e17,61,512
6bba_767a1e17,62,422
6bba_767a1e17,63,481
6bba_767a1e17,64,387
6bba_767a1e17,66,527
6bba_767a1e17,67,394
6bba_767a1e17,68,437
6bba_767a1e17,69,400
6bba_767a1e17,70,415
6bba_767a1e17,71,420
6bba_767a1e17,72,498
6bba_767a1e17,74,486
6bba_767a1e17,75,434
6bba_767a1e17,76,414
6bba_767a1e17,78,405
6bba_767a1e17,79,409
6bba_767a1e17,80,445
6bba_767a1e17,81,423
6bba_767a1e17,82,615
6bba_767a1e17,83,398
6bba_767a1e17,84,427
6bba_767a1e17,85,554
6bba_767a1e17,86,418
6bba_767a1e17,87,432
6bba_767a1e17,89,383
6bba_767a1e17,90,449
6bba_767a1e17,91,492
6bba_767a1e17,92,412
6bba_767a1e17,93,450
6bba_767a1e17,94,511
6bba_767a1e17,95,448
6bba_767a1e17,96,472
6bba_767a1e17,97,455
6bba_767a1e17,98,444
6bba_767a1e17,99,473
6bba_767a1e17,102,424
6bba_767a1e17,103,410
6bba_767a1e17,104,516
6bba_767a1e17,105,598
6bba_767a1e17,106,419
6bba_767a1e17,109,430
6bba_767a1e17,110,436
6bba_767a1e17,111,485
6bba_767a1e17,112,489
6bba_767a1e17,113,475
6bba_767a1e17,114,454
6bba_767a1e17,115,515
6bba_767a1e17,116,416
6bba_767a1e17,117,482
6bba_767a1e17,119,483
6bba_767a1e17,120,467
6bba_767a1e17,121,493
6bba_767a1e17,122,543
6bba_767a1e17,123,451
6bba_767a1e17,124,458
6bba_767a1e17,125,462
6bba_767a1e17,126,499
6bba_767a1e17,127,452
6bba_767a1e17,128,535
6bba_767a1e17,129,560
