dataset,source_id,target_id
6bba_cdcfe533,2,339
6bba_cdcfe533,3,359
6bba_cdcfe533,4,340
6bba_cdcfe533,5,363
6bba_cdcfe533,7,376
6bba_cdcfe533,8,525
6bba_cdcfe533,9,399
6bba_cdcfe533,11,345
6bba_cdcfe533,12,343
6bba_cdcfe533,13,341
6bba_cdcfe533,14,431
6bba_cdcfe533,15,346
6bba_cdcfe533,16,429
6bba_cdcfe533,17,369
6bba_cdcfe533,18,370
6bba_cdcfe533,19,545
6bba_cdcfe533,20,452
6bba_cdcfe533,21,372
6bba_cdcfe533,28,437
6bba_cdcfe533,31,349
6bba_cdcfe533,34,605
6bba_cdcfe533,35,350
6bba_cdcfe533,36,378
6bba_cdcfe533,37,434
6bba_cdcfe533,38,360
6bba_cdcfe533,39,368
6bba_cdcfe533,40,392
6bba_cdcfe533,41,446
6bba_cdcfe533,42,355
6bba_cdcfe533,46,420
6bba_cdcfe533,47,382
6bba_cdcfe533,49,401
6bba_cdcfe533,50,565
6bba_cdcfe533,51,389
6bba_cdcfe533,52,422
6bba_cdcfe533,53,364
6bba_cdcfe533,54,415
6bba_cdcfe533,55,375
6bba_cdcfe533,57,394
6bba_cdcfe533,58,408
6bba_cdcfe533,62,479
6bba_cdcfe533,63,426
6bba_cdcfe533,64,353
6bba_cdcfe533,66,387
6bba_cdcfe533,67,419
6bba_cdcfe533,68,374
6bba_cdcfe533,70,411
6bba_cdcfe533,71,352
6bba_cdcfe533,72,367
6bba_cdcfe533,73,383
6bba_cdcfe533,74,413
6bba_cdcfe533,75,438
6bba_cdcfe533,76,390
6bba_cdcfe533,77,481
6bba_cdcfe533,79,533
6bba_cdcfe533,80,412
6bba_cdcfe533,81,361
6bba_cdcfe533,82,405
6bba_cdcfe533,86,432
6bba_cdcfe533,89,409
6bba_cdcfe533,90,366
6bba_cdcfe533,91,453
6bba_cdcfe533,92,417
6bba_cdcfe533,93,442
6bba_cdcfe533,94,385
6bba_cdcfe533,95,416
6bba_cdcfe533,96,493
6bba_cdcfe533,97,436
6bba_cdcfe533,98,459
6bba_cdcfe533,99,435
6bba_cdcfe533,101,445
6bba_cdcfe533,102,362
6bba_cdcfe533,105,406
6bba_cdcfe533,108,433
6bba_cdcfe533,109,410
6bba_cdcfe533,111,473
6bba_cdcfe533,112,485
6bba_cdcfe533,115,388
6bba_cdcfe533,117,502
6bba_cdcfe533,118,423
6bba_cdcfe533,119,645
6bba_cdcfe533,120,489
6bba_cdcfe533,121,441
6bba_cdcfe533,122,569
