dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_551a5dba,0,0,32.0,195.0,137.0,1.0470237,7.3445334,0.50793654,2.5401762,68.65625,1
44b6_551a5dba,1,0,30.0,175.0,111.0,1.1017509,5.4685473,0.47619048,2.5401762,68.65625,2
44b6_551a5dba,2,0,35.0,255.0,107.0,1.374769,4.027106,0.5555556,2.1065323,39.155518,3
44b6_551a5dba,3,0,43.0,168.0,172.0,0.97556406,3.0716622,0.6825397,2.5401762,68.65625,2
44b6_551a5dba,4,0,36.0,205.0,52.0,0.9180889,3.78231,0.5714286,2.5401762,68.65625,2
44b6_551a5dba,5,0,45.0,129.0,233.0,1.0269291,3.0952175,0.71428573,2.5434792,68.92444,0
44b6_551a5dba,6,0,34.0,122.0,138.0,1.055032,3.2629108,0.53968257,2.5434792,68.92444,2
44b6_551a5dba,7,0,22.0,49.0,221.0,1.08927,4.3487005,0.34920636,2.5434792,68.92444,2
44b6_551a5dba,8,0,35.0,187.0,153.0,0.9794437,2.7710638,0.5555556,2.5401762,68.65625,3
44b6_551a5dba,9,0,39.0,69.0,114.0,0.9720325,1.8113664,0.61904764,2.5434792,68.92444,0
44b6_551a5dba,10,0,41.0,147.0,168.0,1.1896197,3.7030768,0.6507937,2.5434792,68.92444,2
44b6_551a5dba,11,0,43.0,107.0,249.0,1.1226505,2.8217103,0.6825397,2.5401762,68.65625,3
44b6_551a5dba,12,0,42.0,155.0,147.0,0.815551,1.9163567,0.6666667,2.5368643,68.38806,4
44b6_551a5dba,13,0,23.0,99.0,140.0,1.0748104,3.1700382,0.36507937,2.5434792,68.92444,1
44b6_551a5dba,14,0,37.0,183.0,22.0,0.95804805,2.62906,0.5873016,2.5434792,68.92444,2
44b6_551a5dba,15,0,34.0,166.0,131.0,0.9721166,2.9775307,0.53968257,2.5401762,68.65625,2
44b6_551a5dba,16,0,44.0,105.0,255.0,1.0962949,2.3529186,0.6984127,2.1396742,41.032837,3
44b6_551a5dba,17,0,30.0,120.0,152.0,1.1987927,4.3338904,0.47619048,2.5434792,68.92444,2
44b6_551a5dba,18,0,18.0,127.0,162.0,0.99625796,3.901268,0.2857143,2.5434792,68.92444,1
44b6_551a5dba,19,0,31.0,217.0,126.0,0.85148376,2.980951,0.4920635,2.5401762,68.65625,1
44b6_551a5dba,20,0,39.0,94.0,210.0,1.164044,3.4582655,0.61904764,2.5401762,68.65625,4
44b6_551a5dba,21,0,31.0,159.0,148.0,0.94036484,3.2390304,0.4920635,2.5066607,65.974365,4
44b6_551a5dba,22,0,37.0,255.0,190.0,0.9928908,1.6685039,0.5873016,2.1396742,41.032837,0
44b6_551a5dba,23,0,42.0,195.0,160.0,0.964968,2.3711817,0.6666667,2.5434792,68.92444,2
44b6_551a5dba,24,0,40.0,211.0,109.0,1.0500878,2.7171402,0.63492066,2.5434792,68.92444,4
44b6_551a5dba,25,0,24.0,103.0,255.0,1.152308,2.2347245,0.3809524,2.1350024,40.76465,2
44b6_551a5dba,26,0,45.0,67.0,209.0,0.939612,2.0838382,0.71428573,2.5434792,68.92444,2
44b6_551a5dba,27,0,23.0,9.0,240.0,1.1056725,2.8328922,0.36507937,2.5434792,68.92444,1
44b6_551a5dba,28,0,10.0,55.0,193.0,1.1059614,3.9836872,0.15873016,2.5434792,68.92444,3
44b6_551a5dba,29,0,48.0,79.0,138.0,0.685993,2.524752,0.7619048,2.5368643,68.38806,1
44b6_551a5dba,30,0,42.0,222.0,86.0,0.9512123,2.631402,0.6666667,2.5401762,68.65625,0
44b6_551a5dba,31,0,35.0,211.0,111.0,0.99156964,2.5754886,0.5555556,2.5401762,68.65625,2
44b6_551a5dba,32,0,35.0,52.0,218.0,0.88056034,2.8061275,0.5555556,2.5401762,68.65625,3
44b6_551a5dba,33,0,25.0,9.0,214.0,0.9551841,3.5061665,0.3968254,2.5434792,68.92444,2
44b6_551a5dba,34,0,20.0,135.0,68.0,1.120526,2.1262653,0.31746033,2.5434792,68.92444,2
44b6_551a5dba,35,0,31.0,233.0,148.0,0.96253514,1.6406922,0.4920635,2.4861133,64.365234,4
44b6_551a5dba,36,0,49.0,92.0,205.0,0.7971968,1.248378,0.7777778,2.5401762,68.65625,1
44b6_551a5dba,37,0,42.0,136.0,184.0,0.89571387,3.1090436,0.6666667,2.5434792,68.92444,2
44b6_551a5dba,38,0,26.0,163.0,124.0,0.80474687,2.439306,0.41269842,2.4861133,64.365234,3
44b6_551a5dba,39,0,44.0,97.0,223.0,0.914762,1.5712907,0.6984127,2.5401762,68.65625,4
44b6_551a5dba,40,0,44.0,245.0,100.0,0.8167703,1.7951581,0.6984127,2.5434792,68.92444,1
44b6_551a5dba,41,0,10.0,33.0,231.0,1.0211216,3.096294,0.15873016,2.5434792,68.92444,1
44b6_551a5dba,42,0,35.0,41.0,238.0,0.9054626,2.7470257,0.5555556,2.5434792,68.92444,2
44b6_551a5dba,43,0,31.0,147.0,230.0,0.9638728,2.693664,0.4920635,2.5368643,68.38806,1
44b6_551a5dba,44,0,37.0,232.0,123.0,0.9390159,3.9227457,0.5873016,2.5434792,68.92444,1
44b6_551a5dba,45,0,38.0,22.0,187.0,1.0066754,2.1693506,0.6031746,2.5434792,68.92444,1
44b6_551a5dba,46,0,42.0,244.0,154.0,1.1309264,1.7126595,0.6666667,2.5434792,68.92444,2
44b6_551a5dba,47,0,29.0,35.0,184.0,1.0293007,2.5693479,0.46031746,2.5368643,68.38806,4
44b6_551a5dba,48,0,42.0,128.0,212.0,0.9367855,3.1361876,0.6666667,2.5434792,68.92444,1
44b6_551a5dba,49,0,34.0,92.0,136.0,0.8693239,2.116919,0.53968257,2.5235295,67.31531,3
44b6_551a5dba,50,0,29.0,115.0,102.0,1.0428698,2.6722434,0.46031746,2.5434792,68.92444,3
44b6_551a5dba,51,0,49.0,187.0,154.0,0.7640699,1.3302858,0.7777778,2.5401762,68.65625,2
44b6_551a5dba,52,0,31.0,199.0,171.0,1.0736091,2.6296945,0.4920635,2.5368643,68.38806,0
44b6_551a5dba,53,0,10.0,10.0,230.0,1.0196452,2.8012614,0.15873016,2.5401762,68.65625,1
44b6_551a5dba,54,0,16.0,84.0,84.0,0.9952638,2.3108494,0.25396827,2.5434792,68.92444,1
44b6_551a5dba,55,0,25.0,148.0,211.0,1.0544894,2.5376437,0.3968254,2.5434792,68.92444,2
44b6_551a5dba,56,0,18.0,224.0,15.0,0.9591673,2.0670433,0.2857143,2.5401762,68.65625,5
44b6_551a5dba,57,0,19.0,232.0,63.0,0.81315565,4.5992126,0.3015873,2.5401762,68.65625,2
44b6_551a5dba,58,0,26.0,226.0,106.0,0.76425767,3.949309,0.41269842,2.5100527,66.24255,0
