dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_95029e92,0,0,16.0,209.0,92.0,1.4690542,3.472986,0.25396827,2.5434792,68.92444,0
44b6_95029e92,1,0,26.0,38.0,141.0,1.647573,4.038918,0.41269842,2.5434792,68.92444,0
44b6_95029e92,2,0,56.0,208.0,176.0,1.6164132,5.0411234,0.8888889,2.5434792,68.92444,0
44b6_95029e92,3,0,15.0,159.0,104.0,1.3477951,3.9045086,0.23809524,2.5434792,68.92444,0
44b6_95029e92,4,0,17.0,89.0,116.0,1.7945462,5.134552,0.26984128,2.5434792,68.92444,0
44b6_95029e92,5,0,29.0,111.0,139.0,1.4970112,3.7841144,0.46031746,2.5434792,68.92444,0
44b6_95029e92,6,0,4.0,155.0,73.0,1.6546875,3.0042791,0.06349207,2.5434792,68.92444,0
44b6_95029e92,7,0,46.0,160.0,169.0,1.5993365,4.5118074,0.73015875,2.5434792,68.92444,0
44b6_95029e92,8,0,32.0,174.0,139.0,1.7067629,4.933087,0.50793654,2.5434792,68.92444,0
44b6_95029e92,9,0,30.0,220.0,124.0,1.8764775,4.3220124,0.47619048,2.5434792,68.92444,0
44b6_95029e92,10,0,0.0,81.0,63.0,1.0178031,3.3258963,0.0,2.1350024,40.76465,0
44b6_95029e92,11,0,7.0,240.0,58.0,1.5928376,3.8962312,0.11111111,2.5434792,68.92444,1
44b6_95029e92,12,0,57.0,148.0,188.0,1.6575458,4.576769,0.9047619,2.5434792,68.92444,0
44b6_95029e92,13,0,13.0,38.0,100.0,2.2708402,11.653122,0.20634921,2.5401762,68.65625,0
44b6_95029e92,14,0,47.0,239.0,151.0,1.9160033,4.38211,0.74603176,2.5434792,68.92444,0
44b6_95029e92,15,0,40.0,204.0,148.0,1.5326045,5.711003,0.63492066,2.5434792,68.92444,0
44b6_95029e92,16,0,14.0,74.0,99.0,2.1465144,10.945012,0.22222222,2.5401762,68.65625,0
44b6_95029e92,17,0,63.0,255.0,172.0,1.2682439,10.778425,1.0,1.7994134,24.405151,1
44b6_95029e92,18,0,53.0,82.0,192.0,1.7863574,4.7080708,0.84126985,2.5434792,68.92444,0
44b6_95029e92,19,0,43.0,48.0,174.0,1.690145,4.0266514,0.6825397,2.5434792,68.92444,0
44b6_95029e92,20,0,6.0,19.0,92.0,1.2411407,4.253944,0.0952381,2.5434792,68.92444,0
44b6_95029e92,21,0,37.0,97.0,159.0,1.7510041,4.5913143,0.5873016,2.5434792,68.92444,0
44b6_95029e92,22,0,43.0,109.0,173.0,1.5009649,3.4348307,0.6825397,2.5434792,68.92444,0
44b6_95029e92,23,0,48.0,18.0,179.0,1.3113883,6.3434343,0.7619048,2.5434792,68.92444,0
44b6_95029e92,24,0,54.0,0.0,192.0,1.3116928,2.6373885,0.85714287,2.1350024,40.76465,1
44b6_95029e92,25,0,21.0,0.0,133.0,0.9771154,5.5667186,0.33333334,2.1350024,40.76465,0
44b6_95029e92,26,0,54.0,38.0,198.0,1.2956364,1.1921302,0.85714287,2.5434792,68.92444,1
44b6_95029e92,27,0,43.0,0.0,179.0,1.1831644,6.2840533,0.6825397,2.1396742,41.032837,0
44b6_95029e92,28,0,63.0,91.0,206.0,1.3209975,5.225352,1.0,2.125597,40.22827,1
44b6_95029e92,29,0,60.0,38.0,204.0,1.8876297,3.328096,0.95238096,2.5401762,68.65625,2
44b6_95029e92,30,0,27.0,0.0,148.0,0.78296447,5.6599946,0.42857143,2.1350024,40.76465,0
44b6_95029e92,31,0,28.0,255.0,110.0,0.6180063,6.758276,0.44444445,2.120863,39.960083,0
44b6_95029e92,32,0,36.0,153.0,156.0,0.8908837,2.4925923,0.5714286,2.5434792,68.92444,0
44b6_95029e92,33,0,15.0,131.0,111.0,0.7635117,3.089831,0.23809524,2.5434792,68.92444,0
44b6_95029e92,34,0,35.0,0.0,163.0,0.8023621,4.9022183,0.5555556,2.13031,40.49646,0
44b6_95029e92,35,0,0.0,210.0,36.0,0.565158,2.5268035,0.0,2.0673318,37.01001,0
44b6_95029e92,36,0,63.0,188.0,192.0,0.68135065,2.8735151,1.0,2.1396742,41.032837,0
44b6_95029e92,37,0,21.0,255.0,84.0,0.45341605,3.4906795,0.33333334,2.1396742,41.032837,1
44b6_95029e92,38,0,8.0,241.0,20.0,0.47498983,1.8260343,0.12698413,2.5434792,68.92444,0
44b6_95029e92,39,0,37.0,255.0,126.0,0.4565701,4.715587,0.5873016,2.0822053,37.814575,0
44b6_95029e92,40,0,63.0,117.0,203.0,0.59557724,2.0535421,1.0,2.1396742,41.032837,0
44b6_95029e92,41,0,8.0,18.0,24.0,0.56556886,1.6788154,0.12698413,2.5434792,68.92444,1
44b6_95029e92,42,0,63.0,255.0,184.0,0.4458946,0.62019175,1.0,1.5918324,16.895874,1
44b6_95029e92,43,0,0.0,12.0,59.0,0.4499816,2.0210214,0.0,2.0369256,35.40088,0
44b6_95029e92,44,0,0.0,0.0,0.0,0.47418332,4.5075336,0.0,1.5121043,14.482178,0
44b6_95029e92,45,0,9.0,30.0,29.0,0.5048977,1.4855969,0.14285715,2.5401762,68.65625,1
44b6_95029e92,46,0,18.0,242.0,49.0,0.55339503,0.67291886,0.2857143,2.4652207,62.756104,1
44b6_95029e92,47,0,58.0,214.0,190.0,0.5164249,0.697576,0.9206349,2.3665042,55.515015,0
44b6_95029e92,48,0,59.0,152.0,203.0,0.5062017,0.71317524,0.93650794,2.3854067,56.855957,0
44b6_95029e92,49,0,63.0,42.0,218.0,0.63631743,0.5284293,1.0,1.910994,29.232544,1
44b6_95029e92,50,0,0.0,164.0,10.0,0.42679915,1.5610173,0.0,2.1396742,41.032837,0
44b6_95029e92,51,0,0.0,149.0,11.0,0.40768194,1.3586024,0.0,2.1350024,40.76465,0
44b6_95029e92,52,0,56.0,86.0,207.0,0.566925,0.31685036,0.8888889,2.3158891,52.028564,1
44b6_95029e92,53,0,52.0,91.0,140.0,0.36852315,1.4558138,0.82539684,2.5335438,68.11987,0
44b6_95029e92,54,0,45.0,179.0,118.0,0.35487843,1.4728582,0.71428573,2.5401762,68.65625,0
44b6_95029e92,55,0,47.0,207.0,117.0,0.33815628,1.2192776,0.74603176,2.5134354,66.51074,0
44b6_95029e92,56,0,10.0,255.0,89.0,0.3716729,1.8861442,0.15873016,2.13031,40.49646,1
44b6_95029e92,57,0,49.0,245.0,168.0,0.47083795,0.8681833,0.7777778,2.4617038,62.487915,0
44b6_95029e92,58,0,13.0,0.0,105.0,0.3487708,1.2728132,0.20634921,2.0822053,37.814575,1
44b6_95029e92,59,0,49.0,164.0,188.0,0.40335485,0.36793903,0.7777778,2.2876928,50.151245,1
44b6_95029e92,60,0,48.0,170.0,185.0,0.36812678,0.8071404,0.7619048,2.396606,57.660522,1
44b6_95029e92,61,0,33.0,183.0,157.0,0.33926207,1.0797365,0.52380955,2.3588579,54.978638,0
