dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_d78e09d9,0,0,43.0,98.0,97.0,1.0084907,2.7434464,0.6825397,2.5434792,68.92444,1
44b6_d78e09d9,1,0,17.0,78.0,28.0,0.92534244,3.20053,0.26984128,2.5401762,68.65625,2
44b6_d78e09d9,2,0,38.0,141.0,53.0,0.82917815,4.6512194,0.6031746,2.5401762,68.65625,1
44b6_d78e09d9,3,0,57.0,134.0,195.0,0.8101834,4.5712004,0.9047619,2.5434792,68.92444,1
44b6_d78e09d9,4,0,16.0,101.0,0.0,0.86193967,3.7830358,0.25396827,2.125597,40.22827,2
44b6_d78e09d9,5,0,18.0,77.0,128.0,0.9128672,3.6815116,0.2857143,2.5434792,68.92444,2
44b6_d78e09d9,6,0,58.0,148.0,155.0,0.91979814,3.256033,0.9206349,2.5401762,68.65625,1
44b6_d78e09d9,7,0,34.0,88.0,69.0,0.9944367,2.8499258,0.53968257,2.5434792,68.92444,1
44b6_d78e09d9,8,0,39.0,69.0,155.0,1.1203941,2.712104,0.61904764,2.5434792,68.92444,1
44b6_d78e09d9,9,0,42.0,96.0,135.0,0.9314485,4.7462373,0.6666667,2.5434792,68.92444,1
44b6_d78e09d9,10,0,49.0,148.0,66.0,0.81011444,2.7850697,0.7777778,2.5434792,68.92444,1
44b6_d78e09d9,11,0,53.0,174.0,30.0,0.75548774,3.2812,0.84126985,2.5401762,68.65625,3
44b6_d78e09d9,12,0,52.0,135.0,72.0,0.91752404,2.2786574,0.82539684,2.5434792,68.92444,1
44b6_d78e09d9,13,0,14.0,53.0,76.0,0.99758995,2.8902392,0.22222222,2.5434792,68.92444,2
44b6_d78e09d9,14,0,37.0,141.0,10.0,0.7317965,4.0341144,0.5873016,2.5401762,68.65625,2
44b6_d78e09d9,15,0,57.0,142.0,106.0,1.0154572,3.003157,0.9047619,2.5401762,68.65625,3
44b6_d78e09d9,16,0,25.0,64.0,84.0,1.0191993,3.568972,0.3968254,2.5401762,68.65625,0
44b6_d78e09d9,17,0,63.0,235.0,36.0,0.58267903,13.13505,1.0,2.1350024,40.76465,0
44b6_d78e09d9,18,0,13.0,102.0,24.0,0.8297399,2.6410372,0.20634921,2.5401762,68.65625,1
44b6_d78e09d9,19,0,48.0,88.0,165.0,0.8928303,3.5523295,0.7619048,2.5401762,68.65625,0
44b6_d78e09d9,20,0,17.0,121.0,19.0,0.761669,3.043704,0.26984128,2.5032594,65.70618,2
44b6_d78e09d9,21,0,27.0,31.0,210.0,1.3138796,3.1457717,0.42857143,2.5434792,68.92444,0
44b6_d78e09d9,22,0,57.0,134.0,131.0,1.2990028,3.3828213,0.9047619,2.5434792,68.92444,1
44b6_d78e09d9,23,0,41.0,45.0,255.0,0.9714124,3.1743002,0.6507937,2.1396742,41.032837,1
44b6_d78e09d9,24,0,18.0,78.0,93.0,1.0220935,3.4772687,0.2857143,2.5401762,68.65625,3
44b6_d78e09d9,25,0,21.0,127.0,38.0,0.7306792,3.9109724,0.33333334,2.5401762,68.65625,2
44b6_d78e09d9,26,0,52.0,116.0,167.0,1.1073905,2.5957437,0.82539684,2.5401762,68.65625,2
44b6_d78e09d9,27,0,31.0,96.0,46.0,0.7567616,2.6331768,0.4920635,2.5302145,67.851685,2
44b6_d78e09d9,28,0,52.0,123.0,135.0,0.9989369,2.0064507,0.82539684,2.5434792,68.92444,1
44b6_d78e09d9,29,0,47.0,100.0,188.0,1.0503769,3.1979282,0.74603176,2.5401762,68.65625,2
44b6_d78e09d9,30,0,55.0,110.0,181.0,1.0423831,2.5665302,0.8730159,2.5434792,68.92444,1
44b6_d78e09d9,31,0,0.0,61.0,34.0,0.89504904,2.7862694,0.0,2.1396742,41.032837,1
44b6_d78e09d9,32,0,33.0,75.0,109.0,0.9621229,2.955015,0.52380955,2.5368643,68.38806,1
44b6_d78e09d9,33,0,41.0,125.0,211.0,0.63465494,6.621447,0.6507937,2.5434792,68.92444,0
44b6_d78e09d9,34,0,26.0,32.0,169.0,1.0145549,3.1224923,0.41269842,2.5401762,68.65625,0
44b6_d78e09d9,35,0,38.0,77.0,130.0,0.968987,2.8301072,0.6031746,2.5302145,67.851685,2
44b6_d78e09d9,36,0,37.0,126.0,26.0,0.74637043,2.772285,0.5873016,2.5401762,68.65625,0
44b6_d78e09d9,37,0,57.0,126.0,175.0,0.9588966,2.3563316,0.9047619,2.5434792,68.92444,2
44b6_d78e09d9,38,0,29.0,47.0,161.0,1.1077914,2.1991642,0.46031746,2.5434792,68.92444,2
44b6_d78e09d9,39,0,26.0,62.0,182.0,1.133026,3.2148354,0.41269842,2.5434792,68.92444,0
44b6_d78e09d9,40,0,49.0,125.0,57.0,0.78269356,2.647135,0.7777778,2.5401762,68.65625,1
44b6_d78e09d9,41,0,22.0,129.0,0.0,0.828925,3.1932824,0.34920636,2.13031,40.49646,4
44b6_d78e09d9,42,0,29.0,88.0,92.0,0.96561867,3.6160228,0.46031746,2.5401762,68.65625,2
44b6_d78e09d9,43,0,5.0,22.0,126.0,0.8970153,3.4110165,0.07936508,2.5434792,68.92444,0
44b6_d78e09d9,44,0,51.0,106.0,206.0,0.83905363,4.5747643,0.8095238,2.5434792,68.92444,0
44b6_d78e09d9,45,0,46.0,82.0,197.0,0.97333276,2.121325,0.73015875,2.5401762,68.65625,2
44b6_d78e09d9,46,0,55.0,217.0,44.0,0.5585463,4.6455903,0.8730159,2.5401762,68.65625,0
44b6_d78e09d9,47,0,63.0,153.0,100.0,0.91822463,2.2894075,1.0,2.1396742,41.032837,2
44b6_d78e09d9,48,0,14.0,58.0,159.0,1.0316181,1.9863968,0.22222222,2.5434792,68.92444,2
44b6_d78e09d9,49,0,38.0,79.0,181.0,1.1712242,2.9623551,0.6031746,2.5434792,68.92444,0
44b6_d78e09d9,50,0,20.0,31.0,148.0,1.0344455,2.6492653,0.31746033,2.5401762,68.65625,1
44b6_d78e09d9,51,0,20.0,54.0,103.0,0.82051194,3.164185,0.31746033,2.5401762,68.65625,1
44b6_d78e09d9,52,0,24.0,109.0,65.0,0.77072155,2.9618745,0.3809524,2.5368643,68.38806,1
44b6_d78e09d9,53,0,60.0,175.0,74.0,0.70059466,2.9703207,0.95238096,2.499849,65.43799,2
44b6_d78e09d9,54,0,21.0,79.0,155.0,0.818787,2.7692895,0.33333334,2.5401762,68.65625,2
44b6_d78e09d9,55,0,25.0,89.0,50.0,0.7797533,2.4518597,0.3968254,2.5368643,68.38806,2
44b6_d78e09d9,56,0,47.0,116.0,111.0,0.81185603,2.083056,0.74603176,2.5434792,68.92444,0
44b6_d78e09d9,57,0,59.0,125.0,229.0,1.1509808,2.7674594,0.93650794,2.5434792,68.92444,1
44b6_d78e09d9,58,0,28.0,150.0,19.0,0.6845246,2.8537617,0.44444445,2.5368643,68.38806,1
44b6_d78e09d9,59,0,16.0,37.0,119.0,0.9341674,2.0817678,0.25396827,2.5302145,67.851685,1
44b6_d78e09d9,60,0,55.0,136.0,165.0,0.7990196,2.425428,0.8730159,2.5401762,68.65625,2
44b6_d78e09d9,61,0,29.0,64.0,220.0,1.1652917,2.2700243,0.46031746,2.5434792,68.92444,1
44b6_d78e09d9,62,0,13.0,79.0,61.0,0.79603547,3.3445508,0.20634921,2.5401762,68.65625,2
44b6_d78e09d9,63,0,41.0,85.0,243.0,0.99941707,1.766023,0.6507937,2.5434792,68.92444,2
44b6_d78e09d9,64,0,53.0,148.0,38.0,0.5791762,5.7834873,0.84126985,2.5335438,68.11987,0
44b6_d78e09d9,65,0,60.0,211.0,19.0,0.64142746,3.6895823,0.95238096,2.5401762,68.65625,2
44b6_d78e09d9,66,0,22.0,61.0,247.0,0.8602369,3.7175298,0.34920636,2.5434792,68.92444,1
44b6_d78e09d9,67,0,35.0,115.0,173.0,0.649517,3.2691019,0.5555556,2.5434792,68.92444,0
44b6_d78e09d9,68,0,61.0,177.0,94.0,0.7276361,2.3911085,0.96825397,2.4652207,62.756104,3
44b6_d78e09d9,69,0,11.0,22.0,151.0,1.0154967,2.2329993,0.17460318,2.5434792,68.92444,2
44b6_d78e09d9,70,0,59.0,152.0,134.0,0.7352253,2.2609823,0.93650794,2.5235295,67.31531,1
44b6_d78e09d9,71,0,20.0,105.0,21.0,0.7874986,2.0289516,0.31746033,2.5368643,68.38806,1
44b6_d78e09d9,72,0,8.0,37.0,116.0,0.9227885,2.349356,0.12698413,2.5434792,68.92444,2
44b6_d78e09d9,73,0,28.0,69.0,136.0,1.0053122,2.6102054,0.44444445,2.5434792,68.92444,3
44b6_d78e09d9,74,0,31.0,36.0,244.0,0.967542,1.7332898,0.4920635,2.5401762,68.65625,2
44b6_d78e09d9,75,0,35.0,44.0,240.0,0.97412837,2.2918713,0.5555556,2.5401762,68.65625,1
44b6_d78e09d9,76,0,63.0,204.0,42.0,0.592413,4.3360953,1.0,2.1396742,41.032837,0
44b6_d78e09d9,77,0,41.0,73.0,200.0,1.0162923,1.6690887,0.6507937,2.5401762,68.65625,3
44b6_d78e09d9,78,0,53.0,175.0,47.0,0.6701532,2.1647868,0.84126985,2.5100527,66.24255,3
44b6_d78e09d9,79,0,18.0,24.0,189.0,1.1355339,2.318694,0.2857143,2.5401762,68.65625,2
44b6_d78e09d9,80,0,62.0,186.0,60.0,0.5727402,3.0907764,0.984127,2.3198614,52.296753,0
44b6_d78e09d9,81,0,42.0,100.0,178.0,0.8228236,1.6493785,0.6666667,2.5401762,68.65625,1
44b6_d78e09d9,82,0,14.0,103.0,49.0,0.63988394,2.3503852,0.22222222,2.5235295,67.31531,2
44b6_d78e09d9,83,0,7.0,49.0,80.0,0.8727956,1.8343716,0.11111111,2.5434792,68.92444,3
44b6_d78e09d9,84,0,56.0,103.0,241.0,0.96030825,1.7733263,0.8888889,2.5335438,68.11987,2
44b6_d78e09d9,85,0,56.0,113.0,229.0,0.9545927,1.4657135,0.8888889,2.5434792,68.92444,1
44b6_d78e09d9,86,0,63.0,146.0,229.0,0.7303508,4.4909286,1.0,2.1396742,41.032837,1
44b6_d78e09d9,87,0,41.0,66.0,224.0,1.0531542,2.164553,0.6507937,2.5434792,68.92444,1
44b6_d78e09d9,88,0,25.0,84.0,77.0,0.8975415,1.8115445,0.3968254,2.5434792,68.92444,2
44b6_d78e09d9,89,0,17.0,45.0,132.0,0.9548578,2.7274168,0.26984128,2.5368643,68.38806,1
44b6_d78e09d9,90,0,12.0,55.0,123.0,0.8830595,3.1518054,0.1904762,2.5434792,68.92444,2
44b6_d78e09d9,91,0,42.0,85.0,230.0,0.86425674,2.3247342,0.6666667,2.5434792,68.92444,1
44b6_d78e09d9,92,0,26.0,114.0,10.0,0.6883628,2.2901735,0.41269842,2.5368643,68.38806,4
44b6_d78e09d9,93,0,50.0,180.0,89.0,0.5858439,1.9715593,0.7936508,2.5401762,68.65625,2
44b6_d78e09d9,94,0,6.0,70.0,34.0,0.7412981,1.7705135,0.0952381,2.4617038,62.487915,5
44b6_d78e09d9,95,0,63.0,160.0,255.0,0.55899286,5.713953,1.0,1.7994134,24.405151,0
44b6_d78e09d9,96,0,35.0,109.0,135.0,0.6519394,2.0953393,0.5555556,2.5335438,68.11987,1
44b6_d78e09d9,97,0,5.0,17.0,205.0,1.0804331,4.0450835,0.07936508,2.5401762,68.65625,0
44b6_d78e09d9,98,0,37.0,99.0,94.0,0.8882592,1.5643659,0.5873016,2.5368643,68.38806,2
44b6_d78e09d9,99,0,24.0,137.0,21.0,0.6537521,2.9342992,0.3809524,2.5401762,68.65625,1
44b6_d78e09d9,100,0,43.0,164.0,27.0,0.63258964,2.8343954,0.6825397,2.4687274,63.024292,2
44b6_d78e09d9,101,0,30.0,109.0,83.0,0.688083,2.6717527,0.47619048,2.5401762,68.65625,1
