dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_0c7fa718,0,0,46.0,238.0,32.0,1.1277257,6.1104927,0.73015875,2.493,64.90161,1
6bba_0c7fa718,1,0,52.0,166.0,30.0,1.049754,5.3251944,0.82539684,2.5335438,68.11987,1
6bba_0c7fa718,2,0,52.0,114.0,89.0,1.4165988,8.77062,0.82539684,2.5401762,68.65625,1
6bba_0c7fa718,3,0,56.0,133.0,16.0,1.2656834,3.7594411,0.8888889,2.5401762,68.65625,0
6bba_0c7fa718,4,0,58.0,107.0,36.0,1.3258055,5.9911485,0.9206349,2.5434792,68.92444,0
6bba_0c7fa718,5,0,44.0,192.0,92.0,1.2440435,5.208586,0.6984127,2.5434792,68.92444,0
6bba_0c7fa718,6,0,54.0,137.0,45.0,1.1626022,4.4307103,0.85714287,2.5368643,68.38806,1
6bba_0c7fa718,7,0,51.0,112.0,150.0,1.251394,6.7463107,0.8095238,2.5434792,68.92444,0
6bba_0c7fa718,8,0,46.0,224.0,47.0,1.0398964,4.8354936,0.73015875,2.5368643,68.38806,0
6bba_0c7fa718,9,0,50.0,149.0,66.0,1.4207726,4.3615656,0.7936508,2.5434792,68.92444,1
6bba_0c7fa718,10,0,52.0,179.0,11.0,0.9068412,6.1282496,0.82539684,2.5134354,66.51074,1
6bba_0c7fa718,11,0,55.0,125.0,69.0,1.242178,4.1214466,0.8730159,2.5335438,68.11987,1
6bba_0c7fa718,12,0,60.0,89.0,70.0,1.1573501,4.1587954,0.95238096,2.5302145,67.851685,0
6bba_0c7fa718,13,0,49.0,213.0,11.0,0.94709814,3.6023088,0.7777778,2.5368643,68.38806,1
6bba_0c7fa718,14,0,60.0,66.0,88.0,1.1920828,6.2977514,0.95238096,2.5401762,68.65625,1
6bba_0c7fa718,15,0,63.0,35.0,123.0,1.1705631,7.1459103,1.0,2.1350024,40.76465,1
6bba_0c7fa718,16,0,41.0,247.0,74.0,1.2005298,3.6083798,0.6507937,2.5401762,68.65625,1
6bba_0c7fa718,17,0,56.0,231.0,90.0,0.9420037,3.4610677,0.8888889,2.4652207,62.756104,0
6bba_0c7fa718,18,0,37.0,217.0,173.0,1.1735163,6.120714,0.5873016,2.5401762,68.65625,0
6bba_0c7fa718,19,0,51.0,161.0,229.0,1.0551554,3.9099789,0.8095238,2.5401762,68.65625,0
6bba_0c7fa718,20,0,56.0,105.0,111.0,1.338355,3.590578,0.8888889,2.5434792,68.92444,3
6bba_0c7fa718,21,0,43.0,179.0,141.0,1.2333874,3.8980608,0.6825397,2.5302145,67.851685,1
6bba_0c7fa718,22,0,56.0,102.0,104.0,1.2954552,3.0841522,0.8888889,2.5368643,68.38806,2
6bba_0c7fa718,23,0,51.0,188.0,108.0,0.86991096,2.7098415,0.8095238,2.5302145,67.851685,2
6bba_0c7fa718,24,0,41.0,194.0,166.0,1.2775321,5.0429544,0.6507937,2.5434792,68.92444,0
6bba_0c7fa718,25,0,48.0,201.0,46.0,1.1986469,3.4234369,0.7619048,2.5434792,68.92444,2
6bba_0c7fa718,26,0,48.0,176.0,73.0,0.96322525,3.419535,0.7619048,2.5268764,67.583496,1
6bba_0c7fa718,27,0,41.0,227.0,107.0,1.0225663,4.407145,0.6507937,2.5235295,67.31531,4
