dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_268e1230,0,0,59.0,212.0,227.0,0.45615277,4.369273,0.93650794,2.5434792,68.92444,0
6bba_268e1230,1,0,34.0,146.0,255.0,0.34491646,2.5156844,0.53968257,2.1396742,41.032837,0
6bba_268e1230,2,0,59.0,85.0,255.0,0.32434472,4.736805,0.93650794,2.1396742,41.032837,0
6bba_268e1230,3,0,22.0,243.0,255.0,0.3123262,3.7275374,0.34920636,2.1396742,41.032837,2
6bba_268e1230,4,0,34.0,255.0,207.0,0.30700544,1.2766129,0.53968257,2.125597,40.22827,0
6bba_268e1230,5,0,54.0,180.0,241.0,0.47185987,3.5313697,0.85714287,2.5401762,68.65625,0
6bba_268e1230,6,0,38.0,105.0,255.0,0.35758793,2.438386,0.6031746,2.1396742,41.032837,0
6bba_268e1230,7,0,41.0,225.0,244.0,0.4734764,2.5706742,0.6507937,2.5401762,68.65625,0
6bba_268e1230,8,0,51.0,145.0,255.0,0.44378632,5.928072,0.8095238,2.1396742,41.032837,1
6bba_268e1230,9,0,63.0,147.0,214.0,0.31087804,1.3352624,1.0,2.1396742,41.032837,0
6bba_268e1230,10,0,56.0,8.0,255.0,0.31674182,1.299259,0.8888889,2.13031,40.49646,0
6bba_268e1230,11,0,46.0,205.0,255.0,0.2981742,1.1841811,0.73015875,2.125597,40.22827,0
6bba_268e1230,12,0,57.0,123.0,233.0,0.31889936,1.1388513,0.9047619,2.5201738,67.04712,0
6bba_268e1230,13,0,63.0,196.0,236.0,0.24635692,1.0528839,1.0,2.1350024,40.76465,0
6bba_268e1230,14,0,54.0,247.0,228.0,0.34718448,1.4866499,0.85714287,2.5335438,68.11987,1
6bba_268e1230,15,0,5.0,223.0,242.0,0.30217615,1.0517186,0.07936508,2.5268764,67.583496,0
6bba_268e1230,16,0,51.0,255.0,226.0,0.50698864,3.3250225,0.8095238,2.1396742,41.032837,1
6bba_268e1230,17,0,58.0,255.0,207.0,0.37969837,1.3385417,0.9206349,2.1017118,38.88733,0
6bba_268e1230,18,0,6.0,240.0,238.0,0.34817362,1.2675833,0.0952381,2.4861133,64.365234,1
6bba_268e1230,19,0,35.0,255.0,239.0,0.21286151,2.734206,0.5555556,2.1396742,41.032837,0
6bba_268e1230,20,0,63.0,244.0,216.0,0.34829125,1.102948,1.0,2.120863,39.960083,0
6bba_268e1230,21,0,0.0,244.0,231.0,0.29031274,0.7121969,0.0,2.125597,40.22827,1
6bba_268e1230,22,0,14.0,255.0,255.0,0.2082653,1.0084401,0.22222222,1.7309273,21.723267,2
6bba_268e1230,23,0,28.0,231.0,255.0,0.18048458,1.2930274,0.44444445,2.13031,40.49646,1
6bba_268e1230,24,0,63.0,150.0,241.0,0.38630566,2.699447,1.0,2.1396742,41.032837,0
6bba_268e1230,25,0,63.0,46.0,255.0,0.1348507,3.5288377,1.0,1.7861332,23.868774,0
6bba_268e1230,26,0,0.0,255.0,255.0,0.1829747,2.1142015,0.0,1.4538878,12.873047,1
6bba_268e1230,27,0,58.0,158.0,255.0,0.23181055,0.4794426,0.9206349,1.9510565,31.109863,1
6bba_268e1230,28,0,23.0,211.0,255.0,0.12779449,3.3810847,0.36507937,2.13031,40.49646,0
6bba_268e1230,29,0,37.0,49.0,255.0,0.11005442,2.9829428,0.5873016,2.1396742,41.032837,0
6bba_268e1230,30,0,0.0,152.0,255.0,0.08348004,2.8902335,0.0,1.7658345,23.064209,0
6bba_268e1230,31,0,6.0,130.0,255.0,0.08749788,3.0780635,0.0952381,2.1350024,40.76465,0
