dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_5b28472a,0,0,19.0,0.0,32.0,1.4901168,3.9713025,0.3015873,2.1350024,40.76465,0
6bba_5b28472a,1,0,22.0,185.0,119.0,1.7856348,4.3067904,0.34920636,2.5401762,68.65625,0
6bba_5b28472a,2,0,40.0,79.0,93.0,1.7528677,4.6903224,0.63492066,2.5401762,68.65625,0
6bba_5b28472a,3,0,27.0,47.0,58.0,1.5309294,5.4837313,0.42857143,2.5434792,68.92444,0
6bba_5b28472a,4,0,49.0,94.0,119.0,1.4383265,3.7198937,0.7777778,2.5168092,66.77893,0
6bba_5b28472a,5,0,25.0,77.0,65.0,1.5647485,5.0017104,0.3968254,2.5401762,68.65625,1
6bba_5b28472a,6,0,63.0,78.0,150.0,1.0877086,3.7536895,1.0,2.0317688,35.13269,0
6bba_5b28472a,7,0,26.0,209.0,141.0,1.8314439,4.476995,0.41269842,2.5434792,68.92444,0
6bba_5b28472a,8,0,36.0,208.0,160.0,1.6170721,4.27526,0.5714286,2.5434792,68.92444,0
6bba_5b28472a,9,0,25.0,91.0,120.0,1.1876268,2.2776914,0.3968254,2.5434792,68.92444,0
6bba_5b28472a,10,0,47.0,22.0,84.0,1.3889972,5.7710543,0.74603176,2.5434792,68.92444,0
6bba_5b28472a,11,0,11.0,127.0,69.0,1.682721,5.1795363,0.17460318,2.5434792,68.92444,0
6bba_5b28472a,12,0,8.0,36.0,27.0,1.7821416,3.6329052,0.12698413,2.5434792,68.92444,1
6bba_5b28472a,13,0,38.0,148.0,184.0,1.0916454,2.1891623,0.6031746,2.5434792,68.92444,0
6bba_5b28472a,14,0,53.0,34.0,103.0,1.4701833,4.5100136,0.84126985,2.5401762,68.65625,0
6bba_5b28472a,15,0,0.0,122.0,52.0,1.4804318,4.36487,0.0,2.1396742,41.032837,0
6bba_5b28472a,16,0,34.0,125.0,105.0,1.2622851,4.0259156,0.53968257,2.5434792,68.92444,0
6bba_5b28472a,17,0,29.0,157.0,113.0,1.4497299,4.514311,0.46031746,2.5434792,68.92444,0
6bba_5b28472a,18,0,13.0,240.0,197.0,1.1530256,2.2621613,0.20634921,2.5434792,68.92444,0
6bba_5b28472a,19,0,7.0,248.0,143.0,1.6438777,4.661025,0.11111111,2.5401762,68.65625,1
6bba_5b28472a,20,0,63.0,239.0,255.0,0.9674901,2.575796,1.0,1.7794183,23.600586,0
6bba_5b28472a,21,0,12.0,57.0,40.0,1.9099731,5.3572097,0.1904762,2.5434792,68.92444,0
6bba_5b28472a,22,0,63.0,159.0,196.0,0.83654463,5.1239443,1.0,2.0317688,35.13269,0
6bba_5b28472a,23,0,21.0,146.0,94.0,1.4471135,4.235868,0.33333334,2.5335438,68.11987,1
6bba_5b28472a,24,0,53.0,184.0,185.0,1.175684,5.925945,0.84126985,2.5368643,68.38806,0
6bba_5b28472a,25,0,63.0,40.0,147.0,0.91911054,4.5375733,1.0,2.1396742,41.032837,0
6bba_5b28472a,26,0,59.0,205.0,218.0,1.6984606,2.9100306,0.93650794,2.499849,65.43799,0
6bba_5b28472a,27,0,50.0,243.0,223.0,1.1275752,3.714661,0.7936508,2.5134354,66.51074,0
6bba_5b28472a,28,0,8.0,165.0,86.0,1.0546905,4.341018,0.12698413,2.5401762,68.65625,0
6bba_5b28472a,29,0,49.0,163.0,159.0,0.94494534,4.367234,0.7777778,2.5401762,68.65625,0
6bba_5b28472a,30,0,18.0,255.0,165.0,0.8528222,8.373511,0.2857143,2.1350024,40.76465,1
6bba_5b28472a,31,0,7.0,240.0,137.0,1.1481365,2.4514408,0.11111111,2.475711,63.56067,1
6bba_5b28472a,32,0,25.0,243.0,231.0,1.1632892,2.1122057,0.3968254,2.5401762,68.65625,0
6bba_5b28472a,33,0,31.0,246.0,181.0,1.3388923,4.5053344,0.4920635,2.5434792,68.92444,1
6bba_5b28472a,34,0,20.0,174.0,161.0,0.92983973,2.3826754,0.31746033,2.5434792,68.92444,1
6bba_5b28472a,35,0,20.0,164.0,156.0,0.91981196,2.2693596,0.31746033,2.5434792,68.92444,1
6bba_5b28472a,36,0,17.0,40.0,82.0,0.9399213,2.1757734,0.26984128,2.5434792,68.92444,0
6bba_5b28472a,37,0,60.0,29.0,116.0,0.9175896,3.2975445,0.95238096,2.4895616,64.63342,0
6bba_5b28472a,38,0,35.0,16.0,59.0,1.0004385,3.6916928,0.5555556,2.5401762,68.65625,0
6bba_5b28472a,39,0,24.0,119.0,80.0,0.99650675,3.7251282,0.3809524,2.5434792,68.92444,0
6bba_5b28472a,40,0,48.0,131.0,138.0,1.0285591,3.1693616,0.7619048,2.5335438,68.11987,0
6bba_5b28472a,41,0,43.0,227.0,191.0,0.87146044,4.4920263,0.6825397,2.5401762,68.65625,0
6bba_5b28472a,42,0,63.0,141.0,255.0,0.70040184,5.68604,1.0,1.7927979,24.136963,0
6bba_5b28472a,43,0,42.0,0.0,109.0,0.7699505,6.5344996,0.6666667,2.1396742,41.032837,0
