dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_61dd1e0d,0,0,63.0,143.0,155.0,0.26017702,6.238612,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,1,0,52.0,171.0,183.0,0.26570547,4.5979977,0.82539684,2.5434792,68.92444,0
6bba_61dd1e0d,2,0,23.0,255.0,210.0,0.26532412,5.0991626,0.36507937,2.1396742,41.032837,0
6bba_61dd1e0d,3,0,45.0,205.0,181.0,0.24810302,4.5009856,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,4,0,31.0,185.0,255.0,0.2795227,5.486725,0.4920635,2.1396742,41.032837,0
6bba_61dd1e0d,5,0,32.0,215.0,220.0,0.26342976,3.917092,0.50793654,2.5434792,68.92444,0
6bba_61dd1e0d,6,0,44.0,168.0,221.0,0.25038996,2.9476788,0.6984127,2.5434792,68.92444,0
6bba_61dd1e0d,7,0,61.0,205.0,98.0,0.21770202,2.7032762,0.96825397,2.4687274,63.024292,0
6bba_61dd1e0d,8,0,58.0,179.0,144.0,0.21630138,3.9707367,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,9,0,52.0,255.0,86.0,0.22837889,2.311113,0.82539684,2.1350024,40.76465,0
6bba_61dd1e0d,10,0,61.0,31.0,172.0,0.22349474,5.452121,0.96825397,2.4687274,63.024292,0
6bba_61dd1e0d,11,0,12.0,242.0,255.0,0.34752038,2.7281494,0.1904762,2.1396742,41.032837,0
6bba_61dd1e0d,12,0,5.0,136.0,255.0,0.29195625,3.4193478,0.07936508,2.1396742,41.032837,0
6bba_61dd1e0d,13,0,35.0,245.0,174.0,0.32547846,3.7938821,0.5555556,2.5434792,68.92444,0
6bba_61dd1e0d,14,0,57.0,114.0,208.0,0.22136036,2.3169074,0.9047619,2.5434792,68.92444,0
6bba_61dd1e0d,15,0,47.0,14.0,218.0,0.27970988,7.176266,0.74603176,2.5434792,68.92444,0
6bba_61dd1e0d,16,0,45.0,244.0,134.0,0.26107916,3.790667,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,17,0,25.0,255.0,115.0,0.2904178,2.0569873,0.3968254,2.1396742,41.032837,0
6bba_61dd1e0d,18,0,28.0,109.0,213.0,0.35447064,2.3728912,0.44444445,2.5434792,68.92444,0
6bba_61dd1e0d,19,0,63.0,219.0,68.0,0.22435497,3.2593763,1.0,2.1396742,41.032837,1
6bba_61dd1e0d,20,0,33.0,255.0,92.0,0.2997241,1.9640626,0.52380955,2.1350024,40.76465,0
6bba_61dd1e0d,21,0,48.0,229.0,53.0,0.21363238,1.3651506,0.7619048,2.5434792,68.92444,1
6bba_61dd1e0d,22,0,28.0,92.0,221.0,0.27413583,1.5462364,0.44444445,2.5434792,68.92444,0
6bba_61dd1e0d,23,0,51.0,221.0,48.0,0.24899645,1.9235187,0.8095238,2.5434792,68.92444,1
6bba_61dd1e0d,24,0,59.0,255.0,43.0,0.1882781,5.072534,0.93650794,2.1396742,41.032837,0
6bba_61dd1e0d,25,0,31.0,14.0,232.0,0.2345444,8.149411,0.4920635,2.5434792,68.92444,0
6bba_61dd1e0d,26,0,57.0,11.0,190.0,0.2070057,4.4555464,0.9047619,2.5401762,68.65625,0
6bba_61dd1e0d,27,0,49.0,217.0,64.0,0.22717413,1.6896155,0.7777778,2.5434792,68.92444,1
6bba_61dd1e0d,28,0,49.0,116.0,247.0,0.25805992,4.533979,0.7777778,2.5434792,68.92444,0
6bba_61dd1e0d,29,0,63.0,125.0,65.0,0.11102128,2.711612,1.0,2.0471616,35.937256,0
6bba_61dd1e0d,30,0,61.0,45.0,240.0,0.31605938,3.1573963,0.96825397,2.4687274,63.024292,1
6bba_61dd1e0d,31,0,57.0,49.0,242.0,0.23632935,1.7256602,0.9047619,2.429591,60.07422,1
6bba_61dd1e0d,32,0,63.0,12.0,234.0,0.2109335,2.6248481,1.0,2.0317688,35.13269,0
6bba_61dd1e0d,33,0,21.0,0.0,255.0,0.16098605,1.8518685,0.33333334,1.7994134,24.405151,1
6bba_61dd1e0d,34,0,63.0,184.0,118.0,0.10588046,2.4170141,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,35,0,59.0,82.0,231.0,0.13700423,2.2738218,0.93650794,2.5434792,68.92444,0
6bba_61dd1e0d,36,0,55.0,32.0,255.0,0.2634742,1.9214787,0.8730159,2.0968692,38.61914,1
6bba_61dd1e0d,37,0,28.0,8.0,255.0,0.16776207,2.8134365,0.44444445,2.1350024,40.76465,2
6bba_61dd1e0d,38,0,63.0,123.0,156.0,0.062086094,2.6604493,1.0,1.9841315,32.718994,0
6bba_61dd1e0d,39,0,45.0,149.0,241.0,0.113477506,2.1029541,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,40,0,63.0,22.0,255.0,0.27020735,1.701978,1.0,1.7994134,24.405151,1
6bba_61dd1e0d,41,0,51.0,93.0,255.0,0.13356343,2.6219115,0.8095238,2.1396742,41.032837,1
6bba_61dd1e0d,42,0,47.0,92.0,255.0,0.11652389,1.8442161,0.74603176,2.13031,40.49646,1
6bba_61dd1e0d,43,0,57.0,0.0,255.0,0.1710576,1.4616257,0.9047619,1.7794183,23.600586,0
6bba_61dd1e0d,44,0,63.0,65.0,199.0,0.056523703,2.4881306,1.0,1.9340899,30.305298,0
6bba_61dd1e0d,45,0,49.0,245.0,116.0,0.1011719,1.5426279,0.7777778,2.5368643,68.38806,0
6bba_61dd1e0d,46,0,39.0,0.0,255.0,0.13251172,1.1099625,0.61904764,1.7994134,24.405151,1
6bba_61dd1e0d,47,0,41.0,211.0,198.0,0.08118513,1.4330379,0.6507937,2.5401762,68.65625,0
6bba_61dd1e0d,48,0,36.0,140.0,255.0,0.06515673,0.87738687,0.5714286,2.0317688,35.13269,1
6bba_61dd1e0d,49,0,43.0,139.0,255.0,0.076693654,0.84686685,0.6825397,1.9510565,31.109863,1
6bba_61dd1e0d,50,0,47.0,58.0,255.0,0.10078371,1.3500693,0.74603176,2.13031,40.49646,0
6bba_61dd1e0d,51,0,63.0,153.0,122.0,0.025087386,2.2983758,1.0,1.8932986,28.427979,0
6bba_61dd1e0d,52,1,32.0,255.0,171.0,0.34573337,3.855837,0.50793654,2.1396742,41.032837,0
6bba_61dd1e0d,53,1,50.0,172.0,180.0,0.2647203,4.461413,0.7936508,2.5434792,68.92444,0
6bba_61dd1e0d,54,1,43.0,211.0,173.0,0.24394311,4.3024044,0.6825397,2.5434792,68.92444,0
6bba_61dd1e0d,55,1,30.0,219.0,218.0,0.28039727,4.028199,0.47619048,2.5434792,68.92444,0
6bba_61dd1e0d,56,1,29.0,188.0,255.0,0.27956986,3.6115146,0.46031746,2.1396742,41.032837,0
6bba_61dd1e0d,57,1,42.0,172.0,219.0,0.24458928,3.0399802,0.6666667,2.5434792,68.92444,0
6bba_61dd1e0d,58,1,55.0,116.0,206.0,0.24948719,2.685894,0.8730159,2.5434792,68.92444,0
6bba_61dd1e0d,59,1,63.0,144.0,153.0,0.27169505,4.2683854,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,60,1,56.0,183.0,138.0,0.20660113,3.510081,0.8888889,2.5434792,68.92444,0
6bba_61dd1e0d,61,1,50.0,255.0,84.0,0.2352029,4.29051,0.7936508,2.1396742,41.032837,0
6bba_61dd1e0d,62,1,58.0,210.0,94.0,0.21895917,2.5690129,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,63,1,58.0,37.0,170.0,0.22717789,4.9397354,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,64,1,25.0,255.0,102.0,0.3089643,2.1949573,0.3968254,2.1396742,41.032837,0
6bba_61dd1e0d,65,1,22.0,255.0,211.0,0.21146834,7.7386966,0.34920636,2.1396742,41.032837,0
6bba_61dd1e0d,66,1,32.0,255.0,86.0,0.3098075,2.357298,0.50793654,2.1396742,41.032837,0
6bba_61dd1e0d,67,1,45.0,16.0,220.0,0.28630286,6.088285,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,68,1,27.0,119.0,204.0,0.3296066,1.9654882,0.42857143,2.5434792,68.92444,0
6bba_61dd1e0d,69,1,55.0,14.0,192.0,0.24237351,5.9451165,0.8730159,2.5434792,68.92444,0
6bba_61dd1e0d,70,1,43.0,247.0,131.0,0.2375618,3.6524887,0.6825397,2.5434792,68.92444,0
6bba_61dd1e0d,71,1,47.0,233.0,43.0,0.2781478,1.8119029,0.74603176,2.5434792,68.92444,0
6bba_61dd1e0d,72,1,27.0,102.0,216.0,0.33951285,1.9920522,0.42857143,2.5434792,68.92444,1
6bba_61dd1e0d,73,1,24.0,107.0,214.0,0.36017206,1.8544173,0.3809524,2.5335438,68.11987,1
6bba_61dd1e0d,74,1,63.0,128.0,148.0,0.15559275,3.3908556,1.0,2.0822053,37.814575,0
6bba_61dd1e0d,75,1,63.0,68.0,197.0,0.16616069,3.8423574,1.0,2.1350024,40.76465,0
6bba_61dd1e0d,76,1,4.0,140.0,255.0,0.2938534,2.389421,0.06349207,2.1350024,40.76465,0
6bba_61dd1e0d,77,1,63.0,127.0,59.0,0.14340457,2.1618779,1.0,2.1161075,39.691895,0
6bba_61dd1e0d,78,1,27.0,23.0,230.0,0.20189242,7.543883,0.42857143,2.5434792,68.92444,0
6bba_61dd1e0d,79,1,60.0,228.0,62.0,0.22469202,3.637302,0.95238096,2.5401762,68.65625,0
6bba_61dd1e0d,80,1,44.0,119.0,245.0,0.26416212,4.044796,0.6984127,2.5434792,68.92444,0
6bba_61dd1e0d,81,1,9.0,248.0,255.0,0.3789913,2.171396,0.14285715,2.1396742,41.032837,0
6bba_61dd1e0d,82,1,63.0,225.0,27.0,0.14972202,2.049918,1.0,1.9622055,31.64624,0
6bba_61dd1e0d,83,1,43.0,94.0,255.0,0.21539788,4.100829,0.6825397,2.1396742,41.032837,0
6bba_61dd1e0d,84,1,56.0,51.0,241.0,0.30800524,3.0518332,0.8888889,2.5401762,68.65625,0
6bba_61dd1e0d,85,1,63.0,15.0,230.0,0.2999978,2.0325375,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,86,1,17.0,11.0,255.0,0.17885537,2.9293354,0.26984128,2.1396742,41.032837,1
6bba_61dd1e0d,87,1,56.0,87.0,230.0,0.14771967,2.1512346,0.8888889,2.5434792,68.92444,0
6bba_61dd1e0d,88,1,43.0,0.0,255.0,0.21096823,1.0529419,0.6825397,1.7794183,23.600586,1
6bba_61dd1e0d,89,1,40.0,140.0,255.0,0.11362944,2.9741569,0.63492066,2.0723133,37.2782,1
6bba_61dd1e0d,90,1,63.0,154.0,115.0,0.06493021,3.5277915,1.0,1.9732294,32.182617,0
6bba_61dd1e0d,91,1,53.0,35.0,255.0,0.35710356,1.8607019,0.84126985,2.0623262,36.74182,0
6bba_61dd1e0d,92,1,63.0,189.0,112.0,0.11014979,1.7201881,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,93,1,51.0,0.0,255.0,0.27230728,2.3672647,0.8095238,1.7589635,22.79602,1
6bba_61dd1e0d,94,1,26.0,17.0,255.0,0.16559123,1.9895434,0.41269842,2.1350024,40.76465,1
6bba_61dd1e0d,95,1,43.0,153.0,238.0,0.11533178,2.280055,0.6825397,2.5434792,68.92444,0
6bba_61dd1e0d,96,1,33.0,140.0,255.0,0.09463928,1.7692516,0.52380955,2.1350024,40.76465,1
6bba_61dd1e0d,97,1,21.0,223.0,255.0,0.07569003,2.6684227,0.33333334,2.1396742,41.032837,0
6bba_61dd1e0d,98,1,39.0,214.0,194.0,0.08127316,2.024746,0.61904764,2.5401762,68.65625,0
6bba_61dd1e0d,99,1,44.0,67.0,255.0,0.11877653,1.8064034,0.6984127,2.1396742,41.032837,2
6bba_61dd1e0d,100,1,48.0,255.0,108.0,0.092591144,1.6350199,0.7619048,2.120863,39.960083,0
6bba_61dd1e0d,101,1,31.0,67.0,255.0,0.0959764,1.6092603,0.4920635,2.125597,40.22827,1
6bba_61dd1e0d,102,1,60.0,255.0,38.0,0.06049943,1.9211763,0.95238096,2.021376,34.596313,1
6bba_61dd1e0d,103,1,59.0,255.0,40.0,0.062400706,2.2087271,0.93650794,2.0420563,35.669067,1
6bba_61dd1e0d,104,1,38.0,50.0,255.0,0.10933493,1.157438,0.6031746,2.125597,40.22827,0
6bba_61dd1e0d,105,1,53.0,73.0,255.0,0.115325205,1.1352899,0.84126985,2.1161075,39.691895,1
6bba_61dd1e0d,106,2,32.0,255.0,172.0,0.32553825,5.8918896,0.50793654,2.1396742,41.032837,0
6bba_61dd1e0d,107,2,43.0,212.0,171.0,0.23273508,4.0251217,0.6825397,2.5434792,68.92444,0
6bba_61dd1e0d,108,2,50.0,173.0,180.0,0.2541266,3.9634404,0.7936508,2.5434792,68.92444,0
6bba_61dd1e0d,109,2,29.0,222.0,217.0,0.2709368,3.755934,0.46031746,2.5434792,68.92444,0
6bba_61dd1e0d,110,2,28.0,192.0,255.0,0.28193262,2.978816,0.44444445,2.1396742,41.032837,0
6bba_61dd1e0d,111,2,55.0,117.0,204.0,0.24490206,2.5776725,0.8730159,2.5434792,68.92444,0
6bba_61dd1e0d,112,2,41.0,176.0,217.0,0.24074215,2.9149628,0.6507937,2.5434792,68.92444,0
6bba_61dd1e0d,113,2,58.0,214.0,91.0,0.22211891,2.7238352,0.9206349,2.5434792,68.92444,0
6bba_61dd1e0d,114,2,57.0,37.0,173.0,0.23035449,4.675718,0.9047619,2.5434792,68.92444,0
6bba_61dd1e0d,115,2,57.0,184.0,135.0,0.20688955,3.6470208,0.9047619,2.5434792,68.92444,0
6bba_61dd1e0d,116,2,62.0,147.0,153.0,0.25265113,4.280987,0.984127,2.3316977,53.10132,0
6bba_61dd1e0d,117,2,32.0,255.0,85.0,0.3135703,2.6820297,0.50793654,2.1396742,41.032837,1
6bba_61dd1e0d,118,2,42.0,255.0,128.0,0.22471364,2.300039,0.6666667,2.1396742,41.032837,0
6bba_61dd1e0d,119,2,26.0,255.0,98.0,0.33312047,2.638772,0.41269842,2.1396742,41.032837,1
6bba_61dd1e0d,120,2,63.0,73.0,193.0,0.18436743,3.8467689,1.0,2.1350024,40.76465,0
6bba_61dd1e0d,121,2,63.0,229.0,26.0,0.22326326,3.4195683,1.0,2.125597,40.22827,0
6bba_61dd1e0d,122,2,63.0,131.0,145.0,0.16185674,3.9573228,1.0,2.1065323,39.155518,0
6bba_61dd1e0d,123,2,27.0,123.0,203.0,0.34333754,1.9909759,0.42857143,2.5434792,68.92444,0
6bba_61dd1e0d,124,2,47.0,232.0,42.0,0.2551792,1.7577631,0.74603176,2.5401762,68.65625,0
6bba_61dd1e0d,125,2,63.0,126.0,59.0,0.14887573,2.1493278,1.0,2.1113307,39.423706,0
6bba_61dd1e0d,126,2,27.0,106.0,214.0,0.33178672,1.8479719,0.42857143,2.5434792,68.92444,0
6bba_61dd1e0d,127,2,55.0,15.0,194.0,0.2009765,3.9616027,0.8730159,2.5434792,68.92444,0
6bba_61dd1e0d,128,2,27.0,23.0,230.0,0.22175556,7.3928623,0.42857143,2.5434792,68.92444,0
6bba_61dd1e0d,129,2,4.0,143.0,255.0,0.24602564,1.9962461,0.06349207,2.1350024,40.76465,0
6bba_61dd1e0d,130,2,45.0,12.0,228.0,0.2517741,5.3220134,0.71428573,2.5434792,68.92444,0
6bba_61dd1e0d,131,2,8.0,255.0,251.0,0.3422474,1.5182711,0.12698413,2.125597,40.22827,0
6bba_61dd1e0d,132,2,60.0,233.0,59.0,0.22391544,4.0320597,0.95238096,2.5401762,68.65625,0
6bba_61dd1e0d,133,2,44.0,120.0,243.0,0.2703955,4.2581673,0.6984127,2.5434792,68.92444,0
6bba_61dd1e0d,134,2,51.0,255.0,83.0,0.16198888,3.9234009,0.8095238,2.1350024,40.76465,0
6bba_61dd1e0d,135,2,43.0,96.0,255.0,0.33282158,5.756517,0.6825397,2.1396742,41.032837,0
6bba_61dd1e0d,136,2,23.0,255.0,209.0,0.14537722,5.8388886,0.36507937,2.1396742,41.032837,0
6bba_61dd1e0d,137,2,56.0,56.0,239.0,0.30081105,3.2842019,0.8888889,2.5434792,68.92444,0
6bba_61dd1e0d,138,2,39.0,144.0,255.0,0.15982118,5.463219,0.61904764,2.125597,40.22827,0
6bba_61dd1e0d,139,2,63.0,157.0,114.0,0.08423811,4.047158,1.0,2.0317688,35.13269,0
6bba_61dd1e0d,140,2,17.0,16.0,255.0,0.1903986,2.982129,0.26984128,2.1396742,41.032837,1
6bba_61dd1e0d,141,2,63.0,13.0,231.0,0.28728738,1.8606913,1.0,2.1396742,41.032837,0
6bba_61dd1e0d,142,2,42.0,0.0,255.0,0.24206622,1.0496,0.6666667,1.7927979,24.136963,0
