dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_ab78413d,0,0,9.0,28.0,201.0,1.291955,2.3503222,0.14285715,2.5434792,68.92444,1
6bba_ab78413d,1,0,0.0,24.0,208.0,1.3379092,1.8270998,0.0,2.1396742,41.032837,1
6bba_ab78413d,2,0,27.0,88.0,184.0,0.688239,3.4587505,0.42857143,2.5434792,68.92444,2
6bba_ab78413d,3,0,0.0,91.0,216.0,0.5676176,4.322638,0.0,2.1396742,41.032837,0
6bba_ab78413d,4,0,10.0,144.0,206.0,0.6212908,2.5388153,0.15873016,2.5434792,68.92444,0
6bba_ab78413d,5,0,12.0,82.0,198.0,0.54076535,2.7137291,0.1904762,2.5434792,68.92444,0
6bba_ab78413d,6,0,54.0,39.0,141.0,0.6130691,2.5754666,0.85714287,2.5434792,68.92444,0
6bba_ab78413d,7,0,36.0,217.0,240.0,0.8891011,1.4515446,0.5714286,2.5434792,68.92444,0
6bba_ab78413d,8,0,17.0,241.0,207.0,0.9113771,3.515407,0.26984128,2.5401762,68.65625,2
6bba_ab78413d,9,0,0.0,106.0,217.0,0.55256903,2.8848789,0.0,2.1396742,41.032837,0
6bba_ab78413d,10,0,0.0,209.0,213.0,0.7799928,2.0426776,0.0,2.1396742,41.032837,0
6bba_ab78413d,11,0,4.0,247.0,199.0,0.8689402,2.4255154,0.06349207,2.5268764,67.583496,0
6bba_ab78413d,12,0,28.0,0.0,179.0,0.5069002,2.6318944,0.44444445,2.1396742,41.032837,2
6bba_ab78413d,13,0,16.0,10.0,188.0,0.5970752,2.0123546,0.25396827,2.5434792,68.92444,1
6bba_ab78413d,14,0,54.0,255.0,241.0,0.9954738,2.0032754,0.85714287,2.1396742,41.032837,0
6bba_ab78413d,15,0,27.0,57.0,186.0,0.47294593,3.18468,0.42857143,2.5434792,68.92444,0
6bba_ab78413d,16,0,0.0,182.0,213.0,0.6022276,3.3110938,0.0,2.1396742,41.032837,1
6bba_ab78413d,17,0,63.0,107.0,164.0,0.7432604,1.8515923,1.0,2.1396742,41.032837,0
6bba_ab78413d,18,0,20.0,0.0,190.0,0.52116734,1.6408205,0.31746033,2.1396742,41.032837,2
6bba_ab78413d,19,0,44.0,82.0,167.0,0.5646754,3.0048916,0.6984127,2.5434792,68.92444,1
6bba_ab78413d,20,0,63.0,118.0,183.0,0.9066128,1.5619396,1.0,2.1396742,41.032837,0
