dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_b1ae37b9,0,0,0.0,7.0,199.0,1.0758361,4.2612705,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,1,0,0.0,8.0,161.0,1.1234809,4.918122,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,2,0,0.0,155.0,46.0,1.3313988,4.1009502,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,3,0,0.0,10.0,184.0,0.9766306,3.9158432,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,4,0,0.0,173.0,96.0,1.3403978,3.49909,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,5,0,0.0,179.0,124.0,1.1811672,2.4270704,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,6,0,0.0,55.0,244.0,1.1698257,3.2885115,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,7,0,0.0,6.0,34.0,0.82084185,2.3528452,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,8,0,0.0,18.0,247.0,1.0507343,2.3582296,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,9,0,0.0,11.0,114.0,0.9140619,3.0375557,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,10,0,4.0,32.0,167.0,0.9742915,2.538199,0.06349207,2.5434792,68.92444,0
6bba_b1ae37b9,11,0,28.0,228.0,188.0,1.0753554,2.0009303,0.44444445,2.5434792,68.92444,0
6bba_b1ae37b9,12,0,0.0,168.0,84.0,1.1959397,2.3906868,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,13,0,0.0,105.0,17.0,1.0594074,4.092757,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,14,0,10.0,197.0,12.0,1.1318835,2.8885968,0.15873016,2.5401762,68.65625,3
6bba_b1ae37b9,15,0,0.0,185.0,153.0,1.2827041,3.8212006,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,16,0,0.0,135.0,115.0,1.1968341,5.2941675,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,17,0,20.0,218.0,51.0,0.9282819,1.9019067,0.31746033,2.475711,63.56067,1
6bba_b1ae37b9,18,0,4.0,118.0,35.0,0.9504855,4.0174456,0.06349207,2.5434792,68.92444,1
6bba_b1ae37b9,19,0,0.0,12.0,9.0,0.8534909,3.804975,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,20,0,0.0,110.0,143.0,1.0768331,3.6156406,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,21,0,20.0,227.0,221.0,1.2588884,2.6346881,0.31746033,2.5401762,68.65625,2
6bba_b1ae37b9,22,0,2.0,107.0,240.0,1.275555,3.992057,0.031746034,2.4687274,63.024292,2
6bba_b1ae37b9,23,0,5.0,31.0,196.0,0.8808145,2.116191,0.07936508,2.5235295,67.31531,1
6bba_b1ae37b9,24,0,0.0,138.0,226.0,1.078952,4.8952737,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,25,0,0.0,7.0,234.0,0.9067156,2.3158014,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,26,0,19.0,209.0,141.0,1.1635789,2.5864758,0.3015873,2.5434792,68.92444,3
6bba_b1ae37b9,27,0,1.0,228.0,14.0,1.0512484,5.5249066,0.015873017,2.3316977,53.10132,1
6bba_b1ae37b9,28,0,25.0,178.0,200.0,0.7621753,2.5373933,0.3968254,2.5401762,68.65625,2
6bba_b1ae37b9,29,0,6.0,128.0,255.0,1.0696194,2.2934227,0.0952381,2.1350024,40.76465,2
6bba_b1ae37b9,30,0,0.0,87.0,255.0,1.05725,3.846249,0.0,1.7994134,24.405151,0
6bba_b1ae37b9,31,0,0.0,112.0,183.0,1.4280646,5.232298,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,32,0,0.0,162.0,68.0,1.1085039,2.9665802,0.0,2.1350024,40.76465,1
6bba_b1ae37b9,33,0,0.0,159.0,232.0,1.2233536,5.769384,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,34,0,0.0,234.0,71.0,1.1348681,4.1433086,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,35,0,0.0,43.0,89.0,0.87984353,2.4648938,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,36,0,5.0,127.0,79.0,0.9418627,3.0145493,0.07936508,2.5434792,68.92444,1
6bba_b1ae37b9,37,0,0.0,147.0,13.0,1.064483,2.7278445,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,38,0,6.0,124.0,102.0,0.99658984,2.459352,0.0952381,2.5434792,68.92444,2
6bba_b1ae37b9,39,0,6.0,136.0,10.0,0.8719028,1.5415708,0.0952381,2.4652207,62.756104,6
6bba_b1ae37b9,40,0,20.0,207.0,180.0,0.9617555,2.5796657,0.31746033,2.5434792,68.92444,0
6bba_b1ae37b9,41,0,14.0,171.0,1.0,0.85027945,3.0119095,0.22222222,2.3277657,52.83313,1
6bba_b1ae37b9,42,0,25.0,255.0,87.0,0.9278788,3.9097788,0.3968254,2.1396742,41.032837,2
6bba_b1ae37b9,43,0,10.0,196.0,28.0,0.9658175,1.7123312,0.15873016,2.4826555,64.097046,4
6bba_b1ae37b9,44,0,14.0,171.0,26.0,0.7703017,2.9237802,0.22222222,2.5368643,68.38806,1
6bba_b1ae37b9,45,0,4.0,28.0,232.0,0.87839305,1.6490836,0.06349207,2.5401762,68.65625,0
6bba_b1ae37b9,46,0,0.0,113.0,205.0,1.2653769,3.5158722,0.0,2.1396742,41.032837,2
6bba_b1ae37b9,47,0,0.0,0.0,98.0,0.69684553,3.0482707,0.0,1.7994134,24.405151,0
6bba_b1ae37b9,48,0,21.0,255.0,27.0,0.9722561,5.8676767,0.33333334,2.1396742,41.032837,2
6bba_b1ae37b9,49,0,0.0,255.0,33.0,0.9809678,4.0152855,0.0,1.7994134,24.405151,3
6bba_b1ae37b9,50,0,23.0,222.0,142.0,1.0426762,1.421175,0.36507937,2.5401762,68.65625,5
6bba_b1ae37b9,51,0,0.0,47.0,185.0,0.99435943,2.9218185,0.0,2.1396742,41.032837,1
6bba_b1ae37b9,52,0,16.0,153.0,213.0,0.7928348,1.6241678,0.25396827,2.5066607,65.974365,2
6bba_b1ae37b9,53,0,0.0,152.0,198.0,1.1137123,4.6059318,0.0,2.1396742,41.032837,0
6bba_b1ae37b9,54,0,15.0,158.0,236.0,0.817733,1.6328574,0.23809524,2.5100527,66.24255,1
