dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_df673a83,0,0,42.0,86.0,145.0,1.485106,4.833238,0.6666667,2.5434792,68.92444,0
6bba_df673a83,1,0,41.0,87.0,0.0,1.3650463,3.756564,0.6507937,2.1396742,41.032837,0
6bba_df673a83,2,0,55.0,64.0,47.0,1.4385383,3.6246383,0.8730159,2.5434792,68.92444,0
6bba_df673a83,3,0,36.0,58.0,101.0,1.2775164,3.8887446,0.5714286,2.5434792,68.92444,0
6bba_df673a83,4,0,32.0,105.0,79.0,1.3216146,3.8819473,0.50793654,2.5434792,68.92444,1
6bba_df673a83,5,0,58.0,24.0,240.0,1.3592376,5.663213,0.9206349,2.5434792,68.92444,0
6bba_df673a83,6,0,56.0,60.0,98.0,1.5834696,4.083043,0.8888889,2.5434792,68.92444,0
6bba_df673a83,7,0,25.0,121.0,100.0,1.4584924,4.3282113,0.3968254,2.5434792,68.92444,0
6bba_df673a83,8,0,35.0,95.0,108.0,1.4905512,3.6309166,0.5555556,2.5434792,68.92444,1
6bba_df673a83,9,0,42.0,78.0,190.0,1.270211,2.2423334,0.6666667,2.5434792,68.92444,1
6bba_df673a83,10,0,24.0,127.0,16.0,1.3245623,2.528342,0.3809524,2.5434792,68.92444,2
6bba_df673a83,11,0,63.0,28.0,92.0,1.2291634,4.8843107,1.0,2.1396742,41.032837,1
6bba_df673a83,12,0,56.0,34.0,216.0,1.4519228,4.382285,0.8888889,2.5434792,68.92444,0
6bba_df673a83,13,0,31.0,105.0,133.0,1.2705667,4.965362,0.4920635,2.5434792,68.92444,0
6bba_df673a83,14,0,8.0,117.0,142.0,1.1335745,3.5934112,0.12698413,2.5434792,68.92444,0
6bba_df673a83,15,0,54.0,47.0,241.0,1.3120118,2.3205914,0.85714287,2.5434792,68.92444,1
6bba_df673a83,16,0,43.0,92.0,102.0,1.3423578,2.4270554,0.6825397,2.5434792,68.92444,1
6bba_df673a83,17,0,50.0,41.0,234.0,1.5965761,4.30125,0.7936508,2.5434792,68.92444,1
6bba_df673a83,18,0,63.0,30.0,129.0,1.1915874,4.775422,1.0,2.1396742,41.032837,0
6bba_df673a83,19,0,49.0,65.0,159.0,1.3078951,3.4805768,0.7777778,2.5434792,68.92444,0
6bba_df673a83,20,0,49.0,65.0,120.0,1.2967305,3.6270328,0.7777778,2.5434792,68.92444,0
6bba_df673a83,21,0,49.0,72.0,88.0,1.2392436,3.400567,0.7777778,2.5434792,68.92444,0
6bba_df673a83,22,0,50.0,80.0,54.0,1.2099974,3.6396787,0.7936508,2.5434792,68.92444,2
6bba_df673a83,23,0,63.0,0.0,177.0,1.0963935,4.870028,1.0,1.7994134,24.405151,0
6bba_df673a83,24,0,7.0,123.0,96.0,1.1766714,4.1546693,0.11111111,2.5434792,68.92444,0
6bba_df673a83,25,0,57.0,57.0,211.0,1.1431735,3.717801,0.9047619,2.5434792,68.92444,0
6bba_df673a83,26,0,19.0,143.0,29.0,1.2190036,3.749556,0.3015873,2.5434792,68.92444,1
6bba_df673a83,27,0,50.0,51.0,143.0,1.2935336,4.185096,0.7936508,2.5434792,68.92444,2
6bba_df673a83,28,0,59.0,40.0,183.0,1.2141142,3.1036303,0.93650794,2.5401762,68.65625,1
