dataset,source_id,target_id
6bba_6ca87370,0,82
6bba_6ca87370,1,65
6bba_6ca87370,2,69
6bba_6ca87370,3,64
6bba_6ca87370,4,79
6bba_6ca87370,5,68
6bba_6ca87370,6,66
6bba_6ca87370,7,72
6bba_6ca87370,8,67
6bba_6ca87370,9,73
6bba_6ca87370,10,74
6bba_6ca87370,11,76
6bba_6ca87370,12,70
6bba_6ca87370,13,77
6bba_6ca87370,14,84
6bba_6ca87370,15,85
6bba_6ca87370,16,81
6bba_6ca87370,17,83
6bba_6ca87370,18,78
6bba_6ca87370,19,80
6bba_6ca87370,20,75
6bba_6ca87370,22,89
6bba_6ca87370,23,86
6bba_6ca87370,24,94
6bba_6ca87370,25,93
6bba_6ca87370,26,71
6bba_6ca87370,27,91
6bba_6ca87370,28,88
6bba_6ca87370,29,99
6bba_6ca87370,30,92
6bba_6ca87370,31,96
6bba_6ca87370,33,102
6bba_6ca87370,34,101
6bba_6ca87370,35,100
6bba_6ca87370,36,103
6bba_6ca87370,37,106
6bba_6ca87370,38,105
6bba_6ca87370,39,113
6bba_6ca87370,41,98
6bba_6ca87370,42,112
6bba_6ca87370,43,117
6bba_6ca87370,44,115
6bba_6ca87370,45,111
6bba_6ca87370,49,107
6bba_6ca87370,50,122
6bba_6ca87370,51,114
6bba_6ca87370,54,108
6bba_6ca87370,55,119
6bba_6ca87370,56,127
6bba_6ca87370,57,123
6bba_6ca87370,58,125
6bba_6ca87370,59,124
6bba_6ca87370,60,126
6bba_6ca87370,61,128
6bba_6ca87370,62,132
6bba_6ca87370,63,130
6bba_6ca87370,64,134
6bba_6ca87370,65,133
6bba_6ca87370,66,139
6bba_6ca87370,67,143
6bba_6ca87370,68,137
6bba_6ca87370,69,135
6bba_6ca87370,70,140
6bba_6ca87370,71,136
6bba_6ca87370,72,142
6bba_6ca87370,73,145
6bba_6ca87370,74,138
6bba_6ca87370,75,144
6bba_6ca87370,76,147
6bba_6ca87370,77,146
6bba_6ca87370,78,148
6bba_6ca87370,79,149
6bba_6ca87370,80,158
6bba_6ca87370,82,141
6bba_6ca87370,83,152
6bba_6ca87370,84,163
6bba_6ca87370,85,156
6bba_6ca87370,86,162
6bba_6ca87370,87,164
6bba_6ca87370,88,151
6bba_6ca87370,89,161
6bba_6ca87370,91,175
6bba_6ca87370,92,159
6bba_6ca87370,93,150
6bba_6ca87370,94,167
6bba_6ca87370,95,174
6bba_6ca87370,96,160
6bba_6ca87370,98,157
6bba_6ca87370,99,166
6bba_6ca87370,100,181
6bba_6ca87370,101,154
6bba_6ca87370,102,165
6bba_6ca87370,103,169
6bba_6ca87370,104,168
6bba_6ca87370,105,180
6bba_6ca87370,106,173
6bba_6ca87370,107,178
6bba_6ca87370,108,185
6bba_6ca87370,109,179
6bba_6ca87370,110,172
6bba_6ca87370,112,182
6bba_6ca87370,113,176
6bba_6ca87370,114,183
6bba_6ca87370,115,190
6bba_6ca87370,117,186
6bba_6ca87370,118,171
6bba_6ca87370,119,188
6bba_6ca87370,120,184
6bba_6ca87370,123,194
6bba_6ca87370,124,195
6bba_6ca87370,125,193
6bba_6ca87370,126,192
6bba_6ca87370,131,197
6bba_6ca87370,132,196
6bba_6ca87370,133,212
6bba_6ca87370,134,198
6bba_6ca87370,135,204
6bba_6ca87370,136,222
6bba_6ca87370,137,202
6bba_6ca87370,138,208
6bba_6ca87370,139,199
6bba_6ca87370,140,201
