dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_18ced818,0,0,13.0,224.0,128.0,0.9701305,2.4947898,0.20634921,2.5401762,68.65625,0
44b6_18ced818,1,0,37.0,224.0,147.0,1.0135144,6.3371844,0.5873016,2.5434792,68.92444,3
44b6_18ced818,2,0,6.0,90.0,78.0,0.9738029,3.0688555,0.0952381,2.5401762,68.65625,1
44b6_18ced818,3,0,10.0,178.0,138.0,0.9458567,2.0110362,0.15873016,2.499849,65.43799,1
44b6_18ced818,4,0,13.0,213.0,215.0,0.8741353,1.8997167,0.20634921,2.5401762,68.65625,1
44b6_18ced818,5,0,12.0,78.0,29.0,1.0185364,3.7264156,0.1904762,2.5434792,68.92444,4
44b6_18ced818,6,0,9.0,149.0,128.0,0.9625328,2.450866,0.14285715,2.5434792,68.92444,1
44b6_18ced818,7,0,13.0,198.0,106.0,0.9698606,2.5783093,0.20634921,2.5434792,68.92444,2
44b6_18ced818,8,0,15.0,134.0,160.0,1.0350058,3.4181952,0.23809524,2.5401762,68.65625,3
44b6_18ced818,9,0,14.0,111.0,123.0,1.0831726,3.0953615,0.22222222,2.5434792,68.92444,3
44b6_18ced818,10,0,20.0,228.0,0.0,0.8476017,2.0825772,0.31746033,2.120863,39.960083,1
44b6_18ced818,11,0,9.0,165.0,53.0,0.81277007,2.5055048,0.14285715,2.5368643,68.38806,1
44b6_18ced818,12,0,21.0,152.0,52.0,0.94454485,2.8411176,0.33333334,2.5434792,68.92444,1
44b6_18ced818,13,0,19.0,214.0,255.0,0.9578348,1.9029446,0.3015873,2.1350024,40.76465,1
44b6_18ced818,14,0,12.0,23.0,51.0,0.85604644,3.2920487,0.1904762,2.5434792,68.92444,3
44b6_18ced818,15,0,9.0,114.0,114.0,1.001908,2.4889286,0.14285715,2.5401762,68.65625,1
44b6_18ced818,16,0,20.0,240.0,162.0,1.011159,2.956171,0.31746033,2.5368643,68.38806,1
44b6_18ced818,17,0,11.0,43.0,59.0,0.8828022,2.975884,0.17460318,2.5368643,68.38806,2
44b6_18ced818,18,0,29.0,172.0,31.0,0.93072116,3.2350013,0.46031746,2.5401762,68.65625,3
44b6_18ced818,19,0,4.0,58.0,128.0,0.8353204,2.5778863,0.06349207,2.5268764,67.583496,2
44b6_18ced818,20,0,13.0,147.0,71.0,0.9769817,2.280271,0.20634921,2.5434792,68.92444,1
44b6_18ced818,21,0,8.0,47.0,137.0,0.92848873,3.6913145,0.12698413,2.5434792,68.92444,4
44b6_18ced818,22,0,33.0,190.0,240.0,0.88033056,3.3630435,0.52380955,2.5401762,68.65625,3
44b6_18ced818,23,0,7.0,67.0,110.0,0.90880114,2.1183753,0.11111111,2.475711,63.56067,4
44b6_18ced818,24,0,10.0,133.0,105.0,0.9036102,2.3061461,0.15873016,2.5401762,68.65625,1
44b6_18ced818,25,0,25.0,255.0,151.0,1.0112872,2.9659734,0.3968254,2.1396742,41.032837,2
44b6_18ced818,26,0,13.0,142.0,0.0,0.72494507,1.7344856,0.20634921,2.1161075,39.691895,2
44b6_18ced818,27,0,14.0,68.0,213.0,0.92004895,3.057371,0.22222222,2.5134354,66.51074,4
44b6_18ced818,28,0,17.0,229.0,103.0,0.87634385,2.4447947,0.26984128,2.5401762,68.65625,2
44b6_18ced818,29,0,22.0,153.0,104.0,0.8761064,3.6381145,0.34920636,2.5302145,67.851685,1
44b6_18ced818,30,0,12.0,167.0,64.0,0.7985809,2.2194846,0.1904762,2.5401762,68.65625,1
44b6_18ced818,31,0,8.0,51.0,93.0,1.0072663,3.1954587,0.12698413,2.5434792,68.92444,0
44b6_18ced818,32,0,13.0,156.0,213.0,1.0271673,2.3123374,0.20634921,2.5434792,68.92444,2
44b6_18ced818,33,0,13.0,210.0,184.0,0.8402807,1.7651298,0.20634921,2.4964292,65.1698,1
44b6_18ced818,34,0,24.0,220.0,89.0,0.8669886,2.5563507,0.3809524,2.5368643,68.38806,0
44b6_18ced818,35,0,8.0,80.0,203.0,0.9090539,2.0800462,0.12698413,2.5434792,68.92444,1
44b6_18ced818,36,0,7.0,125.0,62.0,0.76454705,2.9312332,0.11111111,2.5401762,68.65625,1
