dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_2f31fc2f,0,0,63.0,186.0,255.0,0.6156929,3.3866885,1.0,1.7994134,24.405151,1
44b6_2f31fc2f,1,0,30.0,126.0,255.0,0.59299904,2.544175,0.47619048,2.1396742,41.032837,0
44b6_2f31fc2f,2,0,10.0,0.0,222.0,0.6012123,1.9785817,0.15873016,2.125597,40.22827,1
44b6_2f31fc2f,3,0,50.0,24.0,210.0,0.5894679,2.4686813,0.7936508,2.5066607,65.974365,0
44b6_2f31fc2f,4,0,25.0,16.0,234.0,0.5266483,2.2135246,0.3968254,2.5434792,68.92444,1
44b6_2f31fc2f,5,0,51.0,1.0,206.0,0.54937315,1.5468212,0.8095238,2.307903,51.492188,1
44b6_2f31fc2f,6,0,24.0,98.0,235.0,0.6538143,1.5569091,0.3809524,2.5368643,68.38806,0
44b6_2f31fc2f,7,0,41.0,20.0,224.0,0.4960816,1.7456819,0.6507937,2.5401762,68.65625,1
44b6_2f31fc2f,8,0,53.0,153.0,255.0,0.59884906,1.6110306,0.84126985,2.1396742,41.032837,0
44b6_2f31fc2f,9,0,49.0,52.0,243.0,0.6491391,1.8805434,0.7777778,2.5434792,68.92444,0
44b6_2f31fc2f,10,0,37.0,41.0,242.0,0.6147537,2.0415933,0.5873016,2.5434792,68.92444,0
44b6_2f31fc2f,11,0,50.0,0.0,160.0,0.57945234,2.495157,0.7936508,2.13031,40.49646,0
44b6_2f31fc2f,12,0,61.0,63.0,241.0,0.7072411,2.8473053,0.96825397,2.4687274,63.024292,0
44b6_2f31fc2f,13,0,63.0,35.0,213.0,0.5068171,2.1999903,1.0,2.1396742,41.032837,0
44b6_2f31fc2f,14,0,13.0,0.0,187.0,0.64712507,2.7091675,0.20634921,2.1396742,41.032837,1
44b6_2f31fc2f,15,0,59.0,124.0,223.0,0.54618174,2.006166,0.93650794,2.5401762,68.65625,0
44b6_2f31fc2f,16,0,42.0,34.0,200.0,0.63256,2.2481942,0.6666667,2.5434792,68.92444,0
44b6_2f31fc2f,17,0,7.0,93.0,255.0,0.5640853,2.7728772,0.11111111,2.1396742,41.032837,3
44b6_2f31fc2f,18,0,63.0,101.0,207.0,0.5014546,2.0000355,1.0,2.13031,40.49646,0
44b6_2f31fc2f,19,0,15.0,21.0,240.0,0.44956827,1.7154907,0.23809524,2.5401762,68.65625,1
44b6_2f31fc2f,20,0,50.0,29.0,187.0,0.6138878,2.817893,0.7936508,2.5434792,68.92444,0
44b6_2f31fc2f,21,0,30.0,22.0,215.0,0.6527102,2.3794842,0.47619048,2.5434792,68.92444,3
