dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e35b117d,0,0,0.0,196.0,100.0,0.6622905,3.7176476,0.0,2.1396742,41.032837,0
44b6_e35b117d,1,0,0.0,179.0,86.0,0.68514407,3.228797,0.0,2.1396742,41.032837,0
44b6_e35b117d,2,0,1.0,187.0,140.0,0.67318594,3.9352791,0.015873017,2.3316977,53.10132,1
44b6_e35b117d,3,0,12.0,131.0,67.0,0.53770286,2.0087523,0.1904762,2.5401762,68.65625,2
44b6_e35b117d,4,0,15.0,119.0,7.0,0.5258183,3.0882342,0.23809524,2.5335438,68.11987,1
44b6_e35b117d,5,0,22.0,102.0,28.0,0.55263454,1.5791363,0.34920636,2.5268764,67.583496,1
44b6_e35b117d,6,0,42.0,255.0,233.0,0.75323564,2.8370903,0.6666667,2.1396742,41.032837,0
44b6_e35b117d,7,0,18.0,103.0,0.0,0.47617957,3.075737,0.2857143,2.1396742,41.032837,2
44b6_e35b117d,8,0,63.0,47.0,20.0,0.51735824,2.2223158,1.0,2.1396742,41.032837,1
44b6_e35b117d,9,0,7.0,171.0,55.0,0.5060059,2.1363282,0.11111111,2.5235295,67.31531,2
44b6_e35b117d,10,0,9.0,154.0,24.0,0.49368572,2.7821507,0.14285715,2.5434792,68.92444,1
44b6_e35b117d,11,0,27.0,165.0,143.0,0.5499001,2.7187064,0.42857143,2.5434792,68.92444,2
44b6_e35b117d,12,0,42.0,73.0,18.0,0.60560316,3.106554,0.6666667,2.5434792,68.92444,2
44b6_e35b117d,13,0,42.0,81.0,50.0,0.5417161,2.2134032,0.6666667,2.5335438,68.11987,2
44b6_e35b117d,14,0,8.0,205.0,134.0,0.6363032,3.0335882,0.12698413,2.5434792,68.92444,1
44b6_e35b117d,15,0,8.0,148.0,100.0,0.45288733,2.3353236,0.12698413,2.5368643,68.38806,1
44b6_e35b117d,16,0,26.0,157.0,62.0,0.6182797,2.5884378,0.41269842,2.5434792,68.92444,3
44b6_e35b117d,17,0,5.0,155.0,65.0,0.4440729,1.7882817,0.07936508,2.5134354,66.51074,0
44b6_e35b117d,18,0,29.0,79.0,35.0,0.45938638,1.8024126,0.46031746,2.5100527,66.24255,0
44b6_e35b117d,19,0,25.0,125.0,70.0,0.570685,2.0941172,0.3968254,2.5434792,68.92444,2
44b6_e35b117d,20,0,18.0,167.0,113.0,0.5620896,2.457626,0.2857143,2.5401762,68.65625,2
44b6_e35b117d,21,0,12.0,185.0,100.0,0.5373351,2.7384384,0.1904762,2.5434792,68.92444,0
44b6_e35b117d,22,0,63.0,137.0,79.0,0.6548262,2.4048936,1.0,2.1396742,41.032837,0
44b6_e35b117d,23,0,55.0,65.0,51.0,0.4478465,1.8245052,0.8730159,2.5368643,68.38806,1
44b6_e35b117d,24,0,24.0,165.0,100.0,0.5685707,2.8101215,0.3809524,2.5401762,68.65625,3
44b6_e35b117d,25,0,27.0,255.0,228.0,0.6419207,1.6040204,0.42857143,2.1396742,41.032837,2
44b6_e35b117d,26,0,33.0,104.0,79.0,0.48600787,2.3686898,0.52380955,2.5434792,68.92444,1
44b6_e35b117d,27,0,0.0,198.0,17.0,0.3263227,3.6425228,0.0,2.1396742,41.032837,1
44b6_e35b117d,28,0,6.0,238.0,213.0,0.522679,2.419166,0.0952381,2.5434792,68.92444,2
44b6_e35b117d,29,0,28.0,184.0,141.0,0.5452833,3.1105695,0.44444445,2.5434792,68.92444,0
44b6_e35b117d,30,0,0.0,199.0,69.0,0.3424739,4.1748543,0.0,2.0871162,38.082764,0
44b6_e35b117d,31,0,12.0,142.0,86.0,0.4651948,1.7335941,0.1904762,2.5235295,67.31531,2
44b6_e35b117d,32,0,0.0,161.0,7.0,0.35335186,4.1115212,0.0,2.1396742,41.032837,0
44b6_e35b117d,33,0,19.0,166.0,69.0,0.5718421,1.6391534,0.3015873,2.5434792,68.92444,1
44b6_e35b117d,34,0,13.0,126.0,26.0,0.45412004,1.5512823,0.20634921,2.5302145,67.851685,1
44b6_e35b117d,35,0,6.0,134.0,7.0,0.3785905,1.4868081,0.0952381,2.472224,63.29248,1
44b6_e35b117d,36,0,22.0,217.0,195.0,0.5255966,1.911334,0.34920636,2.5368643,68.38806,2
44b6_e35b117d,37,0,6.0,234.0,167.0,0.5783718,2.1010363,0.0952381,2.5368643,68.38806,1
44b6_e35b117d,38,0,18.0,137.0,97.0,0.43627584,1.2129855,0.2857143,2.5235295,67.31531,3
44b6_e35b117d,39,0,29.0,227.0,197.0,0.5843583,2.5974493,0.46031746,2.5434792,68.92444,1
44b6_e35b117d,40,0,15.0,142.0,86.0,0.4904875,2.0752633,0.23809524,2.5434792,68.92444,2
44b6_e35b117d,41,0,59.0,255.0,255.0,0.71842414,2.4030268,0.93650794,1.7994134,24.405151,0
44b6_e35b117d,42,0,37.0,202.0,162.0,0.5876001,2.2386546,0.5873016,2.5335438,68.11987,2
44b6_e35b117d,43,0,15.0,255.0,219.0,0.5199152,1.0033313,0.23809524,2.1113307,39.423706,4
44b6_e35b117d,44,0,57.0,255.0,189.0,0.8147539,2.7268777,0.9047619,2.1396742,41.032837,0
44b6_e35b117d,45,0,11.0,153.0,125.0,0.3721222,1.5509439,0.17460318,2.5434792,68.92444,0
44b6_e35b117d,46,0,58.0,113.0,23.0,0.62720937,1.9694685,0.9206349,2.5268764,67.583496,0
44b6_e35b117d,47,0,10.0,238.0,118.0,0.5308515,1.26448,0.15873016,2.475711,63.56067,2
44b6_e35b117d,48,0,9.0,255.0,212.0,0.5286925,1.859523,0.14285715,2.1350024,40.76465,2
44b6_e35b117d,49,0,0.0,242.0,220.0,0.5054945,1.6263671,0.0,2.1396742,41.032837,1
44b6_e35b117d,50,0,2.0,201.0,135.0,0.55677843,0.9603294,0.031746034,2.458177,62.219727,2
44b6_e35b117d,51,0,16.0,226.0,156.0,0.5954151,3.0143192,0.25396827,2.5434792,68.92444,2
44b6_e35b117d,52,0,48.0,127.0,94.0,0.49085525,1.6324452,0.7619048,2.5401762,68.65625,3
44b6_e35b117d,53,0,18.0,135.0,27.0,0.4654972,1.7397641,0.2857143,2.5302145,67.851685,2
44b6_e35b117d,54,0,32.0,246.0,189.0,0.70909446,1.7603964,0.50793654,2.5066607,65.974365,2
44b6_e35b117d,55,0,28.0,135.0,97.0,0.47622725,2.0056171,0.44444445,2.5335438,68.11987,1
44b6_e35b117d,56,0,57.0,90.0,73.0,0.44976085,1.8584063,0.9047619,2.5235295,67.31531,0
44b6_e35b117d,57,0,33.0,73.0,6.0,0.4212391,0.99239254,0.52380955,2.4617038,62.487915,2
44b6_e35b117d,58,0,38.0,66.0,0.0,0.4504096,0.7502812,0.6031746,2.010875,34.059937,2
44b6_e35b117d,59,0,23.0,147.0,118.0,0.40522733,1.8941827,0.36507937,2.4964292,65.1698,1
44b6_e35b117d,60,0,44.0,224.0,12.0,0.79101664,2.420103,0.6984127,2.5434792,68.92444,0
44b6_e35b117d,61,0,18.0,245.0,141.0,0.6715956,1.6182376,0.2857143,2.5401762,68.65625,1
44b6_e35b117d,62,0,43.0,216.0,91.0,0.8139414,1.8418715,0.6825397,2.5434792,68.92444,0
44b6_e35b117d,63,0,61.0,154.0,59.0,0.67862666,1.7889849,0.96825397,2.4687274,63.024292,0
44b6_e35b117d,64,0,63.0,203.0,156.0,0.66630673,2.909385,1.0,2.1396742,41.032837,0
44b6_e35b117d,65,0,6.0,209.0,170.0,0.4324997,2.049665,0.0952381,2.5066607,65.974365,3
44b6_e35b117d,66,0,57.0,185.0,94.0,0.766808,1.8330866,0.9047619,2.5368643,68.38806,0
44b6_e35b117d,67,0,43.0,180.0,122.0,0.59526265,1.935181,0.6825397,2.5434792,68.92444,2
44b6_e35b117d,68,0,57.0,111.0,62.0,0.524501,2.437096,0.9047619,2.5434792,68.92444,3
44b6_e35b117d,69,0,24.0,214.0,135.0,0.58685696,2.4175286,0.3809524,2.5434792,68.92444,0
44b6_e35b117d,70,0,13.0,209.0,192.0,0.4411258,1.4785728,0.20634921,2.5368643,68.38806,3
44b6_e35b117d,71,0,24.0,195.0,111.0,0.5838586,1.6384878,0.3809524,2.5434792,68.92444,1
44b6_e35b117d,72,0,32.0,255.0,130.0,0.8602652,1.2672004,0.50793654,2.1161075,39.691895,1
44b6_e35b117d,73,0,15.0,158.0,39.0,0.43562496,1.8793616,0.23809524,2.5434792,68.92444,1
44b6_e35b117d,74,0,20.0,134.0,67.0,0.5059227,1.0545108,0.31746033,2.5168092,66.77893,3
44b6_e35b117d,75,0,20.0,246.0,167.0,0.6151339,1.9733878,0.31746033,2.5368643,68.38806,1
44b6_e35b117d,76,0,24.0,176.0,163.0,0.4165981,1.9694033,0.3809524,2.5401762,68.65625,2
44b6_e35b117d,77,0,47.0,117.0,97.0,0.43894365,1.5284628,0.74603176,2.5168092,66.77893,4
44b6_e35b117d,78,0,57.0,201.0,119.0,0.7961664,1.398931,0.9047619,2.5434792,68.92444,0
44b6_e35b117d,79,0,16.0,200.0,183.0,0.44189715,1.4402255,0.25396827,2.4895616,64.63342,3
