dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_6feb10f0,0,0,4.0,255.0,232.0,0.9823782,2.6903155,0.06349207,2.1350024,40.76465,0
6bba_6feb10f0,1,0,10.0,106.0,255.0,0.80356836,3.2774148,0.15873016,2.1396742,41.032837,0
6bba_6feb10f0,2,0,0.0,141.0,255.0,0.90504414,2.712822,0.0,1.7994134,24.405151,0
6bba_6feb10f0,3,0,0.0,182.0,255.0,0.8849536,2.4363513,0.0,1.7927979,24.136963,0
6bba_6feb10f0,4,0,5.0,216.0,236.0,0.8646223,2.91029,0.07936508,2.5434792,68.92444,0
6bba_6feb10f0,5,0,19.0,220.0,255.0,0.9565083,2.3056076,0.3015873,2.1396742,41.032837,1
6bba_6feb10f0,6,0,18.0,16.0,255.0,0.7532713,1.4082896,0.2857143,2.1396742,41.032837,1
6bba_6feb10f0,7,0,39.0,208.0,238.0,1.1888051,2.0752356,0.61904764,2.5434792,68.92444,0
6bba_6feb10f0,8,0,39.0,85.0,255.0,1.055792,2.2782216,0.61904764,2.1396742,41.032837,0
6bba_6feb10f0,9,0,41.0,186.0,226.0,1.0229502,2.0910442,0.6507937,2.5434792,68.92444,0
6bba_6feb10f0,10,0,38.0,101.0,234.0,1.0448838,1.7858499,0.6031746,2.5434792,68.92444,0
6bba_6feb10f0,11,0,15.0,185.0,246.0,0.84085727,1.1861751,0.23809524,2.4964292,65.1698,1
6bba_6feb10f0,12,0,23.0,54.0,255.0,0.8563435,1.2538664,0.36507937,2.1396742,41.032837,0
6bba_6feb10f0,13,0,56.0,232.0,238.0,1.2089642,1.6163132,0.8888889,2.5434792,68.92444,0
6bba_6feb10f0,14,0,51.0,205.0,255.0,1.2858534,1.531085,0.8095238,2.1396742,41.032837,1
6bba_6feb10f0,15,0,37.0,149.0,241.0,1.0394049,2.048682,0.5873016,2.5434792,68.92444,0
6bba_6feb10f0,16,0,34.0,231.0,229.0,1.1306514,1.4182104,0.53968257,2.5434792,68.92444,0
6bba_6feb10f0,17,0,13.0,251.0,255.0,0.6917994,1.7034663,0.20634921,2.125597,40.22827,1
6bba_6feb10f0,18,0,46.0,38.0,229.0,0.93213654,1.947766,0.73015875,2.5401762,68.65625,0
6bba_6feb10f0,19,0,30.0,186.0,255.0,1.1045618,1.8674152,0.47619048,2.1396742,41.032837,1
6bba_6feb10f0,20,0,31.0,172.0,249.0,1.0898832,1.8282366,0.4920635,2.5434792,68.92444,0
6bba_6feb10f0,21,0,37.0,255.0,229.0,1.2036622,1.3772793,0.5873016,2.1350024,40.76465,1
6bba_6feb10f0,22,0,51.0,215.0,190.0,0.98092765,2.3214989,0.8095238,2.5434792,68.92444,2
6bba_6feb10f0,23,0,63.0,203.0,255.0,1.1499513,1.2142204,1.0,1.7861332,23.868774,1
6bba_6feb10f0,24,0,22.0,77.0,236.0,0.70021206,1.2515503,0.34920636,2.5434792,68.92444,0
6bba_6feb10f0,25,0,57.0,111.0,255.0,0.7509291,3.4438057,0.9047619,2.1396742,41.032837,0
6bba_6feb10f0,26,0,40.0,122.0,226.0,0.9453588,1.2852193,0.63492066,2.5434792,68.92444,0
6bba_6feb10f0,27,0,34.0,221.0,244.0,1.1053892,1.3121461,0.53968257,2.5134354,66.51074,1
6bba_6feb10f0,28,0,34.0,242.0,255.0,1.202447,0.8260437,0.53968257,2.1017118,38.88733,0
6bba_6feb10f0,29,0,19.0,193.0,255.0,0.88611937,0.8464381,0.3015873,2.0317688,35.13269,2
6bba_6feb10f0,30,0,46.0,50.0,245.0,0.93966997,1.4633459,0.73015875,2.5401762,68.65625,0
6bba_6feb10f0,31,0,40.0,233.0,203.0,1.0330341,1.2602677,0.63492066,2.5434792,68.92444,0
6bba_6feb10f0,32,0,56.0,233.0,169.0,0.95221245,1.3664751,0.8888889,2.5401762,68.65625,0
6bba_6feb10f0,33,0,17.0,165.0,217.0,0.6533595,1.1644298,0.26984128,2.5066607,65.974365,1
6bba_6feb10f0,34,0,39.0,225.0,130.0,0.5330088,1.8908648,0.61904764,2.5434792,68.92444,0
6bba_6feb10f0,35,0,47.0,219.0,199.0,0.97502244,1.434914,0.74603176,2.5368643,68.38806,1
6bba_6feb10f0,36,0,63.0,141.0,255.0,0.8087207,2.177923,1.0,1.7994134,24.405151,0
6bba_6feb10f0,37,0,32.0,152.0,255.0,1.0017136,1.453639,0.50793654,2.1396742,41.032837,0
6bba_6feb10f0,38,0,53.0,81.0,204.0,0.7802273,1.9037327,0.84126985,2.5434792,68.92444,0
6bba_6feb10f0,39,0,50.0,138.0,203.0,0.85277253,1.8372977,0.7936508,2.5434792,68.92444,1
6bba_6feb10f0,40,0,44.0,76.0,234.0,0.9022499,1.3789917,0.6984127,2.5434792,68.92444,0
6bba_6feb10f0,41,0,49.0,238.0,184.0,1.0448511,1.5078372,0.7777778,2.5335438,68.11987,0
6bba_6feb10f0,42,0,7.0,223.0,255.0,0.7200519,0.6865212,0.11111111,2.0968692,38.61914,1
6bba_6feb10f0,43,0,63.0,163.0,255.0,0.9052108,2.0468388,1.0,1.7994134,24.405151,1
6bba_6feb10f0,44,0,32.0,131.0,255.0,0.93055016,1.5016011,0.50793654,2.1396742,41.032837,2
6bba_6feb10f0,45,0,54.0,101.0,198.0,0.7776266,2.118792,0.85714287,2.5434792,68.92444,0
6bba_6feb10f0,46,0,42.0,176.0,204.0,0.8541166,1.4530308,0.6666667,2.5434792,68.92444,1
6bba_6feb10f0,47,0,59.0,179.0,242.0,0.90278757,1.6807789,0.93650794,2.5434792,68.92444,0
6bba_6feb10f0,48,0,30.0,173.0,171.0,0.53744316,1.5969208,0.47619048,2.5434792,68.92444,0
6bba_6feb10f0,49,0,35.0,17.0,255.0,0.8170926,1.0623423,0.5555556,2.1396742,41.032837,1
6bba_6feb10f0,50,0,53.0,151.0,227.0,0.7692015,1.2525216,0.84126985,2.4791882,63.828857,0
6bba_6feb10f0,51,0,44.0,25.0,255.0,0.916703,1.4773811,0.6984127,2.1396742,41.032837,1
6bba_6feb10f0,52,0,9.0,28.0,255.0,0.5145058,0.6894335,0.14285715,2.1017118,38.88733,1
6bba_6feb10f0,53,0,63.0,255.0,244.0,1.071589,1.5940971,1.0,1.7994134,24.405151,0
6bba_6feb10f0,54,0,22.0,212.0,195.0,0.659457,1.7184932,0.34920636,2.5434792,68.92444,1
6bba_6feb10f0,55,0,36.0,123.0,244.0,0.9466504,1.5577673,0.5714286,2.5434792,68.92444,1
6bba_6feb10f0,56,0,17.0,255.0,224.0,0.6848281,0.8650238,0.26984128,2.0822053,37.814575,0
6bba_6feb10f0,57,0,39.0,61.0,255.0,0.9354621,1.4704472,0.61904764,2.092004,38.350952,0
6bba_6feb10f0,58,0,12.0,144.0,234.0,0.58948624,2.1413481,0.1904762,2.5434792,68.92444,0
6bba_6feb10f0,59,0,50.0,187.0,171.0,0.7485901,1.1790233,0.7936508,2.5434792,68.92444,1
6bba_6feb10f0,60,0,47.0,255.0,186.0,1.0592648,1.5439616,0.74603176,2.1396742,41.032837,2
6bba_6feb10f0,61,0,50.0,159.0,184.0,0.7463259,1.4512796,0.7936508,2.5335438,68.11987,0
6bba_6feb10f0,62,0,18.0,215.0,203.0,0.65031284,1.1743703,0.2857143,2.5302145,67.851685,1
6bba_6feb10f0,63,0,50.0,0.0,255.0,0.87058467,1.6099432,0.7936508,1.7861332,23.868774,0
6bba_6feb10f0,64,0,39.0,30.0,187.0,0.47396773,1.0165699,0.61904764,2.5335438,68.11987,0
6bba_6feb10f0,65,0,15.0,255.0,199.0,0.6496264,1.6304754,0.23809524,2.1113307,39.423706,0
6bba_6feb10f0,66,0,54.0,52.0,221.0,0.78295916,1.2798337,0.85714287,2.5368643,68.38806,0
6bba_6feb10f0,67,0,18.0,237.0,201.0,0.6943003,1.3965977,0.2857143,2.5302145,67.851685,1
6bba_6feb10f0,68,0,48.0,255.0,255.0,1.285623,2.4544618,0.7619048,1.7994134,24.405151,1
6bba_6feb10f0,69,0,47.0,255.0,198.0,1.0382553,1.0185935,0.74603176,2.1350024,40.76465,2
6bba_6feb10f0,70,0,63.0,255.0,62.0,0.4504914,2.3038285,1.0,1.7994134,24.405151,0
6bba_6feb10f0,71,0,57.0,127.0,255.0,0.72106874,1.8485543,0.9047619,2.1350024,40.76465,0
6bba_6feb10f0,72,0,39.0,255.0,195.0,0.97593915,0.67981637,0.61904764,2.057296,36.473633,2
6bba_6feb10f0,73,0,32.0,240.0,174.0,0.70492834,0.65032953,0.50793654,2.4368005,60.610596,0
6bba_6feb10f0,74,0,21.0,230.0,238.0,0.77284473,0.7549704,0.33333334,2.4687274,63.024292,0
6bba_6feb10f0,75,0,63.0,236.0,61.0,0.42126834,2.1533887,1.0,2.1396742,41.032837,0
6bba_6feb10f0,76,0,23.0,241.0,213.0,0.7304899,1.2529663,0.36507937,2.5032594,65.70618,2
6bba_6feb10f0,77,0,31.0,49.0,219.0,0.58887,1.1779387,0.4920635,2.5401762,68.65625,0
6bba_6feb10f0,78,0,56.0,174.0,167.0,0.6990909,1.1076894,0.8888889,2.5401762,68.65625,1
6bba_6feb10f0,79,0,52.0,181.0,212.0,0.762186,0.75991106,0.82539684,2.4826555,64.097046,1
