dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_7af54fde,0,0,0.0,95.0,199.0,1.0563799,3.1886137,0.0,2.1396742,41.032837,1
6bba_7af54fde,1,0,13.0,151.0,234.0,0.9000122,3.4981694,0.20634921,2.5434792,68.92444,0
6bba_7af54fde,2,0,29.0,197.0,255.0,0.86297727,4.104518,0.46031746,2.1396742,41.032837,0
6bba_7af54fde,3,0,0.0,131.0,222.0,0.76954037,5.4175563,0.0,2.1396742,41.032837,0
6bba_7af54fde,4,0,0.0,189.0,255.0,0.7135072,7.174318,0.0,1.7994134,24.405151,0
6bba_7af54fde,5,0,10.0,36.0,150.0,0.77866846,3.0088599,0.15873016,2.5434792,68.92444,0
6bba_7af54fde,6,0,30.0,46.0,154.0,0.9552754,2.176055,0.47619048,2.5434792,68.92444,1
6bba_7af54fde,7,0,38.0,122.0,203.0,0.91315776,2.1347663,0.6031746,2.5434792,68.92444,0
6bba_7af54fde,8,0,15.0,13.0,48.0,0.8047733,2.1504772,0.23809524,2.5434792,68.92444,0
6bba_7af54fde,9,0,14.0,99.0,201.0,0.78524613,1.8980604,0.22222222,2.5434792,68.92444,1
6bba_7af54fde,10,0,44.0,78.0,177.0,1.1608936,3.8487597,0.6984127,2.5434792,68.92444,1
6bba_7af54fde,11,0,61.0,164.0,179.0,0.916896,2.1622539,0.96825397,2.4687274,63.024292,0
6bba_7af54fde,12,0,4.0,153.0,125.0,0.67263174,2.4656727,0.06349207,2.5434792,68.92444,0
6bba_7af54fde,13,0,45.0,203.0,245.0,0.83651465,1.2939394,0.71428573,2.5434792,68.92444,1
6bba_7af54fde,14,0,18.0,185.0,255.0,0.5737995,2.369549,0.2857143,2.1350024,40.76465,0
6bba_7af54fde,15,0,48.0,171.0,232.0,0.83911735,1.7230054,0.7619048,2.5434792,68.92444,0
6bba_7af54fde,16,0,27.0,26.0,138.0,0.88208777,2.6859071,0.42857143,2.5434792,68.92444,1
6bba_7af54fde,17,0,54.0,208.0,245.0,1.0195326,2.3912635,0.85714287,2.5434792,68.92444,2
6bba_7af54fde,18,0,55.0,158.0,221.0,1.0444022,2.5286655,0.8730159,2.5401762,68.65625,0
6bba_7af54fde,19,0,0.0,16.0,132.0,0.6233954,4.628199,0.0,2.1396742,41.032837,0
6bba_7af54fde,20,0,6.0,71.0,181.0,0.56555605,5.064638,0.0952381,2.5434792,68.92444,0
6bba_7af54fde,21,0,39.0,193.0,116.0,0.61711866,2.2612503,0.61904764,2.5434792,68.92444,0
6bba_7af54fde,22,0,39.0,47.0,50.0,0.7482994,1.7060208,0.61904764,2.5434792,68.92444,0
6bba_7af54fde,23,0,36.0,154.0,227.0,0.6261666,3.070603,0.5714286,2.5434792,68.92444,1
6bba_7af54fde,24,0,54.0,94.0,191.0,1.0886619,1.6786817,0.85714287,2.5434792,68.92444,0
6bba_7af54fde,25,0,53.0,29.0,9.0,0.8359853,1.9354311,0.84126985,2.5434792,68.92444,0
6bba_7af54fde,26,0,40.0,65.0,163.0,0.8782157,1.726204,0.63492066,2.5032594,65.70618,1
6bba_7af54fde,27,0,62.0,176.0,229.0,1.0453985,2.241278,0.984127,2.3316977,53.10132,0
6bba_7af54fde,28,0,49.0,133.0,214.0,0.8659083,2.254388,0.7777778,2.5401762,68.65625,0
6bba_7af54fde,29,0,56.0,122.0,201.0,1.1057088,1.4376363,0.8888889,2.5434792,68.92444,1
6bba_7af54fde,30,0,63.0,123.0,205.0,1.2888321,1.9956664,1.0,2.1396742,41.032837,1
6bba_7af54fde,31,0,21.0,23.0,135.0,0.7567348,1.1577255,0.33333334,2.5434792,68.92444,1
6bba_7af54fde,32,0,34.0,0.0,124.0,1.1126117,1.6430225,0.53968257,2.1350024,40.76465,1
6bba_7af54fde,33,0,10.0,0.0,116.0,0.55592555,2.94957,0.15873016,2.1350024,40.76465,0
6bba_7af54fde,34,0,54.0,51.0,100.0,0.90087485,2.6239364,0.85714287,2.5434792,68.92444,0
6bba_7af54fde,35,0,63.0,125.0,150.0,0.787546,1.6317159,1.0,2.1350024,40.76465,1
6bba_7af54fde,36,0,63.0,16.0,139.0,1.1101748,2.2171166,1.0,2.1396742,41.032837,1
6bba_7af54fde,37,0,32.0,82.0,181.0,0.664074,1.2182122,0.50793654,2.5434792,68.92444,1
6bba_7af54fde,38,0,63.0,194.0,201.0,0.7100647,1.4686024,1.0,2.1396742,41.032837,1
6bba_7af54fde,39,0,63.0,74.0,171.0,1.2133349,2.029901,1.0,2.1396742,41.032837,0
6bba_7af54fde,40,0,51.0,134.0,172.0,0.6519675,1.6086246,0.8095238,2.4861133,64.365234,2
6bba_7af54fde,41,0,39.0,47.0,144.0,0.95484895,1.0567328,0.61904764,2.4687274,63.024292,2
6bba_7af54fde,42,0,52.0,238.0,255.0,0.64315474,1.3756236,0.82539684,2.0822053,37.814575,1
6bba_7af54fde,43,0,63.0,224.0,207.0,0.52083623,2.5265856,1.0,2.125597,40.22827,0
6bba_7af54fde,44,0,57.0,223.0,94.0,0.58670557,1.6635985,0.9047619,2.5401762,68.65625,0
6bba_7af54fde,45,0,53.0,52.0,160.0,1.05222,2.0995362,0.84126985,2.5401762,68.65625,2
6bba_7af54fde,46,0,63.0,28.0,79.0,0.90896714,2.2293665,1.0,2.1396742,41.032837,0
6bba_7af54fde,47,0,63.0,85.0,145.0,0.989404,1.4804529,1.0,2.1396742,41.032837,1
6bba_7af54fde,48,0,63.0,114.0,163.0,1.0005187,1.3991964,1.0,2.1396742,41.032837,0
6bba_7af54fde,49,0,46.0,42.0,147.0,1.1108552,1.507668,0.73015875,2.4826555,64.097046,2
6bba_7af54fde,50,0,35.0,0.0,94.0,1.0644236,0.93508077,0.5555556,2.1396742,41.032837,0
6bba_7af54fde,51,0,14.0,52.0,164.0,0.49086374,2.6591058,0.22222222,2.5401762,68.65625,1
6bba_7af54fde,52,0,63.0,203.0,235.0,0.8756315,1.6257476,1.0,2.1350024,40.76465,1
6bba_7af54fde,53,0,20.0,19.0,109.0,0.66128504,1.3824406,0.31746033,2.5401762,68.65625,0
6bba_7af54fde,54,0,25.0,24.0,90.0,0.66111344,1.5411774,0.3968254,2.5434792,68.92444,1
6bba_7af54fde,55,0,54.0,102.0,168.0,0.93373376,0.90391904,0.85714287,2.493,64.90161,2
6bba_7af54fde,56,0,49.0,109.0,157.0,0.69850135,1.0994157,0.7777778,2.4687274,63.024292,2
6bba_7af54fde,57,0,57.0,0.0,59.0,0.9059867,2.5249057,0.9047619,2.1396742,41.032837,1
6bba_7af54fde,58,0,56.0,127.0,184.0,0.92737657,1.2639081,0.8888889,2.5434792,68.92444,1
6bba_7af54fde,59,0,56.0,32.0,148.0,1.0580086,0.8979369,0.8888889,2.5434792,68.92444,2
6bba_7af54fde,60,0,63.0,76.0,135.0,0.9586042,1.5567033,1.0,2.1396742,41.032837,1
6bba_7af54fde,61,0,45.0,228.0,255.0,0.58240306,1.3517163,0.71428573,2.1350024,40.76465,1
6bba_7af54fde,62,0,63.0,163.0,78.0,0.46187934,2.6606197,1.0,2.1396742,41.032837,0
6bba_7af54fde,63,0,27.0,8.0,119.0,0.81289977,0.95911014,0.42857143,2.475711,63.56067,1
6bba_7af54fde,64,0,63.0,232.0,242.0,0.7767689,2.233653,1.0,2.1396742,41.032837,0
6bba_7af54fde,65,0,47.0,11.0,86.0,1.1109974,1.9635231,0.74603176,2.5434792,68.92444,0
6bba_7af54fde,66,0,48.0,24.0,127.0,1.1255888,1.8718406,0.7619048,2.5401762,68.65625,3
6bba_7af54fde,67,0,43.0,24.0,141.0,0.8352893,1.3140696,0.6825397,2.5201738,67.04712,1
6bba_7af54fde,68,0,0.0,59.0,173.0,0.3515399,1.6360468,0.0,2.0265856,34.864502,0
6bba_7af54fde,69,0,54.0,72.0,159.0,0.93093014,0.8235702,0.85714287,2.451093,61.68335,0
6bba_7af54fde,70,0,33.0,15.0,82.0,0.7920051,1.1102246,0.52380955,2.5368643,68.38806,1
6bba_7af54fde,71,0,41.0,20.0,116.0,0.9289255,1.265227,0.6507937,2.5368643,68.38806,2
6bba_7af54fde,72,0,46.0,55.0,165.0,0.83641666,0.88670856,0.73015875,2.5168092,66.77893,2
6bba_7af54fde,73,0,25.0,144.0,226.0,0.44741288,1.1650656,0.3968254,2.5368643,68.38806,1
6bba_7af54fde,74,0,52.0,154.0,189.0,0.62461287,0.9298533,0.82539684,2.458177,62.219727,1
6bba_7af54fde,75,0,54.0,29.0,104.0,0.93872833,1.0623038,0.85714287,2.4617038,62.487915,2
6bba_7af54fde,76,0,63.0,0.0,88.0,1.1553841,2.2586389,1.0,1.7994134,24.405151,0
6bba_7af54fde,77,0,53.0,17.0,128.0,1.0639784,1.5191952,0.84126985,2.5235295,67.31531,2
6bba_7af54fde,78,0,52.0,33.0,49.0,0.6910561,2.1229692,0.82539684,2.5401762,68.65625,1
