dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0c582fdc,0,0,63.0,255.0,9.0,0.37190813,6.332508,1.0,1.7994134,24.405151,0
44b6_0c582fdc,1,0,45.0,133.0,68.0,0.36030987,4.84068,0.71428573,2.5401762,68.65625,0
44b6_0c582fdc,2,0,29.0,14.0,0.0,0.43029326,3.0503411,0.46031746,2.1396742,41.032837,0
44b6_0c582fdc,3,0,55.0,197.0,94.0,0.35547474,4.7882214,0.8730159,2.5434792,68.92444,1
44b6_0c582fdc,4,0,38.0,122.0,135.0,0.4241254,3.4501855,0.6031746,2.5434792,68.92444,0
44b6_0c582fdc,5,0,63.0,211.0,7.0,0.25678617,6.4913406,1.0,2.13031,40.49646,1
44b6_0c582fdc,6,0,39.0,205.0,193.0,0.37093842,4.553855,0.61904764,2.5434792,68.92444,1
44b6_0c582fdc,7,0,57.0,192.0,55.0,0.34565556,4.464117,0.9047619,2.5434792,68.92444,1
44b6_0c582fdc,8,0,48.0,187.0,71.0,0.29009327,4.7246866,0.7619048,2.5401762,68.65625,0
44b6_0c582fdc,9,0,41.0,157.0,67.0,0.33282122,2.9914536,0.6507937,2.5401762,68.65625,3
44b6_0c582fdc,10,0,57.0,172.0,54.0,0.380955,3.7114942,0.9047619,2.5434792,68.92444,1
44b6_0c582fdc,11,0,58.0,165.0,11.0,0.36223382,4.111613,0.9206349,2.5434792,68.92444,1
44b6_0c582fdc,12,0,11.0,86.0,103.0,0.37449747,5.152118,0.17460318,2.5434792,68.92444,0
44b6_0c582fdc,13,0,36.0,243.0,217.0,0.352403,3.3459969,0.5714286,2.5401762,68.65625,3
44b6_0c582fdc,14,0,63.0,222.0,43.0,0.33440056,1.8816621,1.0,2.1396742,41.032837,1
44b6_0c582fdc,15,0,35.0,194.0,226.0,0.3294695,3.5062592,0.5555556,2.5434792,68.92444,1
44b6_0c582fdc,16,0,42.0,150.0,142.0,0.34668848,3.0732193,0.6666667,2.5434792,68.92444,1
44b6_0c582fdc,17,0,13.0,16.0,158.0,0.37396443,4.8678517,0.20634921,2.5434792,68.92444,0
44b6_0c582fdc,18,0,35.0,40.0,24.0,0.37606248,2.6310706,0.5555556,2.5434792,68.92444,2
44b6_0c582fdc,19,0,41.0,234.0,185.0,0.32886106,3.8135676,0.6507937,2.5434792,68.92444,0
44b6_0c582fdc,20,0,58.0,228.0,99.0,0.35167074,3.6690738,0.9206349,2.5434792,68.92444,1
44b6_0c582fdc,21,0,30.0,168.0,204.0,0.37991676,2.922608,0.47619048,2.5401762,68.65625,2
44b6_0c582fdc,22,0,29.0,168.0,231.0,0.39283818,3.4912832,0.46031746,2.5434792,68.92444,0
44b6_0c582fdc,23,0,63.0,255.0,32.0,0.28546083,2.6999855,1.0,1.7927979,24.136963,0
44b6_0c582fdc,24,0,47.0,223.0,135.0,0.32716686,2.0430195,0.74603176,2.5066607,65.974365,1
44b6_0c582fdc,25,0,35.0,159.0,128.0,0.36580452,3.2089539,0.5555556,2.5434792,68.92444,2
