dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_a2bb48bb,0,0,45.0,98.0,187.0,0.55023676,3.7474647,0.71428573,2.5434792,68.92444,0
44b6_a2bb48bb,1,0,38.0,84.0,201.0,0.5406563,2.459226,0.6031746,2.5434792,68.92444,1
44b6_a2bb48bb,2,0,48.0,120.0,26.0,0.42741466,3.619654,0.7619048,2.5434792,68.92444,1
44b6_a2bb48bb,3,0,18.0,43.0,189.0,0.44142306,2.7347622,0.2857143,2.5401762,68.65625,0
44b6_a2bb48bb,4,0,37.0,99.0,227.0,0.5201088,3.0260282,0.5873016,2.5434792,68.92444,1
44b6_a2bb48bb,5,0,52.0,164.0,135.0,0.51046807,3.855192,0.82539684,2.5434792,68.92444,0
44b6_a2bb48bb,6,0,35.0,123.0,154.0,0.58791447,3.55653,0.5555556,2.5434792,68.92444,2
44b6_a2bb48bb,7,0,53.0,166.0,164.0,0.53223574,1.9211243,0.84126985,2.5434792,68.92444,2
44b6_a2bb48bb,8,0,36.0,96.0,163.0,0.5219501,2.8607068,0.5714286,2.5434792,68.92444,4
44b6_a2bb48bb,9,0,55.0,247.0,128.0,0.5397801,3.6795938,0.8730159,2.5434792,68.92444,1
44b6_a2bb48bb,10,0,60.0,181.0,89.0,0.5206506,3.3421388,0.95238096,2.5401762,68.65625,0
44b6_a2bb48bb,11,0,51.0,193.0,112.0,0.5594291,3.710214,0.8095238,2.5434792,68.92444,0
44b6_a2bb48bb,12,0,43.0,163.0,255.0,0.5153998,1.7256368,0.6825397,2.1161075,39.691895,1
44b6_a2bb48bb,13,0,46.0,220.0,123.0,0.5840517,3.262795,0.73015875,2.5434792,68.92444,2
44b6_a2bb48bb,14,0,19.0,49.0,83.0,0.48876762,1.8584346,0.3015873,2.5434792,68.92444,0
44b6_a2bb48bb,15,0,44.0,228.0,200.0,0.71165186,2.6734061,0.6984127,2.5434792,68.92444,0
44b6_a2bb48bb,16,0,21.0,81.0,134.0,0.60604906,2.8729863,0.33333334,2.5434792,68.92444,2
44b6_a2bb48bb,17,0,47.0,92.0,132.0,0.45816687,3.17976,0.74603176,2.5434792,68.92444,0
44b6_a2bb48bb,18,0,32.0,101.0,47.0,0.53688306,3.8901496,0.50793654,2.5434792,68.92444,1
44b6_a2bb48bb,19,0,39.0,243.0,167.0,0.52443033,3.417051,0.61904764,2.5401762,68.65625,0
