dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e57ff5c6,0,0,19.0,206.0,222.0,0.24872826,4.6435037,0.3015873,2.5434792,68.92444,0
44b6_e57ff5c6,1,0,24.0,109.0,178.0,0.23410766,4.308161,0.3809524,2.5434792,68.92444,0
44b6_e57ff5c6,2,0,12.0,33.0,105.0,0.24580859,3.9678304,0.1904762,2.5434792,68.92444,0
44b6_e57ff5c6,3,0,0.0,193.0,169.0,0.18505263,9.046284,0.0,2.1396742,41.032837,0
44b6_e57ff5c6,4,0,24.0,45.0,137.0,0.24468718,4.7826056,0.3809524,2.5434792,68.92444,0
44b6_e57ff5c6,5,0,54.0,188.0,255.0,0.23991838,3.4928057,0.85714287,2.1396742,41.032837,2
44b6_e57ff5c6,6,0,29.0,159.0,215.0,0.23689952,3.1268637,0.46031746,2.5434792,68.92444,1
44b6_e57ff5c6,7,0,35.0,76.0,174.0,0.2276348,3.512808,0.5555556,2.5434792,68.92444,0
44b6_e57ff5c6,8,0,9.0,76.0,134.0,0.20313041,3.9636385,0.14285715,2.5401762,68.65625,0
44b6_e57ff5c6,9,0,25.0,167.0,213.0,0.211516,2.039705,0.3968254,2.5434792,68.92444,1
44b6_e57ff5c6,10,0,0.0,135.0,148.0,0.17744698,6.44969,0.0,2.1396742,41.032837,0
44b6_e57ff5c6,11,0,15.0,0.0,79.0,0.2595916,2.56858,0.23809524,2.13031,40.49646,0
44b6_e57ff5c6,12,0,3.0,94.0,130.0,0.19536158,5.66997,0.04761905,2.5401762,68.65625,0
44b6_e57ff5c6,13,0,43.0,187.0,245.0,0.21538815,2.8256867,0.6825397,2.5434792,68.92444,1
44b6_e57ff5c6,14,0,57.0,138.0,234.0,0.24155855,2.9521174,0.9047619,2.5434792,68.92444,0
44b6_e57ff5c6,15,0,52.0,80.0,195.0,0.25257933,2.6752272,0.82539684,2.5434792,68.92444,0
44b6_e57ff5c6,16,0,40.0,153.0,224.0,0.20716149,3.5398667,0.63492066,2.5434792,68.92444,1
44b6_e57ff5c6,17,0,18.0,66.0,143.0,0.18530004,5.5308137,0.2857143,2.5434792,68.92444,0
44b6_e57ff5c6,18,0,14.0,98.0,163.0,0.17820366,3.346076,0.22222222,2.5434792,68.92444,0
44b6_e57ff5c6,19,0,29.0,27.0,70.0,0.24086949,2.4571896,0.46031746,2.5434792,68.92444,0
44b6_e57ff5c6,20,0,39.0,40.0,126.0,0.26005244,1.9363508,0.61904764,2.5434792,68.92444,0
44b6_e57ff5c6,21,0,32.0,204.0,240.0,0.1623694,6.552493,0.50793654,2.5434792,68.92444,1
44b6_e57ff5c6,22,0,0.0,161.0,156.0,0.12840961,5.587336,0.0,2.13031,40.49646,0
44b6_e57ff5c6,23,0,43.0,46.0,172.0,0.24633096,3.4921348,0.6825397,2.5434792,68.92444,0
44b6_e57ff5c6,24,0,14.0,167.0,196.0,0.17457825,3.714526,0.22222222,2.5434792,68.92444,0
44b6_e57ff5c6,25,0,56.0,32.0,100.0,0.24219428,2.9058166,0.8888889,2.5434792,68.92444,0
44b6_e57ff5c6,26,0,7.0,159.0,181.0,0.17529067,2.5888171,0.11111111,2.5434792,68.92444,0
44b6_e57ff5c6,27,0,42.0,215.0,255.0,0.14853832,6.93855,0.6666667,2.1396742,41.032837,0
44b6_e57ff5c6,28,0,0.0,40.0,84.0,0.17578357,4.047962,0.0,2.1396742,41.032837,0
44b6_e57ff5c6,29,0,51.0,160.0,241.0,0.18350954,4.3314295,0.8095238,2.5434792,68.92444,3
44b6_e57ff5c6,30,0,6.0,0.0,63.0,0.16827312,4.618887,0.0952381,2.1350024,40.76465,0
44b6_e57ff5c6,31,0,25.0,255.0,249.0,0.14148898,7.3362327,0.3968254,2.1396742,41.032837,0
44b6_e57ff5c6,32,0,43.0,22.0,53.0,0.22481848,1.6521025,0.6825397,2.5434792,68.92444,0
44b6_e57ff5c6,33,0,32.0,10.0,34.0,0.26628634,2.0052197,0.50793654,2.5434792,68.92444,1
44b6_e57ff5c6,34,0,0.0,255.0,196.0,0.11828959,2.9550753,0.0,1.7726524,23.332397,0
44b6_e57ff5c6,35,0,32.0,234.0,252.0,0.13948359,3.8255825,0.50793654,2.5401762,68.65625,0
44b6_e57ff5c6,36,0,36.0,17.0,141.0,0.24009816,3.418588,0.5714286,2.5434792,68.92444,0
44b6_e57ff5c6,37,0,15.0,255.0,233.0,0.12775809,3.939087,0.23809524,2.1396742,41.032837,0
44b6_e57ff5c6,38,0,0.0,16.0,63.0,0.14930001,6.644897,0.0,2.1396742,41.032837,0
44b6_e57ff5c6,39,0,56.0,103.0,215.0,0.18115446,2.2840886,0.8888889,2.5434792,68.92444,1
44b6_e57ff5c6,40,0,63.0,77.0,214.0,0.22467345,1.8520195,1.0,2.1396742,41.032837,0
44b6_e57ff5c6,41,0,46.0,19.0,153.0,0.24259438,4.6429424,0.73015875,2.5401762,68.65625,0
44b6_e57ff5c6,42,0,53.0,0.0,31.0,0.18304947,2.4858382,0.84126985,2.1396742,41.032837,1
44b6_e57ff5c6,43,0,55.0,24.0,76.0,0.20580891,1.996937,0.8730159,2.5302145,67.851685,0
44b6_e57ff5c6,44,0,0.0,74.0,98.0,0.09746048,3.2366335,0.0,2.0822053,37.814575,0
44b6_e57ff5c6,45,0,52.0,48.0,190.0,0.2554212,1.5380443,0.82539684,2.433201,60.342407,0
44b6_e57ff5c6,46,0,63.0,47.0,207.0,0.27916768,2.1006057,1.0,2.1396742,41.032837,1
44b6_e57ff5c6,47,0,40.0,0.0,37.0,0.2591622,1.2854621,0.63492066,2.13031,40.49646,2
44b6_e57ff5c6,48,0,8.0,214.0,205.0,0.10645985,5.672772,0.12698413,2.5434792,68.92444,0
44b6_e57ff5c6,49,0,40.0,16.0,91.0,0.3144549,2.2753832,0.63492066,2.5434792,68.92444,0
44b6_e57ff5c6,50,0,63.0,101.0,216.0,0.1836282,2.016398,1.0,2.1396742,41.032837,1
44b6_e57ff5c6,51,0,59.0,38.0,200.0,0.2623553,1.3928689,0.93650794,2.5268764,67.583496,1
44b6_e57ff5c6,52,0,46.0,131.0,222.0,0.12894258,2.03435,0.73015875,2.5401762,68.65625,0
44b6_e57ff5c6,53,0,50.0,20.0,125.0,0.21539482,1.262268,0.7936508,2.5434792,68.92444,0
44b6_e57ff5c6,54,0,54.0,27.0,168.0,0.26031137,2.875001,0.85714287,2.5434792,68.92444,2
44b6_e57ff5c6,55,0,48.0,32.0,169.0,0.21564268,1.2453896,0.7619048,2.5368643,68.38806,1
44b6_e57ff5c6,56,0,9.0,130.0,165.0,0.11045094,3.9477847,0.14285715,2.5434792,68.92444,0
44b6_e57ff5c6,57,0,32.0,0.0,68.0,0.2965595,1.8421355,0.50793654,2.092004,38.350952,0
44b6_e57ff5c6,58,0,63.0,64.0,199.0,0.27538913,2.5619528,1.0,2.1396742,41.032837,0
44b6_e57ff5c6,59,0,59.0,14.0,168.0,0.2638268,1.8091859,0.93650794,2.5335438,68.11987,2
44b6_e57ff5c6,60,0,63.0,52.0,166.0,0.17968723,1.3502774,1.0,2.1396742,41.032837,0
44b6_e57ff5c6,61,0,63.0,0.0,147.0,0.19833894,2.012947,1.0,1.7994134,24.405151,0
