dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_05b6850b,0,0,15.0,197.0,204.0,0.16173732,5.5725517,0.23809524,2.5302145,67.851685,0
6bba_05b6850b,1,0,11.0,228.0,255.0,0.167206,6.069444,0.17460318,2.0772712,37.546387,1
6bba_05b6850b,2,0,15.0,70.0,47.0,0.3182749,6.0474606,0.23809524,2.5434792,68.92444,0
6bba_05b6850b,3,0,57.0,120.0,176.0,0.2055991,6.6577353,0.9047619,2.5401762,68.65625,0
6bba_05b6850b,4,0,29.0,113.0,107.0,0.3066826,4.365147,0.46031746,2.5434792,68.92444,0
6bba_05b6850b,5,0,19.0,144.0,132.0,0.32090107,4.737565,0.3015873,2.5401762,68.65625,0
6bba_05b6850b,6,0,51.0,165.0,228.0,0.1972255,3.5803878,0.8095238,2.5401762,68.65625,0
6bba_05b6850b,7,0,0.0,175.0,150.0,0.30043265,6.7014837,0.0,2.1396742,41.032837,1
6bba_05b6850b,8,0,38.0,200.0,255.0,0.15063944,12.4984045,0.6031746,2.1350024,40.76465,0
6bba_05b6850b,9,0,30.0,169.0,186.0,0.2001411,3.8698332,0.47619048,2.5401762,68.65625,2
6bba_05b6850b,10,0,46.0,146.0,187.0,0.21213582,4.134226,0.73015875,2.5434792,68.92444,1
6bba_05b6850b,11,0,51.0,48.0,76.0,0.305104,5.689301,0.8095238,2.5434792,68.92444,0
6bba_05b6850b,12,0,34.0,131.0,205.0,0.20721574,2.1358905,0.53968257,2.5434792,68.92444,1
6bba_05b6850b,13,0,47.0,97.0,124.0,0.19963534,4.6242933,0.74603176,2.493,64.90161,0
6bba_05b6850b,14,0,49.0,0.0,31.0,0.2240162,5.719884,0.7777778,2.1350024,40.76465,0
6bba_05b6850b,15,0,5.0,191.0,180.0,0.19751395,4.3116865,0.07936508,2.5168092,66.77893,1
6bba_05b6850b,16,0,11.0,184.0,237.0,0.2228881,2.236662,0.17460318,2.5434792,68.92444,0
6bba_05b6850b,17,0,33.0,145.0,157.0,0.19604445,3.8537116,0.52380955,2.5335438,68.11987,0
6bba_05b6850b,18,0,34.0,13.0,18.0,0.19240092,4.6497955,0.53968257,2.5168092,66.77893,1
6bba_05b6850b,19,0,42.0,122.0,144.0,0.21410717,5.868037,0.6666667,2.5434792,68.92444,0
6bba_05b6850b,20,0,30.0,174.0,193.0,0.1680509,3.0726562,0.47619048,2.5100527,66.24255,1
6bba_05b6850b,21,0,56.0,106.0,155.0,0.20830715,6.3169656,0.8888889,2.5434792,68.92444,0
6bba_05b6850b,22,0,12.0,167.0,153.0,0.21789981,3.7289321,0.1904762,2.5401762,68.65625,1
6bba_05b6850b,23,0,6.0,195.0,187.0,0.16263577,2.7582572,0.0952381,2.4791882,63.828857,1
6bba_05b6850b,24,0,60.0,61.0,110.0,0.2879326,3.0474632,0.95238096,2.5401762,68.65625,0
6bba_05b6850b,25,0,15.0,41.0,16.0,0.2721728,4.6624284,0.23809524,2.5434792,68.92444,3
6bba_05b6850b,26,0,35.0,136.0,217.0,0.1938782,1.8539954,0.5555556,2.5434792,68.92444,1
6bba_05b6850b,27,0,10.0,81.0,96.0,0.19089632,2.00006,0.15873016,2.5434792,68.92444,0
6bba_05b6850b,28,0,34.0,23.0,25.0,0.16192637,3.2165368,0.53968257,2.5032594,65.70618,1
6bba_05b6850b,29,0,34.0,71.0,70.0,0.23293585,5.584759,0.53968257,2.5434792,68.92444,0
