dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_1f58c2f6,0,0,58.0,209.0,165.0,0.40471765,2.6892838,0.9206349,2.493,64.90161,0
6bba_1f58c2f6,1,0,14.0,181.0,186.0,0.46246937,2.336413,0.22222222,2.5100527,66.24255,1
6bba_1f58c2f6,2,0,24.0,187.0,190.0,0.48071158,2.1726213,0.3809524,2.5434792,68.92444,1
6bba_1f58c2f6,3,0,9.0,35.0,88.0,0.4646018,2.9770696,0.14285715,2.5434792,68.92444,1
6bba_1f58c2f6,4,0,17.0,153.0,153.0,0.41802096,2.4212604,0.26984128,2.4964292,65.1698,1
6bba_1f58c2f6,5,0,57.0,120.0,70.0,0.46427974,2.856195,0.9047619,2.5168092,66.77893,1
6bba_1f58c2f6,6,0,16.0,165.0,178.0,0.44169262,2.7426386,0.25396827,2.5368643,68.38806,1
6bba_1f58c2f6,7,0,37.0,195.0,183.0,0.41359264,2.2561915,0.5873016,2.4439676,61.146973,0
6bba_1f58c2f6,8,0,14.0,80.0,121.0,0.5142961,4.076336,0.22222222,2.5434792,68.92444,1
6bba_1f58c2f6,9,0,28.0,40.0,63.0,0.51094735,2.2765777,0.44444445,2.5268764,67.583496,2
6bba_1f58c2f6,10,0,10.0,121.0,146.0,0.41964614,3.157226,0.15873016,2.5302145,67.851685,0
6bba_1f58c2f6,11,0,54.0,187.0,149.0,0.41977295,2.800321,0.85714287,2.5032594,65.70618,1
6bba_1f58c2f6,12,0,57.0,135.0,90.0,0.4364801,2.782028,0.9047619,2.5235295,67.31531,0
6bba_1f58c2f6,13,0,15.0,203.0,207.0,0.3997337,3.067223,0.23809524,2.5368643,68.38806,0
6bba_1f58c2f6,14,0,14.0,18.0,65.0,0.4659767,2.6845932,0.22222222,2.5434792,68.92444,0
6bba_1f58c2f6,15,0,60.0,161.0,114.0,0.41689003,3.6338978,0.95238096,2.499849,65.43799,0
6bba_1f58c2f6,16,0,43.0,165.0,141.0,0.39223358,2.3993385,0.6825397,2.4687274,63.024292,0
6bba_1f58c2f6,17,0,4.0,200.0,229.0,0.5055613,1.886314,0.06349207,2.4223385,59.53784,2
6bba_1f58c2f6,18,0,50.0,188.0,169.0,0.41989976,2.6862,0.7936508,2.5201738,67.04712,1
6bba_1f58c2f6,19,0,8.0,160.0,186.0,0.40431553,1.5957848,0.12698413,2.4439676,61.146973,2
6bba_1f58c2f6,20,0,4.0,208.0,235.0,0.51008636,1.7412813,0.06349207,2.451093,61.68335,2
6bba_1f58c2f6,21,0,8.0,76.0,148.0,0.4518007,2.6728365,0.12698413,2.4861133,64.365234,2
6bba_1f58c2f6,22,0,30.0,0.0,35.0,0.54119724,1.7919044,0.47619048,2.1396742,41.032837,1
6bba_1f58c2f6,23,0,40.0,99.0,86.0,0.45926747,2.5018885,0.63492066,2.5368643,68.38806,1
6bba_1f58c2f6,24,0,16.0,228.0,245.0,0.40454915,2.0787508,0.25396827,2.4964292,65.1698,4
6bba_1f58c2f6,25,0,0.0,151.0,242.0,0.4208343,3.5412037,0.0,2.13031,40.49646,2
6bba_1f58c2f6,26,0,35.0,178.0,211.0,0.4096549,3.5128841,0.5555556,2.5401762,68.65625,1
6bba_1f58c2f6,27,0,30.0,117.0,120.0,0.41299194,1.8879851,0.47619048,2.5302145,67.851685,1
6bba_1f58c2f6,28,0,49.0,211.0,184.0,0.39103892,3.3410385,0.7777778,2.5434792,68.92444,2
6bba_1f58c2f6,29,0,52.0,104.0,85.0,0.44201633,2.0760956,0.82539684,2.4403894,60.878784,2
6bba_1f58c2f6,30,0,25.0,198.0,219.0,0.41863835,2.5105035,0.3968254,2.5368643,68.38806,0
6bba_1f58c2f6,31,0,6.0,177.0,249.0,0.4350051,3.7434027,0.0952381,2.5401762,68.65625,1
6bba_1f58c2f6,32,0,15.0,195.0,231.0,0.42535087,1.6551249,0.23809524,2.458177,62.219727,1
6bba_1f58c2f6,33,0,24.0,170.0,237.0,0.39859405,1.8961861,0.3809524,2.3891516,57.124146,1
6bba_1f58c2f6,34,0,9.0,134.0,205.0,0.3987092,3.800661,0.14285715,2.4895616,64.63342,2
6bba_1f58c2f6,35,0,13.0,0.0,83.0,0.44408008,2.1053638,0.20634921,2.0055833,33.791748,2
6bba_1f58c2f6,36,0,7.0,109.0,184.0,0.39005277,3.2044387,0.11111111,2.458177,62.219727,2
