dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_48816121,0,0,25.0,174.0,59.0,0.52556914,3.9152734,0.3968254,2.5434792,68.92444,0
6bba_48816121,1,0,35.0,96.0,56.0,0.41144362,3.333922,0.5555556,2.5401762,68.65625,1
6bba_48816121,2,0,10.0,198.0,139.0,0.4272084,6.4998646,0.15873016,2.5434792,68.92444,1
6bba_48816121,3,0,29.0,39.0,102.0,0.43595612,3.6227136,0.46031746,2.5434792,68.92444,1
6bba_48816121,4,0,31.0,156.0,9.0,0.4911229,7.2634263,0.4920635,2.5302145,67.851685,1
6bba_48816121,5,0,0.0,239.0,17.0,0.48839524,4.001173,0.0,2.1396742,41.032837,0
6bba_48816121,6,0,43.0,96.0,157.0,0.49852738,3.1310992,0.6825397,2.5434792,68.92444,0
6bba_48816121,7,0,36.0,120.0,76.0,0.54781854,6.05152,0.5714286,2.5434792,68.92444,0
6bba_48816121,8,0,36.0,132.0,189.0,0.4067058,6.2927923,0.5714286,2.5434792,68.92444,0
6bba_48816121,9,0,30.0,140.0,65.0,0.48211393,3.5906148,0.47619048,2.5401762,68.65625,2
6bba_48816121,10,0,39.0,109.0,23.0,0.44765404,4.831716,0.61904764,2.5434792,68.92444,1
6bba_48816121,11,0,33.0,151.0,123.0,0.42755625,4.3483706,0.52380955,2.5434792,68.92444,0
6bba_48816121,12,0,19.0,178.0,93.0,0.4395748,3.0024679,0.3015873,2.5434792,68.92444,1
6bba_48816121,13,0,29.0,112.0,255.0,0.4045072,7.5132995,0.46031746,2.1396742,41.032837,0
6bba_48816121,14,0,11.0,233.0,32.0,0.4100026,5.134773,0.17460318,2.5434792,68.92444,3
6bba_48816121,15,0,38.0,120.0,99.0,0.448767,4.2318687,0.6031746,2.5434792,68.92444,0
6bba_48816121,16,0,6.0,212.0,167.0,0.4682433,3.8686647,0.0952381,2.5335438,68.11987,1
6bba_48816121,17,0,51.0,42.0,130.0,0.47831944,3.95985,0.8095238,2.5434792,68.92444,1
6bba_48816121,18,0,24.0,168.0,25.0,0.4385287,4.3313932,0.3809524,2.5434792,68.92444,1
6bba_48816121,19,0,23.0,117.0,95.0,0.39252445,4.6960683,0.36507937,2.5434792,68.92444,0
6bba_48816121,20,0,23.0,168.0,178.0,0.39746037,3.8967798,0.36507937,2.5434792,68.92444,0
6bba_48816121,21,0,33.0,100.0,122.0,0.41980264,4.602346,0.52380955,2.5434792,68.92444,0
6bba_48816121,22,0,54.0,26.0,110.0,0.42332226,3.434237,0.85714287,2.5434792,68.92444,0
6bba_48816121,23,0,37.0,126.0,6.0,0.39255288,8.748675,0.5873016,2.5401762,68.65625,1
6bba_48816121,24,0,22.0,177.0,8.0,0.41207376,4.0963707,0.34920636,2.5434792,68.92444,1
6bba_48816121,25,0,28.0,176.0,91.0,0.40024462,2.038312,0.44444445,2.5434792,68.92444,1
6bba_48816121,26,0,32.0,151.0,98.0,0.5147811,3.7185771,0.50793654,2.5434792,68.92444,0
6bba_48816121,27,0,20.0,119.0,198.0,0.38270828,4.789969,0.31746033,2.5434792,68.92444,0
6bba_48816121,28,0,35.0,20.0,116.0,0.36857522,3.650493,0.5555556,2.5434792,68.92444,0
6bba_48816121,29,0,14.0,186.0,164.0,0.42479306,3.7655196,0.22222222,2.5434792,68.92444,0
6bba_48816121,30,0,44.0,0.0,46.0,0.3383741,2.6144571,0.6984127,2.1350024,40.76465,0
6bba_48816121,31,0,51.0,53.0,7.0,0.5080328,4.444976,0.8095238,2.5434792,68.92444,0
6bba_48816121,32,0,9.0,207.0,220.0,0.42062467,2.8914402,0.14285715,2.5434792,68.92444,1
6bba_48816121,33,0,9.0,194.0,34.0,0.3651162,3.9113338,0.14285715,2.5335438,68.11987,2
6bba_48816121,34,0,28.0,32.0,5.0,0.3691979,4.042891,0.44444445,2.5434792,68.92444,1
6bba_48816121,35,0,3.0,240.0,255.0,0.4184717,4.5682316,0.04761905,2.1350024,40.76465,0
6bba_48816121,36,0,37.0,71.0,76.0,0.3673632,3.491898,0.5873016,2.5434792,68.92444,1
6bba_48816121,37,0,1.0,255.0,154.0,0.43750733,1.836211,0.015873017,1.9566469,31.378052,0
6bba_48816121,38,0,0.0,233.0,215.0,0.43414247,3.1281805,0.0,2.1396742,41.032837,1
6bba_48816121,39,0,37.0,151.0,67.0,0.37373647,1.9064978,0.5873016,2.493,64.90161,2
6bba_48816121,40,0,26.0,142.0,22.0,0.35372534,3.318449,0.41269842,2.5401762,68.65625,1
6bba_48816121,41,0,45.0,94.0,58.0,0.37858823,2.3346076,0.71428573,2.5401762,68.65625,2
6bba_48816121,42,0,49.0,18.0,15.0,0.33978662,4.8678675,0.7777778,2.5401762,68.65625,0
6bba_48816121,43,0,4.0,171.0,59.0,0.367669,4.2414837,0.06349207,2.5434792,68.92444,0
6bba_48816121,44,0,59.0,0.0,93.0,0.38005403,2.724128,0.93650794,2.13031,40.49646,1
6bba_48816121,45,0,38.0,112.0,170.0,0.41284382,3.004798,0.6031746,2.5434792,68.92444,0
6bba_48816121,46,0,20.0,145.0,210.0,0.3786724,4.039815,0.31746033,2.5434792,68.92444,0
6bba_48816121,47,0,36.0,93.0,90.0,0.39544612,4.799775,0.5714286,2.5434792,68.92444,0
6bba_48816121,48,0,31.0,169.0,144.0,0.36008006,2.350647,0.4920635,2.5401762,68.65625,1
6bba_48816121,49,0,63.0,20.0,31.0,0.3719917,3.6090832,1.0,2.1396742,41.032837,0
6bba_48816121,50,0,24.0,141.0,243.0,0.37383425,2.833077,0.3809524,2.5434792,68.92444,2
6bba_48816121,51,0,50.0,32.0,207.0,0.3674375,3.291498,0.7936508,2.5401762,68.65625,0
6bba_48816121,52,0,11.0,202.0,247.0,0.4142279,4.7367716,0.17460318,2.5434792,68.92444,0
6bba_48816121,53,0,9.0,230.0,0.0,0.39584386,2.8106384,0.14285715,2.1396742,41.032837,0
6bba_48816121,54,0,38.0,110.0,203.0,0.39731303,2.5113654,0.6031746,2.5434792,68.92444,2
6bba_48816121,55,0,45.0,92.0,30.0,0.35852507,3.1568677,0.71428573,2.5401762,68.65625,1
6bba_48816121,56,0,18.0,180.0,205.0,0.38749072,2.4361906,0.2857143,2.5401762,68.65625,1
6bba_48816121,57,0,17.0,154.0,140.0,0.3706699,2.8535745,0.26984128,2.5434792,68.92444,1
6bba_48816121,58,0,17.0,190.0,48.0,0.34965107,4.4013624,0.26984128,2.5434792,68.92444,0
6bba_48816121,59,0,17.0,187.0,255.0,0.33978817,4.713592,0.26984128,2.1396742,41.032837,0
6bba_48816121,60,0,32.0,148.0,234.0,0.38333595,2.7720065,0.50793654,2.5434792,68.92444,1
6bba_48816121,61,0,30.0,170.0,21.0,0.3602137,2.1802073,0.47619048,2.5302145,67.851685,1
6bba_48816121,62,0,28.0,125.0,147.0,0.36168322,3.1110492,0.44444445,2.5434792,68.92444,1
6bba_48816121,63,0,30.0,147.0,156.0,0.33327845,3.804109,0.47619048,2.5434792,68.92444,1
6bba_48816121,64,0,8.0,161.0,29.0,0.34017292,2.8270025,0.12698413,2.5368643,68.38806,0
6bba_48816121,65,0,47.0,63.0,19.0,0.33729085,2.4854608,0.74603176,2.458177,62.219727,0
6bba_48816121,66,0,13.0,203.0,201.0,0.38580328,4.464735,0.20634921,2.5434792,68.92444,0
6bba_48816121,67,0,32.0,106.0,198.0,0.3874548,2.434629,0.50793654,2.5434792,68.92444,1
6bba_48816121,68,0,47.0,20.0,234.0,0.35844585,2.477205,0.74603176,2.5302145,67.851685,1
6bba_48816121,69,0,35.0,155.0,0.0,0.32980856,1.380101,0.5555556,2.1113307,39.423706,1
6bba_48816121,70,0,47.0,57.0,158.0,0.35163933,3.2539413,0.74603176,2.5434792,68.92444,1
6bba_48816121,71,0,29.0,132.0,214.0,0.35760033,4.085897,0.46031746,2.5434792,68.92444,0
6bba_48816121,72,0,51.0,46.0,37.0,0.36306363,2.7166293,0.8095238,2.5401762,68.65625,0
6bba_48816121,73,0,32.0,159.0,77.0,0.35295284,2.6608667,0.50793654,2.5401762,68.65625,1
6bba_48816121,74,0,36.0,131.0,162.0,0.35834062,3.3087914,0.5714286,2.5401762,68.65625,0
6bba_48816121,75,0,16.0,202.0,220.0,0.39418954,2.0991783,0.25396827,2.5434792,68.92444,1
6bba_48816121,76,0,31.0,155.0,44.0,0.3229869,4.101125,0.4920635,2.5401762,68.65625,0
6bba_48816121,77,0,23.0,90.0,4.0,0.3407238,3.496526,0.36507937,2.5434792,68.92444,0
6bba_48816121,78,0,53.0,16.0,143.0,0.34602866,2.5381532,0.84126985,2.5434792,68.92444,0
6bba_48816121,79,0,9.0,229.0,62.0,0.2972624,4.1828046,0.14285715,2.5401762,68.65625,1
6bba_48816121,80,0,11.0,150.0,64.0,0.32864088,3.6206589,0.17460318,2.5434792,68.92444,0
6bba_48816121,81,0,11.0,219.0,185.0,0.3797569,3.0302756,0.17460318,2.5434792,68.92444,1
6bba_48816121,82,0,17.0,101.0,117.0,0.298566,3.4695723,0.26984128,2.5434792,68.92444,0
6bba_48816121,83,0,0.0,239.0,119.0,0.3606375,3.658687,0.0,2.1396742,41.032837,0
6bba_48816121,84,0,27.0,169.0,205.0,0.36552104,2.1876292,0.42857143,2.5368643,68.38806,1
6bba_48816121,85,0,6.0,255.0,221.0,0.36087456,2.5064445,0.0952381,2.1396742,41.032837,1
6bba_48816121,86,0,26.0,170.0,148.0,0.35451767,2.646621,0.41269842,2.5434792,68.92444,1
6bba_48816121,87,0,41.0,114.0,235.0,0.35372907,2.7003925,0.6507937,2.5434792,68.92444,0
6bba_48816121,88,0,33.0,28.0,238.0,0.30159295,4.8542304,0.52380955,2.5434792,68.92444,0
6bba_48816121,89,0,27.0,168.0,230.0,0.31522712,3.838437,0.42857143,2.5401762,68.65625,0
6bba_48816121,90,0,54.0,72.0,110.0,0.3398758,1.8702393,0.85714287,2.5368643,68.38806,1
6bba_48816121,91,0,46.0,50.0,223.0,0.29415503,3.4179177,0.73015875,2.5368643,68.38806,0
6bba_48816121,92,0,49.0,71.0,192.0,0.33119613,2.6268144,0.7777778,2.5401762,68.65625,1
6bba_48816121,93,0,54.0,0.0,61.0,0.32783088,1.7320917,0.85714287,2.125597,40.22827,1
6bba_48816121,94,0,54.0,54.0,54.0,0.36721465,2.9888716,0.85714287,2.5434792,68.92444,0
6bba_48816121,95,0,53.0,0.0,83.0,0.2779348,1.7407954,0.84126985,2.1161075,39.691895,1
6bba_48816121,96,0,50.0,69.0,78.0,0.3360788,3.1265976,0.7936508,2.5401762,68.65625,1
6bba_48816121,97,0,49.0,84.0,48.0,0.32488355,2.5583928,0.7777778,2.5401762,68.65625,1
6bba_48816121,98,0,53.0,0.0,203.0,0.36040667,2.8947031,0.84126985,2.1396742,41.032837,2
6bba_48816121,99,0,43.0,0.0,192.0,0.2791118,2.082809,0.6825397,2.1396742,41.032837,1
6bba_48816121,100,0,45.0,70.0,0.0,0.3814785,2.3464587,0.71428573,2.1350024,40.76465,1
6bba_48816121,101,0,24.0,188.0,217.0,0.34883896,2.2315824,0.3809524,2.5368643,68.38806,0
6bba_48816121,102,0,10.0,147.0,103.0,0.3092203,3.653735,0.15873016,2.5434792,68.92444,0
6bba_48816121,103,0,9.0,249.0,141.0,0.33075538,2.2051466,0.14285715,2.5434792,68.92444,0
6bba_48816121,104,0,63.0,0.0,8.0,0.33111084,3.2864606,1.0,1.7994134,24.405151,1
6bba_48816121,105,0,2.0,255.0,200.0,0.34420672,3.789223,0.031746034,2.0673318,37.01001,0
6bba_48816121,106,0,36.0,80.0,10.0,0.32918683,2.608527,0.5714286,2.5434792,68.92444,0
6bba_48816121,107,0,43.0,70.0,61.0,0.33758548,3.085935,0.6825397,2.5401762,68.65625,1
6bba_48816121,108,0,50.0,64.0,113.0,0.36613512,2.6086588,0.7936508,2.5434792,68.92444,1
6bba_48816121,109,0,53.0,32.0,0.0,0.31182063,4.1847596,0.84126985,2.1396742,41.032837,1
6bba_48816121,110,0,44.0,116.0,56.0,0.322129,2.5432591,0.6984127,2.5168092,66.77893,0
6bba_48816121,111,0,39.0,124.0,128.0,0.31388387,4.9401946,0.61904764,2.5434792,68.92444,0
6bba_48816121,112,0,50.0,9.0,222.0,0.34736076,2.5209515,0.7936508,2.5401762,68.65625,2
6bba_48816121,113,0,56.0,0.0,239.0,0.3099491,3.0777557,0.8888889,2.1350024,40.76465,1
6bba_48816121,114,0,51.0,21.0,243.0,0.35918,2.4954586,0.8095238,2.5434792,68.92444,1
6bba_48816121,115,0,34.0,138.0,106.0,0.3644972,2.4416683,0.53968257,2.5434792,68.92444,0
6bba_48816121,116,0,22.0,73.0,207.0,0.26829678,2.768916,0.34920636,2.5434792,68.92444,0
6bba_48816121,117,0,46.0,97.0,103.0,0.32322335,2.840219,0.73015875,2.5401762,68.65625,0
6bba_48816121,118,0,51.0,49.0,88.0,0.30726674,3.0276172,0.8095238,2.5434792,68.92444,2
6bba_48816121,119,0,54.0,26.0,179.0,0.34183183,2.1916897,0.85714287,2.5434792,68.92444,0
6bba_48816121,120,0,37.0,102.0,143.0,0.34947157,1.8070396,0.5873016,2.5434792,68.92444,0
6bba_48816121,121,0,39.0,143.0,36.0,0.30024475,2.4720776,0.61904764,2.5401762,68.65625,1
6bba_48816121,122,0,57.0,25.0,160.0,0.31196126,2.7963514,0.9047619,2.5434792,68.92444,1
6bba_48816121,123,0,58.0,19.0,216.0,0.34653008,2.360766,0.9206349,2.5434792,68.92444,1
6bba_48816121,124,0,41.0,0.0,110.0,0.25434673,7.0394683,0.6507937,2.1350024,40.76465,0
6bba_48816121,125,0,30.0,28.0,64.0,0.24261561,2.8297777,0.47619048,2.5434792,68.92444,0
6bba_48816121,126,0,5.0,218.0,205.0,0.3519129,2.709598,0.07936508,2.5434792,68.92444,0
6bba_48816121,127,0,18.0,223.0,47.0,0.2795354,1.9956492,0.2857143,2.4895616,64.63342,3
6bba_48816121,128,0,6.0,210.0,35.0,0.30931935,2.1585298,0.0952381,2.475711,63.56067,1
6bba_48816121,129,0,34.0,93.0,33.0,0.28728285,1.7400672,0.53968257,2.5335438,68.11987,1
6bba_48816121,130,0,13.0,229.0,156.0,0.319648,3.144103,0.20634921,2.5434792,68.92444,1
6bba_48816121,131,0,43.0,71.0,37.0,0.28174523,4.551851,0.6825397,2.5434792,68.92444,0
6bba_48816121,132,0,24.0,186.0,129.0,0.2621105,7.035672,0.3809524,2.5434792,68.92444,0
