dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_4aa14c89,0,0,14.0,37.0,161.0,0.36940014,5.285339,0.22222222,2.5434792,68.92444,0
6bba_4aa14c89,1,0,25.0,175.0,180.0,0.31603912,3.833,0.3968254,2.5434792,68.92444,0
6bba_4aa14c89,2,0,0.0,198.0,172.0,0.35452354,5.7872972,0.0,2.1396742,41.032837,0
6bba_4aa14c89,3,0,7.0,241.0,175.0,0.30130774,3.7681444,0.11111111,2.5434792,68.92444,0
6bba_4aa14c89,4,0,35.0,232.0,181.0,0.27978897,3.5211086,0.5555556,2.5434792,68.92444,1
6bba_4aa14c89,5,0,51.0,24.0,160.0,0.28281406,4.016725,0.8095238,2.5434792,68.92444,1
6bba_4aa14c89,6,0,16.0,207.0,179.0,0.2821763,5.1981163,0.25396827,2.5434792,68.92444,0
6bba_4aa14c89,7,0,19.0,96.0,172.0,0.28986672,3.5534327,0.3015873,2.5434792,68.92444,1
6bba_4aa14c89,8,0,51.0,204.0,91.0,0.25299436,1.8974414,0.8095238,2.5434792,68.92444,0
6bba_4aa14c89,9,0,31.0,19.0,161.0,0.3488488,3.3547208,0.4920635,2.5401762,68.65625,0
6bba_4aa14c89,10,0,34.0,57.0,168.0,0.26016793,2.6046503,0.53968257,2.5434792,68.92444,0
6bba_4aa14c89,11,0,0.0,134.0,89.0,0.24583682,2.3250494,0.0,2.1396742,41.032837,0
6bba_4aa14c89,12,0,10.0,129.0,174.0,0.32486662,4.219446,0.15873016,2.5434792,68.92444,1
6bba_4aa14c89,13,0,51.0,209.0,176.0,0.24895117,3.8062158,0.8095238,2.5434792,68.92444,0
6bba_4aa14c89,14,0,51.0,189.0,90.0,0.29527122,2.4747102,0.8095238,2.5434792,68.92444,0
6bba_4aa14c89,15,0,21.0,70.0,78.0,0.2407322,2.0417995,0.33333334,2.5434792,68.92444,0
6bba_4aa14c89,16,0,4.0,171.0,173.0,0.2858937,5.2390494,0.06349207,2.5434792,68.92444,0
6bba_4aa14c89,17,0,7.0,0.0,149.0,0.21750456,4.8061543,0.11111111,2.1396742,41.032837,0
6bba_4aa14c89,18,0,19.0,110.0,87.0,0.27561706,2.2847865,0.3015873,2.5434792,68.92444,0
6bba_4aa14c89,19,0,56.0,83.0,171.0,0.2684786,3.4388416,0.8888889,2.5434792,68.92444,1
6bba_4aa14c89,20,0,48.0,136.0,175.0,0.2766254,3.6076238,0.7619048,2.5434792,68.92444,0
6bba_4aa14c89,21,0,41.0,192.0,182.0,0.22342627,3.4104762,0.6507937,2.5434792,68.92444,0
6bba_4aa14c89,22,0,42.0,20.0,56.0,0.26789346,1.7317297,0.6666667,2.5434792,68.92444,0
6bba_4aa14c89,23,0,30.0,88.0,173.0,0.23852822,2.4497519,0.47619048,2.5434792,68.92444,1
6bba_4aa14c89,24,0,63.0,126.0,174.0,0.21795666,2.7497478,1.0,2.1396742,41.032837,0
6bba_4aa14c89,25,0,33.0,125.0,176.0,0.24363631,2.9409595,0.52380955,2.5434792,68.92444,0
6bba_4aa14c89,26,0,47.0,98.0,173.0,0.22727637,2.666855,0.74603176,2.5401762,68.65625,1
6bba_4aa14c89,27,0,21.0,135.0,177.0,0.21378349,1.6133915,0.33333334,2.5235295,67.31531,1
6bba_4aa14c89,28,0,63.0,29.0,159.0,0.17545171,0.95228785,1.0,2.0265856,34.864502,1
6bba_4aa14c89,29,0,45.0,255.0,179.0,0.12842892,1.626476,0.71428573,2.0369256,35.40088,1
6bba_4aa14c89,30,0,0.0,70.0,156.0,0.1359903,3.1801612,0.0,2.1396742,41.032837,0
6bba_4aa14c89,31,0,63.0,235.0,171.0,0.15516569,3.5543137,1.0,2.1396742,41.032837,0
6bba_4aa14c89,32,0,37.0,0.0,52.0,0.28181237,1.2100618,0.5873016,2.1017118,38.88733,0
6bba_4aa14c89,33,0,63.0,191.0,173.0,0.16146249,2.650518,1.0,2.1350024,40.76465,0
6bba_4aa14c89,34,0,63.0,95.0,169.0,0.17260471,0.8544144,1.0,2.0673318,37.01001,1
6bba_4aa14c89,35,0,24.0,242.0,181.0,0.14586467,1.1806294,0.3809524,2.5401762,68.65625,1
6bba_4aa14c89,36,0,22.0,227.0,107.0,0.12167384,2.9500034,0.34920636,2.5434792,68.92444,0
6bba_4aa14c89,37,0,55.0,247.0,178.0,0.12946375,1.9039087,0.8730159,2.5335438,68.11987,1
6bba_4aa14c89,38,0,37.0,108.0,176.0,0.17213072,1.502419,0.5873016,2.5335438,68.11987,1
6bba_4aa14c89,39,0,0.0,136.0,164.0,0.1490196,1.4495411,0.0,2.1396742,41.032837,0
6bba_4aa14c89,40,0,44.0,9.0,162.0,0.1482305,0.37379095,0.6984127,2.2876928,50.151245,0
6bba_4aa14c89,41,0,60.0,0.0,149.0,0.09080266,3.3455245,0.95238096,2.125597,40.22827,1
