dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_4ffd3da3,0,0,42.0,135.0,104.0,0.64454806,4.2389965,0.6666667,2.5434792,68.92444,0
6bba_4ffd3da3,1,0,35.0,154.0,77.0,0.660029,3.4372964,0.5555556,2.5434792,68.92444,0
6bba_4ffd3da3,2,0,54.0,171.0,0.0,0.59775966,1.9492306,0.85714287,2.1350024,40.76465,0
6bba_4ffd3da3,3,0,37.0,153.0,40.0,0.6177587,4.0476456,0.5873016,2.5434792,68.92444,0
6bba_4ffd3da3,4,0,63.0,95.0,139.0,0.67386913,2.9274385,1.0,2.1396742,41.032837,0
6bba_4ffd3da3,5,0,0.0,88.0,211.0,0.59655035,2.737844,0.0,2.1396742,41.032837,0
6bba_4ffd3da3,6,0,7.0,168.0,85.0,0.54217124,2.5167224,0.11111111,2.5434792,68.92444,0
6bba_4ffd3da3,7,0,27.0,156.0,99.0,0.54501915,2.7127652,0.42857143,2.5434792,68.92444,0
6bba_4ffd3da3,8,0,55.0,114.0,123.0,0.5724452,3.1272442,0.8730159,2.5434792,68.92444,1
6bba_4ffd3da3,9,0,21.0,119.0,186.0,0.5579178,3.1153042,0.33333334,2.5434792,68.92444,0
6bba_4ffd3da3,10,0,44.0,63.0,241.0,0.6642241,2.1655872,0.6984127,2.5434792,68.92444,1
6bba_4ffd3da3,11,0,12.0,137.0,155.0,0.53316355,3.6023476,0.1904762,2.5434792,68.92444,1
6bba_4ffd3da3,12,0,63.0,64.0,180.0,0.5734219,3.542236,1.0,2.1396742,41.032837,0
6bba_4ffd3da3,13,0,35.0,119.0,140.0,0.52372384,5.088398,0.5555556,2.5434792,68.92444,0
6bba_4ffd3da3,14,0,63.0,134.0,66.0,0.55906,3.3865464,1.0,2.1396742,41.032837,1
6bba_4ffd3da3,15,0,52.0,142.0,61.0,0.53906727,3.496227,0.82539684,2.5434792,68.92444,1
6bba_4ffd3da3,16,0,41.0,96.0,191.0,0.5648679,3.445311,0.6507937,2.5434792,68.92444,0
6bba_4ffd3da3,17,0,53.0,146.0,25.0,0.5506828,2.62293,0.84126985,2.5434792,68.92444,1
6bba_4ffd3da3,18,0,52.0,79.0,195.0,0.55859613,2.244929,0.82539684,2.5434792,68.92444,2
6bba_4ffd3da3,19,0,21.0,122.0,100.0,0.57918423,3.312203,0.33333334,2.5434792,68.92444,0
6bba_4ffd3da3,20,0,0.0,165.0,47.0,0.50341845,3.6288946,0.0,2.1396742,41.032837,1
