dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_55b7eebe,0,0,42.0,226.0,28.0,0.14197102,2.891222,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,1,0,42.0,146.0,55.0,0.16099429,2.3774118,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,2,0,41.0,69.0,56.0,0.16410816,3.9295254,0.6507937,2.5434792,68.92444,0
6bba_55b7eebe,3,0,45.0,44.0,0.0,0.11037478,3.5670686,0.71428573,2.1350024,40.76465,0
6bba_55b7eebe,4,0,46.0,135.0,4.0,0.14724034,2.537793,0.73015875,2.5401762,68.65625,0
6bba_55b7eebe,5,0,22.0,255.0,10.0,0.1441124,2.5839043,0.34920636,2.1396742,41.032837,0
6bba_55b7eebe,6,0,17.0,207.0,205.0,0.1178035,3.2784493,0.26984128,2.5434792,68.92444,0
6bba_55b7eebe,7,0,21.0,65.0,73.0,0.13017026,2.0259001,0.33333334,2.5434792,68.92444,0
6bba_55b7eebe,8,0,23.0,255.0,160.0,0.11496431,6.955355,0.36507937,2.1396742,41.032837,0
6bba_55b7eebe,9,0,22.0,0.0,108.0,0.12650777,4.0294724,0.34920636,2.1396742,41.032837,0
6bba_55b7eebe,10,0,17.0,186.0,66.0,0.11752403,1.5871555,0.26984128,2.5434792,68.92444,1
6bba_55b7eebe,11,0,19.0,184.0,59.0,0.12343972,1.6090986,0.3015873,2.5434792,68.92444,1
6bba_55b7eebe,12,0,12.0,140.0,242.0,0.1302966,2.3341641,0.1904762,2.5434792,68.92444,0
6bba_55b7eebe,13,0,7.0,255.0,119.0,0.14550577,2.3349473,0.11111111,2.1396742,41.032837,0
6bba_55b7eebe,14,0,29.0,46.0,132.0,0.1083643,2.3209655,0.46031746,2.5434792,68.92444,0
6bba_55b7eebe,15,0,27.0,71.0,158.0,0.10234395,4.5725985,0.42857143,2.5434792,68.92444,0
6bba_55b7eebe,16,0,45.0,187.0,0.0,0.07466072,8.373661,0.71428573,2.1396742,41.032837,0
6bba_55b7eebe,17,0,26.0,25.0,146.0,0.145804,6.2676806,0.41269842,2.5434792,68.92444,0
6bba_55b7eebe,18,0,37.0,161.0,98.0,0.089049414,2.0848029,0.5873016,2.5434792,68.92444,0
6bba_55b7eebe,19,0,21.0,77.0,193.0,0.11234723,3.5074313,0.33333334,2.5434792,68.92444,0
6bba_55b7eebe,20,0,19.0,255.0,196.0,0.3383677,2.1191514,0.3015873,2.1350024,40.76465,2
6bba_55b7eebe,21,0,14.0,255.0,196.0,0.2885206,1.5405788,0.22222222,2.0871162,38.082764,2
6bba_55b7eebe,22,0,13.0,254.0,205.0,0.3236994,2.1609452,0.20634921,2.2545931,48.005737,2
6bba_55b7eebe,23,0,21.0,144.0,196.0,0.091781065,2.5672405,0.33333334,2.5434792,68.92444,0
6bba_55b7eebe,24,0,25.0,207.0,168.0,0.08574093,2.884929,0.3968254,2.5434792,68.92444,0
6bba_55b7eebe,25,0,11.0,208.0,236.0,0.20203282,1.9450865,0.17460318,2.5434792,68.92444,0
6bba_55b7eebe,26,0,43.0,0.0,18.0,0.07042168,8.045115,0.6825397,2.1396742,41.032837,0
6bba_55b7eebe,27,0,32.0,226.0,119.0,0.081518084,2.5771885,0.50793654,2.5434792,68.92444,0
6bba_55b7eebe,28,0,13.0,70.0,255.0,0.12565675,3.4559612,0.20634921,2.1396742,41.032837,0
6bba_55b7eebe,29,0,30.0,151.0,145.0,0.080370806,2.7198403,0.47619048,2.5434792,68.92444,0
6bba_55b7eebe,30,0,22.0,19.0,179.0,0.14044854,2.3113008,0.34920636,2.5434792,68.92444,0
6bba_55b7eebe,31,0,8.0,238.0,235.0,0.15562032,1.5460492,0.12698413,2.5434792,68.92444,1
6bba_55b7eebe,32,0,34.0,13.0,92.0,0.09164898,2.7280278,0.53968257,2.5434792,68.92444,0
6bba_55b7eebe,33,0,13.0,29.0,163.0,0.10440496,2.694225,0.20634921,2.5401762,68.65625,1
6bba_55b7eebe,34,0,39.0,255.0,39.0,0.05936051,6.195042,0.61904764,2.1350024,40.76465,0
6bba_55b7eebe,35,0,5.0,182.0,255.0,0.11044336,1.812817,0.07936508,2.092004,38.350952,0
6bba_55b7eebe,36,0,14.0,36.0,242.0,0.12801927,2.414454,0.22222222,2.5401762,68.65625,0
6bba_55b7eebe,37,0,16.0,37.0,219.0,0.12549946,2.2833104,0.25396827,2.5434792,68.92444,1
6bba_55b7eebe,38,0,18.0,4.0,213.0,0.12988566,2.4625034,0.2857143,2.5434792,68.92444,0
6bba_55b7eebe,39,0,14.0,9.0,255.0,0.13916704,2.857309,0.22222222,2.13031,40.49646,0
6bba_55b7eebe,40,0,9.0,12.0,183.0,0.12036924,2.1151679,0.14285715,2.5434792,68.92444,1
6bba_55b7eebe,41,0,5.0,56.0,215.0,0.13317883,2.3952618,0.07936508,2.5401762,68.65625,0
6bba_55b7eebe,42,0,0.0,93.0,223.0,0.09815926,2.985544,0.0,2.13031,40.49646,0
6bba_55b7eebe,43,0,10.0,233.0,255.0,0.2642289,1.3541884,0.15873016,2.0265856,34.864502,1
6bba_55b7eebe,44,0,0.0,75.0,201.0,0.096398264,2.6743078,0.0,2.1350024,40.76465,0
6bba_55b7eebe,45,0,12.0,0.0,153.0,0.07508087,2.208588,0.1904762,2.1350024,40.76465,0
6bba_55b7eebe,46,0,15.0,45.0,224.0,0.1046787,1.0443337,0.23809524,2.4546402,61.951538,1
6bba_55b7eebe,47,0,5.0,31.0,174.0,0.080872975,0.91856515,0.07936508,2.4439676,61.146973,1
6bba_55b7eebe,48,0,16.0,0.0,131.0,0.06371102,2.5462549,0.25396827,2.1396742,41.032837,0
6bba_55b7eebe,49,0,4.0,228.0,255.0,0.16954985,0.45446885,0.06349207,1.85688,26.818848,1
6bba_55b7eebe,50,0,0.0,84.0,175.0,0.07889225,2.662151,0.0,2.125597,40.22827,2
6bba_55b7eebe,51,0,0.0,0.0,193.0,0.11522424,1.6181707,0.0,1.7994134,24.405151,2
6bba_55b7eebe,52,0,0.0,31.0,231.0,0.12278214,3.5586996,0.0,2.13031,40.49646,0
6bba_55b7eebe,53,0,7.0,45.0,181.0,0.08221232,1.6489328,0.11111111,2.5168092,66.77893,1
6bba_55b7eebe,54,0,0.0,0.0,223.0,0.14596571,5.821492,0.0,1.7994134,24.405151,1
6bba_55b7eebe,55,0,6.0,36.0,189.0,0.09078884,1.8572563,0.0952381,2.5201738,67.04712,2
6bba_55b7eebe,56,0,4.0,10.0,195.0,0.11101873,1.5943911,0.06349207,2.4861133,64.365234,3
6bba_55b7eebe,57,0,34.0,13.0,116.0,0.06605279,1.3062414,0.53968257,2.5401762,68.65625,0
6bba_55b7eebe,58,0,0.0,29.0,207.0,0.107767045,2.9186718,0.0,2.1396742,41.032837,2
6bba_55b7eebe,59,0,0.0,0.0,208.0,0.112189546,1.7715126,0.0,1.7927979,24.136963,2
6bba_55b7eebe,60,0,8.0,89.0,167.0,0.06480086,1.2887033,0.12698413,2.5434792,68.92444,1
6bba_55b7eebe,61,0,41.0,0.0,44.0,0.036254253,2.3590972,0.6507937,2.1396742,41.032837,0
6bba_55b7eebe,62,0,0.0,68.0,240.0,0.09389449,1.9323288,0.0,2.0623262,36.74182,0
6bba_55b7eebe,63,0,8.0,255.0,240.0,0.12499116,0.08240962,0.12698413,1.632877,18.236816,2
6bba_55b7eebe,64,0,0.0,0.0,243.0,0.12929118,5.010294,0.0,1.7927979,24.136963,2
6bba_55b7eebe,65,0,34.0,0.0,141.0,0.062130086,1.0010617,0.53968257,2.1350024,40.76465,0
6bba_55b7eebe,66,0,2.0,73.0,173.0,0.06371325,1.0222719,0.031746034,2.433201,60.342407,1
6bba_55b7eebe,67,0,0.0,106.0,242.0,0.07528666,1.8397832,0.0,2.0420563,35.669067,0
6bba_55b7eebe,68,0,1.0,39.0,196.0,0.090733506,1.2475644,0.015873017,2.3198614,52.296753,2
6bba_55b7eebe,69,0,0.0,101.0,178.0,0.055948913,0.9157992,0.0,2.0471616,35.937256,1
6bba_55b7eebe,70,0,0.0,255.0,244.0,0.17145416,0.042331845,0.0,1.4229447,12.068481,2
6bba_55b7eebe,71,0,0.0,20.0,198.0,0.09106383,0.4951029,0.0,2.0002632,33.52356,2
6bba_55b7eebe,72,0,2.0,244.0,137.0,0.060334396,0.21556379,0.031746034,2.1986353,44.519287,2
6bba_55b7eebe,73,0,44.0,62.0,22.0,0.02979289,2.235969,0.6984127,2.5434792,68.92444,0
6bba_55b7eebe,74,0,2.0,248.0,240.0,0.11479244,-0.4640242,0.031746034,0.63504404,1.0727539,3
6bba_55b7eebe,75,0,0.0,0.0,255.0,0.110497676,1.0222602,0.0,1.463915,13.141235,1
6bba_55b7eebe,76,0,11.0,109.0,255.0,0.06482357,1.2258404,0.17460318,2.021376,34.596313,0
6bba_55b7eebe,77,0,25.0,0.0,78.0,0.039211396,1.2851684,0.3968254,2.1065323,39.155518,0
6bba_55b7eebe,78,0,24.0,224.0,255.0,0.060477342,0.8063971,0.3809524,2.0871162,38.082764,0
6bba_55b7eebe,79,0,2.0,249.0,135.0,0.067588955,0.09793961,0.031746034,2.1350024,40.76465,2
6bba_55b7eebe,80,0,37.0,67.0,93.0,0.0340368,1.263013,0.5873016,2.493,64.90161,0
6bba_55b7eebe,81,0,26.0,201.0,255.0,0.056330476,0.6616964,0.41269842,2.0723133,37.2782,0
6bba_55b7eebe,82,0,27.0,186.0,255.0,0.05267773,0.81319195,0.42857143,2.0673318,37.01001,0
6bba_55b7eebe,83,0,32.0,194.0,127.0,0.027913725,1.9739311,0.50793654,2.5434792,68.92444,0
6bba_55b7eebe,84,0,2.0,104.0,166.0,0.044740167,0.40781188,0.031746034,2.2998617,50.95581,1
6bba_55b7eebe,85,0,23.0,46.0,183.0,0.060615014,0.95425165,0.36507937,2.5100527,66.24255,0
6bba_55b7eebe,86,0,7.0,0.0,240.0,0.1048399,0.8824921,0.11111111,2.0623262,36.74182,1
6bba_55b7eebe,87,0,2.0,244.0,130.0,0.07047863,-0.22020261,0.031746034,1.6795557,19.845947,2
6bba_55b7eebe,88,1,42.0,226.0,28.0,0.1390556,2.8536792,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,89,1,42.0,143.0,55.0,0.16762275,2.433053,0.6666667,2.5434792,68.92444,0
6bba_55b7eebe,90,1,40.0,69.0,58.0,0.16754553,4.318356,0.63492066,2.5434792,68.92444,0
6bba_55b7eebe,91,1,45.0,43.0,0.0,0.10847658,2.3956633,0.71428573,2.1350024,40.76465,0
6bba_55b7eebe,92,1,46.0,135.0,4.0,0.14381956,2.5083666,0.73015875,2.5401762,68.65625,0
6bba_55b7eebe,93,1,21.0,255.0,13.0,0.16063662,2.3910556,0.33333334,2.1396742,41.032837,0
6bba_55b7eebe,94,1,21.0,66.0,73.0,0.13092065,2.0814252,0.33333334,2.5434792,68.92444,0
6bba_55b7eebe,95,1,18.0,206.0,204.0,0.11829738,3.545843,0.2857143,2.5434792,68.92444,0
6bba_55b7eebe,96,1,45.0,188.0,0.0,0.08267041,8.224239,0.71428573,2.1350024,40.76465,0
6bba_55b7eebe,97,1,23.0,255.0,159.0,0.11359022,7.5025144,0.36507937,2.1396742,41.032837,0
6bba_55b7eebe,98,1,11.0,140.0,242.0,0.12380534,2.2908843,0.17460318,2.5434792,68.92444,0
6bba_55b7eebe,99,1,22.0,0.0,109.0,0.11608005,3.4644012,0.34920636,2.1396742,41.032837,0
6bba_55b7eebe,100,1,18.0,186.0,65.0,0.11029642,1.6442416,0.2857143,2.5434792,68.92444,0
6bba_55b7eebe,101,1,7.0,255.0,118.0,0.13562039,2.1612568,0.11111111,2.1396742,41.032837,0
6bba_55b7eebe,102,1,29.0,45.0,132.0,0.10525937,2.4543593,0.46031746,2.5434792,68.92444,0
6bba_55b7eebe,103,1,25.0,22.0,147.0,0.13865106,5.776798,0.3968254,2.5434792,68.92444,0
6bba_55b7eebe,104,1,37.0,161.0,99.0,0.086174846,2.1163428,0.5873016,2.5434792,68.92444,0
