dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_5c824876,0,0,45.0,71.0,166.0,0.40775445,3.8532453,0.71428573,2.5401762,68.65625,0
6bba_5c824876,1,0,39.0,97.0,18.0,0.49082327,4.0076036,0.61904764,2.5434792,68.92444,1
6bba_5c824876,2,0,34.0,77.0,97.0,0.51504886,2.6623876,0.53968257,2.5401762,68.65625,0
6bba_5c824876,3,0,50.0,120.0,35.0,0.52600026,3.8728566,0.7936508,2.5434792,68.92444,0
6bba_5c824876,4,0,63.0,182.0,26.0,0.40261036,4.799493,1.0,2.1350024,40.76465,0
6bba_5c824876,5,0,51.0,93.0,125.0,0.4586364,3.1305475,0.8095238,2.5401762,68.65625,1
6bba_5c824876,6,0,11.0,44.0,97.0,0.55299467,3.3471181,0.17460318,2.5434792,68.92444,1
6bba_5c824876,7,0,59.0,111.0,91.0,0.4125969,3.6678529,0.93650794,2.5434792,68.92444,1
6bba_5c824876,8,0,50.0,132.0,0.0,0.5150105,2.1374638,0.7936508,2.13031,40.49646,2
6bba_5c824876,9,0,41.0,89.0,71.0,0.4371208,2.3649518,0.6507937,2.5401762,68.65625,1
6bba_5c824876,10,0,23.0,92.0,0.0,0.3712782,5.8940473,0.36507937,2.1350024,40.76465,1
6bba_5c824876,11,0,42.0,127.0,19.0,0.41554376,3.8341503,0.6666667,2.5368643,68.38806,1
6bba_5c824876,12,0,9.0,64.0,0.0,0.41490036,2.1282012,0.14285715,2.1396742,41.032837,1
6bba_5c824876,13,0,60.0,131.0,58.0,0.44594038,2.947313,0.95238096,2.5401762,68.65625,1
6bba_5c824876,14,0,54.0,157.0,72.0,0.37684494,4.002468,0.85714287,2.5401762,68.65625,0
6bba_5c824876,15,0,63.0,149.0,247.0,0.40825126,7.0972443,1.0,2.1396742,41.032837,0
6bba_5c824876,16,0,47.0,127.0,114.0,0.4964656,5.3028255,0.74603176,2.5434792,68.92444,1
6bba_5c824876,17,0,46.0,150.0,0.0,0.3773454,3.6210814,0.73015875,2.1350024,40.76465,1
6bba_5c824876,18,0,52.0,98.0,224.0,0.42309973,3.5315607,0.82539684,2.5401762,68.65625,0
6bba_5c824876,19,0,57.0,191.0,13.0,0.32889783,4.504193,0.9047619,2.5401762,68.65625,1
6bba_5c824876,20,0,35.0,111.0,101.0,0.42205447,4.3852463,0.5555556,2.5401762,68.65625,0
6bba_5c824876,21,0,13.0,59.0,51.0,0.4748453,2.6475303,0.20634921,2.5401762,68.65625,0
6bba_5c824876,22,0,58.0,133.0,0.0,0.47351784,1.207114,0.9206349,2.1065323,39.155518,2
6bba_5c824876,23,0,51.0,124.0,87.0,0.3862893,3.4819083,0.8095238,2.5368643,68.38806,1
6bba_5c824876,24,0,57.0,139.0,187.0,0.39087316,3.584189,0.9047619,2.5434792,68.92444,1
6bba_5c824876,25,0,49.0,114.0,150.0,0.448249,3.1702652,0.7777778,2.5434792,68.92444,2
6bba_5c824876,26,0,26.0,69.0,74.0,0.4122854,3.2421107,0.41269842,2.5401762,68.65625,0
6bba_5c824876,27,0,31.0,69.0,232.0,0.44774505,5.2958555,0.4920635,2.5434792,68.92444,1
6bba_5c824876,28,0,59.0,130.0,9.0,0.4227317,1.3742132,0.93650794,2.499849,65.43799,3
6bba_5c824876,29,0,55.0,135.0,22.0,0.33053723,2.494107,0.8730159,2.4861133,64.365234,1
6bba_5c824876,30,0,24.0,76.0,161.0,0.44830197,3.6736615,0.3809524,2.5368643,68.38806,2
6bba_5c824876,31,0,0.0,64.0,0.0,0.43251523,1.8905988,0.0,1.7927979,24.136963,1
6bba_5c824876,32,0,41.0,132.0,81.0,0.36683166,4.11328,0.6507937,2.5368643,68.38806,2
6bba_5c824876,33,0,28.0,68.0,137.0,0.43785205,3.0271635,0.44444445,2.5368643,68.38806,2
6bba_5c824876,34,0,33.0,84.0,57.0,0.4223119,2.9876993,0.52380955,2.5434792,68.92444,0
6bba_5c824876,35,0,35.0,66.0,125.0,0.35711184,2.048812,0.5555556,2.5235295,67.31531,1
6bba_5c824876,36,0,28.0,68.0,208.0,0.5077875,3.8892267,0.44444445,2.5434792,68.92444,2
6bba_5c824876,37,0,43.0,99.0,246.0,0.45691636,4.366383,0.6825397,2.5434792,68.92444,0
6bba_5c824876,38,0,47.0,99.0,182.0,0.37075278,3.3400402,0.74603176,2.5368643,68.38806,1
6bba_5c824876,39,0,8.0,83.0,10.0,0.4338864,3.7406983,0.12698413,2.5368643,68.38806,2
6bba_5c824876,40,0,13.0,57.0,123.0,0.48842368,4.027833,0.20634921,2.5434792,68.92444,1
6bba_5c824876,41,0,63.0,145.0,96.0,0.3950824,3.9828463,1.0,2.1396742,41.032837,0
6bba_5c824876,42,0,24.0,71.0,115.0,0.51069707,3.5052128,0.3809524,2.5368643,68.38806,1
6bba_5c824876,43,0,1.0,46.0,34.0,0.41071305,3.5100017,0.015873017,2.3316977,53.10132,0
6bba_5c824876,44,0,52.0,160.0,11.0,0.35448492,3.6589708,0.82539684,2.5401762,68.65625,1
6bba_5c824876,45,0,38.0,113.0,67.0,0.47189605,3.4023285,0.6031746,2.5434792,68.92444,0
6bba_5c824876,46,0,40.0,107.0,210.0,0.43308896,3.0118911,0.63492066,2.5434792,68.92444,0
6bba_5c824876,47,0,48.0,133.0,52.0,0.39762807,1.8397269,0.7619048,2.5401762,68.65625,2
6bba_5c824876,48,0,25.0,49.0,138.0,0.35234034,3.390249,0.3968254,2.5434792,68.92444,0
6bba_5c824876,49,0,63.0,135.0,145.0,0.32214242,2.5870142,1.0,2.1161075,39.691895,2
6bba_5c824876,50,0,0.0,79.0,36.0,0.49208108,3.123974,0.0,2.1396742,41.032837,0
6bba_5c824876,51,0,55.0,110.0,125.0,0.336882,4.212074,0.8730159,2.5401762,68.65625,0
6bba_5c824876,52,0,31.0,99.0,72.0,0.4910518,3.0913382,0.4920635,2.5434792,68.92444,2
6bba_5c824876,53,0,12.0,63.0,92.0,0.4540357,3.2074537,0.1904762,2.5368643,68.38806,0
6bba_5c824876,54,0,47.0,132.0,46.0,0.4153525,2.328224,0.74603176,2.5401762,68.65625,2
6bba_5c824876,55,0,5.0,63.0,67.0,0.44722906,3.0058913,0.07936508,2.4791882,63.828857,0
6bba_5c824876,56,0,43.0,74.0,249.0,0.3987599,4.398921,0.6825397,2.5434792,68.92444,0
6bba_5c824876,57,0,32.0,75.0,173.0,0.39167663,3.6019762,0.50793654,2.5434792,68.92444,1
6bba_5c824876,58,0,21.0,108.0,26.0,0.40995437,3.507689,0.33333334,2.5434792,68.92444,2
6bba_5c824876,59,0,29.0,51.0,169.0,0.33350572,5.0367393,0.46031746,2.5434792,68.92444,0
6bba_5c824876,60,0,36.0,90.0,131.0,0.3668112,3.2250473,0.5714286,2.5368643,68.38806,0
6bba_5c824876,61,0,0.0,24.0,192.0,0.36480892,3.3213053,0.0,2.1396742,41.032837,1
6bba_5c824876,62,0,33.0,75.0,150.0,0.39917248,2.8615127,0.52380955,2.5434792,68.92444,1
6bba_5c824876,63,0,11.0,85.0,83.0,0.46953735,4.476647,0.17460318,2.5434792,68.92444,1
6bba_5c824876,64,0,22.0,108.0,159.0,0.3340013,4.4737678,0.34920636,2.5401762,68.65625,0
6bba_5c824876,65,0,63.0,148.0,184.0,0.35702235,1.9666306,1.0,2.1396742,41.032837,1
6bba_5c824876,66,0,16.0,83.0,34.0,0.40149745,2.8556283,0.25396827,2.5302145,67.851685,0
6bba_5c824876,67,0,55.0,95.0,194.0,0.3129355,2.7752783,0.8730159,2.5335438,68.11987,1
