dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_6ca87370,0,0,19.0,109.0,241.0,0.18447998,5.662116,0.3015873,2.5268764,67.583496,0
6bba_6ca87370,1,0,7.0,120.0,129.0,0.29982752,5.3843913,0.11111111,2.4791882,63.828857,1
6bba_6ca87370,2,0,0.0,220.0,186.0,0.34167463,3.2534246,0.0,2.1396742,41.032837,0
6bba_6ca87370,3,0,0.0,82.0,193.0,0.2999364,2.7715862,0.0,2.1350024,40.76465,0
6bba_6ca87370,4,0,10.0,0.0,232.0,0.29262674,3.875759,0.15873016,2.1350024,40.76465,0
6bba_6ca87370,5,0,0.0,184.0,203.0,0.37444618,2.904151,0.0,2.1396742,41.032837,0
6bba_6ca87370,6,0,0.0,60.0,174.0,0.28734854,3.873194,0.0,2.057296,36.473633,0
6bba_6ca87370,7,0,0.0,109.0,210.0,0.28012368,2.2876585,0.0,2.1396742,41.032837,0
6bba_6ca87370,8,0,6.0,97.0,244.0,0.41783783,3.1130714,0.0952381,2.5401762,68.65625,0
6bba_6ca87370,9,0,0.0,231.0,160.0,0.30992404,4.4524446,0.0,2.1350024,40.76465,0
6bba_6ca87370,10,0,0.0,185.0,232.0,0.3796891,2.9278328,0.0,2.1396742,41.032837,0
6bba_6ca87370,11,0,0.0,156.0,207.0,0.45024198,3.4967666,0.0,2.1396742,41.032837,1
6bba_6ca87370,12,0,5.0,62.0,229.0,0.38311073,2.2129781,0.07936508,2.5401762,68.65625,1
6bba_6ca87370,13,0,0.0,39.0,196.0,0.30388626,1.8254021,0.0,2.1396742,41.032837,0
6bba_6ca87370,14,0,2.0,255.0,189.0,0.35321018,2.6366553,0.031746034,2.0723133,37.2782,1
6bba_6ca87370,15,0,0.0,147.0,226.0,0.42963433,2.7009525,0.0,2.1396742,41.032837,1
6bba_6ca87370,16,0,8.0,60.0,236.0,0.3310611,1.9503556,0.12698413,2.458177,62.219727,1
6bba_6ca87370,17,0,6.0,149.0,255.0,0.42759585,2.2909417,0.0952381,2.1161075,39.691895,0
6bba_6ca87370,18,0,9.0,31.0,245.0,0.52022296,2.3523786,0.14285715,2.5401762,68.65625,0
6bba_6ca87370,19,0,0.0,43.0,103.0,0.21077903,3.7495837,0.0,2.1350024,40.76465,0
6bba_6ca87370,20,0,3.0,171.0,255.0,0.42985776,4.613598,0.04761905,2.1350024,40.76465,0
6bba_6ca87370,21,0,12.0,0.0,157.0,0.2339304,0.8487975,0.1904762,2.0673318,37.01001,1
6bba_6ca87370,22,0,4.0,236.0,218.0,0.36904195,1.9655781,0.06349207,2.5401762,68.65625,0
6bba_6ca87370,23,0,6.0,23.0,209.0,0.30034283,2.1170561,0.0952381,2.4791882,63.828857,0
