dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_78a7bd97,0,0,63.0,121.0,179.0,0.39509264,3.1156287,1.0,2.1396742,41.032837,0
6bba_78a7bd97,1,0,63.0,140.0,201.0,0.2870579,2.3250477,1.0,2.1396742,41.032837,1
6bba_78a7bd97,2,0,63.0,23.0,92.0,0.28997752,4.9884796,1.0,2.1396742,41.032837,1
6bba_78a7bd97,3,0,55.0,121.0,237.0,0.34021336,2.2237082,0.8730159,2.5401762,68.65625,3
6bba_78a7bd97,4,0,55.0,87.0,155.0,0.3327267,1.7307508,0.8730159,2.5434792,68.92444,1
6bba_78a7bd97,5,0,47.0,0.0,83.0,0.27314216,2.5960908,0.74603176,2.1350024,40.76465,0
6bba_78a7bd97,6,0,53.0,39.0,142.0,0.32479927,2.9218907,0.84126985,2.5434792,68.92444,0
6bba_78a7bd97,7,0,56.0,44.0,117.0,0.2836752,2.7982357,0.8888889,2.5401762,68.65625,1
6bba_78a7bd97,8,0,63.0,24.0,122.0,0.32937104,4.9564953,1.0,2.1396742,41.032837,0
6bba_78a7bd97,9,0,42.0,0.0,196.0,0.36774445,2.1267064,0.6666667,2.13031,40.49646,0
6bba_78a7bd97,10,0,46.0,67.0,255.0,0.2820319,1.5662119,0.73015875,2.13031,40.49646,1
6bba_78a7bd97,11,0,52.0,87.0,132.0,0.24580216,1.9088347,0.82539684,2.5401762,68.65625,1
6bba_78a7bd97,12,0,45.0,40.0,243.0,0.33314824,1.9403306,0.71428573,2.5401762,68.65625,0
6bba_78a7bd97,13,0,63.0,158.0,255.0,0.29871196,2.499728,1.0,1.7994134,24.405151,0
6bba_78a7bd97,14,0,62.0,121.0,220.0,0.34505954,4.0263367,0.984127,2.3316977,53.10132,1
6bba_78a7bd97,15,0,48.0,22.0,65.0,0.24789351,3.1509454,0.7619048,2.5434792,68.92444,1
6bba_78a7bd97,16,0,63.0,131.0,236.0,0.36706388,3.001454,1.0,2.1396742,41.032837,2
6bba_78a7bd97,17,0,63.0,162.0,227.0,0.26368177,2.4069943,1.0,2.1396742,41.032837,0
6bba_78a7bd97,18,0,46.0,18.0,219.0,0.30281672,1.7524774,0.73015875,2.5335438,68.11987,2
6bba_78a7bd97,19,0,55.0,76.0,131.0,0.25905463,1.6494372,0.8730159,2.5302145,67.851685,1
6bba_78a7bd97,20,0,52.0,90.0,230.0,0.35750026,2.3387394,0.82539684,2.5368643,68.38806,1
6bba_78a7bd97,21,0,56.0,85.0,99.0,0.19892381,1.74282,0.8888889,2.5434792,68.92444,0
6bba_78a7bd97,22,0,47.0,48.0,179.0,0.3106633,1.906542,0.74603176,2.5401762,68.65625,1
6bba_78a7bd97,23,0,53.0,96.0,248.0,0.30245194,1.0827247,0.84126985,2.5201738,67.04712,2
6bba_78a7bd97,24,0,38.0,17.0,160.0,0.2742464,2.0163653,0.6031746,2.5434792,68.92444,0
6bba_78a7bd97,25,0,61.0,127.0,150.0,0.20559624,4.530227,0.96825397,2.4687274,63.024292,0
6bba_78a7bd97,26,0,46.0,14.0,111.0,0.2841372,1.8337607,0.73015875,2.5434792,68.92444,2
