dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_acd782a8,0,0,37.0,109.0,0.0,0.47785422,7.113924,0.5873016,2.1350024,40.76465,0
6bba_acd782a8,1,0,63.0,97.0,189.0,0.5807288,10.045108,1.0,2.1350024,40.76465,1
6bba_acd782a8,2,0,42.0,120.0,34.0,0.519468,3.4883552,0.6666667,2.5401762,68.65625,1
6bba_acd782a8,3,0,55.0,97.0,46.0,0.4024042,4.8154416,0.8730159,2.5368643,68.38806,0
6bba_acd782a8,4,0,62.0,57.0,0.0,0.5867823,3.4378018,0.984127,1.9566469,31.378052,0
6bba_acd782a8,5,0,63.0,100.0,110.0,0.5833455,5.8983893,1.0,2.1396742,41.032837,0
6bba_acd782a8,6,0,63.0,82.0,93.0,0.4683495,6.5668755,1.0,2.1396742,41.032837,1
6bba_acd782a8,7,0,38.0,152.0,207.0,0.5514179,2.9655116,0.6031746,2.5434792,68.92444,0
6bba_acd782a8,8,0,48.0,124.0,95.0,0.4288422,5.0541334,0.7619048,2.5434792,68.92444,0
6bba_acd782a8,9,0,47.0,110.0,63.0,0.45111305,4.5777354,0.74603176,2.5368643,68.38806,1
6bba_acd782a8,10,0,58.0,56.0,55.0,0.38839266,5.61646,0.9206349,2.5401762,68.65625,0
6bba_acd782a8,11,0,27.0,156.0,74.0,0.46794868,3.8386269,0.42857143,2.5434792,68.92444,1
6bba_acd782a8,12,0,24.0,141.0,20.0,0.44975126,3.2402678,0.3809524,2.5434792,68.92444,1
6bba_acd782a8,13,0,42.0,133.0,133.0,0.52149624,4.1859007,0.6666667,2.5434792,68.92444,0
6bba_acd782a8,14,0,9.0,188.0,166.0,0.47874752,5.223673,0.14285715,2.5434792,68.92444,1
6bba_acd782a8,15,0,33.0,121.0,30.0,0.4227014,2.1418784,0.52380955,2.5335438,68.11987,1
6bba_acd782a8,16,0,51.0,121.0,186.0,0.5445749,4.7771955,0.8095238,2.5434792,68.92444,0
6bba_acd782a8,17,0,39.0,102.0,105.0,0.43193558,6.814491,0.61904764,2.5401762,68.65625,0
6bba_acd782a8,18,0,58.0,111.0,150.0,0.4591354,2.2414536,0.9206349,2.5401762,68.65625,0
6bba_acd782a8,19,0,34.0,134.0,90.0,0.5623548,3.5744805,0.53968257,2.5434792,68.92444,0
6bba_acd782a8,20,0,49.0,128.0,160.0,0.51713306,4.0466,0.7777778,2.5434792,68.92444,1
6bba_acd782a8,21,0,11.0,183.0,98.0,0.4787714,4.031698,0.17460318,2.5434792,68.92444,1
6bba_acd782a8,22,0,11.0,152.0,33.0,0.44450182,4.665718,0.17460318,2.5401762,68.65625,0
6bba_acd782a8,23,0,32.0,151.0,118.0,0.4699002,3.034091,0.50793654,2.5368643,68.38806,1
6bba_acd782a8,24,0,43.0,101.0,20.0,0.38484755,4.47391,0.6825397,2.5401762,68.65625,1
6bba_acd782a8,25,0,28.0,161.0,159.0,0.45311734,2.845015,0.44444445,2.5434792,68.92444,1
6bba_acd782a8,26,0,19.0,160.0,58.0,0.37549406,3.3277009,0.3015873,2.5401762,68.65625,0
6bba_acd782a8,27,0,57.0,88.0,13.0,0.3554593,3.017955,0.9047619,2.5201738,67.04712,0
6bba_acd782a8,28,0,40.0,134.0,68.0,0.46888265,2.3100917,0.63492066,2.5434792,68.92444,2
6bba_acd782a8,29,0,55.0,113.0,105.0,0.37279436,3.6332576,0.8730159,2.5401762,68.65625,0
6bba_acd782a8,30,0,55.0,94.0,94.0,0.3753509,3.0194397,0.8730159,2.5401762,68.65625,2
6bba_acd782a8,31,0,63.0,67.0,23.0,0.29462722,4.0230265,1.0,2.0055833,33.791748,0
6bba_acd782a8,32,0,61.0,98.0,224.0,0.4476976,5.5648255,0.96825397,2.4687274,63.024292,1
6bba_acd782a8,33,0,17.0,165.0,165.0,0.43404558,3.196627,0.26984128,2.5401762,68.65625,1
6bba_acd782a8,34,0,32.0,142.0,72.0,0.45661813,2.1254826,0.50793654,2.5401762,68.65625,2
6bba_acd782a8,35,0,51.0,54.0,12.0,0.34974802,2.164821,0.8095238,2.5401762,68.65625,0
6bba_acd782a8,36,0,27.0,121.0,0.0,0.35849229,4.717975,0.42857143,2.1350024,40.76465,0
