dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_eebc57a5,0,0,11.0,85.0,255.0,0.22853485,4.2625756,0.17460318,2.092004,38.350952,0
6bba_eebc57a5,1,0,12.0,42.0,170.0,0.32300594,3.4286618,0.1904762,2.493,64.90161,0
6bba_eebc57a5,2,0,8.0,36.0,219.0,0.269586,5.021012,0.12698413,2.5134354,66.51074,0
6bba_eebc57a5,3,0,10.0,104.0,114.0,0.32339594,2.5605924,0.15873016,2.4368005,60.610596,0
6bba_eebc57a5,4,0,26.0,64.0,59.0,0.32947332,3.0079865,0.41269842,2.5032594,65.70618,0
6bba_eebc57a5,5,0,12.0,72.0,125.0,0.30525544,2.583263,0.1904762,2.5368643,68.38806,0
6bba_eebc57a5,6,0,0.0,83.0,213.0,0.31903812,3.9026985,0.0,2.1396742,41.032837,1
6bba_eebc57a5,7,0,0.0,220.0,80.0,0.32878,2.6636333,0.0,2.0317688,35.13269,1
6bba_eebc57a5,8,0,6.0,57.0,198.0,0.2552538,2.8896852,0.0952381,2.4040146,58.1969,0
6bba_eebc57a5,9,0,11.0,177.0,41.0,0.38612697,2.8352306,0.17460318,2.5335438,68.11987,0
6bba_eebc57a5,10,0,12.0,15.0,214.0,0.20294029,3.756942,0.1904762,2.4652207,62.756104,0
6bba_eebc57a5,11,0,17.0,115.0,58.0,0.39083487,2.83612,0.26984128,2.5032594,65.70618,0
6bba_eebc57a5,12,0,17.0,18.0,167.0,0.23988904,2.9256089,0.26984128,2.5134354,66.51074,1
6bba_eebc57a5,13,0,36.0,52.0,19.0,0.2658929,4.0604773,0.5714286,2.5335438,68.11987,0
6bba_eebc57a5,14,0,0.0,165.0,123.0,0.2529665,3.6661632,0.0,2.0317688,35.13269,0
6bba_eebc57a5,15,0,10.0,117.0,218.0,0.3367576,1.7714154,0.15873016,2.5368643,68.38806,0
6bba_eebc57a5,16,0,8.0,83.0,149.0,0.28061062,3.9381998,0.12698413,2.5100527,66.24255,0
6bba_eebc57a5,17,0,7.0,26.0,255.0,0.19944815,4.82131,0.11111111,2.0968692,38.61914,0
6bba_eebc57a5,18,0,8.0,134.0,218.0,0.33189452,1.6467948,0.12698413,2.5268764,67.583496,0
6bba_eebc57a5,19,0,17.0,48.0,126.0,0.26980463,2.6764786,0.26984128,2.5168092,66.77893,1
6bba_eebc57a5,20,0,0.0,197.0,105.0,0.22737356,3.1963472,0.0,2.0317688,35.13269,0
6bba_eebc57a5,21,0,25.0,0.0,127.0,0.21804607,5.5179386,0.3968254,2.0673318,37.01001,0
6bba_eebc57a5,22,0,5.0,137.0,111.0,0.24860771,2.5010781,0.07936508,2.3816502,56.58777,1
6bba_eebc57a5,23,0,3.0,56.0,242.0,0.26911008,3.3788025,0.04761905,2.4403894,60.878784,0
6bba_eebc57a5,24,0,14.0,157.0,145.0,0.23596253,1.830557,0.22222222,2.5368643,68.38806,0
6bba_eebc57a5,25,0,19.0,45.0,117.0,0.23094432,2.4240394,0.3015873,2.4113774,58.733276,1
6bba_eebc57a5,26,0,18.0,17.0,160.0,0.25430244,3.080809,0.2857143,2.4652207,62.756104,1
6bba_eebc57a5,27,0,36.0,22.0,47.0,0.2651277,2.662733,0.5714286,2.458177,62.219727,0
6bba_eebc57a5,28,0,18.0,143.0,23.0,0.34233266,3.3723795,0.2857143,2.5368643,68.38806,0
6bba_eebc57a5,29,0,0.0,72.0,255.0,0.35695928,2.9451494,0.0,1.7019525,20.650513,0
6bba_eebc57a5,30,0,17.0,75.0,96.0,0.22736795,3.0011754,0.26984128,2.5134354,66.51074,1
6bba_eebc57a5,31,0,9.0,138.0,202.0,0.26983267,1.4488782,0.14285715,2.499849,65.43799,0
6bba_eebc57a5,32,0,31.0,17.0,78.0,0.27329683,2.5319242,0.4920635,2.4439676,61.146973,0
6bba_eebc57a5,33,0,11.0,139.0,68.0,0.25520357,2.7640257,0.17460318,2.4652207,62.756104,0
6bba_eebc57a5,34,0,4.0,180.0,84.0,0.341371,2.3783686,0.06349207,2.3891516,57.124146,0
