dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_f8ffd5e7,0,0,47.0,35.0,201.0,0.53576875,2.8862054,0.74603176,2.5335438,68.11987,1
6bba_f8ffd5e7,1,0,58.0,58.0,174.0,0.4716457,2.5888247,0.9206349,2.4687274,63.024292,1
6bba_f8ffd5e7,2,0,47.0,63.0,166.0,0.46045402,1.7742583,0.74603176,2.3891516,57.124146,2
6bba_f8ffd5e7,3,0,44.0,110.0,118.0,0.59643555,2.293792,0.6984127,2.5368643,68.38806,2
6bba_f8ffd5e7,4,0,32.0,52.0,197.0,0.5312805,2.716131,0.50793654,2.5401762,68.65625,0
6bba_f8ffd5e7,5,0,8.0,32.0,236.0,0.47165695,2.124566,0.12698413,2.5268764,67.583496,3
6bba_f8ffd5e7,6,0,48.0,158.0,71.0,0.5118756,2.3640654,0.7619048,2.499849,65.43799,1
6bba_f8ffd5e7,7,0,40.0,67.0,157.0,0.472521,2.1375787,0.63492066,2.5368643,68.38806,1
6bba_f8ffd5e7,8,0,11.0,108.0,132.0,0.5064337,2.7760935,0.17460318,2.5368643,68.38806,1
6bba_f8ffd5e7,9,0,13.0,86.0,220.0,0.5110713,3.3253953,0.20634921,2.5302145,67.851685,2
6bba_f8ffd5e7,10,0,33.0,166.0,69.0,0.5992162,2.2962103,0.52380955,2.475711,63.56067,1
6bba_f8ffd5e7,11,0,34.0,135.0,98.0,0.56460357,2.4957182,0.53968257,2.5434792,68.92444,1
6bba_f8ffd5e7,12,0,48.0,84.0,146.0,0.4451399,1.9830322,0.7619048,2.4077017,58.465088,1
6bba_f8ffd5e7,13,0,28.0,107.0,124.0,0.46148047,2.9473882,0.44444445,2.4652207,62.756104,0
6bba_f8ffd5e7,14,0,54.0,112.0,118.0,0.5131895,1.387754,0.85714287,2.4652207,62.756104,2
6bba_f8ffd5e7,15,0,5.0,205.0,59.0,0.5683938,2.6484575,0.07936508,2.5335438,68.11987,1
6bba_f8ffd5e7,16,0,63.0,197.0,46.0,0.54135203,2.7816772,1.0,2.1396742,41.032837,0
6bba_f8ffd5e7,17,0,63.0,96.0,163.0,0.54488486,2.4897714,1.0,2.1017118,38.88733,1
6bba_f8ffd5e7,18,0,40.0,207.0,35.0,0.50455266,2.924149,0.63492066,2.5302145,67.851685,1
6bba_f8ffd5e7,19,0,26.0,67.0,175.0,0.4861051,2.3047223,0.41269842,2.493,64.90161,0
6bba_f8ffd5e7,20,0,9.0,96.0,174.0,0.47933078,2.6190403,0.14285715,2.4150422,59.001465,0
6bba_f8ffd5e7,21,0,37.0,76.0,180.0,0.48773992,1.8806304,0.5873016,2.3778818,56.31958,1
6bba_f8ffd5e7,22,0,14.0,151.0,90.0,0.5016227,2.1067138,0.22222222,2.4368005,60.610596,0
6bba_f8ffd5e7,23,0,55.0,126.0,124.0,0.5769317,2.0293174,0.8730159,2.5368643,68.38806,0
6bba_f8ffd5e7,24,0,63.0,25.0,254.0,0.37600684,2.4491765,1.0,1.8444173,26.28247,0
6bba_f8ffd5e7,25,0,29.0,201.0,48.0,0.48764288,2.236126,0.46031746,2.458177,62.219727,1
6bba_f8ffd5e7,26,0,4.0,240.0,72.0,0.5019996,2.0313883,0.06349207,2.429591,60.07422,0
6bba_f8ffd5e7,27,0,3.0,79.0,184.0,0.46697205,2.7231765,0.04761905,2.418696,59.269653,0
6bba_f8ffd5e7,28,0,13.0,61.0,186.0,0.47105226,1.7391392,0.20634921,2.4687274,63.024292,0
6bba_f8ffd5e7,29,0,24.0,194.0,71.0,0.4874077,2.7279456,0.3809524,2.4475355,61.41516,0
6bba_f8ffd5e7,30,0,33.0,32.0,215.0,0.40478125,2.4800105,0.52380955,2.4617038,62.487915,0
6bba_f8ffd5e7,31,0,58.0,143.0,88.0,0.5125177,1.8573931,0.9206349,2.499849,65.43799,1
6bba_f8ffd5e7,32,0,58.0,41.0,207.0,0.4267092,1.4618416,0.9206349,2.451093,61.68335,1
6bba_f8ffd5e7,33,0,6.0,143.0,124.0,0.59321445,2.945708,0.0952381,2.5368643,68.38806,1
6bba_f8ffd5e7,34,0,22.0,34.0,237.0,0.50884867,2.0650928,0.34920636,2.5434792,68.92444,3
6bba_f8ffd5e7,35,0,47.0,239.0,9.0,0.45933247,2.9079962,0.74603176,2.499849,65.43799,0
6bba_f8ffd5e7,36,0,54.0,27.0,240.0,0.3987235,1.4869088,0.85714287,2.3854067,56.855957,1
6bba_f8ffd5e7,37,0,43.0,25.0,238.0,0.46929434,2.1997375,0.6825397,2.499849,65.43799,3
6bba_f8ffd5e7,38,0,33.0,232.0,20.0,0.52386975,2.1159244,0.52380955,2.4475355,61.41516,1
6bba_f8ffd5e7,39,0,25.0,26.0,235.0,0.47792366,1.733677,0.3968254,2.5434792,68.92444,3
6bba_f8ffd5e7,40,0,57.0,77.0,205.0,0.5553005,2.0387375,0.9047619,2.5168092,66.77893,1
6bba_f8ffd5e7,41,0,0.0,72.0,221.0,0.41363302,2.0445223,0.0,2.016139,34.328125,0
6bba_f8ffd5e7,42,0,47.0,54.0,214.0,0.5051946,2.281722,0.74603176,2.4687274,63.024292,0
6bba_f8ffd5e7,43,0,27.0,101.0,150.0,0.52149034,1.9266711,0.42857143,2.4368005,60.610596,2
6bba_f8ffd5e7,44,0,63.0,81.0,207.0,0.53397596,1.1683261,1.0,2.0420563,35.669067,1
6bba_f8ffd5e7,45,0,63.0,167.0,114.0,0.5043056,3.1708167,1.0,2.13031,40.49646,1
6bba_f8ffd5e7,46,0,19.0,174.0,82.0,0.5265814,1.8815918,0.3015873,2.4687274,63.024292,2
6bba_f8ffd5e7,47,0,50.0,79.0,229.0,0.42714778,2.873511,0.7936508,2.5368643,68.38806,0
6bba_f8ffd5e7,48,0,56.0,233.0,23.0,0.44419187,3.0191848,0.8888889,2.3928847,57.392334,1
6bba_f8ffd5e7,49,0,20.0,26.0,234.0,0.44914484,1.3533231,0.31746033,2.5434792,68.92444,3
6bba_f8ffd5e7,50,0,63.0,30.0,223.0,0.40863934,3.3592272,1.0,2.1350024,40.76465,0
6bba_f8ffd5e7,51,0,53.0,219.0,79.0,0.46779013,1.8892045,0.84126985,2.3816502,56.58777,3
6bba_f8ffd5e7,52,0,50.0,153.0,96.0,0.51093876,1.3322763,0.7936508,2.4475355,61.41516,1
6bba_f8ffd5e7,53,0,14.0,168.0,120.0,0.4801127,2.0803075,0.22222222,2.3741014,56.05139,2
6bba_f8ffd5e7,54,0,56.0,217.0,58.0,0.50321084,2.2549903,0.8888889,2.4964292,65.1698,0
6bba_f8ffd5e7,55,0,40.0,169.0,68.0,0.52883387,1.2572923,0.63492066,2.5032594,65.70618,2
6bba_f8ffd5e7,56,0,60.0,92.0,141.0,0.44662207,2.6911724,0.95238096,2.5302145,67.851685,0
6bba_f8ffd5e7,57,0,42.0,9.0,240.0,0.40270787,2.1641614,0.6666667,2.5100527,66.24255,0
6bba_f8ffd5e7,58,0,34.0,101.0,138.0,0.456354,1.358171,0.53968257,2.396606,57.660522,2
6bba_f8ffd5e7,59,0,3.0,255.0,31.0,0.47655874,1.8941028,0.04761905,2.0471616,35.937256,1
6bba_f8ffd5e7,60,0,45.0,206.0,56.0,0.4713677,2.111963,0.71428573,2.472224,63.29248,0
6bba_f8ffd5e7,61,0,31.0,150.0,112.0,0.5232091,2.7619903,0.4920635,2.4826555,64.097046,1
6bba_f8ffd5e7,62,0,25.0,236.0,16.0,0.48512718,1.3648632,0.3968254,2.4964292,65.1698,1
6bba_f8ffd5e7,63,0,36.0,66.0,208.0,0.49203783,2.0589418,0.5714286,2.4439676,61.146973,0
6bba_f8ffd5e7,64,0,22.0,141.0,101.0,0.45681682,1.3352818,0.34920636,2.3928847,57.392334,1
6bba_f8ffd5e7,65,0,30.0,215.0,57.0,0.47647548,2.255111,0.47619048,2.4652207,62.756104,1
6bba_f8ffd5e7,66,0,58.0,255.0,45.0,0.50754684,2.6676486,0.9206349,2.0420563,35.669067,1
6bba_f8ffd5e7,67,0,48.0,55.0,246.0,0.4145527,1.8088645,0.7619048,2.3928847,57.392334,3
6bba_f8ffd5e7,68,0,36.0,191.0,52.0,0.44141498,1.9823388,0.5714286,2.5168092,66.77893,1
6bba_f8ffd5e7,69,0,53.0,183.0,60.0,0.43409944,2.7855942,0.84126985,2.5066607,65.974365,0
