dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_1574802b,0,0,39.0,142.0,181.0,0.44128993,2.934391,0.61904764,2.5434792,68.92444,0
44b6_1574802b,1,0,4.0,155.0,206.0,0.4541258,3.4161417,0.06349207,2.5401762,68.65625,0
44b6_1574802b,2,0,47.0,131.0,96.0,0.52726245,3.2183695,0.74603176,2.5434792,68.92444,1
44b6_1574802b,3,0,48.0,129.0,120.0,0.58040285,3.8650048,0.7619048,2.5434792,68.92444,1
44b6_1574802b,4,0,42.0,139.0,154.0,0.6597937,3.2059686,0.6666667,2.5434792,68.92444,0
44b6_1574802b,5,0,29.0,147.0,166.0,0.49128017,4.0057163,0.46031746,2.5434792,68.92444,0
44b6_1574802b,6,0,49.0,130.0,173.0,0.4454981,3.3936725,0.7777778,2.5434792,68.92444,0
44b6_1574802b,7,0,21.0,141.0,31.0,0.40891406,3.2749572,0.33333334,2.5368643,68.38806,2
44b6_1574802b,8,0,48.0,105.0,207.0,0.44265252,3.1375716,0.7619048,2.5434792,68.92444,1
44b6_1574802b,9,0,47.0,122.0,53.0,0.44301358,2.4225988,0.74603176,2.5368643,68.38806,2
44b6_1574802b,10,0,53.0,122.0,77.0,0.39825082,2.8631706,0.84126985,2.5335438,68.11987,2
44b6_1574802b,11,0,26.0,149.0,125.0,0.54031706,3.283713,0.41269842,2.5401762,68.65625,2
44b6_1574802b,12,0,18.0,148.0,209.0,0.46475658,3.249493,0.2857143,2.5434792,68.92444,1
44b6_1574802b,13,0,33.0,139.0,88.0,0.45919526,2.367185,0.52380955,2.5401762,68.65625,1
44b6_1574802b,14,0,59.0,106.0,52.0,0.5313576,4.0160117,0.93650794,2.5434792,68.92444,0
44b6_1574802b,15,0,14.0,145.0,234.0,0.5095842,2.606329,0.22222222,2.5434792,68.92444,0
44b6_1574802b,16,0,47.0,128.0,224.0,0.54307157,4.578224,0.74603176,2.5434792,68.92444,1
44b6_1574802b,17,0,23.0,153.0,147.0,0.44262007,1.5604157,0.36507937,2.5066607,65.974365,2
44b6_1574802b,18,0,27.0,147.0,82.0,0.51439315,2.9326198,0.42857143,2.5401762,68.65625,1
44b6_1574802b,19,0,34.0,147.0,141.0,0.45529583,2.3042634,0.53968257,2.5434792,68.92444,1
44b6_1574802b,20,0,52.0,124.0,193.0,0.49028596,4.0240607,0.82539684,2.5434792,68.92444,0
44b6_1574802b,21,0,54.0,121.0,105.0,0.42560747,2.0635984,0.85714287,2.5235295,67.31531,0
44b6_1574802b,22,0,0.0,154.0,88.0,0.41258737,1.346927,0.0,2.1350024,40.76465,2
44b6_1574802b,23,0,60.0,116.0,122.0,0.4345719,3.5171258,0.95238096,2.5368643,68.38806,0
44b6_1574802b,24,0,41.0,128.0,36.0,0.49534285,2.8064647,0.6507937,2.5401762,68.65625,1
44b6_1574802b,25,0,9.0,151.0,83.0,0.49595198,2.7876005,0.14285715,2.5434792,68.92444,2
44b6_1574802b,26,0,51.0,128.0,143.0,0.49103528,2.1602495,0.8095238,2.5401762,68.65625,0
44b6_1574802b,27,0,63.0,110.0,99.0,0.5576738,4.3993034,1.0,2.1396742,41.032837,1
44b6_1574802b,28,0,26.0,148.0,188.0,0.4654264,2.9699726,0.41269842,2.5434792,68.92444,1
44b6_1574802b,29,0,14.0,138.0,10.0,0.4098978,2.1231432,0.22222222,2.5401762,68.65625,3
44b6_1574802b,30,0,51.0,102.0,177.0,0.4525277,2.7861307,0.8095238,2.5434792,68.92444,3
44b6_1574802b,31,0,5.0,154.0,184.0,0.61954254,2.4977028,0.07936508,2.5434792,68.92444,2
44b6_1574802b,32,0,36.0,142.0,213.0,0.5454012,4.1687217,0.5714286,2.5434792,68.92444,3
44b6_1574802b,33,0,33.0,134.0,51.0,0.52563614,2.2927077,0.52380955,2.5401762,68.65625,2
44b6_1574802b,34,0,36.0,109.0,207.0,0.43372133,3.19774,0.5714286,2.5434792,68.92444,2
44b6_1574802b,35,0,39.0,120.0,0.0,0.41043746,1.4891163,0.61904764,2.0968692,38.61914,3
44b6_1574802b,36,0,38.0,132.0,255.0,0.37162787,2.414795,0.6031746,2.1350024,40.76465,1
44b6_1574802b,37,0,24.0,143.0,59.0,0.4842443,2.3073344,0.3809524,2.5434792,68.92444,3
44b6_1574802b,38,0,46.0,115.0,0.0,0.4128212,2.4193943,0.73015875,2.1161075,39.691895,3
44b6_1574802b,39,0,53.0,115.0,251.0,0.48392928,5.2546124,0.84126985,2.5434792,68.92444,1
44b6_1574802b,40,0,0.0,153.0,229.0,0.5727164,2.6134958,0.0,2.1396742,41.032837,1
44b6_1574802b,41,0,45.0,117.0,26.0,0.5273901,2.729554,0.71428573,2.5434792,68.92444,2
44b6_1574802b,42,0,5.0,153.0,113.0,0.572693,2.7383041,0.07936508,2.5434792,68.92444,1
44b6_1574802b,43,0,63.0,113.0,182.0,0.5324354,3.7128878,1.0,2.1396742,41.032837,0
44b6_1574802b,44,0,15.0,153.0,151.0,0.51926064,2.429836,0.23809524,2.5434792,68.92444,2
44b6_1574802b,45,0,0.0,146.0,255.0,0.51493186,4.8041415,0.0,1.7994134,24.405151,2
44b6_1574802b,46,0,31.0,144.0,107.0,0.62034315,3.0669787,0.4920635,2.5434792,68.92444,2
44b6_1574802b,47,0,63.0,93.0,123.0,0.40765822,4.082613,1.0,2.1396742,41.032837,1
44b6_1574802b,48,0,55.0,121.0,160.0,0.44178492,1.8565071,0.8730159,2.5168092,66.77893,0
44b6_1574802b,49,0,63.0,74.0,236.0,0.3598252,3.1259193,1.0,2.1396742,41.032837,0
44b6_1574802b,50,0,23.0,148.0,100.0,0.51084846,1.8210561,0.36507937,2.5434792,68.92444,2
44b6_1574802b,51,0,6.0,145.0,23.0,0.40070182,2.8733208,0.0952381,2.5434792,68.92444,1
44b6_1574802b,52,0,43.0,133.0,71.0,0.4692264,1.9089639,0.6825397,2.5401762,68.65625,1
44b6_1574802b,53,0,63.0,82.0,48.0,0.3413688,2.724405,1.0,2.1396742,41.032837,0
44b6_1574802b,54,0,19.0,149.0,56.0,0.48602027,2.6117053,0.3015873,2.5434792,68.92444,3
44b6_1574802b,55,0,13.0,152.0,190.0,0.5355249,1.7982196,0.20634921,2.5434792,68.92444,2
44b6_1574802b,56,0,6.0,155.0,140.0,0.5919912,2.8171437,0.0952381,2.5434792,68.92444,1
44b6_1574802b,57,0,55.0,91.0,59.0,0.38858703,2.681818,0.8730159,2.5335438,68.11987,0
44b6_1574802b,58,0,42.0,136.0,203.0,0.3700004,1.5124273,0.6666667,2.5401762,68.65625,1
44b6_1574802b,59,0,17.0,154.0,125.0,0.4375548,1.0743929,0.26984128,2.5434792,68.92444,3
44b6_1574802b,60,0,19.0,151.0,99.0,0.50108844,2.4510713,0.3015873,2.5434792,68.92444,1
44b6_1574802b,61,0,25.0,135.0,0.0,0.48236275,1.9907433,0.3968254,2.1396742,41.032837,1
44b6_1574802b,62,0,52.0,103.0,148.0,0.44362476,2.0723274,0.82539684,2.5434792,68.92444,4
44b6_1574802b,63,0,25.0,140.0,250.0,0.58655965,4.1243052,0.3968254,2.5434792,68.92444,1
44b6_1574802b,64,0,39.0,140.0,123.0,0.43263707,1.5003673,0.61904764,2.5134354,66.51074,3
44b6_1574802b,65,0,38.0,132.0,65.0,0.5758577,2.6333225,0.6031746,2.5401762,68.65625,3
44b6_1574802b,66,0,0.0,150.0,44.0,0.41190183,4.0317307,0.0,2.1396742,41.032837,0
44b6_1574802b,67,0,63.0,97.0,34.0,0.35791257,1.861365,1.0,2.13031,40.49646,0
44b6_1574802b,68,0,53.0,109.0,25.0,0.49024832,2.243433,0.84126985,2.5434792,68.92444,3
44b6_1574802b,69,0,35.0,112.0,33.0,0.36344066,1.567733,0.5555556,2.5434792,68.92444,2
44b6_1574802b,70,0,34.0,100.0,115.0,0.3887733,2.8504412,0.53968257,2.5434792,68.92444,2
44b6_1574802b,71,0,24.0,146.0,218.0,0.355062,1.4400896,0.3809524,2.5268764,67.583496,4
44b6_1574802b,72,0,14.0,130.0,169.0,0.3579934,5.4809294,0.22222222,2.5434792,68.92444,1
44b6_1574802b,73,0,44.0,100.0,31.0,0.39734137,2.0077894,0.6984127,2.5268764,67.583496,1
44b6_1574802b,74,0,59.0,109.0,255.0,0.33202544,0.7662581,0.93650794,2.125597,40.22827,1
44b6_1574802b,75,0,38.0,133.0,56.0,0.5714978,2.511899,0.6031746,2.5434792,68.92444,3
44b6_1574802b,76,0,59.0,73.0,125.0,0.32912448,3.2309597,0.93650794,2.5401762,68.65625,2
