dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_24264f12,0,0,37.0,186.0,41.0,0.3164047,9.556611,0.5873016,2.5434792,68.92444,0
44b6_24264f12,1,0,4.0,88.0,0.0,0.3417421,6.0882506,0.06349207,2.1350024,40.76465,2
44b6_24264f12,2,0,42.0,162.0,149.0,0.34837544,5.937897,0.6666667,2.5434792,68.92444,0
44b6_24264f12,3,0,29.0,164.0,32.0,0.3583504,4.9935994,0.46031746,2.5401762,68.65625,1
44b6_24264f12,4,0,42.0,218.0,39.0,0.37857938,6.846522,0.6666667,2.5368643,68.38806,1
44b6_24264f12,5,0,43.0,144.0,240.0,0.36667058,8.160523,0.6825397,2.5434792,68.92444,0
44b6_24264f12,6,0,58.0,246.0,133.0,0.34244403,5.0047083,0.9206349,2.5434792,68.92444,1
44b6_24264f12,7,0,48.0,255.0,33.0,0.37602627,4.5609713,0.7619048,2.1350024,40.76465,1
44b6_24264f12,8,0,48.0,255.0,39.0,0.3841833,4.6505103,0.7619048,2.1350024,40.76465,1
44b6_24264f12,9,0,35.0,100.0,220.0,0.37940088,4.4636436,0.5555556,2.5434792,68.92444,0
44b6_24264f12,10,0,53.0,239.0,94.0,0.30614352,5.2887387,0.84126985,2.5434792,68.92444,0
44b6_24264f12,11,0,41.0,203.0,68.0,0.35139707,5.462427,0.6507937,2.5302145,67.851685,0
44b6_24264f12,12,0,37.0,143.0,131.0,0.3266668,5.0054336,0.5873016,2.5401762,68.65625,0
44b6_24264f12,13,0,17.0,54.0,210.0,0.4936064,2.977173,0.26984128,2.5434792,68.92444,1
44b6_24264f12,14,0,17.0,124.0,14.0,0.32933095,4.3408628,0.26984128,2.5168092,66.77893,1
44b6_24264f12,15,0,25.0,89.0,127.0,0.36434948,4.7296376,0.3968254,2.5401762,68.65625,1
44b6_24264f12,16,0,23.0,148.0,29.0,0.29055494,4.578271,0.36507937,2.5368643,68.38806,0
44b6_24264f12,17,0,24.0,99.0,94.0,0.36871088,4.8600497,0.3809524,2.5401762,68.65625,2
44b6_24264f12,18,0,24.0,79.0,147.0,0.43536615,3.6786268,0.3809524,2.5434792,68.92444,2
44b6_24264f12,19,0,31.0,112.0,139.0,0.35264382,4.2396874,0.4920635,2.5434792,68.92444,0
44b6_24264f12,20,0,29.0,142.0,52.0,0.32193345,2.839217,0.46031746,2.5302145,67.851685,2
44b6_24264f12,21,0,47.0,209.0,87.0,0.30300993,4.5373545,0.74603176,2.5401762,68.65625,0
44b6_24264f12,22,0,25.0,89.0,213.0,0.43837425,5.6868052,0.3968254,2.5434792,68.92444,0
44b6_24264f12,23,0,8.0,9.0,200.0,0.45397004,3.586,0.12698413,2.5434792,68.92444,2
44b6_24264f12,24,0,18.0,63.0,152.0,0.43510252,3.7716513,0.2857143,2.5401762,68.65625,2
44b6_24264f12,25,0,15.0,39.0,163.0,0.46876416,3.990504,0.23809524,2.5401762,68.65625,3
44b6_24264f12,26,0,48.0,206.0,112.0,0.29569727,5.7980704,0.7619048,2.5434792,68.92444,0
44b6_24264f12,27,0,15.0,117.0,55.0,0.39782333,4.513604,0.23809524,2.5401762,68.65625,1
44b6_24264f12,28,0,25.0,109.0,74.0,0.33488315,4.3910418,0.3968254,2.5401762,68.65625,1
44b6_24264f12,29,0,22.0,93.0,168.0,0.4454323,3.9603474,0.34920636,2.5401762,68.65625,3
44b6_24264f12,30,0,10.0,68.0,82.0,0.40023294,4.70555,0.15873016,2.5401762,68.65625,3
44b6_24264f12,31,0,45.0,167.0,229.0,0.3397889,5.0713534,0.71428573,2.5434792,68.92444,1
44b6_24264f12,32,0,45.0,172.0,131.0,0.36291942,3.6986969,0.71428573,2.5401762,68.65625,1
44b6_24264f12,33,0,15.0,78.0,116.0,0.398811,4.3481956,0.23809524,2.5434792,68.92444,2
44b6_24264f12,34,0,30.0,119.0,117.0,0.35245332,3.2658153,0.47619048,2.5401762,68.65625,1
44b6_24264f12,35,0,19.0,131.0,0.0,0.29290298,3.5121503,0.3015873,2.1350024,40.76465,0
44b6_24264f12,36,0,6.0,14.0,236.0,0.4610967,3.0046437,0.0952381,2.5434792,68.92444,2
44b6_24264f12,37,0,46.0,168.0,168.0,0.30177218,5.8290405,0.73015875,2.5434792,68.92444,0
44b6_24264f12,38,0,44.0,167.0,196.0,0.32364243,3.5990582,0.6984127,2.5434792,68.92444,1
44b6_24264f12,39,0,51.0,186.0,180.0,0.41796476,4.014481,0.8095238,2.5434792,68.92444,0
44b6_24264f12,40,0,27.0,106.0,122.0,0.37126672,3.397787,0.42857143,2.5401762,68.65625,2
44b6_24264f12,41,0,12.0,40.0,227.0,0.41407728,3.3473926,0.1904762,2.5401762,68.65625,1
44b6_24264f12,42,0,28.0,127.0,255.0,0.26461488,3.972187,0.44444445,2.1350024,40.76465,0
44b6_24264f12,43,0,0.0,0.0,138.0,0.48264962,2.1741734,0.0,1.7994134,24.405151,0
44b6_24264f12,44,0,10.0,22.0,217.0,0.39201745,3.4012516,0.15873016,2.5434792,68.92444,0
44b6_24264f12,45,0,17.0,57.0,142.0,0.4100409,3.1489148,0.26984128,2.5401762,68.65625,2
44b6_24264f12,46,0,24.0,129.0,75.0,0.30906862,2.3982418,0.3809524,2.5268764,67.583496,1
44b6_24264f12,47,0,24.0,130.0,55.0,0.32160568,2.876576,0.3809524,2.4687274,63.024292,3
44b6_24264f12,48,0,47.0,191.0,126.0,0.32471582,4.095258,0.74603176,2.5401762,68.65625,0
44b6_24264f12,49,0,23.0,71.0,240.0,0.34319156,4.270113,0.36507937,2.5434792,68.92444,0
44b6_24264f12,50,0,56.0,187.0,234.0,0.334485,4.591156,0.8888889,2.5401762,68.65625,0
44b6_24264f12,51,0,3.0,47.0,102.0,0.31553072,5.697125,0.04761905,2.5368643,68.38806,0
44b6_24264f12,52,0,19.0,111.0,35.0,0.28026578,3.5587757,0.3015873,2.5401762,68.65625,1
44b6_24264f12,53,0,42.0,195.0,204.0,0.30780557,2.5868716,0.6666667,2.5434792,68.92444,1
44b6_24264f12,54,0,29.0,194.0,0.0,0.2837966,2.4586074,0.46031746,2.125597,40.22827,1
44b6_24264f12,55,0,50.0,186.0,215.0,0.37640178,3.7086904,0.7936508,2.5434792,68.92444,0
44b6_24264f12,56,0,14.0,79.0,90.0,0.2793612,2.735851,0.22222222,2.5368643,68.38806,3
44b6_24264f12,57,0,63.0,241.0,226.0,0.44852224,4.995721,1.0,2.1396742,41.032837,1
44b6_24264f12,58,0,46.0,163.0,255.0,0.34572133,5.268695,0.73015875,2.1396742,41.032837,0
44b6_24264f12,59,0,7.0,22.0,176.0,0.42378145,2.9922228,0.11111111,2.5401762,68.65625,2
44b6_24264f12,60,0,31.0,124.0,101.0,0.33427286,3.4465172,0.4920635,2.5368643,68.38806,1
44b6_24264f12,61,0,42.0,191.0,82.0,0.2666417,4.0135903,0.6666667,2.5401762,68.65625,0
44b6_24264f12,62,0,15.0,94.0,51.0,0.32795507,3.6236145,0.23809524,2.5302145,67.851685,0
44b6_24264f12,63,0,38.0,134.0,192.0,0.27326187,6.158853,0.6031746,2.5401762,68.65625,0
44b6_24264f12,64,0,47.0,228.0,77.0,0.24694718,5.420756,0.74603176,2.5401762,68.65625,0
44b6_24264f12,65,0,6.0,35.0,153.0,0.34267423,2.3664503,0.0952381,2.5401762,68.65625,2
44b6_24264f12,66,0,31.0,140.0,150.0,0.34328547,2.8298361,0.4920635,2.5434792,68.92444,1
44b6_24264f12,67,0,38.0,225.0,179.0,0.23983768,4.6657295,0.6031746,2.5401762,68.65625,0
44b6_24264f12,68,0,43.0,189.0,107.0,0.25959718,5.0988626,0.6825397,2.5401762,68.65625,0
44b6_24264f12,69,0,5.0,98.0,77.0,0.22339867,6.214111,0.07936508,2.5401762,68.65625,1
44b6_24264f12,70,0,0.0,18.0,164.0,0.39390838,2.8255074,0.0,2.1396742,41.032837,2
44b6_24264f12,71,0,39.0,228.0,0.0,0.33406577,2.2525883,0.61904764,2.1350024,40.76465,1
44b6_24264f12,72,0,16.0,23.0,236.0,0.43276066,2.2571487,0.25396827,2.5434792,68.92444,2
44b6_24264f12,73,0,9.0,29.0,126.0,0.39905205,2.511684,0.14285715,2.5401762,68.65625,2
44b6_24264f12,74,0,22.0,50.0,255.0,0.40930045,2.1424658,0.34920636,2.1350024,40.76465,0
44b6_24264f12,75,0,25.0,162.0,14.0,0.25799835,3.7465525,0.3968254,2.5134354,66.51074,1
44b6_24264f12,76,0,31.0,161.0,66.0,0.30280858,2.7931764,0.4920635,2.5401762,68.65625,2
44b6_24264f12,77,0,16.0,53.0,240.0,0.4195067,2.429578,0.25396827,2.5401762,68.65625,0
44b6_24264f12,78,0,37.0,187.0,61.0,0.27949476,3.21278,0.5873016,2.5401762,68.65625,1
44b6_24264f12,79,0,29.0,139.0,87.0,0.3285383,2.6562028,0.46031746,2.5302145,67.851685,1
44b6_24264f12,80,0,37.0,154.0,111.0,0.2707016,4.2805815,0.5873016,2.5401762,68.65625,2
44b6_24264f12,81,0,11.0,27.0,190.0,0.381137,2.7940662,0.17460318,2.5434792,68.92444,0
44b6_24264f12,82,0,44.0,142.0,217.0,0.3298726,3.0650024,0.6984127,2.5401762,68.65625,1
44b6_24264f12,83,0,50.0,197.0,192.0,0.34456655,2.71761,0.7936508,2.5401762,68.65625,1
44b6_24264f12,84,0,28.0,98.0,177.0,0.3777984,2.1435483,0.44444445,2.5434792,68.92444,2
44b6_24264f12,85,0,51.0,173.0,243.0,0.34018978,4.2246866,0.8095238,2.5401762,68.65625,1
44b6_24264f12,86,0,56.0,209.0,246.0,0.35464084,2.9406574,0.8888889,2.5401762,68.65625,0
44b6_24264f12,87,0,21.0,72.0,204.0,0.34182292,3.7020307,0.33333334,2.5434792,68.92444,1
44b6_24264f12,88,0,36.0,212.0,24.0,0.2279605,3.487657,0.5714286,2.5168092,66.77893,0
44b6_24264f12,89,0,29.0,179.0,13.0,0.2568364,3.3330638,0.46031746,2.5335438,68.11987,1
44b6_24264f12,90,0,56.0,211.0,203.0,0.37640363,3.1094892,0.8888889,2.5434792,68.92444,2
44b6_24264f12,91,0,3.0,77.0,29.0,0.30091992,2.7435625,0.04761905,2.5268764,67.583496,1
44b6_24264f12,92,0,9.0,101.0,16.0,0.287536,3.779424,0.14285715,2.5434792,68.92444,1
44b6_24264f12,93,0,29.0,86.0,241.0,0.3814963,2.9306252,0.46031746,2.5401762,68.65625,0
44b6_24264f12,94,0,19.0,142.0,60.0,0.23209079,1.3998778,0.3015873,2.5066607,65.974365,2
44b6_24264f12,95,0,10.0,60.0,62.0,0.2858261,2.8866525,0.15873016,2.5302145,67.851685,4
44b6_24264f12,96,0,55.0,228.0,149.0,0.28824288,3.8150222,0.8730159,2.5401762,68.65625,1
44b6_24264f12,97,0,21.0,80.0,181.0,0.32183233,4.2166953,0.33333334,2.5434792,68.92444,0
44b6_24264f12,98,0,31.0,134.0,81.0,0.31616366,2.108634,0.4920635,2.5401762,68.65625,2
44b6_24264f12,99,0,11.0,113.0,0.0,0.2486784,4.2185774,0.17460318,2.1396742,41.032837,0
44b6_24264f12,100,0,52.0,224.0,113.0,0.26473767,3.98044,0.82539684,2.5401762,68.65625,1
44b6_24264f12,101,0,58.0,255.0,106.0,0.2476654,4.0659337,0.9206349,2.1350024,40.76465,0
44b6_24264f12,102,0,11.0,125.0,57.0,0.23321298,1.3100996,0.17460318,2.4652207,62.756104,2
44b6_24264f12,103,0,3.0,46.0,83.0,0.26362294,2.471469,0.04761905,2.4826555,64.097046,2
44b6_24264f12,104,0,63.0,246.0,196.0,0.2903568,5.6660957,1.0,2.1396742,41.032837,0
44b6_24264f12,105,0,22.0,130.0,39.0,0.21828975,2.9079878,0.34920636,2.4652207,62.756104,0
44b6_24264f12,106,0,36.0,160.0,73.0,0.27730012,2.4901924,0.5714286,2.5302145,67.851685,1
44b6_24264f12,107,0,32.0,94.0,184.0,0.31677485,2.128122,0.50793654,2.5401762,68.65625,1
44b6_24264f12,108,0,10.0,26.0,243.0,0.4044688,1.9861201,0.15873016,2.5401762,68.65625,3
44b6_24264f12,109,0,12.0,118.0,26.0,0.24978015,2.2717667,0.1904762,2.5368643,68.38806,2
44b6_24264f12,110,0,38.0,130.0,220.0,0.3178943,2.3900704,0.6031746,2.5434792,68.92444,3
44b6_24264f12,111,0,8.0,77.0,38.0,0.2747515,2.5925782,0.12698413,2.5401762,68.65625,1
44b6_24264f12,112,0,0.0,18.0,112.0,0.39495626,2.3835654,0.0,2.1396742,41.032837,0
44b6_24264f12,113,0,37.0,112.0,249.0,0.31008965,4.6310105,0.5873016,2.5434792,68.92444,0
44b6_24264f12,114,0,54.0,205.0,160.0,0.29219803,2.5514984,0.85714287,2.5401762,68.65625,1
44b6_24264f12,115,0,6.0,37.0,134.0,0.33000803,1.9278793,0.0952381,2.5368643,68.38806,3
44b6_24264f12,116,0,52.0,236.0,220.0,0.27735338,1.6064519,0.82539684,2.5302145,67.851685,2
44b6_24264f12,117,0,20.0,83.0,141.0,0.32465896,1.715254,0.31746033,2.5401762,68.65625,2
44b6_24264f12,118,0,47.0,156.0,202.0,0.30601892,2.8320208,0.74603176,2.5401762,68.65625,1
44b6_24264f12,119,0,44.0,137.0,255.0,0.2752574,4.21791,0.6984127,2.1396742,41.032837,0
44b6_24264f12,120,0,37.0,136.0,158.0,0.3037114,2.084717,0.5873016,2.5401762,68.65625,1
44b6_24264f12,121,0,5.0,36.0,116.0,0.29720855,1.5770837,0.07936508,2.5066607,65.974365,1
44b6_24264f12,122,0,31.0,234.0,16.0,0.19881374,1.9537551,0.4920635,2.4861133,64.365234,1
44b6_24264f12,123,0,40.0,167.0,120.0,0.28149086,1.9757763,0.63492066,2.5368643,68.38806,2
44b6_24264f12,124,0,0.0,0.0,241.0,0.36268574,3.211182,0.0,1.7994134,24.405151,0
44b6_24264f12,125,0,32.0,93.0,255.0,0.3621795,1.9935176,0.50793654,2.1350024,40.76465,1
44b6_24264f12,126,0,0.0,40.0,66.0,0.27703014,6.108915,0.0,2.1396742,41.032837,0
44b6_24264f12,127,0,51.0,214.0,140.0,0.26206812,3.764778,0.8095238,2.5401762,68.65625,1
44b6_24264f12,128,0,5.0,98.0,18.0,0.26012892,2.62202,0.07936508,2.5066607,65.974365,1
44b6_24264f12,129,0,12.0,42.0,177.0,0.31345886,1.888528,0.1904762,2.5302145,67.851685,3
44b6_24264f12,130,0,38.0,217.0,96.0,0.20100391,3.4136522,0.6031746,2.5434792,68.92444,0
44b6_24264f12,131,0,62.0,255.0,160.0,0.32206556,3.9558501,0.984127,1.9510565,31.109863,0
44b6_24264f12,132,0,0.0,45.0,42.0,0.28292462,2.5833738,0.0,2.120863,39.960083,1
44b6_24264f12,133,0,48.0,189.0,148.0,0.28116858,2.7276452,0.7619048,2.5434792,68.92444,1
44b6_24264f12,134,0,20.0,113.0,74.0,0.26903865,1.9080735,0.31746033,2.4861133,64.365234,1
44b6_24264f12,135,0,63.0,238.0,175.0,0.3280894,3.3618891,1.0,2.1396742,41.032837,1
44b6_24264f12,136,0,43.0,230.0,7.0,0.2572156,1.994886,0.6825397,2.5201738,67.04712,1
44b6_24264f12,137,0,32.0,207.0,9.0,0.23428185,2.777794,0.50793654,2.5401762,68.65625,1
44b6_24264f12,138,0,20.0,151.0,0.0,0.15664892,1.9278564,0.31746033,2.0772712,37.546387,2
44b6_24264f12,139,0,40.0,195.0,158.0,0.25345725,1.5205117,0.63492066,2.5401762,68.65625,2
44b6_24264f12,140,0,60.0,236.0,176.0,0.31419662,3.1485085,0.95238096,2.5401762,68.65625,1
44b6_24264f12,141,0,4.0,33.0,88.0,0.28211018,3.023739,0.06349207,2.5100527,66.24255,2
44b6_24264f12,142,0,10.0,79.0,56.0,0.2602472,2.2007618,0.15873016,2.5401762,68.65625,1
44b6_24264f12,143,0,37.0,130.0,233.0,0.2500519,2.0007334,0.5873016,2.5032594,65.70618,2
44b6_24264f12,144,0,35.0,190.0,12.0,0.2257685,1.8694508,0.5555556,2.4791882,63.828857,3
44b6_24264f12,145,0,0.0,5.0,205.0,0.33254632,0.4446416,0.0,1.9397784,30.573486,2
44b6_24264f12,146,0,11.0,67.0,135.0,0.258735,1.9576205,0.17460318,2.5401762,68.65625,1
44b6_24264f12,147,0,12.0,79.0,11.0,0.21853168,3.337599,0.1904762,2.5401762,68.65625,1
44b6_24264f12,148,0,50.0,249.0,170.0,0.19322091,1.9018654,0.7936508,2.5201738,67.04712,0
44b6_24264f12,149,0,61.0,231.0,242.0,0.31826723,3.5462673,0.96825397,2.4687274,63.024292,0
44b6_24264f12,150,0,52.0,243.0,74.0,0.20385766,3.741065,0.82539684,2.5235295,67.31531,1
44b6_24264f12,151,0,34.0,114.0,200.0,0.24147716,3.400817,0.53968257,2.5434792,68.92444,1
44b6_24264f12,152,0,0.0,34.0,89.0,0.31354654,3.1610742,0.0,2.1396742,41.032837,2
44b6_24264f12,153,0,6.0,61.0,51.0,0.26041692,2.118431,0.0952381,2.5401762,68.65625,2
44b6_24264f12,154,0,0.0,64.0,16.0,0.21452616,2.7181356,0.0,2.0522413,36.205444,0
44b6_24264f12,155,0,41.0,231.0,22.0,0.19012883,2.1774266,0.6507937,2.499849,65.43799,3
44b6_24264f12,156,0,39.0,123.0,231.0,0.25189,2.4070878,0.61904764,2.5434792,68.92444,2
44b6_24264f12,157,0,36.0,118.0,177.0,0.23047115,5.5046763,0.5714286,2.5434792,68.92444,1
44b6_24264f12,158,0,34.0,183.0,119.0,0.19480711,1.7959223,0.53968257,2.5201738,67.04712,0
44b6_24264f12,159,0,45.0,196.0,253.0,0.23238486,3.3937204,0.71428573,2.4687274,63.024292,0
44b6_24264f12,160,0,44.0,255.0,77.0,0.17225635,2.2621295,0.6984127,2.0772712,37.546387,1
44b6_24264f12,161,0,48.0,216.0,203.0,0.24175432,1.0392045,0.7619048,2.5368643,68.38806,1
44b6_24264f12,162,0,59.0,215.0,191.0,0.27764767,1.6001917,0.93650794,2.5368643,68.38806,1
44b6_24264f12,163,0,30.0,111.0,159.0,0.23395596,3.9895108,0.47619048,2.5401762,68.65625,0
44b6_24264f12,164,0,42.0,143.0,171.0,0.231708,2.6620257,0.6666667,2.5401762,68.65625,0
44b6_24264f12,165,0,15.0,56.0,168.0,0.27957428,2.8339062,0.23809524,2.5434792,68.92444,0
44b6_24264f12,166,0,21.0,156.0,78.0,0.16055143,2.5059018,0.33333334,2.5201738,67.04712,0
44b6_24264f12,167,0,46.0,233.0,44.0,0.19003855,2.4938526,0.73015875,2.5335438,68.11987,0
44b6_24264f12,168,0,2.0,23.0,142.0,0.30299553,2.0066895,0.031746034,2.3891516,57.124146,1
44b6_24264f12,169,0,11.0,43.0,142.0,0.2571488,1.5954999,0.17460318,2.5100527,66.24255,3
44b6_24264f12,170,0,33.0,218.0,57.0,0.14372061,4.2654414,0.52380955,2.5368643,68.38806,2
44b6_24264f12,171,0,23.0,97.0,255.0,0.26406896,1.0738386,0.36507937,2.1350024,40.76465,1
44b6_24264f12,172,0,17.0,101.0,100.0,0.20878331,0.8774429,0.26984128,2.451093,61.68335,3
44b6_24264f12,173,0,29.0,161.0,114.0,0.16916052,1.2823147,0.46031746,2.5368643,68.38806,2
44b6_24264f12,174,0,5.0,35.0,169.0,0.29235062,0.71918815,0.07936508,2.429591,60.07422,4
44b6_24264f12,175,0,3.0,31.0,255.0,0.2198788,1.0726888,0.04761905,2.0968692,38.61914,1
44b6_24264f12,176,0,31.0,99.0,199.0,0.27029443,2.3294148,0.4920635,2.5434792,68.92444,1
44b6_24264f12,177,0,48.0,195.0,165.0,0.28758925,1.7522799,0.7619048,2.5434792,68.92444,2
44b6_24264f12,178,0,34.0,101.0,200.0,0.26266125,2.3448696,0.53968257,2.5335438,68.11987,2
