dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_267148e4,0,0,4.0,112.0,133.0,0.23831525,6.975971,0.06349207,2.5434792,68.92444,0
44b6_267148e4,1,0,5.0,112.0,196.0,0.25498763,5.627114,0.07936508,2.5434792,68.92444,0
44b6_267148e4,2,0,28.0,63.0,20.0,0.4133198,2.8951013,0.44444445,2.5434792,68.92444,3
44b6_267148e4,3,0,15.0,89.0,146.0,0.24860545,4.8414345,0.23809524,2.5434792,68.92444,0
44b6_267148e4,4,0,47.0,61.0,97.0,0.5510309,3.538904,0.74603176,2.5434792,68.92444,1
44b6_267148e4,5,0,32.0,52.0,105.0,0.40188077,2.3722363,0.50793654,2.5434792,68.92444,0
44b6_267148e4,6,0,63.0,27.0,255.0,0.31741345,4.189725,1.0,1.7994134,24.405151,0
44b6_267148e4,7,0,44.0,65.0,68.0,0.46199358,3.065018,0.6984127,2.5434792,68.92444,2
44b6_267148e4,8,0,23.0,67.0,43.0,0.3878804,2.6488853,0.36507937,2.5434792,68.92444,2
44b6_267148e4,9,0,33.0,57.0,152.0,0.37380093,4.213802,0.52380955,2.5434792,68.92444,0
44b6_267148e4,10,0,3.0,120.0,166.0,0.23439771,6.2804146,0.04761905,2.5401762,68.65625,0
44b6_267148e4,11,0,14.0,123.0,76.0,0.24996129,4.0490136,0.22222222,2.5434792,68.92444,0
44b6_267148e4,12,0,54.0,27.0,98.0,0.42077738,2.262058,0.85714287,2.5434792,68.92444,1
44b6_267148e4,13,0,11.0,102.0,86.0,0.32845625,2.43343,0.17460318,2.5434792,68.92444,2
44b6_267148e4,14,0,54.0,64.0,246.0,0.41583923,3.0005443,0.85714287,2.5401762,68.65625,1
44b6_267148e4,15,0,32.0,68.0,70.0,0.39886943,2.331183,0.50793654,2.5434792,68.92444,2
44b6_267148e4,16,0,31.0,71.0,223.0,0.41895902,2.9267464,0.4920635,2.5401762,68.65625,0
44b6_267148e4,17,0,36.0,66.0,125.0,0.3775269,2.8468437,0.5714286,2.5434792,68.92444,1
44b6_267148e4,18,0,8.0,113.0,20.0,0.30695084,2.3596168,0.12698413,2.5434792,68.92444,1
44b6_267148e4,19,0,48.0,47.0,70.0,0.484554,3.5551348,0.7619048,2.5434792,68.92444,1
44b6_267148e4,20,0,44.0,70.0,184.0,0.39623582,3.6495035,0.6984127,2.5401762,68.65625,2
44b6_267148e4,21,0,54.0,48.0,200.0,0.44056734,2.8754458,0.85714287,2.5434792,68.92444,2
44b6_267148e4,22,0,54.0,23.0,72.0,0.39842278,1.9661207,0.85714287,2.5434792,68.92444,2
44b6_267148e4,23,0,28.0,80.0,56.0,0.49478647,5.563779,0.44444445,2.5434792,68.92444,2
44b6_267148e4,24,0,22.0,73.0,132.0,0.3231562,3.464719,0.34920636,2.5434792,68.92444,0
44b6_267148e4,25,0,9.0,103.0,113.0,0.25622925,3.7791271,0.14285715,2.5434792,68.92444,0
44b6_267148e4,26,0,58.0,36.0,49.0,0.46617636,3.2039325,0.9206349,2.5401762,68.65625,4
44b6_267148e4,27,0,5.0,103.0,13.0,0.3960221,3.4556768,0.07936508,2.5434792,68.92444,3
44b6_267148e4,28,0,51.0,43.0,221.0,0.53733927,3.6814368,0.8095238,2.5434792,68.92444,3
44b6_267148e4,29,0,6.0,128.0,246.0,0.23299375,5.472,0.0952381,2.5434792,68.92444,0
44b6_267148e4,30,0,49.0,27.0,38.0,0.398926,1.9564446,0.7777778,2.5434792,68.92444,1
44b6_267148e4,31,0,63.0,25.0,130.0,0.4828643,2.9256494,1.0,2.1396742,41.032837,2
44b6_267148e4,32,0,28.0,93.0,11.0,0.42215693,2.0040731,0.44444445,2.5368643,68.38806,5
44b6_267148e4,33,0,63.0,24.0,60.0,0.41235167,2.5970778,1.0,2.1350024,40.76465,0
44b6_267148e4,34,0,4.0,112.0,67.0,0.39490718,5.0720572,0.06349207,2.5434792,68.92444,1
44b6_267148e4,35,0,8.0,112.0,47.0,0.32937443,3.0543716,0.12698413,2.5434792,68.92444,4
44b6_267148e4,36,0,56.0,33.0,154.0,0.34385532,3.3222027,0.8888889,2.5434792,68.92444,1
44b6_267148e4,37,0,50.0,62.0,210.0,0.48979065,2.9126968,0.7936508,2.5434792,68.92444,5
44b6_267148e4,38,0,53.0,64.0,164.0,0.40597644,2.873512,0.84126985,2.5434792,68.92444,1
44b6_267148e4,39,0,45.0,32.0,64.0,0.38653818,1.9485211,0.71428573,2.5401762,68.65625,0
44b6_267148e4,40,0,19.0,89.0,52.0,0.3665989,1.7189192,0.3015873,2.5434792,68.92444,2
44b6_267148e4,41,0,44.0,73.0,236.0,0.4315131,2.8755553,0.6984127,2.5434792,68.92444,2
44b6_267148e4,42,0,3.0,111.0,99.0,0.34312338,3.8794882,0.04761905,2.5401762,68.65625,2
44b6_267148e4,43,0,32.0,75.0,153.0,0.3182305,2.7049434,0.50793654,2.5434792,68.92444,2
44b6_267148e4,44,0,21.0,91.0,19.0,0.43169177,2.5447376,0.33333334,2.5434792,68.92444,2
44b6_267148e4,45,0,17.0,89.0,18.0,0.3650633,1.5378746,0.26984128,2.5302145,67.851685,2
44b6_267148e4,46,0,38.0,55.0,239.0,0.3724067,2.0644944,0.6031746,2.5368643,68.38806,2
44b6_267148e4,47,0,52.0,71.0,54.0,0.36047792,2.7462022,0.82539684,2.5401762,68.65625,1
44b6_267148e4,48,0,16.0,86.0,121.0,0.24721232,3.223484,0.25396827,2.5434792,68.92444,1
44b6_267148e4,49,0,27.0,104.0,192.0,0.25933665,3.5304322,0.42857143,2.5434792,68.92444,1
44b6_267148e4,50,0,25.0,108.0,74.0,0.2700407,3.9434605,0.3968254,2.5335438,68.11987,0
44b6_267148e4,51,0,29.0,76.0,174.0,0.4020594,3.1584754,0.46031746,2.5434792,68.92444,2
44b6_267148e4,52,0,22.0,101.0,215.0,0.31507447,3.0912015,0.34920636,2.5401762,68.65625,2
44b6_267148e4,53,0,63.0,20.0,168.0,0.35355848,2.9543388,1.0,2.1396742,41.032837,0
44b6_267148e4,54,0,13.0,93.0,45.0,0.44175693,3.4843352,0.20634921,2.5434792,68.92444,2
44b6_267148e4,55,0,51.0,53.0,23.0,0.48981893,2.3926594,0.8095238,2.5401762,68.65625,4
44b6_267148e4,56,0,40.0,43.0,134.0,0.36860272,2.0250714,0.63492066,2.5434792,68.92444,0
44b6_267148e4,57,0,38.0,54.0,75.0,0.3938951,1.5020105,0.6031746,2.5434792,68.92444,3
44b6_267148e4,58,0,12.0,98.0,172.0,0.31212536,2.6591928,0.1904762,2.5434792,68.92444,2
44b6_267148e4,59,0,53.0,24.0,123.0,0.3869984,1.498382,0.84126985,2.5401762,68.65625,1
44b6_267148e4,60,0,27.0,83.0,77.0,0.35619226,2.546331,0.42857143,2.5401762,68.65625,3
44b6_267148e4,61,0,28.0,88.0,78.0,0.32473257,2.1579154,0.44444445,2.5335438,68.11987,2
44b6_267148e4,62,0,29.0,68.0,97.0,0.43076903,2.144892,0.46031746,2.5434792,68.92444,1
44b6_267148e4,63,0,2.0,112.0,40.0,0.27745277,1.7127007,0.031746034,2.4687274,63.024292,1
44b6_267148e4,64,0,4.0,118.0,100.0,0.27332902,2.181766,0.06349207,2.5335438,68.11987,1
44b6_267148e4,65,0,51.0,56.0,130.0,0.3943293,2.0190878,0.8095238,2.5302145,67.851685,1
44b6_267148e4,66,0,58.0,27.0,0.0,0.3886619,2.6884542,0.9206349,2.1350024,40.76465,2
44b6_267148e4,67,0,42.0,70.0,206.0,0.4063609,1.682599,0.6666667,2.5434792,68.92444,2
44b6_267148e4,68,0,26.0,106.0,121.0,0.24839173,3.1370082,0.41269842,2.5434792,68.92444,0
44b6_267148e4,69,0,51.0,42.0,248.0,0.39325622,2.1611578,0.8095238,2.5434792,68.92444,5
44b6_267148e4,70,0,14.0,107.0,6.0,0.2471999,0.9516205,0.22222222,2.493,64.90161,3
44b6_267148e4,71,0,46.0,35.0,183.0,0.34335777,2.1074886,0.73015875,2.5434792,68.92444,4
44b6_267148e4,72,0,57.0,45.0,237.0,0.42770913,2.5652614,0.9047619,2.5434792,68.92444,3
44b6_267148e4,73,0,45.0,42.0,172.0,0.357556,2.3296652,0.71428573,2.5434792,68.92444,3
44b6_267148e4,74,0,53.0,21.0,13.0,0.31550753,1.8528769,0.84126985,2.5368643,68.38806,2
44b6_267148e4,75,0,60.0,15.0,77.0,0.4018034,2.014718,0.95238096,2.5401762,68.65625,1
44b6_267148e4,76,0,36.0,76.0,246.0,0.36841047,1.689861,0.5714286,2.5168092,66.77893,4
44b6_267148e4,77,0,36.0,78.0,199.0,0.38278055,2.2671814,0.5714286,2.5434792,68.92444,2
44b6_267148e4,78,0,0.0,121.0,221.0,0.20650822,5.8488884,0.0,2.1396742,41.032837,0
44b6_267148e4,79,0,42.0,59.0,169.0,0.36907312,2.1382551,0.6666667,2.5434792,68.92444,1
44b6_267148e4,80,0,38.0,39.0,45.0,0.2833648,1.474809,0.6031746,2.5032594,65.70618,2
44b6_267148e4,81,0,19.0,94.0,226.0,0.29958373,2.241155,0.3015873,2.5434792,68.92444,3
44b6_267148e4,82,0,16.0,92.0,183.0,0.31595647,1.9215546,0.25396827,2.5434792,68.92444,3
44b6_267148e4,83,0,61.0,54.0,195.0,0.39254668,1.7750351,0.96825397,2.4687274,63.024292,1
44b6_267148e4,84,0,0.0,132.0,188.0,0.17741461,3.4528577,0.0,2.1350024,40.76465,0
44b6_267148e4,85,0,5.0,118.0,0.0,0.27236345,2.9975672,0.07936508,2.1396742,41.032837,2
44b6_267148e4,86,0,56.0,39.0,29.0,0.4362398,2.0749152,0.8888889,2.5434792,68.92444,3
44b6_267148e4,87,0,41.0,75.0,94.0,0.40870282,1.4183781,0.6507937,2.5368643,68.38806,2
44b6_267148e4,88,0,0.0,128.0,148.0,0.13696429,3.5947332,0.0,2.0471616,35.937256,0
44b6_267148e4,89,0,35.0,87.0,25.0,0.30043185,1.583575,0.5555556,2.5401762,68.65625,1
44b6_267148e4,90,0,60.0,49.0,163.0,0.39300895,2.622371,0.95238096,2.5401762,68.65625,0
44b6_267148e4,91,0,60.0,37.0,103.0,0.42219174,2.2774575,0.95238096,2.5401762,68.65625,1
44b6_267148e4,92,0,56.0,67.0,102.0,0.34007964,0.7124519,0.8888889,2.475711,63.56067,1
44b6_267148e4,93,0,16.0,97.0,90.0,0.33928132,2.486076,0.25396827,2.5434792,68.92444,3
44b6_267148e4,94,0,59.0,54.0,13.0,0.45831627,1.9495418,0.93650794,2.5434792,68.92444,3
44b6_267148e4,95,0,57.0,30.0,223.0,0.3295667,1.3513216,0.9047619,2.5434792,68.92444,2
44b6_267148e4,96,0,25.0,85.0,186.0,0.32397494,1.542516,0.3968254,2.5168092,66.77893,3
44b6_267148e4,97,0,15.0,83.0,87.0,0.3134902,2.0523784,0.23809524,2.5434792,68.92444,1
44b6_267148e4,98,0,6.0,111.0,239.0,0.20890339,2.0945892,0.0952381,2.5401762,68.65625,1
44b6_267148e4,99,0,59.0,64.0,80.0,0.3313737,2.5038888,0.93650794,2.5401762,68.65625,0
44b6_267148e4,100,0,13.0,96.0,212.0,0.22464627,1.3972718,0.20634921,2.5434792,68.92444,1
44b6_267148e4,101,0,49.0,41.0,214.0,0.37420917,1.0598534,0.7777778,2.3891516,57.124146,3
44b6_267148e4,102,0,47.0,69.0,19.0,0.3919682,1.7701476,0.74603176,2.5368643,68.38806,5
44b6_267148e4,103,0,58.0,36.0,76.0,0.35947832,1.539058,0.9206349,2.5335438,68.11987,3
44b6_267148e4,104,0,37.0,82.0,0.0,0.28257102,1.0374624,0.5873016,2.0772712,37.546387,3
44b6_267148e4,105,0,21.0,96.0,0.0,0.2689008,0.5497736,0.33333334,1.9786955,32.450806,5
44b6_267148e4,106,0,35.0,62.0,8.0,0.3479782,1.6697781,0.5555556,2.5434792,68.92444,2
44b6_267148e4,107,0,25.0,96.0,255.0,0.21210206,4.171265,0.3968254,2.1396742,41.032837,3
44b6_267148e4,108,0,54.0,57.0,0.0,0.43317512,2.5591114,0.85714287,2.1396742,41.032837,2
44b6_267148e4,109,0,60.0,67.0,255.0,0.31692708,0.710755,0.95238096,2.1017118,38.88733,1
44b6_267148e4,110,0,39.0,50.0,210.0,0.30929613,1.0070392,0.61904764,2.4861133,64.365234,2
44b6_267148e4,111,0,31.0,79.0,194.0,0.33171973,1.473546,0.4920635,2.5434792,68.92444,2
44b6_267148e4,112,0,53.0,49.0,219.0,0.46892416,1.9599308,0.84126985,2.5134354,66.51074,4
44b6_267148e4,113,0,34.0,46.0,167.0,0.2522873,1.077862,0.53968257,2.4439676,61.146973,1
44b6_267148e4,114,0,0.0,148.0,8.0,0.20043004,3.6060338,0.0,2.1396742,41.032837,1
44b6_267148e4,115,0,36.0,64.0,46.0,0.3402832,2.8418257,0.5714286,2.5434792,68.92444,2
44b6_267148e4,116,0,43.0,80.0,51.0,0.28198075,1.4804248,0.6825397,2.5401762,68.65625,1
44b6_267148e4,117,0,57.0,60.0,220.0,0.36298832,0.87790644,0.9047619,2.5134354,66.51074,4
44b6_267148e4,118,0,45.0,51.0,35.0,0.36222053,1.3480365,0.71428573,2.5401762,68.65625,1
44b6_267148e4,119,0,33.0,87.0,0.0,0.29282036,0.6191353,0.52380955,2.010875,34.059937,6
44b6_267148e4,120,0,63.0,42.0,59.0,0.4050939,2.048638,1.0,2.1350024,40.76465,2
44b6_267148e4,121,0,38.0,74.0,147.0,0.2712439,1.8767136,0.6031746,2.5401762,68.65625,1
44b6_267148e4,122,0,56.0,44.0,255.0,0.34054926,0.95287126,0.8888889,1.994915,33.25537,2
44b6_267148e4,123,0,34.0,79.0,239.0,0.33587646,1.2287838,0.53968257,2.5268764,67.583496,4
44b6_267148e4,124,0,19.0,115.0,39.0,0.2124405,1.666089,0.3015873,2.5401762,68.65625,2
44b6_267148e4,125,0,46.0,58.0,217.0,0.4140175,1.2744442,0.73015875,2.4826555,64.097046,4
44b6_267148e4,126,0,13.0,100.0,4.0,0.2669254,1.1073886,0.20634921,2.5434792,68.92444,3
44b6_267148e4,127,0,20.0,87.0,169.0,0.25768003,1.1191527,0.31746033,2.5032594,65.70618,1
44b6_267148e4,128,0,0.0,130.0,121.0,0.10728756,3.4891882,0.0,2.0623262,36.74182,0
44b6_267148e4,129,0,12.0,104.0,233.0,0.23038162,1.8845291,0.1904762,2.5434792,68.92444,2
44b6_267148e4,130,0,53.0,41.0,89.0,0.33762696,1.8486133,0.84126985,2.5168092,66.77893,1
44b6_267148e4,131,0,28.0,110.0,36.0,0.215341,2.27195,0.44444445,2.5434792,68.92444,1
44b6_267148e4,132,0,47.0,55.0,0.0,0.36052752,1.0693314,0.74603176,2.0822053,37.814575,3
44b6_267148e4,133,0,0.0,139.0,29.0,0.16976939,3.8242452,0.0,2.1396742,41.032837,0
44b6_267148e4,134,0,23.0,80.0,68.0,0.29437196,0.82701087,0.36507937,2.4439676,61.146973,3
44b6_267148e4,135,0,27.0,110.0,167.0,0.16164313,3.106565,0.42857143,2.5401762,68.65625,1
44b6_267148e4,136,0,51.0,75.0,11.0,0.32572538,1.4657481,0.8095238,2.5401762,68.65625,2
44b6_267148e4,137,0,48.0,38.0,9.0,0.30730027,1.1547627,0.7619048,2.5235295,67.31531,0
44b6_267148e4,138,0,53.0,64.0,28.0,0.35489297,0.90402555,0.84126985,2.4475355,61.41516,4
44b6_267148e4,139,0,39.0,48.0,0.0,0.2417104,0.61443365,0.61904764,2.092004,38.350952,1
44b6_267148e4,140,0,40.0,70.0,25.0,0.33891717,1.1543418,0.63492066,2.5401762,68.65625,5
44b6_267148e4,141,0,27.0,80.0,116.0,0.2239248,1.9403782,0.42857143,2.5268764,67.583496,2
44b6_267148e4,142,0,16.0,106.0,57.0,0.24552178,1.3674662,0.25396827,2.5368643,68.38806,2
44b6_267148e4,143,0,56.0,45.0,179.0,0.33964428,1.5504881,0.8888889,2.5335438,68.11987,3
44b6_267148e4,144,0,24.0,85.0,0.0,0.34196436,1.1266705,0.3809524,2.125597,40.22827,5
44b6_267148e4,145,0,38.0,77.0,168.0,0.24406986,0.6778359,0.6031746,2.4617038,62.487915,1
44b6_267148e4,146,0,0.0,130.0,6.0,0.18259054,1.3927305,0.0,2.0623262,36.74182,2
44b6_267148e4,147,0,34.0,104.0,240.0,0.19476964,2.59924,0.53968257,2.5434792,68.92444,0
44b6_267148e4,148,0,56.0,28.0,196.0,0.2937692,1.7150474,0.8888889,2.5401762,68.65625,4
44b6_267148e4,149,0,59.0,65.0,142.0,0.20213109,0.6528224,0.93650794,2.3550162,54.71045,2
44b6_267148e4,150,0,55.0,40.0,123.0,0.33119163,1.2525829,0.8730159,2.475711,63.56067,1
44b6_267148e4,151,0,48.0,91.0,73.0,0.21468626,2.6610978,0.7619048,2.5434792,68.92444,0
44b6_267148e4,152,0,63.0,34.0,202.0,0.29989383,1.0433861,1.0,2.021376,34.596313,1
44b6_267148e4,153,0,30.0,61.0,191.0,0.23403746,1.3238527,0.47619048,2.5201738,67.04712,1
44b6_267148e4,154,0,41.0,59.0,122.0,0.35398045,1.1404196,0.6507937,2.5434792,68.92444,2
44b6_267148e4,155,0,61.0,49.0,119.0,0.34808037,1.8099488,0.96825397,2.4652207,62.756104,2
44b6_267148e4,156,0,24.0,73.0,163.0,0.26119342,1.0846952,0.3809524,2.5401762,68.65625,2
44b6_267148e4,157,0,33.0,117.0,3.0,0.18035728,3.0002875,0.52380955,2.5401762,68.65625,0
44b6_267148e4,158,0,43.0,66.0,9.0,0.34473398,1.1378689,0.6825397,2.5066607,65.974365,4
44b6_267148e4,159,0,19.0,100.0,255.0,0.15914777,1.3514355,0.3015873,2.125597,40.22827,2
44b6_267148e4,160,0,29.0,56.0,45.0,0.2754821,0.97874314,0.46031746,2.5368643,68.38806,2
44b6_267148e4,161,0,46.0,78.0,255.0,0.28167257,0.8740881,0.73015875,2.1113307,39.423706,1
44b6_267148e4,162,0,46.0,44.0,251.0,0.28746507,0.72051567,0.73015875,2.3395221,53.637695,4
44b6_267148e4,163,0,50.0,42.0,47.0,0.3456963,0.7303105,0.7936508,2.4223385,59.53784,3
44b6_267148e4,164,0,63.0,42.0,37.0,0.32823145,-0.061290067,1.0,1.608502,17.432251,3
44b6_267148e4,165,0,16.0,102.0,255.0,0.14055042,1.0599588,0.25396827,2.057296,36.473633,2
44b6_267148e4,166,0,0.0,124.0,0.0,0.241078,1.5022197,0.0,1.7927979,24.136963,2
44b6_267148e4,167,0,63.0,46.0,18.0,0.4282822,1.0698756,1.0,2.1396742,41.032837,3
44b6_267148e4,168,0,62.0,13.0,0.0,0.2221328,0.6946466,0.984127,1.910994,29.232544,1
44b6_267148e4,169,0,43.0,36.0,105.0,0.2404943,0.8701934,0.6825397,2.4652207,62.756104,0
44b6_267148e4,170,0,50.0,64.0,149.0,0.25757715,1.5017911,0.7936508,2.5302145,67.851685,1
44b6_267148e4,171,0,63.0,65.0,31.0,0.28447992,0.78747994,1.0,2.092004,38.350952,1
44b6_267148e4,172,0,63.0,53.0,106.0,0.31593642,0.8483864,1.0,1.9454337,30.841675,1
44b6_267148e4,173,0,4.0,100.0,52.0,0.20979671,0.12316318,0.06349207,2.220492,45.86023,3
44b6_267148e4,174,0,0.0,156.0,15.0,0.11893488,1.4391176,0.0,2.1065323,39.155518,1
44b6_267148e4,175,0,63.0,80.0,71.0,0.22290413,1.593336,1.0,2.1065323,39.155518,0
44b6_267148e4,176,0,25.0,88.0,226.0,0.23420596,0.9675053,0.3968254,2.5434792,68.92444,3
44b6_267148e4,177,0,63.0,15.0,96.0,0.24447218,0.6445305,1.0,1.9732294,32.182617,0
44b6_267148e4,178,0,36.0,75.0,83.0,0.29380995,0.5008896,0.5714286,2.4368005,60.610596,2
44b6_267148e4,179,0,0.0,123.0,59.0,0.17007521,0.3384343,0.0,1.910994,29.232544,1
44b6_267148e4,180,0,58.0,54.0,58.0,0.29711637,0.86126643,0.9206349,2.5066607,65.974365,1
44b6_267148e4,181,0,24.0,81.0,107.0,0.2027632,1.12769,0.3809524,2.5168092,66.77893,1
44b6_267148e4,182,0,42.0,97.0,143.0,0.14237106,2.531235,0.6666667,2.5434792,68.92444,0
44b6_267148e4,183,0,46.0,44.0,242.0,0.2722356,0.3155168,0.73015875,2.3038893,51.224,5
44b6_267148e4,184,0,48.0,113.0,248.0,0.14775477,3.2747722,0.7619048,2.5434792,68.92444,1
44b6_267148e4,185,0,45.0,43.0,240.0,0.24951914,0.18501014,0.71428573,2.211801,45.323853,5
44b6_267148e4,186,0,42.0,78.0,25.0,0.24534537,0.27876547,0.6666667,2.2291152,46.396606,3
44b6_267148e4,187,0,29.0,64.0,60.0,0.27006787,0.5712924,0.46031746,2.418696,59.269653,1
44b6_267148e4,188,0,23.0,79.0,233.0,0.18264756,0.3716652,0.36507937,2.3741014,56.05139,3
44b6_267148e4,189,0,58.0,85.0,192.0,0.16618778,1.4792668,0.9206349,2.5368643,68.38806,1
44b6_267148e4,190,0,63.0,25.0,230.0,0.22703159,0.46152577,1.0,2.0522413,36.205444,1
44b6_267148e4,191,0,63.0,89.0,12.0,0.18330665,1.3578262,1.0,2.1350024,40.76465,0
44b6_267148e4,192,0,57.0,91.0,237.0,0.17592502,1.3244859,0.9047619,2.5168092,66.77893,0
44b6_267148e4,193,0,28.0,59.0,181.0,0.19485444,0.8015405,0.44444445,2.4791882,63.828857,1
44b6_267148e4,194,0,60.0,33.0,182.0,0.28704864,0.85814863,0.95238096,2.4439676,61.146973,2
44b6_267148e4,195,0,36.0,88.0,230.0,0.23493078,0.8782603,0.5714286,2.458177,62.219727,3
44b6_267148e4,196,0,59.0,89.0,50.0,0.17238338,1.176511,0.93650794,2.5201738,67.04712,1
44b6_267148e4,197,0,24.0,78.0,0.0,0.26859877,0.57660174,0.3809524,2.057296,36.473633,3
44b6_267148e4,198,0,63.0,90.0,48.0,0.17047597,1.4836698,1.0,2.1396742,41.032837,1
44b6_267148e4,199,0,40.0,46.0,52.0,0.26100567,0.6647757,0.63492066,2.4791882,63.828857,2
44b6_267148e4,200,0,49.0,90.0,120.0,0.13617094,1.6821657,0.7777778,2.5235295,67.31531,0
44b6_267148e4,201,0,63.0,31.0,37.0,0.26849997,-0.4446518,1.0,1.1209633,5.9001465,4
44b6_267148e4,202,0,50.0,89.0,174.0,0.158763,1.1991446,0.7936508,2.5368643,68.38806,1
44b6_267148e4,203,0,25.0,97.0,184.0,0.20992336,0.46229267,0.3968254,2.4040146,58.1969,3
44b6_267148e4,204,0,7.0,101.0,96.0,0.16978483,0.07844445,0.11111111,2.13031,40.49646,3
44b6_267148e4,205,0,46.0,33.0,154.0,0.17500456,0.15881681,0.73015875,2.3038893,51.224,1
44b6_267148e4,206,0,63.0,42.0,75.0,0.3120635,0.9223911,1.0,2.125597,40.22827,1
44b6_267148e4,207,0,42.0,98.0,223.0,0.14913997,0.8513058,0.6666667,2.451093,61.68335,1
44b6_267148e4,208,0,63.0,60.0,210.0,0.25607774,-0.28841972,1.0,1.3449672,10.191162,2
44b6_267148e4,209,0,50.0,25.0,206.0,0.18336448,0.5460187,0.7936508,2.3588579,54.978638,2
44b6_267148e4,210,0,37.0,64.0,30.0,0.27400416,0.2006224,0.5873016,2.211801,45.323853,2
44b6_267148e4,211,0,43.0,98.0,182.0,0.12730327,0.73094827,0.6825397,2.4546402,61.951538,1
44b6_267148e4,212,0,38.0,109.0,91.0,0.09304937,1.3154074,0.6031746,2.4895616,64.63342,0
44b6_267148e4,213,0,63.0,14.0,33.0,0.14545475,0.13362211,1.0,1.7019525,20.650513,0
44b6_267148e4,214,0,50.0,73.0,188.0,0.22455016,0.29768902,0.7936508,2.216155,45.59204,3
44b6_267148e4,215,0,49.0,26.0,191.0,0.19269125,0.29014456,0.7777778,2.32382,52.56494,2
44b6_267148e4,216,0,49.0,102.0,208.0,0.106159754,0.9329612,0.7777778,2.4652207,62.756104,1
44b6_267148e4,217,0,63.0,17.0,200.0,0.16077177,0.30067405,1.0,1.9622055,31.64624,2
44b6_267148e4,218,0,40.0,118.0,216.0,0.07874034,1.3216548,0.63492066,2.5302145,67.851685,0
44b6_267148e4,219,0,63.0,18.0,207.0,0.15583324,0.33764622,1.0,1.9226114,29.76892,2
44b6_267148e4,220,0,28.0,84.0,255.0,0.12997818,-0.16039124,0.44444445,1.2831826,8.85022,2
44b6_267148e4,221,0,8.0,166.0,232.0,0.050502244,1.8862512,0.12698413,2.5434792,68.92444,0
44b6_267148e4,222,0,37.0,36.0,79.0,0.15630807,0.06939587,0.5873016,2.1535685,41.837402,1
44b6_267148e4,223,0,36.0,100.0,0.0,0.14006227,0.036293045,0.5714286,1.7380214,21.991455,1
44b6_267148e4,224,0,32.0,43.0,72.0,0.15029791,0.04857195,0.50793654,2.0723133,37.2782,2
44b6_267148e4,225,0,63.0,28.0,13.0,0.24152423,-0.47695932,1.0,1.0484346,4.8273926,3
44b6_267148e4,226,0,56.0,101.0,86.0,0.08880326,0.29000667,0.8888889,2.267119,48.810303,0
44b6_267148e4,227,0,63.0,45.0,139.0,0.22257741,0.37953395,1.0,1.9340899,30.305298,2
44b6_267148e4,228,0,24.0,149.0,239.0,0.04927081,1.9951702,0.3809524,2.5268764,67.583496,0
44b6_267148e4,229,0,43.0,124.0,255.0,0.068860136,0.10339714,0.6825397,1.745058,22.259644,1
44b6_267148e4,230,0,24.0,148.0,224.0,0.047219556,1.8425158,0.3809524,2.5302145,67.851685,0
44b6_267148e4,231,0,61.0,45.0,142.0,0.21688278,0.18704847,0.96825397,2.1065323,39.155518,2
44b6_267148e4,232,0,0.0,134.0,79.0,0.058779847,0.22667244,0.0,1.745058,22.259644,1
44b6_267148e4,233,0,63.0,12.0,131.0,0.21546595,0.25787383,1.0,1.887326,28.15979,1
44b6_267148e4,234,0,56.0,99.0,162.0,0.082734294,0.41563743,0.8888889,2.3356164,53.369507,1
44b6_267148e4,235,0,63.0,18.0,18.0,0.17355496,-0.389869,1.0,0.57697576,0.8045654,2
44b6_267148e4,236,0,63.0,100.0,211.0,0.08093862,0.28166968,1.0,1.8752661,27.623413,1
