dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_c15fded2,0,0,34.0,255.0,73.0,0.3729214,8.773885,0.53968257,2.1396742,41.032837,0
44b6_c15fded2,1,0,19.0,245.0,191.0,0.3126389,5.1071377,0.3015873,2.5434792,68.92444,0
44b6_c15fded2,2,0,31.0,97.0,177.0,0.34417215,2.953506,0.4920635,2.5434792,68.92444,1
44b6_c15fded2,3,0,38.0,168.0,52.0,0.28917584,5.1326,0.6031746,2.5401762,68.65625,4
44b6_c15fded2,4,0,34.0,190.0,68.0,0.30359298,4.7771025,0.53968257,2.5434792,68.92444,0
44b6_c15fded2,5,0,38.0,82.0,80.0,0.29660237,4.4675107,0.6031746,2.5401762,68.65625,0
44b6_c15fded2,6,0,24.0,50.0,226.0,0.29456636,4.6976204,0.3809524,2.5434792,68.92444,0
44b6_c15fded2,7,0,42.0,38.0,44.0,0.37533486,3.6516044,0.6666667,2.5434792,68.92444,1
44b6_c15fded2,8,0,31.0,142.0,125.0,0.30000716,4.2186527,0.4920635,2.5335438,68.11987,1
44b6_c15fded2,9,0,38.0,12.0,36.0,0.3158327,3.6894875,0.6031746,2.5401762,68.65625,1
44b6_c15fded2,10,0,32.0,10.0,165.0,0.29111657,4.084797,0.50793654,2.5401762,68.65625,0
44b6_c15fded2,11,0,31.0,212.0,116.0,0.3108524,4.7755575,0.4920635,2.5434792,68.92444,1
44b6_c15fded2,12,0,32.0,169.0,127.0,0.3279675,3.4791977,0.50793654,2.5401762,68.65625,1
44b6_c15fded2,13,0,22.0,146.0,201.0,0.29275846,3.264908,0.34920636,2.5335438,68.11987,1
44b6_c15fded2,14,0,39.0,65.0,55.0,0.35821766,5.398984,0.61904764,2.5401762,68.65625,3
44b6_c15fded2,15,0,33.0,217.0,63.0,0.3211718,3.7261357,0.52380955,2.5401762,68.65625,0
44b6_c15fded2,16,0,36.0,160.0,73.0,0.38564992,5.0571947,0.5714286,2.5434792,68.92444,1
44b6_c15fded2,17,0,21.0,12.0,243.0,0.28568217,3.7930274,0.33333334,2.5434792,68.92444,3
44b6_c15fded2,18,0,45.0,93.0,25.0,0.31746712,3.0259662,0.71428573,2.5434792,68.92444,0
44b6_c15fded2,19,0,15.0,206.0,237.0,0.27776298,3.3213518,0.23809524,2.5401762,68.65625,0
44b6_c15fded2,20,0,37.0,233.0,42.0,0.3773591,3.1287801,0.5873016,2.5434792,68.92444,1
44b6_c15fded2,21,0,44.0,63.0,28.0,0.39759618,4.4163556,0.6984127,2.5434792,68.92444,1
44b6_c15fded2,22,0,36.0,223.0,11.0,0.3283488,3.3106802,0.5714286,2.5401762,68.65625,0
44b6_c15fded2,23,0,23.0,246.0,151.0,0.26908976,3.8279927,0.36507937,2.5401762,68.65625,0
44b6_c15fded2,24,0,28.0,66.0,214.0,0.32977325,3.6440487,0.44444445,2.5434792,68.92444,0
44b6_c15fded2,25,0,31.0,175.0,180.0,0.29047394,4.2672834,0.4920635,2.5434792,68.92444,0
44b6_c15fded2,26,0,46.0,19.0,0.0,0.3446206,1.7692726,0.73015875,2.1396742,41.032837,2
44b6_c15fded2,27,0,38.0,38.0,107.0,0.27324644,6.034603,0.6031746,2.5434792,68.92444,2
44b6_c15fded2,28,0,25.0,83.0,227.0,0.26403025,3.3545542,0.3968254,2.5401762,68.65625,0
44b6_c15fded2,29,0,29.0,149.0,155.0,0.2809439,2.5664437,0.46031746,2.493,64.90161,1
44b6_c15fded2,30,0,37.0,192.0,41.0,0.33866918,3.3713698,0.5873016,2.5401762,68.65625,2
44b6_c15fded2,31,0,36.0,12.0,110.0,0.2745338,3.891162,0.5714286,2.5401762,68.65625,0
44b6_c15fded2,32,0,26.0,169.0,153.0,0.25669688,1.8760542,0.41269842,2.472224,63.29248,1
44b6_c15fded2,33,0,35.0,126.0,142.0,0.34681436,2.9902482,0.5555556,2.5434792,68.92444,2
44b6_c15fded2,34,0,32.0,48.0,137.0,0.25435135,2.8101683,0.50793654,2.5401762,68.65625,1
44b6_c15fded2,35,0,19.0,191.0,241.0,0.3216827,3.9822476,0.3015873,2.5434792,68.92444,1
44b6_c15fded2,36,0,37.0,28.0,86.0,0.2522125,3.8031719,0.5873016,2.4652207,62.756104,1
44b6_c15fded2,37,0,36.0,35.0,147.0,0.304332,2.4086149,0.5714286,2.5434792,68.92444,2
44b6_c15fded2,38,0,21.0,95.0,255.0,0.3119804,2.4966621,0.33333334,2.1350024,40.76465,1
