dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_c771cb04,0,0,29.0,59.0,14.0,0.40193245,3.5724418,0.46031746,2.5434792,68.92444,0
44b6_c771cb04,1,0,33.0,32.0,0.0,0.35939834,2.679461,0.52380955,2.1350024,40.76465,0
44b6_c771cb04,2,0,25.0,247.0,21.0,0.5796147,3.4434257,0.3968254,2.5434792,68.92444,2
44b6_c771cb04,3,0,6.0,255.0,0.0,0.37290287,1.3051176,0.0952381,1.7380214,21.991455,1
44b6_c771cb04,4,0,32.0,35.0,22.0,0.39738715,3.4004333,0.50793654,2.5434792,68.92444,2
44b6_c771cb04,5,0,39.0,12.0,0.0,0.34439594,2.6519983,0.61904764,2.125597,40.22827,0
44b6_c771cb04,6,0,30.0,65.0,41.0,0.40620866,3.1216047,0.47619048,2.5335438,68.11987,0
44b6_c771cb04,7,0,39.0,9.0,32.0,0.40138677,4.0543156,0.61904764,2.5434792,68.92444,0
44b6_c771cb04,8,0,27.0,192.0,24.0,0.5683144,2.2762504,0.42857143,2.5368643,68.38806,2
44b6_c771cb04,9,0,21.0,173.0,5.0,0.5097826,1.7253644,0.33333334,2.5401762,68.65625,4
44b6_c771cb04,10,0,52.0,176.0,45.0,0.417088,4.101651,0.82539684,2.5434792,68.92444,3
44b6_c771cb04,11,0,32.0,128.0,151.0,0.4250911,2.0892415,0.50793654,2.5434792,68.92444,1
44b6_c771cb04,12,0,17.0,193.0,67.0,0.49105257,3.5155764,0.26984128,2.5434792,68.92444,3
44b6_c771cb04,13,0,14.0,127.0,35.0,0.34242728,1.6811612,0.22222222,2.5401762,68.65625,2
44b6_c771cb04,14,0,15.0,123.0,10.0,0.3526462,1.6901313,0.23809524,2.475711,63.56067,1
44b6_c771cb04,15,0,22.0,156.0,137.0,0.42533183,1.995832,0.34920636,2.5401762,68.65625,2
44b6_c771cb04,16,0,27.0,77.0,95.0,0.38539055,2.8936853,0.42857143,2.5434792,68.92444,1
44b6_c771cb04,17,0,30.0,214.0,54.0,0.525348,2.552846,0.47619048,2.5368643,68.38806,2
44b6_c771cb04,18,0,22.0,131.0,27.0,0.48129714,1.1278315,0.34920636,2.5401762,68.65625,6
44b6_c771cb04,19,0,26.0,82.0,39.0,0.40229598,3.325695,0.41269842,2.5434792,68.92444,1
44b6_c771cb04,20,0,30.0,219.0,74.0,0.4899977,3.0354865,0.47619048,2.5434792,68.92444,2
44b6_c771cb04,21,0,49.0,82.0,54.0,0.6762188,2.5082662,0.7777778,2.5434792,68.92444,1
44b6_c771cb04,22,0,25.0,188.0,49.0,0.5067341,1.675371,0.3968254,2.5168092,66.77893,3
44b6_c771cb04,23,0,13.0,255.0,11.0,0.46821815,2.1016898,0.20634921,2.1161075,39.691895,2
44b6_c771cb04,24,0,30.0,177.0,68.0,0.54807705,2.1087334,0.47619048,2.5434792,68.92444,4
44b6_c771cb04,25,0,33.0,38.0,45.0,0.32670563,2.9177575,0.52380955,2.5401762,68.65625,0
44b6_c771cb04,26,0,22.0,227.0,25.0,0.4757198,1.7647415,0.34920636,2.4687274,63.024292,4
44b6_c771cb04,27,0,3.0,210.0,55.0,0.34683707,0.51489365,0.04761905,2.3511617,54.44226,4
44b6_c771cb04,28,0,5.0,228.0,51.0,0.442299,1.2322677,0.07936508,2.4546402,61.951538,3
44b6_c771cb04,29,0,30.0,144.0,40.0,0.6354492,1.5742139,0.47619048,2.5434792,68.92444,5
44b6_c771cb04,30,0,33.0,195.0,201.0,0.35749766,2.650818,0.52380955,2.5434792,68.92444,1
44b6_c771cb04,31,0,28.0,200.0,76.0,0.49144268,2.960273,0.44444445,2.5434792,68.92444,2
44b6_c771cb04,32,0,21.0,168.0,106.0,0.45869032,2.1515412,0.33333334,2.5434792,68.92444,2
44b6_c771cb04,33,0,39.0,11.0,69.0,0.32752538,2.5480955,0.61904764,2.5401762,68.65625,1
44b6_c771cb04,34,0,28.0,41.0,18.0,0.34763983,2.1297736,0.44444445,2.5032594,65.70618,1
44b6_c771cb04,35,0,24.0,255.0,0.0,0.47248214,2.735676,0.3809524,1.7658345,23.064209,2
44b6_c771cb04,36,0,25.0,242.0,55.0,0.5110837,2.137312,0.3968254,2.5434792,68.92444,4
44b6_c771cb04,37,0,12.0,152.0,38.0,0.35860685,1.76467,0.1904762,2.5368643,68.38806,3
44b6_c771cb04,38,0,47.0,110.0,0.0,0.45127276,1.0164095,0.74603176,2.13031,40.49646,5
44b6_c771cb04,39,0,11.0,203.0,29.0,0.40153804,3.41117,0.17460318,2.5434792,68.92444,1
