dataset,source_id,target_id
44b6_71a4179f,11,902
44b6_71a4179f,12,925
44b6_71a4179f,13,894
44b6_71a4179f,17,885
44b6_71a4179f,18,891
44b6_71a4179f,21,892
44b6_71a4179f,29,931
44b6_71a4179f,38,921
44b6_71a4179f,46,919
44b6_71a4179f,51,939
44b6_71a4179f,69,986
44b6_71a4179f,71,924
44b6_71a4179f,73,1101
44b6_71a4179f,80,1029
44b6_71a4179f,98,958
44b6_71a4179f,105,1069
44b6_71a4179f,106,935
44b6_71a4179f,118,956
44b6_71a4179f,121,1187
44b6_71a4179f,122,1084
44b6_71a4179f,128,1022
44b6_71a4179f,130,964
44b6_71a4179f,133,1055
44b6_71a4179f,135,1026
44b6_71a4179f,145,1153
44b6_71a4179f,156,1024
44b6_71a4179f,166,1013
44b6_71a4179f,172,1014
44b6_71a4179f,176,1115
44b6_71a4179f,177,1008
44b6_71a4179f,180,960
44b6_71a4179f,203,997
44b6_71a4179f,213,1097
44b6_71a4179f,215,1009
44b6_71a4179f,227,1081
44b6_71a4179f,229,1066
44b6_71a4179f,239,1116
44b6_71a4179f,241,1159
44b6_71a4179f,243,1157
44b6_71a4179f,246,1223
44b6_71a4179f,253,1275
44b6_71a4179f,271,1154
44b6_71a4179f,273,1033
44b6_71a4179f,275,1367
44b6_71a4179f,279,1136
44b6_71a4179f,284,995
44b6_71a4179f,285,1124
44b6_71a4179f,290,1150
44b6_71a4179f,295,1106
44b6_71a4179f,300,1121
44b6_71a4179f,304,1062
44b6_71a4179f,305,1261
44b6_71a4179f,307,1413
44b6_71a4179f,310,1182
44b6_71a4179f,316,1168
44b6_71a4179f,319,1366
44b6_71a4179f,320,1385
44b6_71a4179f,329,1310
44b6_71a4179f,339,1273
44b6_71a4179f,341,1142
44b6_71a4179f,343,1139
44b6_71a4179f,348,1219
44b6_71a4179f,364,1189
44b6_71a4179f,366,1149
44b6_71a4179f,371,1199
44b6_71a4179f,372,1194
44b6_71a4179f,376,1186
44b6_71a4179f,381,1216
44b6_71a4179f,385,1200
44b6_71a4179f,386,1286
44b6_71a4179f,403,1214
44b6_71a4179f,408,1302
44b6_71a4179f,409,1347
44b6_71a4179f,415,1315
44b6_71a4179f,417,1236
44b6_71a4179f,418,1581
44b6_71a4179f,422,1294
44b6_71a4179f,423,1287
44b6_71a4179f,424,1312
44b6_71a4179f,428,1129
44b6_71a4179f,449,1296
44b6_71a4179f,450,1242
44b6_71a4179f,457,1184
44b6_71a4179f,460,1345
44b6_71a4179f,463,1290
44b6_71a4179f,476,1397
44b6_71a4179f,482,1361
44b6_71a4179f,498,1508
44b6_71a4179f,499,1399
44b6_71a4179f,506,1375
44b6_71a4179f,520,1458
44b6_71a4179f,530,1371
44b6_71a4179f,544,1455
44b6_71a4179f,550,1443
44b6_71a4179f,555,1380
44b6_71a4179f,558,1477
44b6_71a4179f,561,1245
44b6_71a4179f,562,1476
44b6_71a4179f,566,1387
44b6_71a4179f,568,1687
44b6_71a4179f,582,1452
44b6_71a4179f,589,1536
44b6_71a4179f,591,1482
44b6_71a4179f,592,1456
44b6_71a4179f,599,1486
44b6_71a4179f,608,1422
44b6_71a4179f,610,1329
44b6_71a4179f,612,1543
44b6_71a4179f,613,1401
44b6_71a4179f,615,1546
44b6_71a4179f,616,1424
44b6_71a4179f,621,1542
44b6_71a4179f,635,1498
44b6_71a4179f,648,1521
44b6_71a4179f,654,1540
44b6_71a4179f,662,1548
44b6_71a4179f,663,1541
44b6_71a4179f,691,1660
44b6_71a4179f,705,1557
44b6_71a4179f,711,1594
44b6_71a4179f,713,1580
44b6_71a4179f,720,1662
44b6_71a4179f,728,1606
44b6_71a4179f,755,1672
44b6_71a4179f,763,1610
44b6_71a4179f,766,1451
44b6_71a4179f,777,1631
44b6_71a4179f,783,1602
44b6_71a4179f,796,1620
44b6_71a4179f,827,1690
44b6_71a4179f,847,1670
44b6_71a4179f,853,1577
44b6_71a4179f,856,1637
44b6_71a4179f,858,1641
44b6_71a4179f,880,1748
44b6_71a4179f,881,1751
44b6_71a4179f,882,1747
44b6_71a4179f,883,1749
44b6_71a4179f,887,1755
44b6_71a4179f,891,1767
44b6_71a4179f,892,1757
44b6_71a4179f,896,1795
44b6_71a4179f,903,1804
44b6_71a4179f,919,1777
44b6_71a4179f,921,1784
44b6_71a4179f,924,1843
44b6_71a4179f,929,1809
44b6_71a4179f,931,1830
44b6_71a4179f,939,1842
44b6_71a4179f,942,1780
44b6_71a4179f,956,1814
44b6_71a4179f,965,1868
44b6_71a4179f,972,1934
44b6_71a4179f,973,1860
44b6_71a4179f,978,1813
44b6_71a4179f,979,1773
44b6_71a4179f,993,1856
44b6_71a4179f,1002,1836
44b6_71a4179f,1008,1986
44b6_71a4179f,1009,1800
44b6_71a4179f,1011,1961
44b6_71a4179f,1012,2105
44b6_71a4179f,1014,1987
44b6_71a4179f,1016,1877
44b6_71a4179f,1026,1889
44b6_71a4179f,1027,2026
44b6_71a4179f,1036,1954
44b6_71a4179f,1039,2135
44b6_71a4179f,1045,1866
44b6_71a4179f,1048,1900
44b6_71a4179f,1050,1952
44b6_71a4179f,1052,1997
44b6_71a4179f,1062,1979
44b6_71a4179f,1067,1925
44b6_71a4179f,1071,1918
44b6_71a4179f,1074,1941
44b6_71a4179f,1087,1942
44b6_71a4179f,1094,1932
44b6_71a4179f,1095,1926
44b6_71a4179f,1100,1971
44b6_71a4179f,1101,1840
44b6_71a4179f,1105,1948
44b6_71a4179f,1112,1807
44b6_71a4179f,1113,2063
44b6_71a4179f,1115,2027
44b6_71a4179f,1116,2098
44b6_71a4179f,1121,1959
44b6_71a4179f,1126,1756
44b6_71a4179f,1137,2039
44b6_71a4179f,1139,2128
44b6_71a4179f,1145,2018
44b6_71a4179f,1147,1956
44b6_71a4179f,1150,1984
44b6_71a4179f,1154,2008
44b6_71a4179f,1157,2093
44b6_71a4179f,1159,2072
44b6_71a4179f,1165,2077
44b6_71a4179f,1175,2081
44b6_71a4179f,1181,2043
44b6_71a4179f,1182,2074
44b6_71a4179f,1200,2109
44b6_71a4179f,1219,2115
44b6_71a4179f,1223,2062
44b6_71a4179f,1236,2001
44b6_71a4179f,1245,2166
44b6_71a4179f,1249,2148
44b6_71a4179f,1254,2203
44b6_71a4179f,1256,2256
44b6_71a4179f,1258,2024
44b6_71a4179f,1261,2162
44b6_71a4179f,1275,2176
44b6_71a4179f,1287,1887
44b6_71a4179f,1293,2253
44b6_71a4179f,1296,2350
44b6_71a4179f,1298,2228
44b6_71a4179f,1302,2226
44b6_71a4179f,1305,2247
44b6_71a4179f,1310,2180
44b6_71a4179f,1322,2318
44b6_71a4179f,1323,2160
44b6_71a4179f,1326,2192
44b6_71a4179f,1344,2187
44b6_71a4179f,1346,2219
44b6_71a4179f,1353,2248
44b6_71a4179f,1354,2240
44b6_71a4179f,1361,2146
44b6_71a4179f,1362,2267
44b6_71a4179f,1387,2339
44b6_71a4179f,1402,2488
44b6_71a4179f,1419,2317
44b6_71a4179f,1422,2312
44b6_71a4179f,1429,2289
44b6_71a4179f,1432,2355
44b6_71a4179f,1448,2335
