dataset,source_id,target_id
6bba_87289e13,1,313
6bba_87289e13,3,320
6bba_87289e13,4,309
6bba_87289e13,5,318
6bba_87289e13,6,352
6bba_87289e13,7,312
6bba_87289e13,9,315
6bba_87289e13,10,335
6bba_87289e13,11,316
6bba_87289e13,12,324
6bba_87289e13,14,311
6bba_87289e13,15,314
6bba_87289e13,20,361
6bba_87289e13,21,342
6bba_87289e13,22,326
6bba_87289e13,23,323
6bba_87289e13,25,381
6bba_87289e13,26,343
6bba_87289e13,31,322
6bba_87289e13,32,329
6bba_87289e13,33,337
6bba_87289e13,35,350
6bba_87289e13,39,376
6bba_87289e13,40,366
6bba_87289e13,41,351
6bba_87289e13,42,377
6bba_87289e13,43,367
6bba_87289e13,45,353
6bba_87289e13,47,334
6bba_87289e13,49,340
6bba_87289e13,50,385
6bba_87289e13,51,398
6bba_87289e13,52,405
6bba_87289e13,54,369
6bba_87289e13,55,382
6bba_87289e13,56,384
6bba_87289e13,58,359
6bba_87289e13,59,338
6bba_87289e13,61,346
6bba_87289e13,63,394
6bba_87289e13,66,378
6bba_87289e13,67,375
6bba_87289e13,68,333
6bba_87289e13,70,374
6bba_87289e13,71,362
6bba_87289e13,72,368
6bba_87289e13,73,396
6bba_87289e13,74,428
6bba_87289e13,75,399
6bba_87289e13,76,433
6bba_87289e13,79,360
6bba_87289e13,84,430
6bba_87289e13,85,437
6bba_87289e13,88,347
6bba_87289e13,90,409
6bba_87289e13,92,450
6bba_87289e13,93,407
6bba_87289e13,96,434
6bba_87289e13,97,435
6bba_87289e13,98,422
6bba_87289e13,99,456
6bba_87289e13,101,508
6bba_87289e13,102,421
6bba_87289e13,105,457
6bba_87289e13,107,427
6bba_87289e13,109,473
6bba_87289e13,110,395
6bba_87289e13,111,358
6bba_87289e13,115,445
6bba_87289e13,116,397
6bba_87289e13,117,431
6bba_87289e13,118,411
6bba_87289e13,119,391
6bba_87289e13,122,459
6bba_87289e13,124,465
6bba_87289e13,126,441
6bba_87289e13,130,420
6bba_87289e13,133,468
6bba_87289e13,134,455
6bba_87289e13,136,425
6bba_87289e13,139,414
6bba_87289e13,141,451
6bba_87289e13,142,400
6bba_87289e13,143,443
6bba_87289e13,145,403
6bba_87289e13,146,471
6bba_87289e13,148,502
6bba_87289e13,154,559
6bba_87289e13,156,472
6bba_87289e13,159,490
6bba_87289e13,160,483
6bba_87289e13,161,518
6bba_87289e13,163,491
6bba_87289e13,166,489
6bba_87289e13,170,463
6bba_87289e13,174,379
6bba_87289e13,175,496
6bba_87289e13,177,484
6bba_87289e13,179,604
6bba_87289e13,180,467
6bba_87289e13,181,486
6bba_87289e13,182,538
