dataset,source_id,target_id
6bba_ab78413d,0,135
6bba_ab78413d,1,134
6bba_ab78413d,2,139
6bba_ab78413d,4,137
6bba_ab78413d,5,138
6bba_ab78413d,6,144
6bba_ab78413d,9,141
6bba_ab78413d,10,136
6bba_ab78413d,11,143
6bba_ab78413d,13,142
6bba_ab78413d,14,145
6bba_ab78413d,15,146
6bba_ab78413d,17,171
6bba_ab78413d,20,159
6bba_ab78413d,22,156
6bba_ab78413d,24,164
6bba_ab78413d,26,160
6bba_ab78413d,27,148
6bba_ab78413d,28,214
6bba_ab78413d,32,184
6bba_ab78413d,34,176
6bba_ab78413d,36,175
6bba_ab78413d,37,187
6bba_ab78413d,39,166
6bba_ab78413d,43,198
6bba_ab78413d,44,180
6bba_ab78413d,45,178
6bba_ab78413d,53,173
6bba_ab78413d,54,183
6bba_ab78413d,55,205
6bba_ab78413d,57,157
6bba_ab78413d,59,211
6bba_ab78413d,60,193
6bba_ab78413d,64,154
6bba_ab78413d,67,209
6bba_ab78413d,69,188
6bba_ab78413d,75,237
6bba_ab78413d,78,215
6bba_ab78413d,81,212
6bba_ab78413d,87,232
6bba_ab78413d,90,244
6bba_ab78413d,93,230
6bba_ab78413d,95,241
6bba_ab78413d,107,252
6bba_ab78413d,110,227
6bba_ab78413d,113,243
6bba_ab78413d,122,269
6bba_ab78413d,125,255
6bba_ab78413d,126,261
6bba_ab78413d,128,263
6bba_ab78413d,129,249
6bba_ab78413d,134,273
6bba_ab78413d,135,274
6bba_ab78413d,136,278
6bba_ab78413d,137,275
6bba_ab78413d,138,276
6bba_ab78413d,139,277
6bba_ab78413d,144,287
6bba_ab78413d,145,284
6bba_ab78413d,146,286
6bba_ab78413d,148,282
6bba_ab78413d,153,290
6bba_ab78413d,154,288
6bba_ab78413d,156,294
6bba_ab78413d,157,292
6bba_ab78413d,158,298
6bba_ab78413d,161,305
6bba_ab78413d,163,317
6bba_ab78413d,164,302
6bba_ab78413d,171,300
6bba_ab78413d,175,309
6bba_ab78413d,180,316
6bba_ab78413d,181,314
6bba_ab78413d,184,319
6bba_ab78413d,185,312
6bba_ab78413d,186,299
6bba_ab78413d,188,336
6bba_ab78413d,190,330
6bba_ab78413d,195,337
6bba_ab78413d,197,311
6bba_ab78413d,198,331
6bba_ab78413d,202,343
6bba_ab78413d,203,335
6bba_ab78413d,205,348
6bba_ab78413d,206,338
6bba_ab78413d,212,326
6bba_ab78413d,214,346
6bba_ab78413d,215,344
6bba_ab78413d,221,349
6bba_ab78413d,227,356
6bba_ab78413d,228,372
6bba_ab78413d,230,357
6bba_ab78413d,237,354
6bba_ab78413d,242,379
6bba_ab78413d,252,384
6bba_ab78413d,256,392
6bba_ab78413d,261,390
6bba_ab78413d,263,396
6bba_ab78413d,273,405
6bba_ab78413d,274,406
6bba_ab78413d,275,408
6bba_ab78413d,276,407
6bba_ab78413d,277,409
6bba_ab78413d,278,412
6bba_ab78413d,279,411
6bba_ab78413d,282,413
6bba_ab78413d,284,416
6bba_ab78413d,285,414
6bba_ab78413d,286,420
6bba_ab78413d,287,421
6bba_ab78413d,288,415
6bba_ab78413d,290,423
6bba_ab78413d,292,429
6bba_ab78413d,293,424
6bba_ab78413d,295,422
6bba_ab78413d,296,428
6bba_ab78413d,297,430
6bba_ab78413d,298,441
6bba_ab78413d,299,435
6bba_ab78413d,300,440
6bba_ab78413d,301,426
6bba_ab78413d,302,433
6bba_ab78413d,303,443
6bba_ab78413d,308,448
6bba_ab78413d,309,452
6bba_ab78413d,312,446
6bba_ab78413d,313,450
6bba_ab78413d,314,437
6bba_ab78413d,316,455
6bba_ab78413d,317,449
6bba_ab78413d,319,459
6bba_ab78413d,322,432
6bba_ab78413d,325,447
6bba_ab78413d,326,476
6bba_ab78413d,328,477
6bba_ab78413d,329,471
6bba_ab78413d,343,481
6bba_ab78413d,344,502
6bba_ab78413d,349,490
6bba_ab78413d,352,484
6bba_ab78413d,354,517
6bba_ab78413d,356,478
6bba_ab78413d,357,503
6bba_ab78413d,362,501
6bba_ab78413d,367,489
6bba_ab78413d,370,493
6bba_ab78413d,372,504
6bba_ab78413d,375,518
6bba_ab78413d,377,510
6bba_ab78413d,378,497
6bba_ab78413d,390,520
6bba_ab78413d,392,515
6bba_ab78413d,405,532
6bba_ab78413d,406,533
6bba_ab78413d,407,534
6bba_ab78413d,408,535
6bba_ab78413d,409,536
6bba_ab78413d,411,537
6bba_ab78413d,413,539
6bba_ab78413d,414,542
6bba_ab78413d,415,547
6bba_ab78413d,416,545
6bba_ab78413d,420,549
6bba_ab78413d,421,546
6bba_ab78413d,422,555
6bba_ab78413d,423,550
6bba_ab78413d,424,551
6bba_ab78413d,427,552
