dataset,source_id,target_id
6bba_f20478e9,4,118
6bba_f20478e9,5,105
6bba_f20478e9,6,80
6bba_f20478e9,9,109
6bba_f20478e9,19,121
6bba_f20478e9,20,83
6bba_f20478e9,22,101
6bba_f20478e9,30,84
6bba_f20478e9,32,99
6bba_f20478e9,35,93
6bba_f20478e9,38,103
6bba_f20478e9,42,108
6bba_f20478e9,44,133
6bba_f20478e9,51,134
6bba_f20478e9,75,153
6bba_f20478e9,76,154
6bba_f20478e9,77,155
6bba_f20478e9,78,156
6bba_f20478e9,79,157
6bba_f20478e9,80,158
6bba_f20478e9,81,159
6bba_f20478e9,82,160
6bba_f20478e9,83,161
6bba_f20478e9,84,162
6bba_f20478e9,85,163
6bba_f20478e9,86,164
6bba_f20478e9,87,165
6bba_f20478e9,88,166
6bba_f20478e9,89,167
6bba_f20478e9,90,168
6bba_f20478e9,91,169
6bba_f20478e9,92,170
6bba_f20478e9,93,171
6bba_f20478e9,94,172
6bba_f20478e9,95,173
6bba_f20478e9,96,174
6bba_f20478e9,97,175
6bba_f20478e9,98,176
6bba_f20478e9,99,177
6bba_f20478e9,100,178
6bba_f20478e9,101,179
6bba_f20478e9,102,180
6bba_f20478e9,103,181
6bba_f20478e9,104,182
6bba_f20478e9,105,183
6bba_f20478e9,106,184
6bba_f20478e9,107,185
6bba_f20478e9,108,186
6bba_f20478e9,109,187
6bba_f20478e9,110,188
6bba_f20478e9,111,189
6bba_f20478e9,112,190
6bba_f20478e9,113,191
6bba_f20478e9,114,192
6bba_f20478e9,115,193
6bba_f20478e9,116,194
6bba_f20478e9,117,195
6bba_f20478e9,118,196
6bba_f20478e9,119,197
6bba_f20478e9,120,198
6bba_f20478e9,121,199
6bba_f20478e9,122,200
6bba_f20478e9,123,201
6bba_f20478e9,124,202
6bba_f20478e9,125,203
6bba_f20478e9,126,204
6bba_f20478e9,127,205
6bba_f20478e9,128,206
6bba_f20478e9,129,207
6bba_f20478e9,130,208
6bba_f20478e9,131,209
6bba_f20478e9,132,210
6bba_f20478e9,133,211
6bba_f20478e9,134,212
6bba_f20478e9,135,213
6bba_f20478e9,136,214
6bba_f20478e9,138,216
6bba_f20478e9,139,217
6bba_f20478e9,140,218
6bba_f20478e9,142,220
6bba_f20478e9,143,221
6bba_f20478e9,144,222
6bba_f20478e9,150,228
6bba_f20478e9,156,241
6bba_f20478e9,157,237
6bba_f20478e9,158,235
6bba_f20478e9,159,236
6bba_f20478e9,161,249
6bba_f20478e9,163,238
6bba_f20478e9,164,243
6bba_f20478e9,167,242
6bba_f20478e9,171,248
6bba_f20478e9,176,253
6bba_f20478e9,179,256
6bba_f20478e9,181,258
6bba_f20478e9,183,254
6bba_f20478e9,185,264
6bba_f20478e9,191,268
6bba_f20478e9,195,272
6bba_f20478e9,198,278
6bba_f20478e9,199,271
6bba_f20478e9,204,279
6bba_f20478e9,205,283
6bba_f20478e9,206,286
6bba_f20478e9,212,289
6bba_f20478e9,227,303
6bba_f20478e9,231,309
6bba_f20478e9,232,313
6bba_f20478e9,233,310
6bba_f20478e9,234,311
6bba_f20478e9,235,314
6bba_f20478e9,236,315
6bba_f20478e9,237,317
6bba_f20478e9,238,316
6bba_f20478e9,239,312
6bba_f20478e9,241,318
6bba_f20478e9,242,322
6bba_f20478e9,243,319
6bba_f20478e9,244,325
6bba_f20478e9,245,323
6bba_f20478e9,246,324
6bba_f20478e9,248,326
6bba_f20478e9,249,320
6bba_f20478e9,250,321
6bba_f20478e9,251,327
6bba_f20478e9,252,328
6bba_f20478e9,253,334
6bba_f20478e9,254,330
6bba_f20478e9,255,336
6bba_f20478e9,256,333
6bba_f20478e9,257,339
6bba_f20478e9,258,335
6bba_f20478e9,260,340
6bba_f20478e9,261,341
6bba_f20478e9,262,329
6bba_f20478e9,263,342
6bba_f20478e9,264,337
6bba_f20478e9,266,343
6bba_f20478e9,267,351
6bba_f20478e9,268,347
6bba_f20478e9,269,346
6bba_f20478e9,271,354
6bba_f20478e9,272,348
6bba_f20478e9,273,350
6bba_f20478e9,274,352
6bba_f20478e9,277,356
6bba_f20478e9,278,357
6bba_f20478e9,279,353
6bba_f20478e9,280,361
6bba_f20478e9,281,360
6bba_f20478e9,282,358
6bba_f20478e9,284,355
6bba_f20478e9,286,363
6bba_f20478e9,287,365
6bba_f20478e9,289,364
6bba_f20478e9,294,368
6bba_f20478e9,313,391
6bba_f20478e9,317,393
6bba_f20478e9,326,400
6bba_f20478e9,328,404
6bba_f20478e9,330,406
6bba_f20478e9,333,409
6bba_f20478e9,336,411
6bba_f20478e9,340,407
6bba_f20478e9,341,412
6bba_f20478e9,348,427
6bba_f20478e9,352,430
6bba_f20478e9,357,431
6bba_f20478e9,358,432
6bba_f20478e9,364,444
6bba_f20478e9,365,439
6bba_f20478e9,367,438
6bba_f20478e9,368,428
6bba_f20478e9,384,474
6bba_f20478e9,385,463
6bba_f20478e9,386,462
6bba_f20478e9,387,464
6bba_f20478e9,388,466
6bba_f20478e9,389,468
6bba_f20478e9,390,467
6bba_f20478e9,391,470
6bba_f20478e9,392,477
6bba_f20478e9,393,469
6bba_f20478e9,394,465
6bba_f20478e9,395,478
6bba_f20478e9,396,489
6bba_f20478e9,397,472
6bba_f20478e9,398,475
6bba_f20478e9,399,471
6bba_f20478e9,400,479
6bba_f20478e9,401,481
6bba_f20478e9,402,473
6bba_f20478e9,403,485
6bba_f20478e9,405,492
6bba_f20478e9,406,483
6bba_f20478e9,410,480
6bba_f20478e9,411,487
6bba_f20478e9,412,493
6bba_f20478e9,413,476
6bba_f20478e9,415,488
6bba_f20478e9,416,496
6bba_f20478e9,417,498
6bba_f20478e9,418,506
6bba_f20478e9,419,499
6bba_f20478e9,420,497
6bba_f20478e9,421,507
6bba_f20478e9,422,500
6bba_f20478e9,423,491
6bba_f20478e9,425,501
6bba_f20478e9,426,504
6bba_f20478e9,427,508
6bba_f20478e9,428,494
6bba_f20478e9,429,503
6bba_f20478e9,430,512
6bba_f20478e9,431,510
6bba_f20478e9,432,509
6bba_f20478e9,433,511
6bba_f20478e9,434,514
6bba_f20478e9,435,515
6bba_f20478e9,436,517
6bba_f20478e9,437,522
6bba_f20478e9,439,520
6bba_f20478e9,440,521
6bba_f20478e9,441,523
6bba_f20478e9,443,527
6bba_f20478e9,458,536
6bba_f20478e9,462,541
6bba_f20478e9,463,540
6bba_f20478e9,464,542
6bba_f20478e9,465,539
6bba_f20478e9,466,545
6bba_f20478e9,467,546
6bba_f20478e9,468,547
6bba_f20478e9,469,548
6bba_f20478e9,470,551
6bba_f20478e9,471,543
6bba_f20478e9,473,549
6bba_f20478e9,474,544
6bba_f20478e9,475,550
6bba_f20478e9,477,556
6bba_f20478e9,478,553
6bba_f20478e9,479,558
6bba_f20478e9,481,552
6bba_f20478e9,482,555
6bba_f20478e9,483,560
6bba_f20478e9,484,568
6bba_f20478e9,486,564
6bba_f20478e9,487,557
6bba_f20478e9,488,585
6bba_f20478e9,489,566
6bba_f20478e9,492,569
6bba_f20478e9,493,572
6bba_f20478e9,494,563
6bba_f20478e9,496,575
6bba_f20478e9,500,573
6bba_f20478e9,501,583
6bba_f20478e9,502,582
6bba_f20478e9,503,580
6bba_f20478e9,504,578
6bba_f20478e9,506,571
6bba_f20478e9,507,577
6bba_f20478e9,508,581
6bba_f20478e9,509,584
6bba_f20478e9,510,586
6bba_f20478e9,511,588
6bba_f20478e9,513,587
6bba_f20478e9,515,593
6bba_f20478e9,516,592
6bba_f20478e9,517,595
6bba_f20478e9,520,597
6bba_f20478e9,524,601
6bba_f20478e9,527,600
6bba_f20478e9,539,613
6bba_f20478e9,540,620
6bba_f20478e9,541,614
6bba_f20478e9,542,618
6bba_f20478e9,543,617
6bba_f20478e9,546,615
6bba_f20478e9,547,625
6bba_f20478e9,548,622
6bba_f20478e9,549,616
6bba_f20478e9,550,627
6bba_f20478e9,551,619
6bba_f20478e9,552,638
6bba_f20478e9,553,634
6bba_f20478e9,555,645
6bba_f20478e9,557,633
6bba_f20478e9,558,639
6bba_f20478e9,559,621
6bba_f20478e9,560,643
6bba_f20478e9,561,626
6bba_f20478e9,563,642
6bba_f20478e9,564,646
6bba_f20478e9,565,637
6bba_f20478e9,569,631
6bba_f20478e9,571,644
6bba_f20478e9,572,636
6bba_f20478e9,573,653
6bba_f20478e9,574,648
6bba_f20478e9,575,658
6bba_f20478e9,576,655
6bba_f20478e9,577,652
6bba_f20478e9,578,623
6bba_f20478e9,579,656
6bba_f20478e9,580,647
6bba_f20478e9,581,654
6bba_f20478e9,582,661
6bba_f20478e9,583,628
6bba_f20478e9,584,641
6bba_f20478e9,585,662
6bba_f20478e9,587,651
6bba_f20478e9,588,650
6bba_f20478e9,592,666
6bba_f20478e9,595,667
6bba_f20478e9,596,668
6bba_f20478e9,597,669
6bba_f20478e9,600,674
6bba_f20478e9,606,673
6bba_f20478e9,612,685
6bba_f20478e9,613,684
6bba_f20478e9,614,686
6bba_f20478e9,615,689
6bba_f20478e9,616,693
6bba_f20478e9,617,690
6bba_f20478e9,618,688
6bba_f20478e9,620,687
6bba_f20478e9,621,700
6bba_f20478e9,622,698
6bba_f20478e9,623,722
6bba_f20478e9,625,691
6bba_f20478e9,627,695
6bba_f20478e9,628,721
6bba_f20478e9,631,702
6bba_f20478e9,632,714
6bba_f20478e9,633,704
6bba_f20478e9,634,694
6bba_f20478e9,635,718
6bba_f20478e9,636,723
6bba_f20478e9,640,712
6bba_f20478e9,641,725
6bba_f20478e9,642,697
6bba_f20478e9,643,703
6bba_f20478e9,644,711
6bba_f20478e9,645,701
6bba_f20478e9,646,708
6bba_f20478e9,647,729
6bba_f20478e9,650,728
6bba_f20478e9,652,726
6bba_f20478e9,653,710
6bba_f20478e9,654,724
6bba_f20478e9,655,716
6bba_f20478e9,656,715
6bba_f20478e9,657,727
6bba_f20478e9,658,720
6bba_f20478e9,661,730
6bba_f20478e9,662,735
6bba_f20478e9,663,734
6bba_f20478e9,664,733
6bba_f20478e9,665,732
6bba_f20478e9,666,736
6bba_f20478e9,668,741
6bba_f20478e9,669,744
6bba_f20478e9,674,749
6bba_f20478e9,675,751
6bba_f20478e9,676,763
6bba_f20478e9,677,752
6bba_f20478e9,684,770
6bba_f20478e9,685,768
6bba_f20478e9,687,771
6bba_f20478e9,690,774
6bba_f20478e9,692,779
6bba_f20478e9,693,778
6bba_f20478e9,694,780
6bba_f20478e9,695,783
6bba_f20478e9,696,781
6bba_f20478e9,697,790
6bba_f20478e9,699,791
6bba_f20478e9,700,784
6bba_f20478e9,701,789
6bba_f20478e9,703,788
6bba_f20478e9,704,787
6bba_f20478e9,707,795
6bba_f20478e9,710,797
6bba_f20478e9,711,800
6bba_f20478e9,714,802
