dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_0b24845f,0,0,37.0,19.0,44.0,0.6314171,3.6244686,0.5873016,2.5434792,68.92444,2
44b6_0b24845f,1,0,7.0,10.0,78.0,0.535616,3.055021,0.11111111,2.5401762,68.65625,1
44b6_0b24845f,2,0,53.0,20.0,23.0,0.55257523,2.988122,0.84126985,2.5434792,68.92444,0
44b6_0b24845f,3,0,23.0,65.0,155.0,0.55290246,2.635946,0.36507937,2.5168092,66.77893,1
44b6_0b24845f,4,0,50.0,18.0,45.0,0.5299569,1.7075695,0.7936508,2.5368643,68.38806,1
44b6_0b24845f,5,0,30.0,115.0,221.0,0.6546845,2.7460039,0.47619048,2.5401762,68.65625,2
44b6_0b24845f,6,0,41.0,82.0,163.0,0.5440694,3.3513985,0.6507937,2.5335438,68.11987,2
44b6_0b24845f,7,0,45.0,31.0,58.0,0.49495044,2.2292385,0.71428573,2.5201738,67.04712,2
44b6_0b24845f,8,0,22.0,88.0,217.0,0.5257875,2.596703,0.34920636,2.5268764,67.583496,1
44b6_0b24845f,9,0,62.0,87.0,153.0,0.49747795,2.9870856,0.984127,2.3316977,53.10132,1
44b6_0b24845f,10,0,54.0,193.0,255.0,0.7423754,2.104999,0.85714287,2.1396742,41.032837,0
44b6_0b24845f,11,0,63.0,214.0,241.0,0.62841505,1.589146,1.0,2.1396742,41.032837,0
44b6_0b24845f,12,0,0.0,22.0,115.0,0.49193928,2.9107103,0.0,2.1396742,41.032837,0
44b6_0b24845f,13,0,8.0,62.0,180.0,0.5228592,2.5003567,0.12698413,2.5434792,68.92444,0
44b6_0b24845f,14,0,20.0,0.0,37.0,0.52667856,2.6212702,0.31746033,2.1350024,40.76465,1
44b6_0b24845f,15,0,0.0,90.0,207.0,0.6167851,2.0841403,0.0,2.1396742,41.032837,1
44b6_0b24845f,16,0,35.0,28.0,110.0,0.4056215,1.6322569,0.5555556,2.5368643,68.38806,2
44b6_0b24845f,17,0,0.0,153.0,93.0,0.7077914,2.8249094,0.0,2.1396742,41.032837,0
44b6_0b24845f,18,0,38.0,186.0,244.0,0.7233775,1.8779405,0.6031746,2.5401762,68.65625,1
44b6_0b24845f,19,0,45.0,61.0,73.0,0.47848397,2.4393883,0.71428573,2.5268764,67.583496,5
44b6_0b24845f,20,0,11.0,88.0,235.0,0.47697222,2.0158987,0.17460318,2.5401762,68.65625,0
44b6_0b24845f,21,0,39.0,6.0,18.0,0.5053381,2.4114313,0.61904764,2.5434792,68.92444,2
44b6_0b24845f,22,0,51.0,78.0,134.0,0.4722423,2.137477,0.8095238,2.5066607,65.974365,2
44b6_0b24845f,23,0,19.0,50.0,122.0,0.51629865,3.0869687,0.3015873,2.5434792,68.92444,0
44b6_0b24845f,24,0,29.0,105.0,177.0,0.5945883,2.348338,0.46031746,2.5401762,68.65625,2
44b6_0b24845f,25,0,57.0,23.0,0.0,0.48512822,1.8968896,0.9047619,2.1350024,40.76465,0
44b6_0b24845f,26,0,18.0,29.0,97.0,0.49020392,2.6570113,0.2857143,2.5434792,68.92444,1
44b6_0b24845f,27,0,63.0,168.0,162.0,0.6088168,2.9673476,1.0,2.1396742,41.032837,0
44b6_0b24845f,28,0,31.0,146.0,246.0,0.69960904,2.0271008,0.4920635,2.5434792,68.92444,1
44b6_0b24845f,29,0,33.0,112.0,255.0,0.47224128,2.4444518,0.52380955,2.0968692,38.61914,1
44b6_0b24845f,30,0,36.0,192.0,255.0,0.66092813,1.1633103,0.5714286,2.1396742,41.032837,2
44b6_0b24845f,31,0,60.0,51.0,70.0,0.45226735,3.4964974,0.95238096,2.5401762,68.65625,2
44b6_0b24845f,32,0,0.0,100.0,88.0,0.56891304,2.328433,0.0,2.1396742,41.032837,0
44b6_0b24845f,33,0,5.0,83.0,207.0,0.56677336,1.6438968,0.07936508,2.5434792,68.92444,2
44b6_0b24845f,34,0,13.0,15.0,16.0,0.53547513,2.1413038,0.20634921,2.5401762,68.65625,1
44b6_0b24845f,35,0,39.0,41.0,85.0,0.40669143,3.7409647,0.61904764,2.5368643,68.38806,0
44b6_0b24845f,36,0,51.0,79.0,111.0,0.4907023,2.3270473,0.8095238,2.5100527,66.24255,5
44b6_0b24845f,37,0,39.0,90.0,207.0,0.47450784,2.063055,0.61904764,2.5434792,68.92444,1
44b6_0b24845f,38,0,36.0,175.0,111.0,0.68129545,2.5112379,0.5714286,2.5434792,68.92444,0
44b6_0b24845f,39,0,24.0,188.0,255.0,0.6709279,1.6402717,0.3809524,2.1396742,41.032837,2
44b6_0b24845f,40,0,11.0,167.0,77.0,0.63012487,2.173255,0.17460318,2.5434792,68.92444,0
44b6_0b24845f,41,0,44.0,85.0,142.0,0.49443406,2.6194096,0.6984127,2.5401762,68.65625,3
44b6_0b24845f,42,0,0.0,50.0,158.0,0.49312657,2.2743275,0.0,2.1350024,40.76465,1
44b6_0b24845f,43,0,9.0,45.0,156.0,0.45248455,1.8145673,0.14285715,2.5434792,68.92444,1
44b6_0b24845f,44,0,45.0,85.0,62.0,0.5214386,2.3162847,0.71428573,2.5235295,67.31531,1
44b6_0b24845f,45,0,32.0,36.0,108.0,0.43312025,1.5506129,0.50793654,2.5434792,68.92444,2
44b6_0b24845f,46,0,25.0,191.0,131.0,0.6824634,1.6326405,0.3968254,2.5434792,68.92444,0
44b6_0b24845f,47,0,0.0,120.0,181.0,0.66415626,3.5056157,0.0,2.1396742,41.032837,0
44b6_0b24845f,48,0,13.0,0.0,56.0,0.5082862,2.547987,0.20634921,2.1396742,41.032837,1
44b6_0b24845f,49,0,43.0,2.0,7.0,0.53150237,1.8696016,0.6825397,2.4687274,63.024292,3
44b6_0b24845f,50,0,11.0,36.0,128.0,0.44159853,2.4370937,0.17460318,2.5434792,68.92444,0
44b6_0b24845f,51,0,10.0,17.0,66.0,0.48817584,2.0629406,0.15873016,2.5401762,68.65625,2
44b6_0b24845f,52,0,0.0,104.0,255.0,0.5249766,1.8701028,0.0,1.7994134,24.405151,0
44b6_0b24845f,53,0,53.0,118.0,249.0,0.42736733,2.4296508,0.84126985,2.5401762,68.65625,0
44b6_0b24845f,54,0,28.0,9.0,47.0,0.47420272,1.8006656,0.44444445,2.5401762,68.65625,1
44b6_0b24845f,55,0,39.0,39.0,105.0,0.3794412,0.97048575,0.61904764,2.5235295,67.31531,2
44b6_0b24845f,56,0,40.0,166.0,139.0,0.67859364,1.306176,0.63492066,2.5401762,68.65625,1
44b6_0b24845f,57,0,38.0,110.0,237.0,0.50513786,1.8590523,0.6031746,2.5401762,68.65625,1
44b6_0b24845f,58,0,41.0,165.0,219.0,0.6730671,2.4143662,0.6507937,2.5401762,68.65625,0
44b6_0b24845f,59,0,31.0,134.0,31.0,0.5662017,1.8674641,0.4920635,2.5401762,68.65625,0
44b6_0b24845f,60,0,58.0,119.0,229.0,0.4764752,1.4279803,0.9206349,2.5368643,68.38806,1
44b6_0b24845f,61,0,32.0,147.0,208.0,0.68344504,2.633244,0.50793654,2.5401762,68.65625,0
44b6_0b24845f,62,0,42.0,160.0,134.0,0.67791295,1.5270983,0.6666667,2.5434792,68.92444,2
44b6_0b24845f,63,0,27.0,30.0,85.0,0.4446165,1.8440121,0.42857143,2.5268764,67.583496,1
44b6_0b24845f,64,0,0.0,127.0,255.0,0.6126352,2.221021,0.0,1.7927979,24.136963,0
44b6_0b24845f,65,0,58.0,81.0,121.0,0.43593255,1.534409,0.9206349,2.5368643,68.38806,2
44b6_0b24845f,66,0,24.0,121.0,210.0,0.6233117,1.685846,0.3809524,2.5368643,68.38806,1
44b6_0b24845f,67,0,13.0,109.0,227.0,0.56795377,2.5905046,0.20634921,2.5434792,68.92444,0
44b6_0b24845f,68,0,44.0,143.0,161.0,0.6175214,1.8074237,0.6984127,2.5434792,68.92444,0
44b6_0b24845f,69,0,63.0,147.0,11.0,0.5708054,1.7660856,1.0,2.1396742,41.032837,0
44b6_0b24845f,70,0,51.0,119.0,153.0,0.52884823,2.5392842,0.8095238,2.5401762,68.65625,1
44b6_0b24845f,71,0,43.0,119.0,221.0,0.52335215,1.6003431,0.6825397,2.5235295,67.31531,3
44b6_0b24845f,72,0,10.0,191.0,255.0,0.71381634,1.301524,0.15873016,2.125597,40.22827,1
44b6_0b24845f,73,0,41.0,170.0,67.0,0.6290853,1.633303,0.6507937,2.5434792,68.92444,0
44b6_0b24845f,74,0,9.0,199.0,180.0,0.6682598,1.0244173,0.14285715,2.5401762,68.65625,0
44b6_0b24845f,75,0,32.0,21.0,77.0,0.38116553,1.9828753,0.50793654,2.5434792,68.92444,1
44b6_0b24845f,76,0,21.0,96.0,161.0,0.57720107,1.9692297,0.33333334,2.5401762,68.65625,2
44b6_0b24845f,77,0,38.0,62.0,63.0,0.47717795,2.215533,0.6031746,2.5168092,66.77893,6
44b6_0b24845f,78,0,60.0,38.0,22.0,0.4231199,2.158785,0.95238096,2.5066607,65.974365,1
44b6_0b24845f,79,0,3.0,191.0,123.0,0.6776491,1.6321781,0.04761905,2.5401762,68.65625,1
44b6_0b24845f,80,0,53.0,58.0,89.0,0.44076186,2.39461,0.84126985,2.5434792,68.92444,1
44b6_0b24845f,81,0,38.0,39.0,54.0,0.47483373,2.2015984,0.6031746,2.5434792,68.92444,2
44b6_0b24845f,82,0,56.0,34.0,40.0,0.4411222,1.7947953,0.8888889,2.5302145,67.851685,0
44b6_0b24845f,83,0,22.0,170.0,175.0,0.6760519,2.591577,0.34920636,2.5434792,68.92444,1
44b6_0b24845f,84,0,28.0,101.0,232.0,0.5042874,1.5985819,0.44444445,2.5401762,68.65625,1
44b6_0b24845f,85,0,0.0,0.0,49.0,0.49889588,2.2339766,0.0,1.7994134,24.405151,1
44b6_0b24845f,86,0,25.0,198.0,94.0,0.593129,1.5427157,0.3968254,2.5434792,68.92444,0
44b6_0b24845f,87,0,0.0,0.0,25.0,0.48138902,3.0124347,0.0,1.7994134,24.405151,1
44b6_0b24845f,88,0,54.0,176.0,40.0,0.54832584,1.9660039,0.85714287,2.5434792,68.92444,2
44b6_0b24845f,89,0,11.0,199.0,206.0,0.62404746,1.0535779,0.17460318,2.5335438,68.11987,2
44b6_0b24845f,90,0,15.0,14.0,62.0,0.46415612,1.7035352,0.23809524,2.5302145,67.851685,1
44b6_0b24845f,91,0,61.0,180.0,202.0,0.58059204,1.783368,0.96825397,2.4687274,63.024292,0
44b6_0b24845f,92,0,14.0,118.0,143.0,0.58508706,2.7436757,0.22222222,2.5434792,68.92444,1
44b6_0b24845f,93,0,0.0,196.0,208.0,0.7133687,1.3198415,0.0,2.1350024,40.76465,2
44b6_0b24845f,94,0,57.0,84.0,72.0,0.42707327,1.9427546,0.9047619,2.5201738,67.04712,1
44b6_0b24845f,95,0,60.0,141.0,238.0,0.52735066,1.6105088,0.95238096,2.4895616,64.63342,2
44b6_0b24845f,96,0,11.0,141.0,165.0,0.6624199,2.1181502,0.17460318,2.5368643,68.38806,2
44b6_0b24845f,97,0,55.0,172.0,118.0,0.6007541,1.744356,0.8730159,2.5368643,68.38806,0
44b6_0b24845f,98,0,23.0,177.0,198.0,0.6479912,1.8238806,0.36507937,2.5401762,68.65625,1
44b6_0b24845f,99,0,0.0,45.0,10.0,0.47193748,2.2296386,0.0,2.1396742,41.032837,0
44b6_0b24845f,100,0,31.0,75.0,138.0,0.4671382,2.402053,0.4920635,2.5134354,66.51074,2
44b6_0b24845f,101,0,39.0,151.0,192.0,0.6280002,2.1329508,0.61904764,2.5368643,68.38806,0
44b6_0b24845f,102,0,0.0,148.0,193.0,0.8303298,4.43576,0.0,2.1396742,41.032837,1
44b6_0b24845f,103,0,8.0,211.0,155.0,0.60712135,1.3796726,0.12698413,2.5401762,68.65625,0
44b6_0b24845f,104,0,17.0,117.0,255.0,0.53333884,1.8898667,0.26984128,2.1396742,41.032837,1
44b6_0b24845f,105,0,22.0,0.0,12.0,0.5216045,1.9195206,0.34920636,2.1396742,41.032837,1
44b6_0b24845f,106,0,58.0,162.0,20.0,0.5533732,1.3763134,0.9206349,2.5335438,68.11987,0
44b6_0b24845f,107,0,55.0,156.0,173.0,0.5844478,2.4808507,0.8730159,2.5434792,68.92444,0
44b6_0b24845f,108,0,4.0,191.0,213.0,0.7393538,1.9005069,0.06349207,2.5434792,68.92444,3
44b6_0b24845f,109,0,33.0,106.0,76.0,0.5415112,2.1046422,0.52380955,2.5434792,68.92444,1
44b6_0b24845f,110,0,44.0,78.0,98.0,0.45662495,1.9456794,0.6984127,2.458177,62.219727,3
44b6_0b24845f,111,0,63.0,51.0,36.0,0.35449868,1.499961,1.0,2.0623262,36.74182,1
44b6_0b24845f,112,0,22.0,169.0,141.0,0.6994296,1.9936879,0.34920636,2.5434792,68.92444,0
44b6_0b24845f,113,0,46.0,143.0,106.0,0.59298813,2.0652504,0.73015875,2.5401762,68.65625,0
44b6_0b24845f,114,0,37.0,104.0,191.0,0.46353623,1.2313999,0.5873016,2.4826555,64.097046,3
44b6_0b24845f,115,0,11.0,185.0,122.0,0.6807529,1.7295194,0.17460318,2.5434792,68.92444,1
44b6_0b24845f,116,0,51.0,155.0,247.0,0.57226676,2.0866373,0.8095238,2.5434792,68.92444,3
44b6_0b24845f,117,0,34.0,25.0,12.0,0.37198594,1.6670951,0.53968257,2.458177,62.219727,1
44b6_0b24845f,118,0,6.0,188.0,223.0,0.69184464,1.110928,0.0952381,2.5434792,68.92444,1
44b6_0b24845f,119,0,0.0,171.0,154.0,0.65761423,2.3291707,0.0,2.1396742,41.032837,0
44b6_0b24845f,120,0,54.0,7.0,0.0,0.39296234,0.69527704,0.85714287,1.9786955,32.450806,2
44b6_0b24845f,121,0,13.0,159.0,242.0,0.70083505,1.5503123,0.20634921,2.5401762,68.65625,0
44b6_0b24845f,122,0,50.0,166.0,195.0,0.5746593,2.0835624,0.7936508,2.5434792,68.92444,0
44b6_0b24845f,123,0,0.0,123.0,214.0,0.58235884,2.059188,0.0,2.1396742,41.032837,1
44b6_0b24845f,124,0,52.0,141.0,211.0,0.5524717,2.4118233,0.82539684,2.5302145,67.851685,3
44b6_0b24845f,125,0,30.0,111.0,120.0,0.5223056,1.7959393,0.47619048,2.5268764,67.583496,1
44b6_0b24845f,126,0,24.0,178.0,212.0,0.60436976,1.4151568,0.3809524,2.493,64.90161,1
44b6_0b24845f,127,0,23.0,98.0,137.0,0.5227432,2.4418297,0.36507937,2.5168092,66.77893,1
44b6_0b24845f,128,0,52.0,83.0,43.0,0.46488643,2.1776226,0.82539684,2.5401762,68.65625,2
44b6_0b24845f,129,0,24.0,109.0,255.0,0.44050977,0.96694213,0.3809524,2.13031,40.49646,2
44b6_0b24845f,130,0,13.0,164.0,112.0,0.64033026,2.362375,0.20634921,2.5401762,68.65625,0
44b6_0b24845f,131,0,54.0,150.0,247.0,0.5384959,1.521929,0.85714287,2.5100527,66.24255,4
44b6_0b24845f,132,0,0.0,70.0,164.0,0.4710817,2.365165,0.0,2.13031,40.49646,0
44b6_0b24845f,133,0,56.0,208.0,72.0,0.40653408,1.7374638,0.8888889,2.5368643,68.38806,0
44b6_0b24845f,134,0,0.0,46.0,115.0,0.4529051,2.3344944,0.0,2.1396742,41.032837,0
44b6_0b24845f,135,0,44.0,63.0,55.0,0.41362068,1.0323067,0.6984127,2.418696,59.269653,3
44b6_0b24845f,136,0,24.0,231.0,251.0,0.3900166,2.2290092,0.3809524,2.5434792,68.92444,0
44b6_0b24845f,137,0,10.0,24.0,97.0,0.4064968,1.1623336,0.15873016,2.4617038,62.487915,2
