dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_e29f0176,0,0,63.0,78.0,80.0,0.9592408,2.9965425,1.0,2.1396742,41.032837,0
44b6_e29f0176,1,0,0.0,78.0,134.0,1.1435113,4.220758,0.0,2.1396742,41.032837,0
44b6_e29f0176,2,0,63.0,16.0,211.0,1.1111846,3.858086,1.0,2.1396742,41.032837,0
44b6_e29f0176,3,0,29.0,44.0,214.0,1.0844442,3.0561824,0.46031746,2.5434792,68.92444,1
44b6_e29f0176,4,0,38.0,64.0,154.0,1.1088135,3.2011425,0.6031746,2.5434792,68.92444,0
44b6_e29f0176,5,0,46.0,74.0,119.0,0.9700209,4.3306313,0.73015875,2.5434792,68.92444,0
44b6_e29f0176,6,0,63.0,96.0,0.0,1.0300899,2.453058,1.0,1.7994134,24.405151,0
44b6_e29f0176,7,0,28.0,99.0,95.0,0.91950816,2.2163677,0.44444445,2.5434792,68.92444,0
44b6_e29f0176,8,0,37.0,54.0,183.0,0.8606825,3.4388433,0.5873016,2.5434792,68.92444,0
44b6_e29f0176,9,0,18.0,74.0,155.0,0.85936856,1.5554854,0.2857143,2.5434792,68.92444,0
44b6_e29f0176,10,0,63.0,29.0,180.0,0.98099536,2.1083245,1.0,2.1396742,41.032837,1
44b6_e29f0176,11,0,8.0,61.0,171.0,0.7904561,3.460515,0.12698413,2.5401762,68.65625,1
44b6_e29f0176,12,0,19.0,122.0,32.0,1.0928447,2.208724,0.3015873,2.5434792,68.92444,0
44b6_e29f0176,13,0,56.0,59.0,134.0,1.0783387,2.8358076,0.8888889,2.5434792,68.92444,1
44b6_e29f0176,14,0,4.0,48.0,195.0,0.9561806,2.7015748,0.06349207,2.5401762,68.65625,1
44b6_e29f0176,15,0,18.0,28.0,238.0,0.7947309,3.6303277,0.2857143,2.5434792,68.92444,0
44b6_e29f0176,16,0,52.0,66.0,143.0,0.99050975,1.8012502,0.82539684,2.5434792,68.92444,1
44b6_e29f0176,17,0,46.0,82.0,97.0,0.84099513,3.310316,0.73015875,2.5434792,68.92444,1
44b6_e29f0176,18,0,48.0,78.0,7.0,0.92690134,2.6965535,0.7619048,2.5434792,68.92444,1
44b6_e29f0176,19,0,63.0,83.0,54.0,0.8300742,3.428431,1.0,2.1350024,40.76465,0
44b6_e29f0176,20,0,17.0,80.0,129.0,0.848454,3.0346289,0.26984128,2.5335438,68.11987,0
44b6_e29f0176,21,0,57.0,35.0,184.0,0.9393795,2.3844938,0.9047619,2.5434792,68.92444,1
44b6_e29f0176,22,0,51.0,51.0,58.0,0.7601214,3.736273,0.8095238,2.5434792,68.92444,2
44b6_e29f0176,23,0,47.0,106.0,42.0,0.9208265,2.2116523,0.74603176,2.5434792,68.92444,1
44b6_e29f0176,24,0,42.0,19.0,245.0,0.9636482,2.7460983,0.6666667,2.5434792,68.92444,2
44b6_e29f0176,25,0,12.0,15.0,255.0,0.819664,3.1378934,0.1904762,2.13031,40.49646,0
44b6_e29f0176,26,0,54.0,96.0,37.0,1.0685672,3.863592,0.85714287,2.5434792,68.92444,1
44b6_e29f0176,27,0,34.0,12.0,255.0,0.88268405,2.4524987,0.53968257,2.1350024,40.76465,3
44b6_e29f0176,28,0,8.0,20.0,205.0,0.87228036,3.5123918,0.12698413,2.5434792,68.92444,2
44b6_e29f0176,29,0,50.0,102.0,18.0,0.8677165,3.47056,0.7936508,2.5434792,68.92444,0
44b6_e29f0176,30,0,31.0,93.0,70.0,0.9781892,2.1406448,0.4920635,2.5434792,68.92444,0
