dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
44b6_f28707c6,0,0,63.0,112.0,52.0,1.0605688,3.70217,1.0,2.1396742,41.032837,0
44b6_f28707c6,1,0,26.0,206.0,171.0,1.0654428,3.7403708,0.41269842,2.5434792,68.92444,0
44b6_f28707c6,2,0,44.0,51.0,116.0,0.9864376,4.4798956,0.6984127,2.5434792,68.92444,0
44b6_f28707c6,3,0,37.0,87.0,136.0,0.84634703,3.1984398,0.5873016,2.5401762,68.65625,1
44b6_f28707c6,4,0,63.0,221.0,8.0,0.94182384,3.784688,1.0,2.1396742,41.032837,1
44b6_f28707c6,5,0,63.0,143.0,32.0,0.7248542,6.397872,1.0,2.1396742,41.032837,0
44b6_f28707c6,6,0,40.0,43.0,135.0,1.1165563,4.410262,0.63492066,2.5434792,68.92444,0
44b6_f28707c6,7,0,63.0,97.0,26.0,0.7513643,3.7897804,1.0,2.1350024,40.76465,0
44b6_f28707c6,8,0,63.0,26.0,74.0,1.1492469,3.336506,1.0,2.1396742,41.032837,0
44b6_f28707c6,9,0,41.0,222.0,108.0,0.88103265,4.1112027,0.6507937,2.5434792,68.92444,0
44b6_f28707c6,10,0,50.0,236.0,74.0,0.88768274,3.2185001,0.7936508,2.5434792,68.92444,0
44b6_f28707c6,11,0,27.0,197.0,198.0,1.0043273,7.218354,0.42857143,2.5434792,68.92444,1
44b6_f28707c6,12,0,27.0,176.0,190.0,0.9749371,4.8948197,0.42857143,2.5434792,68.92444,1
44b6_f28707c6,13,0,23.0,141.0,219.0,0.9283561,5.5226865,0.36507937,2.5434792,68.92444,1
44b6_f28707c6,14,0,42.0,16.0,124.0,0.89732677,3.1715682,0.6666667,2.5434792,68.92444,1
44b6_f28707c6,15,0,45.0,167.0,146.0,0.919796,5.701414,0.71428573,2.5434792,68.92444,1
44b6_f28707c6,16,0,60.0,169.0,78.0,0.9300717,5.4331074,0.95238096,2.5401762,68.65625,1
44b6_f28707c6,17,0,34.0,183.0,170.0,0.95940226,4.6533237,0.53968257,2.5434792,68.92444,1
44b6_f28707c6,18,0,57.0,229.0,41.0,0.8862042,3.1042845,0.9047619,2.5434792,68.92444,0
44b6_f28707c6,19,0,28.0,244.0,153.0,0.8732485,3.2372391,0.44444445,2.5434792,68.92444,1
44b6_f28707c6,20,0,63.0,61.0,49.0,0.7722893,4.7402687,1.0,2.1396742,41.032837,0
44b6_f28707c6,21,0,63.0,195.0,22.0,0.77615505,2.2345579,1.0,2.1396742,41.032837,1
44b6_f28707c6,22,0,38.0,0.0,134.0,0.69943404,2.6050174,0.6031746,2.1396742,41.032837,1
44b6_f28707c6,23,0,40.0,63.0,151.0,0.9332133,3.8007326,0.63492066,2.5401762,68.65625,2
44b6_f28707c6,24,0,38.0,101.0,163.0,0.997627,3.8674953,0.6031746,2.5434792,68.92444,1
44b6_f28707c6,25,0,53.0,108.0,99.0,0.83707434,3.6530092,0.84126985,2.5434792,68.92444,1
44b6_f28707c6,26,0,4.0,246.0,242.0,0.8978787,5.445814,0.06349207,2.5434792,68.92444,1
44b6_f28707c6,27,0,63.0,61.0,23.0,0.71769565,3.6661491,1.0,2.1396742,41.032837,0
44b6_f28707c6,28,0,58.0,255.0,29.0,0.7908655,3.7807083,0.9206349,2.1396742,41.032837,1
44b6_f28707c6,29,0,58.0,134.0,52.0,0.8428681,3.866535,0.9206349,2.5434792,68.92444,0
44b6_f28707c6,30,0,37.0,127.0,188.0,0.900538,4.488931,0.5873016,2.5434792,68.92444,1
44b6_f28707c6,31,0,5.0,227.0,237.0,0.9664973,3.9689631,0.07936508,2.5401762,68.65625,2
44b6_f28707c6,32,0,36.0,72.0,202.0,1.0030427,2.784058,0.5714286,2.5434792,68.92444,1
44b6_f28707c6,33,0,32.0,26.0,180.0,1.0574179,4.086916,0.50793654,2.5401762,68.65625,1
44b6_f28707c6,34,0,27.0,240.0,193.0,1.0161288,2.575991,0.42857143,2.5434792,68.92444,1
44b6_f28707c6,35,0,16.0,220.0,201.0,0.9682234,2.7316256,0.25396827,2.5434792,68.92444,1
44b6_f28707c6,36,0,63.0,200.0,9.0,0.7566573,2.5405614,1.0,2.1350024,40.76465,2
44b6_f28707c6,37,0,54.0,130.0,71.0,0.7224101,5.185138,0.85714287,2.5434792,68.92444,1
44b6_f28707c6,38,0,41.0,242.0,137.0,0.89871496,3.6827652,0.6507937,2.5434792,68.92444,1
44b6_f28707c6,39,0,33.0,242.0,167.0,0.9332065,3.1097393,0.52380955,2.5434792,68.92444,1
44b6_f28707c6,40,0,52.0,212.0,96.0,0.8355656,3.8054338,0.82539684,2.5434792,68.92444,1
44b6_f28707c6,41,0,22.0,181.0,176.0,0.81049395,2.3252082,0.34920636,2.5434792,68.92444,2
44b6_f28707c6,42,0,41.0,159.0,128.0,0.82392126,4.5660715,0.6507937,2.5434792,68.92444,1
44b6_f28707c6,43,0,23.0,171.0,219.0,0.8894891,3.4448743,0.36507937,2.5434792,68.92444,0
44b6_f28707c6,44,0,19.0,0.0,213.0,0.88049877,1.8687264,0.3015873,2.1161075,39.691895,0
44b6_f28707c6,45,0,63.0,124.0,0.0,0.5392287,2.4669516,1.0,1.7309273,21.723267,0
44b6_f28707c6,46,0,55.0,187.0,77.0,0.8191009,3.1283753,0.8730159,2.5434792,68.92444,1
44b6_f28707c6,47,0,52.0,64.0,88.0,0.8349703,3.0175061,0.82539684,2.5434792,68.92444,0
44b6_f28707c6,48,0,11.0,188.0,212.0,0.82180715,5.3954387,0.17460318,2.5434792,68.92444,0
44b6_f28707c6,49,0,59.0,63.0,109.0,0.94854057,3.077023,0.93650794,2.5434792,68.92444,1
44b6_f28707c6,50,0,13.0,244.0,223.0,0.8603698,4.1836886,0.20634921,2.5434792,68.92444,2
44b6_f28707c6,51,0,63.0,94.0,71.0,0.6672319,4.141975,1.0,2.1350024,40.76465,0
44b6_f28707c6,52,0,58.0,16.0,103.0,1.0787897,4.433701,0.9206349,2.5434792,68.92444,0
44b6_f28707c6,53,0,11.0,96.0,235.0,0.95542145,2.9057333,0.17460318,2.5434792,68.92444,0
44b6_f28707c6,54,0,20.0,48.0,213.0,0.90997136,3.7735763,0.31746033,2.5434792,68.92444,1
44b6_f28707c6,55,0,42.0,0.0,187.0,1.0070765,4.9390583,0.6666667,2.1396742,41.032837,1
44b6_f28707c6,56,0,48.0,18.0,90.0,0.78446215,2.9985611,0.7619048,2.5434792,68.92444,1
44b6_f28707c6,57,0,11.0,39.0,247.0,0.8934665,2.660457,0.17460318,2.5434792,68.92444,1
44b6_f28707c6,58,0,34.0,210.0,150.0,0.7721153,3.9268484,0.53968257,2.5401762,68.65625,1
44b6_f28707c6,59,0,10.0,180.0,255.0,0.7958943,5.039729,0.15873016,2.1396742,41.032837,0
44b6_f28707c6,60,0,53.0,169.0,58.0,0.72030264,2.9822483,0.84126985,2.5401762,68.65625,0
44b6_f28707c6,61,0,24.0,219.0,194.0,0.9083088,2.4638565,0.3809524,2.5434792,68.92444,1
44b6_f28707c6,62,0,42.0,187.0,136.0,0.8654009,3.867528,0.6666667,2.5434792,68.92444,0
44b6_f28707c6,63,0,24.0,79.0,203.0,0.88761246,1.8884482,0.3809524,2.5434792,68.92444,1
44b6_f28707c6,64,0,52.0,203.0,58.0,0.6728353,3.8354013,0.82539684,2.5434792,68.92444,0
44b6_f28707c6,65,0,36.0,23.0,199.0,1.0133692,4.1945987,0.5714286,2.5434792,68.92444,1
44b6_f28707c6,66,0,30.0,115.0,159.0,0.7770461,2.935377,0.47619048,2.5434792,68.92444,2
44b6_f28707c6,67,0,7.0,95.0,255.0,0.9014799,2.9478734,0.11111111,2.1396742,41.032837,0
44b6_f28707c6,68,0,32.0,255.0,125.0,0.75257236,1.9643297,0.50793654,2.1396742,41.032837,2
44b6_f28707c6,69,0,13.0,94.0,213.0,0.81372875,2.6191657,0.20634921,2.5434792,68.92444,0
44b6_f28707c6,70,0,50.0,181.0,88.0,0.7417818,2.887806,0.7936508,2.5434792,68.92444,1
44b6_f28707c6,71,0,43.0,94.0,172.0,0.859771,2.6120267,0.6825397,2.5434792,68.92444,1
44b6_f28707c6,72,0,24.0,107.0,237.0,0.8969019,3.4173446,0.3809524,2.5434792,68.92444,1
44b6_f28707c6,73,0,28.0,98.0,193.0,0.8375794,2.4355752,0.44444445,2.5401762,68.65625,2
44b6_f28707c6,74,0,19.0,59.0,255.0,0.8209436,4.3444643,0.3015873,2.1350024,40.76465,0
44b6_f28707c6,75,0,29.0,154.0,180.0,0.8735897,2.869965,0.46031746,2.5434792,68.92444,2
44b6_f28707c6,76,0,37.0,148.0,169.0,0.83699405,2.3757954,0.5873016,2.5368643,68.38806,2
44b6_f28707c6,77,0,19.0,167.0,197.0,0.73177314,2.64901,0.3015873,2.5401762,68.65625,1
44b6_f28707c6,78,0,58.0,53.0,70.0,0.7386841,3.2857,0.9206349,2.5434792,68.92444,0
44b6_f28707c6,79,0,37.0,0.0,189.0,1.0252032,3.2109761,0.5873016,2.1350024,40.76465,1
44b6_f28707c6,80,0,44.0,148.0,106.0,0.6779668,3.4100926,0.6984127,2.5434792,68.92444,0
44b6_f28707c6,81,0,40.0,255.0,94.0,0.6905168,2.8468819,0.63492066,2.1396742,41.032837,1
44b6_f28707c6,82,0,41.0,25.0,169.0,0.8562453,3.0220873,0.6507937,2.5368643,68.38806,1
44b6_f28707c6,83,0,32.0,35.0,221.0,0.8631529,3.6309626,0.50793654,2.5434792,68.92444,1
44b6_f28707c6,84,0,30.0,11.0,163.0,0.7718979,3.324373,0.47619048,2.5434792,68.92444,0
44b6_f28707c6,85,0,30.0,57.0,223.0,0.8253396,4.0889616,0.47619048,2.5434792,68.92444,0
44b6_f28707c6,86,0,19.0,35.0,255.0,0.8960745,2.2709465,0.3015873,2.1396742,41.032837,2
44b6_f28707c6,87,0,18.0,195.0,227.0,0.8139361,3.3956912,0.2857143,2.5434792,68.92444,1
44b6_f28707c6,88,0,53.0,20.0,140.0,0.8591689,2.912238,0.84126985,2.5434792,68.92444,1
44b6_f28707c6,89,0,42.0,70.0,126.0,0.6872562,3.6206024,0.6666667,2.5434792,68.92444,0
44b6_f28707c6,90,0,25.0,9.0,184.0,0.80966103,2.6498947,0.3968254,2.5434792,68.92444,2
44b6_f28707c6,91,0,41.0,44.0,178.0,0.8564292,3.1347034,0.6507937,2.5434792,68.92444,1
