dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_085bf656,0,0,51.0,86.0,76.0,1.3455966,2.5313168,0.8095238,2.5434792,68.92444,0
6bba_085bf656,1,0,41.0,14.0,38.0,1.4826914,3.8564696,0.6507937,2.5434792,68.92444,0
6bba_085bf656,2,0,14.0,13.0,141.0,1.8092523,3.454245,0.22222222,2.5434792,68.92444,0
6bba_085bf656,3,0,36.0,254.0,226.0,1.4041673,2.913667,0.5714286,2.3316977,53.10132,2
6bba_085bf656,4,0,45.0,125.0,115.0,1.2892021,4.5151253,0.71428573,2.5434792,68.92444,0
6bba_085bf656,5,0,51.0,186.0,142.0,1.2444235,7.6900864,0.8095238,2.5401762,68.65625,0
6bba_085bf656,6,0,32.0,93.0,123.0,1.2599992,3.6804035,0.50793654,2.5434792,68.92444,0
6bba_085bf656,7,0,11.0,127.0,241.0,1.5384995,3.0112402,0.17460318,2.5434792,68.92444,1
6bba_085bf656,8,0,24.0,60.0,152.0,1.3110198,4.3340564,0.3809524,2.5434792,68.92444,0
6bba_085bf656,9,0,38.0,30.0,73.0,1.4452753,3.1085122,0.6031746,2.5434792,68.92444,0
6bba_085bf656,10,0,26.0,88.0,177.0,1.3674887,2.6165001,0.41269842,2.5434792,68.92444,0
6bba_085bf656,11,0,26.0,119.0,182.0,1.2181518,2.8146114,0.41269842,2.5434792,68.92444,0
6bba_085bf656,12,0,63.0,146.0,43.0,1.0164798,5.665216,1.0,2.1396742,41.032837,0
6bba_085bf656,13,0,49.0,149.0,107.0,1.1984435,3.6882336,0.7777778,2.5434792,68.92444,1
6bba_085bf656,14,0,30.0,0.0,81.0,1.37364,2.485614,0.47619048,2.1396742,41.032837,1
6bba_085bf656,15,0,63.0,187.0,75.0,0.9315898,5.9856825,1.0,2.1350024,40.76465,0
6bba_085bf656,16,0,37.0,186.0,179.0,1.3602239,4.1195917,0.5873016,2.5434792,68.92444,0
6bba_085bf656,17,0,47.0,212.0,169.0,1.2247843,5.9803157,0.74603176,2.5401762,68.65625,0
6bba_085bf656,18,0,44.0,218.0,194.0,1.3312681,3.0839915,0.6984127,2.5434792,68.92444,0
6bba_085bf656,19,0,39.0,64.0,110.0,1.5882614,5.432519,0.61904764,2.5434792,68.92444,0
