dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_23af9eeb,0,0,30.0,0.0,96.0,1.2930954,2.868648,0.47619048,2.1396742,41.032837,0
6bba_23af9eeb,1,0,23.0,43.0,117.0,1.607804,4.379635,0.36507937,2.5434792,68.92444,0
6bba_23af9eeb,2,0,26.0,54.0,136.0,1.4041495,3.610055,0.41269842,2.5434792,68.92444,0
6bba_23af9eeb,3,0,24.0,78.0,155.0,1.1958176,3.787797,0.3809524,2.5434792,68.92444,0
6bba_23af9eeb,4,0,11.0,0.0,30.0,1.0281425,2.303533,0.17460318,2.1396742,41.032837,1
6bba_23af9eeb,5,0,63.0,14.0,184.0,1.2189255,6.5007563,1.0,2.1396742,41.032837,0
6bba_23af9eeb,6,0,15.0,56.0,99.0,1.0075701,4.2995954,0.23809524,2.5434792,68.92444,0
6bba_23af9eeb,7,0,44.0,255.0,206.0,0.9582687,5.8832183,0.6984127,2.1396742,41.032837,0
6bba_23af9eeb,8,0,53.0,130.0,255.0,1.1892898,9.734325,0.84126985,2.1396742,41.032837,0
6bba_23af9eeb,9,0,27.0,193.0,244.0,1.1023571,4.1714034,0.42857143,2.5434792,68.92444,0
6bba_23af9eeb,10,0,38.0,28.0,143.0,1.0271417,4.2475615,0.6031746,2.5434792,68.92444,0
6bba_23af9eeb,11,0,49.0,33.0,174.0,1.113579,4.296684,0.7777778,2.5434792,68.92444,0
6bba_23af9eeb,12,0,63.0,157.0,158.0,1.0103152,2.4724307,1.0,2.1350024,40.76465,0
6bba_23af9eeb,13,0,13.0,161.0,188.0,1.1190703,3.4474554,0.20634921,2.5434792,68.92444,0
6bba_23af9eeb,14,0,16.0,14.0,63.0,0.94281733,3.2543647,0.25396827,2.5434792,68.92444,0
6bba_23af9eeb,15,0,16.0,106.0,153.0,1.0646297,3.2952087,0.25396827,2.5434792,68.92444,0
6bba_23af9eeb,16,0,39.0,165.0,128.0,1.2420795,2.158271,0.61904764,2.5434792,68.92444,0
6bba_23af9eeb,17,0,40.0,181.0,143.0,1.3096976,2.1901975,0.63492066,2.5434792,68.92444,0
6bba_23af9eeb,18,0,29.0,130.0,206.0,1.2503676,3.821076,0.46031746,2.5434792,68.92444,2
6bba_23af9eeb,19,0,36.0,173.0,255.0,1.0794997,7.4292097,0.5714286,2.1350024,40.76465,0
6bba_23af9eeb,20,0,44.0,98.0,216.0,1.1640122,3.7298126,0.6984127,2.5434792,68.92444,0
6bba_23af9eeb,21,0,56.0,85.0,80.0,1.4089569,2.1198013,0.8888889,2.5434792,68.92444,0
6bba_23af9eeb,22,0,24.0,157.0,216.0,1.1701052,4.552589,0.3809524,2.5434792,68.92444,0
6bba_23af9eeb,23,0,56.0,74.0,69.0,1.350345,1.9731597,0.8888889,2.5434792,68.92444,0
6bba_23af9eeb,24,0,6.0,187.0,181.0,1.2415733,2.7075076,0.0952381,2.5434792,68.92444,0
6bba_23af9eeb,25,0,4.0,107.0,109.0,0.95356727,2.975654,0.06349207,2.5434792,68.92444,0
6bba_23af9eeb,26,0,20.0,98.0,18.0,1.1003536,2.0387864,0.31746033,2.5434792,68.92444,0
6bba_23af9eeb,27,0,47.0,0.0,140.0,0.9927749,3.905652,0.74603176,2.1396742,41.032837,1
6bba_23af9eeb,28,0,13.0,235.0,230.0,1.0220675,4.032628,0.20634921,2.5434792,68.92444,0
6bba_23af9eeb,29,0,0.0,159.0,31.0,1.1525667,2.089028,0.0,2.1396742,41.032837,0
6bba_23af9eeb,30,0,54.0,50.0,199.0,1.0002462,4.020705,0.85714287,2.5434792,68.92444,0
6bba_23af9eeb,31,0,0.0,150.0,16.0,1.0847837,1.7703019,0.0,2.1396742,41.032837,0
6bba_23af9eeb,32,0,29.0,16.0,108.0,0.8755274,2.336972,0.46031746,2.5434792,68.92444,0
6bba_23af9eeb,33,0,3.0,44.0,41.0,1.0521336,2.7317,0.04761905,2.5401762,68.65625,0
6bba_23af9eeb,34,0,0.0,144.0,136.0,0.9458746,3.0574992,0.0,2.1396742,41.032837,0
6bba_23af9eeb,35,0,56.0,228.0,201.0,1.2239372,1.5639837,0.8888889,2.5434792,68.92444,0
6bba_23af9eeb,36,0,6.0,68.0,81.0,0.83196676,3.4230652,0.0952381,2.5434792,68.92444,0
6bba_23af9eeb,37,0,38.0,152.0,247.0,1.0264373,3.9163094,0.6031746,2.5368643,68.38806,1
6bba_23af9eeb,38,0,32.0,157.0,236.0,0.9276223,3.947827,0.50793654,2.5434792,68.92444,1
6bba_23af9eeb,39,0,15.0,194.0,215.0,0.97759736,3.4537137,0.23809524,2.5434792,68.92444,0
6bba_23af9eeb,40,0,63.0,78.0,236.0,0.82758427,4.7793345,1.0,2.1396742,41.032837,0
6bba_23af9eeb,41,0,0.0,223.0,181.0,0.8365324,2.8762662,0.0,2.1396742,41.032837,1
6bba_23af9eeb,42,0,55.0,212.0,187.0,1.2752389,1.4161557,0.8730159,2.5434792,68.92444,0
6bba_23af9eeb,43,0,26.0,120.0,196.0,0.9474468,2.704205,0.41269842,2.5434792,68.92444,1
6bba_23af9eeb,44,0,13.0,7.0,39.0,0.9147593,2.6798618,0.20634921,2.5401762,68.65625,1
6bba_23af9eeb,45,0,22.0,225.0,247.0,1.0061271,3.366327,0.34920636,2.5434792,68.92444,0
6bba_23af9eeb,46,0,19.0,85.0,0.0,1.2905453,1.9325284,0.3015873,2.1396742,41.032837,1
6bba_23af9eeb,47,0,63.0,56.0,221.0,0.86388224,3.6107314,1.0,2.1396742,41.032837,0
6bba_23af9eeb,48,0,0.0,99.0,80.0,0.6082337,3.4379845,0.0,2.1350024,40.76465,0
6bba_23af9eeb,49,0,45.0,56.0,186.0,0.82653713,3.271768,0.71428573,2.5434792,68.92444,0
6bba_23af9eeb,50,0,5.0,255.0,214.0,0.74251354,2.5962687,0.07936508,2.1396742,41.032837,0
6bba_23af9eeb,51,0,63.0,104.0,255.0,0.91471446,3.976436,1.0,1.7994134,24.405151,0
6bba_23af9eeb,52,0,15.0,96.0,0.0,1.2182364,1.4961483,0.23809524,2.1396742,41.032837,1
6bba_23af9eeb,53,0,0.0,71.0,49.0,0.54009444,3.1226969,0.0,2.092004,38.350952,0
6bba_23af9eeb,54,0,7.0,116.0,133.0,0.7067283,2.184848,0.11111111,2.5434792,68.92444,0
6bba_23af9eeb,55,0,28.0,85.0,175.0,0.67605805,2.7107363,0.44444445,2.5434792,68.92444,0
6bba_23af9eeb,56,0,22.0,108.0,172.0,0.6424678,3.3498495,0.34920636,2.5434792,68.92444,0
6bba_23af9eeb,57,0,48.0,10.0,149.0,0.62812084,2.0788898,0.7619048,2.5100527,66.24255,1
6bba_23af9eeb,58,0,0.0,35.0,0.0,0.387802,2.926557,0.0,1.6945525,20.382324,0
6bba_23af9eeb,59,0,36.0,84.0,190.0,0.6262813,3.1726332,0.5714286,2.5434792,68.92444,0
6bba_23af9eeb,60,0,42.0,121.0,235.0,0.5980456,3.1377218,0.6666667,2.5434792,68.92444,0
6bba_23af9eeb,61,0,38.0,46.0,157.0,0.5179884,2.84585,0.6031746,2.5066607,65.974365,0
6bba_23af9eeb,62,0,17.0,70.0,127.0,0.5415672,2.31977,0.26984128,2.5434792,68.92444,0
6bba_23af9eeb,63,0,6.0,0.0,7.0,0.520544,3.0960321,0.0952381,2.1396742,41.032837,0
6bba_23af9eeb,64,0,36.0,127.0,218.0,0.5138785,1.1271582,0.5714286,2.5268764,67.583496,1
6bba_23af9eeb,65,0,24.0,247.0,255.0,0.47229972,2.0757034,0.3809524,2.1161075,39.691895,0
6bba_23af9eeb,66,0,0.0,235.0,174.0,0.3810607,1.4549547,0.0,2.0002632,33.52356,1
6bba_23af9eeb,67,0,0.0,195.0,164.0,0.4815236,1.3259298,0.0,2.120863,39.960083,0
6bba_23af9eeb,68,0,39.0,0.0,119.0,0.36422113,2.9390173,0.61904764,2.1396742,41.032837,0
6bba_23af9eeb,69,0,0.0,225.0,81.0,0.26983473,3.3088982,0.0,2.1396742,41.032837,0
6bba_23af9eeb,70,0,0.0,165.0,135.0,0.30059618,2.1599143,0.0,2.092004,38.350952,1
