dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_3c5691b6,0,0,39.0,219.0,172.0,1.3250123,4.0930605,0.61904764,2.5434792,68.92444,0
6bba_3c5691b6,1,0,34.0,109.0,101.0,1.6099279,4.39051,0.53968257,2.5434792,68.92444,0
6bba_3c5691b6,2,0,14.0,192.0,96.0,1.3225642,3.0922084,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,3,0,48.0,116.0,134.0,1.2684296,4.470282,0.7619048,2.5434792,68.92444,0
6bba_3c5691b6,4,0,20.0,106.0,63.0,1.2139701,3.312629,0.31746033,2.5434792,68.92444,0
6bba_3c5691b6,5,0,0.0,147.0,19.0,0.86227554,3.8010712,0.0,2.1396742,41.032837,0
6bba_3c5691b6,6,0,0.0,183.0,44.0,0.91297686,3.787161,0.0,2.1396742,41.032837,0
6bba_3c5691b6,7,0,14.0,152.0,75.0,1.158717,7.258058,0.22222222,2.5434792,68.92444,0
6bba_3c5691b6,8,0,37.0,13.0,35.0,1.4202485,4.281721,0.5873016,2.5434792,68.92444,0
6bba_3c5691b6,9,0,37.0,77.0,87.0,1.4437838,3.686041,0.5873016,2.5434792,68.92444,0
6bba_3c5691b6,10,0,35.0,255.0,71.0,0.9206802,4.6307497,0.5555556,2.1396742,41.032837,0
6bba_3c5691b6,11,0,32.0,42.0,48.0,1.2064371,4.498588,0.50793654,2.5434792,68.92444,0
6bba_3c5691b6,12,0,15.0,231.0,120.0,1.2094821,4.6709504,0.23809524,2.5434792,68.92444,0
6bba_3c5691b6,13,0,5.0,164.0,55.0,1.2403536,5.1415243,0.07936508,2.5434792,68.92444,0
6bba_3c5691b6,14,0,29.0,155.0,116.0,1.214378,3.5039845,0.46031746,2.5434792,68.92444,0
6bba_3c5691b6,15,0,25.0,32.0,20.0,1.0932418,3.314818,0.3968254,2.5434792,68.92444,0
6bba_3c5691b6,16,0,7.0,241.0,102.0,1.0521703,2.8893185,0.11111111,2.5434792,68.92444,0
6bba_3c5691b6,17,0,7.0,116.0,26.0,1.1128557,2.5480423,0.11111111,2.5401762,68.65625,0
