dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_55c70843,0,0,38.0,0.0,144.0,0.77965164,2.262797,0.6031746,2.1396742,41.032837,0
6bba_55c70843,1,0,50.0,16.0,150.0,0.78432447,2.2838132,0.7936508,2.5434792,68.92444,2
6bba_55c70843,2,0,43.0,25.0,255.0,0.7852043,1.1072732,0.6825397,2.1350024,40.76465,0
6bba_55c70843,3,0,63.0,5.0,41.0,0.65845037,2.2154849,1.0,2.1396742,41.032837,0
6bba_55c70843,4,0,30.0,0.0,194.0,0.74600977,1.19332,0.47619048,2.13031,40.49646,0
6bba_55c70843,5,0,46.0,23.0,207.0,0.7113743,2.9740977,0.73015875,2.5401762,68.65625,0
6bba_55c70843,6,0,59.0,0.0,112.0,0.6011853,2.284643,0.93650794,2.1396742,41.032837,1
6bba_55c70843,7,0,61.0,6.0,60.0,0.711829,2.7269106,0.96825397,2.4687274,63.024292,2
6bba_55c70843,8,0,58.0,22.0,186.0,0.8437757,1.952592,0.9206349,2.5434792,68.92444,1
6bba_55c70843,9,0,58.0,35.0,244.0,0.7198697,1.7572649,0.9206349,2.5434792,68.92444,1
6bba_55c70843,10,0,54.0,0.0,118.0,0.6229718,2.442956,0.85714287,2.1396742,41.032837,1
6bba_55c70843,11,0,63.0,37.0,255.0,0.7014385,1.3336446,1.0,1.7994134,24.405151,1
6bba_55c70843,12,0,34.0,0.0,238.0,0.7806853,0.38111487,0.53968257,2.0369256,35.40088,0
6bba_55c70843,13,0,45.0,12.0,179.0,0.77032864,1.2722108,0.71428573,2.5368643,68.38806,1
6bba_55c70843,14,0,37.0,0.0,174.0,0.6670881,1.3871148,0.5873016,2.120863,39.960083,0
6bba_55c70843,15,0,63.0,14.0,132.0,0.5958208,1.0910363,1.0,2.1396742,41.032837,0
6bba_55c70843,16,0,50.0,0.0,66.0,0.48482633,0.97576493,0.7936508,2.0822053,37.814575,1
6bba_55c70843,17,0,61.0,16.0,220.0,0.6680333,0.7522566,0.96825397,2.4687274,63.024292,0
6bba_55c70843,18,0,63.0,14.0,176.0,0.64621335,0.59943724,1.0,2.0623262,36.74182,2
6bba_55c70843,19,0,54.0,0.0,160.0,0.7451775,1.7780325,0.85714287,2.125597,40.22827,1
6bba_55c70843,20,0,63.0,0.0,14.0,0.34948266,3.479931,1.0,1.7994134,24.405151,0
6bba_55c70843,21,0,43.0,15.0,227.0,0.7862131,0.8924568,0.6825397,2.3511617,54.44226,1
6bba_55c70843,22,0,46.0,20.0,240.0,0.6570653,0.35902137,0.73015875,2.148957,41.569214,1
6bba_55c70843,23,0,63.0,12.0,199.0,0.673844,0.6211446,1.0,1.9677329,31.914429,1
6bba_55c70843,24,0,57.0,5.0,180.0,0.6800424,0.1409771,0.9047619,2.0471616,35.937256,2
6bba_55c70843,25,0,54.0,29.0,153.0,0.38613546,0.7251733,0.85714287,2.5032594,65.70618,1
6bba_55c70843,26,0,51.0,11.0,197.0,0.6866552,0.45685926,0.8095238,2.2030413,44.787476,1
6bba_55c70843,27,0,61.0,6.0,152.0,0.6321703,-0.024541445,0.96825397,1.8691776,27.355225,2
6bba_55c70843,28,0,63.0,4.0,73.0,0.46595,0.55724686,1.0,2.021376,34.596313,1
6bba_55c70843,29,0,59.0,0.0,222.0,0.57503086,-0.15138604,0.93650794,1.5485545,15.554932,0
6bba_55c70843,30,0,37.0,0.0,96.0,0.3373673,2.235737,0.5873016,2.1396742,41.032837,1
6bba_55c70843,31,0,39.0,0.0,255.0,0.6061781,-0.14304504,0.61904764,1.2430567,8.045654,0
6bba_55c70843,32,0,32.0,0.0,116.0,0.3360288,1.3161008,0.50793654,2.13031,40.49646,0
6bba_55c70843,33,0,42.0,0.0,98.0,0.3406909,2.037678,0.6666667,2.1161075,39.691895,1
6bba_55c70843,34,0,8.0,0.0,255.0,0.33269164,2.631493,0.12698413,1.7994134,24.405151,0
6bba_55c70843,35,1,38.0,0.0,146.0,0.7122539,1.790745,0.6031746,2.1396742,41.032837,0
6bba_55c70843,36,1,51.0,20.0,154.0,0.7672155,2.2742984,0.8095238,2.5434792,68.92444,0
6bba_55c70843,37,1,55.0,0.0,119.0,0.8180059,3.28913,0.8730159,2.1396742,41.032837,1
6bba_55c70843,38,1,63.0,8.0,45.0,0.7179418,2.3524876,1.0,2.1396742,41.032837,1
6bba_55c70843,39,1,29.0,0.0,196.0,0.74933344,1.3463316,0.46031746,2.1350024,40.76465,0
6bba_55c70843,40,1,50.0,0.0,70.0,0.58094656,2.2200084,0.7936508,2.1396742,41.032837,0
6bba_55c70843,41,1,58.0,25.0,188.0,0.8944604,1.9909894,0.9206349,2.5434792,68.92444,0
6bba_55c70843,42,1,47.0,25.0,210.0,0.7324106,3.143341,0.74603176,2.5401762,68.65625,1
6bba_55c70843,43,1,63.0,10.0,59.0,0.72864944,2.20711,1.0,2.1396742,41.032837,1
6bba_55c70843,44,1,43.0,29.0,255.0,0.6419435,0.7944968,0.6825397,2.125597,40.22827,1
6bba_55c70843,45,1,63.0,8.0,116.0,0.65995044,1.6212608,1.0,2.1396742,41.032837,1
6bba_55c70843,46,1,59.0,38.0,248.0,0.7317905,2.101962,0.93650794,2.5434792,68.92444,0
6bba_55c70843,47,1,40.0,0.0,175.0,0.8853347,2.231685,0.63492066,2.13031,40.49646,1
6bba_55c70843,48,1,32.0,0.0,245.0,0.8375847,1.1226245,0.50793654,2.0871162,38.082764,1
6bba_55c70843,49,1,43.0,15.0,192.0,0.8819588,1.910471,0.6825397,2.4368005,60.610596,1
6bba_55c70843,50,1,42.0,0.0,101.0,0.46334195,4.6953793,0.6666667,2.1396742,41.032837,0
