dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_6feeb0b1,0,0,18.0,43.0,97.0,1.168846,4.6584215,0.2857143,2.5434792,68.92444,0
6bba_6feeb0b1,1,0,15.0,51.0,209.0,1.7385607,5.3090863,0.23809524,2.5401762,68.65625,0
6bba_6feeb0b1,2,0,0.0,218.0,44.0,1.2527679,2.9030874,0.0,2.0673318,37.01001,0
6bba_6feeb0b1,3,0,0.0,175.0,132.0,1.0255723,2.3231516,0.0,2.1350024,40.76465,0
6bba_6feeb0b1,4,0,23.0,0.0,209.0,0.8396461,7.8833666,0.36507937,2.1396742,41.032837,0
6bba_6feeb0b1,5,0,10.0,81.0,231.0,0.9914099,2.6497688,0.15873016,2.5401762,68.65625,0
6bba_6feeb0b1,6,0,6.0,111.0,241.0,1.2225553,3.144576,0.0952381,2.5401762,68.65625,0
6bba_6feeb0b1,7,0,15.0,44.0,233.0,1.2426963,3.0618846,0.23809524,2.5401762,68.65625,0
6bba_6feeb0b1,8,0,11.0,137.0,20.0,0.9948332,4.550104,0.17460318,2.4652207,62.756104,0
6bba_6feeb0b1,9,0,0.0,199.0,86.0,0.9927229,2.3270571,0.0,2.0420563,35.669067,0
6bba_6feeb0b1,10,0,29.0,97.0,16.0,1.4279783,2.406812,0.46031746,2.5268764,67.583496,0
6bba_6feeb0b1,11,0,22.0,36.0,67.0,0.865695,3.834622,0.34920636,2.475711,63.56067,1
6bba_6feeb0b1,12,0,8.0,244.0,50.0,1.5179403,2.45426,0.12698413,2.5401762,68.65625,0
6bba_6feeb0b1,13,0,25.0,16.0,88.0,0.96307755,2.6807535,0.3968254,2.4687274,63.024292,1
6bba_6feeb0b1,14,0,4.0,159.0,74.0,1.064787,2.048391,0.06349207,2.5235295,67.31531,0
6bba_6feeb0b1,15,0,19.0,123.0,112.0,1.1698986,1.968212,0.3015873,2.4687274,63.024292,2
6bba_6feeb0b1,16,0,9.0,98.0,145.0,1.1172949,3.983828,0.14285715,2.5368643,68.38806,0
6bba_6feeb0b1,17,0,17.0,70.0,69.0,0.7380929,5.5596085,0.26984128,2.5201738,67.04712,0
6bba_6feeb0b1,18,0,24.0,19.0,97.0,1.2138749,3.1053607,0.3809524,2.5032594,65.70618,1
6bba_6feeb0b1,19,0,19.0,32.0,174.0,0.8780432,4.7378135,0.3015873,2.5134354,66.51074,1
6bba_6feeb0b1,20,0,19.0,128.0,103.0,1.1631743,1.8568577,0.3015873,2.4687274,63.024292,2
6bba_6feeb0b1,21,0,14.0,117.0,10.0,0.81133723,3.8638272,0.22222222,2.4687274,63.024292,0
6bba_6feeb0b1,22,0,19.0,72.0,32.0,1.0944644,3.2882216,0.3015873,2.4617038,62.487915,0
6bba_6feeb0b1,23,0,4.0,190.0,32.0,0.9411399,2.7567167,0.06349207,2.4475355,61.41516,1
6bba_6feeb0b1,24,0,4.0,194.0,22.0,0.872818,2.4313715,0.06349207,2.4439676,61.146973,1
6bba_6feeb0b1,25,0,4.0,214.0,0.0,0.99705344,3.1702282,0.06349207,2.0723133,37.2782,0
6bba_6feeb0b1,26,0,10.0,98.0,118.0,0.9326561,5.162404,0.15873016,2.5401762,68.65625,0
6bba_6feeb0b1,27,0,20.0,116.0,99.0,1.02804,1.5910043,0.31746033,2.4439676,61.146973,2
6bba_6feeb0b1,28,0,20.0,44.0,68.0,0.8034222,3.0489345,0.31746033,2.5401762,68.65625,1
6bba_6feeb0b1,29,0,23.0,44.0,39.0,0.90680087,3.0498953,0.36507937,2.5235295,67.31531,0
6bba_6feeb0b1,30,0,16.0,93.0,29.0,0.8331473,3.3430407,0.25396827,2.4368005,60.610596,0
6bba_6feeb0b1,31,0,9.0,100.0,178.0,1.0277478,2.9019003,0.14285715,2.5401762,68.65625,1
6bba_6feeb0b1,32,0,5.0,142.0,111.0,0.9471678,3.5327868,0.07936508,2.5368643,68.38806,0
6bba_6feeb0b1,33,0,0.0,174.0,213.0,1.1478356,1.9412218,0.0,2.0471616,35.937256,0
6bba_6feeb0b1,34,0,8.0,160.0,25.0,1.0067402,3.1377263,0.12698413,2.4439676,61.146973,0
6bba_6feeb0b1,35,0,11.0,106.0,79.0,0.8512471,3.6052978,0.17460318,2.472224,63.29248,0
6bba_6feeb0b1,36,0,40.0,11.0,46.0,0.89820546,1.9943892,0.63492066,2.493,64.90161,1
6bba_6feeb0b1,37,0,39.0,10.0,58.0,0.92569786,2.0324507,0.61904764,2.5302145,67.851685,1
6bba_6feeb0b1,38,0,14.0,55.0,181.0,0.96495926,2.9084015,0.22222222,2.5401762,68.65625,0
6bba_6feeb0b1,39,0,30.0,80.0,18.0,0.92289126,1.9665699,0.47619048,2.4652207,62.756104,0
6bba_6feeb0b1,40,0,0.0,169.0,163.0,0.8861924,2.595363,0.0,2.1350024,40.76465,1
6bba_6feeb0b1,41,0,0.0,179.0,255.0,0.8879481,3.5209832,0.0,1.7309273,21.723267,0
6bba_6feeb0b1,42,0,12.0,71.0,162.0,1.3158875,2.9156218,0.1904762,2.5434792,68.92444,1
6bba_6feeb0b1,43,0,33.0,0.0,12.0,0.647907,4.574452,0.52380955,2.125597,40.22827,1
6bba_6feeb0b1,44,0,8.0,102.0,189.0,0.9320607,3.1457202,0.12698413,2.5434792,68.92444,1
6bba_6feeb0b1,45,0,5.0,133.0,163.0,0.95382833,2.725798,0.07936508,2.5401762,68.65625,0
6bba_6feeb0b1,46,0,0.0,172.0,102.0,0.9527126,2.906102,0.0,2.1396742,41.032837,1
6bba_6feeb0b1,47,0,21.0,21.0,141.0,0.732469,2.7036877,0.33333334,2.5401762,68.65625,0
6bba_6feeb0b1,48,0,30.0,0.0,51.0,0.6313529,1.2458004,0.47619048,2.0265856,34.864502,0
6bba_6feeb0b1,49,0,14.0,92.0,55.0,0.68479836,3.2401786,0.22222222,2.5032594,65.70618,1
6bba_6feeb0b1,50,0,14.0,63.0,153.0,1.2470658,2.4286406,0.22222222,2.5368643,68.38806,1
6bba_6feeb0b1,51,0,0.0,237.0,13.0,0.80662704,2.1145854,0.0,2.0317688,35.13269,0
6bba_6feeb0b1,52,0,0.0,172.0,173.0,0.9032822,2.9661586,0.0,2.13031,40.49646,1
6bba_6feeb0b1,53,0,5.0,203.0,177.0,1.0675619,1.7626503,0.07936508,2.4861133,64.365234,1
6bba_6feeb0b1,54,0,13.0,96.0,60.0,0.67980164,3.138884,0.20634921,2.5401762,68.65625,1
6bba_6feeb0b1,55,0,5.0,203.0,191.0,1.1158651,1.7002971,0.07936508,2.475711,63.56067,2
6bba_6feeb0b1,56,0,11.0,101.0,94.0,0.80593646,2.5154836,0.17460318,2.4826555,64.097046,0
6bba_6feeb0b1,57,0,10.0,247.0,23.0,0.8517467,1.6019669,0.15873016,2.451093,61.68335,0
6bba_6feeb0b1,58,0,3.0,165.0,106.0,0.81064296,2.549727,0.04761905,2.5335438,68.11987,1
6bba_6feeb0b1,59,0,5.0,136.0,131.0,0.7609662,2.8562968,0.07936508,2.5401762,68.65625,0
6bba_6feeb0b1,60,0,22.0,0.0,255.0,0.5959737,5.134381,0.34920636,1.7658345,23.064209,0
6bba_6feeb0b1,61,0,25.0,62.0,141.0,0.7542153,1.4502972,0.3968254,2.4687274,63.024292,0
6bba_6feeb0b1,62,0,17.0,42.0,255.0,0.62095076,2.4356656,0.26984128,2.1065323,39.155518,1
6bba_6feeb0b1,63,0,20.0,71.0,0.0,0.71005213,2.5251782,0.31746033,2.0723133,37.2782,0
6bba_6feeb0b1,64,0,5.0,128.0,220.0,0.7373753,1.9670916,0.07936508,2.5201738,67.04712,0
6bba_6feeb0b1,65,0,19.0,27.0,187.0,0.6660182,2.9477623,0.3015873,2.5235295,67.31531,1
6bba_6feeb0b1,66,0,2.0,145.0,218.0,1.0995989,2.4149733,0.031746034,2.4617038,62.487915,0
6bba_6feeb0b1,67,0,9.0,153.0,236.0,0.8310529,1.2582285,0.14285715,2.5066607,65.974365,0
6bba_6feeb0b1,68,0,22.0,82.0,140.0,0.67457634,1.993195,0.34920636,2.5235295,67.31531,0
6bba_6feeb0b1,69,0,5.0,121.0,192.0,0.7542047,2.6793911,0.07936508,2.5401762,68.65625,0
6bba_6feeb0b1,70,0,35.0,0.0,166.0,0.5770117,1.5295651,0.5555556,2.0723133,37.2782,1
6bba_6feeb0b1,71,0,25.0,0.0,102.0,0.6144416,3.1920936,0.3968254,2.120863,39.960083,0
6bba_6feeb0b1,72,0,34.0,0.0,179.0,0.60187864,1.5848447,0.53968257,2.1161075,39.691895,2
6bba_6feeb0b1,73,0,8.0,129.0,54.0,0.59208286,1.9385188,0.12698413,2.5268764,67.583496,0
6bba_6feeb0b1,74,0,15.0,69.0,115.0,0.61686444,3.4893548,0.23809524,2.5401762,68.65625,0
6bba_6feeb0b1,75,0,22.0,0.0,233.0,0.4871513,5.0680466,0.34920636,2.1396742,41.032837,0
6bba_6feeb0b1,76,0,28.0,34.0,0.0,0.41693455,3.5536902,0.44444445,2.0871162,38.082764,0
6bba_6feeb0b1,77,0,0.0,202.0,112.0,0.5077324,2.3802886,0.0,2.0317688,35.13269,0
6bba_6feeb0b1,78,0,8.0,156.0,5.0,0.5634103,1.8227651,0.12698413,2.4223385,59.53784,0
6bba_6feeb0b1,79,0,25.0,19.0,45.0,0.5123589,2.8980196,0.3968254,2.4861133,64.365234,0
6bba_6feeb0b1,80,0,11.0,79.0,198.0,0.5728083,2.7270803,0.17460318,2.5401762,68.65625,0
6bba_6feeb0b1,81,0,3.0,149.0,169.0,0.615229,1.6525922,0.04761905,2.4964292,65.1698,0
6bba_6feeb0b1,82,0,32.0,0.0,0.0,0.43847957,1.502129,0.50793654,1.7726524,23.332397,1
6bba_6feeb0b1,83,0,3.0,151.0,150.0,0.53965485,2.0455594,0.04761905,2.5302145,67.851685,0
6bba_6feeb0b1,84,0,0.0,193.0,192.0,0.7622147,0.60717815,0.0,2.0265856,34.864502,1
6bba_6feeb0b1,85,0,0.0,161.0,245.0,0.73824066,1.2795595,0.0,2.13031,40.49646,0
