dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_80d12824,0,0,46.0,213.0,146.0,1.0962698,4.4907227,0.73015875,2.5434792,68.92444,0
6bba_80d12824,1,0,55.0,236.0,207.0,0.95093215,4.938698,0.8730159,2.5434792,68.92444,0
6bba_80d12824,2,0,55.0,221.0,188.0,0.84114456,4.4323378,0.8730159,2.5168092,66.77893,2
6bba_80d12824,3,0,63.0,63.0,43.0,1.2232704,5.544447,1.0,2.1396742,41.032837,1
6bba_80d12824,4,0,54.0,56.0,12.0,1.0493137,5.082853,0.85714287,2.5401762,68.65625,0
6bba_80d12824,5,0,51.0,84.0,27.0,1.1639067,5.339664,0.8095238,2.5434792,68.92444,0
6bba_80d12824,6,0,48.0,169.0,102.0,1.7537909,3.9674077,0.7619048,2.5434792,68.92444,1
6bba_80d12824,7,0,53.0,209.0,169.0,0.8289318,5.2654943,0.84126985,2.4895616,64.63342,1
6bba_80d12824,8,0,59.0,180.0,148.0,1.0218127,4.149431,0.93650794,2.5302145,67.851685,0
6bba_80d12824,9,0,63.0,108.0,82.0,1.1769896,3.5632157,1.0,2.1396742,41.032837,1
6bba_80d12824,10,0,55.0,98.0,51.0,1.0126172,2.803686,0.8730159,2.5335438,68.11987,2
6bba_80d12824,11,0,36.0,180.0,83.0,1.0797426,4.7825575,0.5714286,2.5368643,68.38806,1
6bba_80d12824,12,0,49.0,104.0,40.0,1.0879325,2.3866096,0.7777778,2.5235295,67.31531,2
6bba_80d12824,13,0,60.0,139.0,104.0,1.016104,3.1425369,0.95238096,2.4964292,65.1698,3
6bba_80d12824,14,0,63.0,153.0,130.0,1.1045094,3.216481,1.0,2.1396742,41.032837,1
6bba_80d12824,15,0,45.0,190.0,119.0,1.2140826,3.8571942,0.71428573,2.5368643,68.38806,2
6bba_80d12824,16,0,21.0,255.0,141.0,1.0759867,2.7976449,0.33333334,2.120863,39.960083,2
6bba_80d12824,17,0,55.0,172.0,126.0,1.3197684,4.3253713,0.8730159,2.5434792,68.92444,0
6bba_80d12824,18,0,59.0,233.0,223.0,0.7258821,3.2088697,0.93650794,2.5134354,66.51074,2
6bba_80d12824,19,0,54.0,149.0,95.0,1.2591921,3.7849956,0.85714287,2.5401762,68.65625,2
6bba_80d12824,20,0,19.0,243.0,121.0,1.0043174,4.005217,0.3015873,2.5401762,68.65625,1
6bba_80d12824,21,0,27.0,181.0,63.0,1.497931,2.846219,0.42857143,2.5434792,68.92444,0
6bba_80d12824,22,0,34.0,236.0,150.0,0.9725327,3.1905494,0.53968257,2.5434792,68.92444,1
6bba_80d12824,23,0,31.0,201.0,95.0,1.1783781,2.9325318,0.4920635,2.5168092,66.77893,1
6bba_80d12824,24,0,60.0,92.0,60.0,0.96674526,2.563762,0.95238096,2.5235295,67.31531,1
6bba_80d12824,25,0,63.0,41.0,27.0,1.0119246,4.5141926,1.0,2.1396742,41.032837,2
6bba_80d12824,26,0,40.0,130.0,45.0,1.2227565,5.3230042,0.63492066,2.5335438,68.11987,1
6bba_80d12824,27,0,56.0,129.0,80.0,0.9609171,3.5643663,0.8888889,2.5201738,67.04712,1
6bba_80d12824,28,0,63.0,236.0,242.0,0.69533247,6.1382046,1.0,2.1350024,40.76465,0
6bba_80d12824,29,0,33.0,255.0,178.0,0.92542243,4.1356654,0.52380955,2.1350024,40.76465,2
6bba_80d12824,30,0,38.0,200.0,111.0,1.2445939,3.5615551,0.6031746,2.5434792,68.92444,2
6bba_80d12824,31,0,43.0,157.0,74.0,1.2382163,3.2921674,0.6825397,2.5434792,68.92444,2
6bba_80d12824,32,0,46.0,64.0,0.0,0.9303866,3.8501163,0.73015875,2.1065323,39.155518,1
6bba_80d12824,33,0,37.0,152.0,52.0,1.7403458,5.6462984,0.5873016,2.5434792,68.92444,0
6bba_80d12824,34,0,26.0,174.0,89.0,0.9389666,4.149332,0.41269842,2.5100527,66.24255,1
