dataset,node_id,t,z,y,x,mean_intensity,snr,z_depth_ratio,estimated_radius_um,volume_um3,local_density_r15
6bba_fc516dc6,0,0,49.0,98.0,125.0,0.99774134,5.024008,0.7777778,2.5302145,67.851685,0
6bba_fc516dc6,1,0,50.0,190.0,235.0,0.8185142,5.049702,0.7936508,2.4617038,62.487915,0
6bba_fc516dc6,2,0,43.0,197.0,212.0,1.056659,3.9771774,0.6825397,2.5134354,66.51074,1
6bba_fc516dc6,3,0,42.0,134.0,126.0,1.1815052,7.403985,0.6666667,2.5368643,68.38806,0
6bba_fc516dc6,4,0,35.0,238.0,225.0,0.950348,3.523975,0.5555556,2.4652207,62.756104,2
6bba_fc516dc6,5,0,38.0,184.0,165.0,1.1068512,5.8162036,0.6031746,2.5368643,68.38806,1
6bba_fc516dc6,6,0,44.0,176.0,183.0,1.0576141,4.054268,0.6984127,2.5066607,65.974365,3
6bba_fc516dc6,7,0,59.0,85.0,158.0,0.858466,2.9779415,0.93650794,2.493,64.90161,0
6bba_fc516dc6,8,0,44.0,100.0,104.0,0.9678264,4.3274455,0.6984127,2.5335438,68.11987,0
6bba_fc516dc6,9,0,63.0,37.0,121.0,1.5929761,4.2031393,1.0,2.120863,39.960083,0
6bba_fc516dc6,10,0,45.0,209.0,244.0,0.871975,4.2391424,0.71428573,2.5401762,68.65625,1
6bba_fc516dc6,11,0,48.0,0.0,35.0,1.0197787,6.1113377,0.7619048,2.13031,40.49646,0
6bba_fc516dc6,12,0,55.0,167.0,228.0,0.8289308,2.956077,0.8730159,2.472224,63.29248,2
6bba_fc516dc6,13,0,37.0,200.0,187.0,0.89198226,5.7907286,0.5873016,2.5368643,68.38806,0
6bba_fc516dc6,14,0,35.0,71.0,47.0,1.1752304,3.9311364,0.5555556,2.5434792,68.92444,0
6bba_fc516dc6,15,0,39.0,235.0,250.0,0.83546805,7.032732,0.61904764,2.5268764,67.583496,1
6bba_fc516dc6,16,0,50.0,32.0,67.0,0.9211103,3.9716952,0.7936508,2.5201738,67.04712,1
6bba_fc516dc6,17,0,44.0,61.0,67.0,0.8554792,8.147653,0.6984127,2.5368643,68.38806,0
6bba_fc516dc6,18,0,32.0,209.0,174.0,1.007422,4.339905,0.50793654,2.472224,63.29248,1
6bba_fc516dc6,19,0,55.0,162.0,224.0,0.8525824,2.993374,0.8730159,2.4617038,62.487915,2
6bba_fc516dc6,20,0,48.0,161.0,188.0,1.0728964,3.3397613,0.7619048,2.4652207,62.756104,2
6bba_fc516dc6,21,0,26.0,180.0,105.0,1.1626569,5.2618194,0.41269842,2.5368643,68.38806,0
6bba_fc516dc6,22,0,30.0,198.0,145.0,1.2298577,4.874226,0.47619048,2.5401762,68.65625,0
6bba_fc516dc6,23,0,55.0,46.0,101.0,0.9421392,3.9599414,0.8730159,2.5134354,66.51074,0
6bba_fc516dc6,24,0,54.0,78.0,127.0,0.7593068,4.4441833,0.85714287,2.5335438,68.11987,0
6bba_fc516dc6,25,0,36.0,152.0,119.0,1.114923,3.8834803,0.5714286,2.5302145,67.851685,1
6bba_fc516dc6,26,0,63.0,157.0,255.0,0.87103945,5.738435,1.0,1.7994134,24.405151,0
6bba_fc516dc6,27,0,39.0,161.0,145.0,0.8807241,3.9334667,0.61904764,2.5368643,68.38806,1
6bba_fc516dc6,28,0,43.0,10.0,18.0,1.0104636,4.1805344,0.6825397,2.5268764,67.583496,1
6bba_fc516dc6,29,0,19.0,243.0,165.0,0.92223376,3.245608,0.3015873,2.42597,59.80603,1
6bba_fc516dc6,30,0,50.0,125.0,161.0,0.91781425,2.8983996,0.7936508,2.458177,62.219727,1
6bba_fc516dc6,31,0,44.0,156.0,161.0,0.8663185,3.270666,0.6984127,2.5235295,67.31531,2
6bba_fc516dc6,32,0,44.0,37.0,43.0,1.0189111,3.5984766,0.6984127,2.5335438,68.11987,1
6bba_fc516dc6,33,0,38.0,218.0,216.0,0.9345411,3.1406903,0.6031746,2.5066607,65.974365,1
6bba_fc516dc6,34,0,31.0,172.0,123.0,0.9191335,4.096318,0.4920635,2.5335438,68.11987,0
6bba_fc516dc6,35,0,44.0,40.0,48.0,0.9823885,3.4671042,0.6984127,2.5235295,67.31531,2
6bba_fc516dc6,36,0,18.0,216.0,119.0,1.363915,4.8865905,0.2857143,2.5032594,65.70618,0
6bba_fc516dc6,37,0,50.0,68.0,105.0,0.82206076,2.766456,0.7936508,2.4403894,60.878784,0
6bba_fc516dc6,38,0,63.0,47.0,147.0,0.582541,6.1361194,1.0,2.0317688,35.13269,0
6bba_fc516dc6,39,0,54.0,150.0,196.0,1.0192674,2.5562305,0.85714287,2.4652207,62.756104,2
6bba_fc516dc6,40,0,12.0,67.0,0.0,0.9592325,5.682741,0.1904762,2.1396742,41.032837,1
6bba_fc516dc6,41,0,21.0,226.0,145.0,1.2705337,3.001247,0.33333334,2.5368643,68.38806,2
6bba_fc516dc6,42,0,50.0,133.0,168.0,0.95604753,3.0018027,0.7936508,2.4475355,61.41516,2
6bba_fc516dc6,43,0,63.0,142.0,236.0,0.761931,4.2136345,1.0,2.1350024,40.76465,1
6bba_fc516dc6,44,0,39.0,98.0,77.0,0.8308802,2.8844113,0.61904764,2.5032594,65.70618,2
