dataset,source_id,target_id,t_src,t_tgt,dt,dist_3d_um,dist_xy_um,dist_z_um,dz_um,dy_um,dx_um,velocity_um_per_frame,fwd_rank,bwd_rank,margin_fwd_um,margin_bwd_um,is_mnn,comp_count_10um,comp_count_15um,cos_gap_prev,cos_next_gap,dead_reckoning_fwd_um,dead_reckoning_bwd_um,dead_reckoning_mean_um,intensity_diff,intensity_ratio,snr_diff,snr_ratio,transformer_prob,ilp_selected,is_gt_edge
44b6_0113de3b,213,436,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,101.0,0.9436,0.3615,0.8899,0.9978,1,0
44b6_0113de3b,200,425,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,139.0,0.9288,0.3887,0.8485,0.9972,1,0
44b6_0113de3b,181,411,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,165.0,1.1054,1.0015,1.5189,0.9969,1,0
44b6_0113de3b,116,345,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.6325,0.0,2.81,2.81,56.0,0.9684,0.1335,0.9601,0.9965,1,0
44b6_0113de3b,96,326,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,1.0,0.0,0.0,0.0,181.0,0.9142,0.257,0.9142,0.9964,1,0
44b6_0113de3b,92,320,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,196.0,0.9105,0.2668,0.9106,0.996,1,0
44b6_0113de3b,73,304,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.6325,0.0,2.81,2.81,191.0,0.9253,1.2591,0.6787,0.9959,1,0
44b6_0113de3b,97,327,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.5,0.0,2.3,2.3,9.0,1.0074,0.365,0.8463,0.9957,1,0
44b6_0113de3b,142,370,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.3,2.3,92.0,1.0339,0.5214,0.833,0.9955,1,0
44b6_0113de3b,198,426,0,1,1,2.3,1.62,1.62,1.62,0.0,1.62,2.3,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,283.0,1.171,0.5429,1.2586,0.9954,1,0
44b6_0113de3b,35,264,0,1,1,1.62,0.0,1.62,1.62,0.0,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,137.0,0.9175,0.0087,1.0025,0.9953,1,0
44b6_0113de3b,205,429,0,1,1,1.62,1.62,0.0,0.0,0.0,1.62,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,87.0,1.0624,0.2335,0.9346,0.9943,1,0
44b6_0113de3b,129,356,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,2.81,2.81,62.0,0.969,1.1166,0.706,0.9942,1,0
44b6_0113de3b,14,241,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,-0.7071,0.0,3.63,3.63,182.0,0.905,0.3101,0.8524,0.994,1,0
44b6_0113de3b,126,353,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,999.0,999.0,1,1,1,0.0,0.0,0.0,0.0,0.0,39.0,0.978,0.5357,1.2042,0.9939,1,0
44b6_0113de3b,196,423,0,1,1,2.3,1.62,1.62,1.62,1.62,0.0,2.3,1,1,999.0,999.0,1,1,1,0.0,0.7071,0.0,1.62,1.62,225.0,1.1189,0.3363,1.1207,0.9934,1,0
44b6_0113de3b,145,372,0,1,1,1.62,1.62,0.0,0.0,1.62,0.0,1.62,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,59.0,0.966,0.3765,1.1246,0.9934,1,0
44b6_0113de3b,87,315,0,1,1,2.81,2.3,1.62,1.62,1.62,1.62,2.81,1,1,999.0,999.0,1,1,1,0.0,0.5774,0.0,2.3,2.3,120.0,0.9127,1.5031,0.5908,0.9932,1,0
